seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
87,0.017198,9.816493,0.038213,0.045836,0.007702,0.000167,89.776970,-0.100378,-0.099988
88,0.030371,9.815076,0.034728,0.202867,0.055212,0.472347,89.781120,-0.108249,-0.098909
89,0.024782,9.810270,0.044881,-0.240416,0.046472,0.184810,89.780487,-0.119195,-0.097172
90,0.022494,9.810696,0.045200,-0.259667,0.042619,0.020722,89.772156,-0.122615,-0.095674
92,0.024354,9.811161,0.040292,-0.005147,0.057122,0.072780,89.767738,-0.124166,-0.094005
93,0.024359,9.809711,0.032823,0.333923,0.048799,0.072958,89.773216,-0.126588,-0.092230
94,0.026459,9.812730,0.042496,-0.100897,0.049485,0.144588,89.777092,-0.130208,-0.090578
95,0.025845,9.812202,0.035496,0.139648,0.058270,0.089645,89.777733,-0.134104,-0.088767
96,0.027692,9.813776,0.039021,0.003547,0.053847,0.136162,89.780121,-0.137861,-0.086883
97,0.030388,9.812008,0.045100,-0.260372,0.049596,0.218755,89.775833,-0.143769,-0.085136
99,0.027368,9.813234,0.045524,-0.253614,0.045642,0.044668,89.767265,-0.148153,-0.083532
100,0.026321,9.816896,0.039592,0.047901,0.037534,-0.026156,89.763824,-0.148456,-0.082144
101,0.027912,9.821824,0.040815,0.025831,0.029710,0.039206,89.765053,-0.148669,-0.081022
102,0.028736,9.823235,0.040466,0.021116,0.038722,0.066621,89.765831,-0.150428,-0.079875
103,0.021208,9.821810,0.040211,0.028841,0.046121,-0.257498,89.766663,-0.147241,-0.078473
104,0.021259,9.823811,0.043100,-0.088481,0.061596,-0.227187,89.765663,-0.139156,-0.076711
106,0.017108,9.819433,0.044360,-0.123054,0.057573,-0.338230,89.762131,-0.129724,-0.074764
107,0.014410,9.813921,0.045649,-0.139860,0.068492,-0.380562,89.757751,-0.117735,-0.072713
108,0.015329,9.819621,0.042761,0.016008,0.055447,-0.265567,89.755684,-0.106958,-0.070693
109,0.018015,9.820517,0.046905,-0.137100,0.044263,-0.069811,89.753662,-0.101361,-0.069055
110,0.020321,9.820314,0.045140,-0.047875,0.032835,0.074240,89.750580,-0.101429,-0.067770
111,0.022738,9.817924,0.046153,-0.083361,0.030910,0.169656,89.748383,-0.105490,-0.066690
113,0.022267,9.821723,0.041677,0.112435,0.030756,0.118599,89.748871,-0.110289,-0.065641
114,0.019194,9.814132,0.046217,-0.079332,0.031814,-0.026138,89.749420,-0.111826,-0.064591
115,0.018608,9.818274,0.041136,0.120594,0.040727,-0.070317,89.750107,-0.110213,-0.063389
116,0.015101,9.814003,0.039033,0.204027,0.045727,-0.218804,89.755516,-0.105388,-0.061969
117,0.016009,9.817513,0.039162,0.173688,0.057709,-0.135956,89.761810,-0.099468,-0.060270
118,0.017695,9.819220,0.045456,-0.139353,0.047095,-0.025768,89.762383,-0.096766,-0.058535
120,0.021345,9.822035,0.038767,0.130290,0.056616,0.134360,89.762230,-0.098568,-0.056799
121,0.020880,9.820516,0.039244,0.107080,0.049145,0.104420,89.766182,-0.102541,-0.055020
122,0.018324,9.817945,0.044626,-0.139343,0.053187,-0.022992,89.765648,-0.103891,-0.053309
123,0.018095,9.819206,0.042571,-0.046819,0.042428,-0.038841,89.762535,-0.102854,-0.051719
124,0.014734,9.820879,0.041181,0.028932,0.050453,-0.161335,89.762230,-0.099511,-0.050185
125,0.015089,9.815919,0.046501,-0.185657,0.046091,-0.117029,89.759621,-0.094865,-0.048596
127,0.015667,9.816750,0.047232,-0.194029,0.056541,-0.054844,89.753296,-0.091993,-0.046897
128,0.017971,9.814931,0.047158,-0.151624,0.051386,0.064103,89.747528,-0.092140,-0.045098
129,0.019146,9.810166,0.045141,-0.048108,0.047921,0.100795,89.744194,-0.094881,-0.043431
130,0.020103,9.814115,0.041293,0.139314,0.052106,0.117357,89.745705,-0.098509,-0.041747
131,0.013151,9.820746,0.043080,0.053838,0.061250,-0.200133,89.748924,-0.097121,-0.039864
132,0.014742,9.818795,0.042752,0.041329,0.059404,-0.134485,89.750504,-0.091535,-0.037878
134,0.014184,9.822638,0.044421,-0.040244,0.057933,-0.116882,89.750519,-0.087337,-0.035940
135,0.016258,9.830462,0.042513,0.049624,0.071046,-0.003343,89.750664,-0.085324,-0.033800
136,0.018777,9.821433,0.042940,0.031066,0.062936,0.120332,89.752007,-0.087264,-0.031558
137,0.023118,9.816587,0.037486,0.246684,0.046645,0.293651,89.756630,-0.094156,-0.029702
138,0.025539,9.820496,0.040413,0.101493,0.040580,0.350025,89.762428,-0.104878,-0.028203
139,0.027604,9.824798,0.034174,0.320904,0.038653,0.357307,89.769470,-0.116661,-0.026835
141,0.025800,9.815923,0.035005,0.225739,0.028760,0.203675,89.778580,-0.126007,-0.025674
142,0.022607,9.825323,0.039506,-0.023420,0.020915,-0.003759,89.781952,-0.129335,-0.024834
143,0.022881,9.830572,0.040343,-0.077275,0.036356,-0.025528,89.780273,-0.128844,-0.023881
144,0.017675,9.826394,0.039655,-0.047276,0.029438,-0.221967,89.778191,-0.124714,-0.022800
145,0.014712,9.829270,0.042849,-0.162585,0.037676,-0.318762,89.774689,-0.115698,-0.021717
146,0.014257,9.832200,0.046691,-0.279040,0.045383,-0.269820,89.767326,-0.105883,-0.020372
147,0.015316,9.829165,0.042619,-0.057349,0.053655,-0.162311,89.761719,-0.098674,-0.018751
148,0.016711,9.819214,0.047246,-0.211902,0.042783,-0.037456,89.757233,-0.095338,-0.017158
149,0.013128,9.822029,0.043439,-0.015315,0.050607,-0.165184,89.753441,-0.091954,-0.015616
150,0.013209,9.821935,0.046333,-0.111546,0.043013,-0.132086,89.751320,-0.086993,-0.014077
151,0.012964,9.825169,0.043429,0.008681,0.039641,-0.116696,89.749603,-0.082840,-0.012717
152,0.014555,9.821599,0.044671,-0.030630,0.037760,-0.005686,89.749237,-0.080795,-0.011436
153,0.014606,9.821342,0.041298,0.094396,0.031383,0.001575,89.750298,-0.080721,-0.010284
154,0.019673,9.822115,0.038254,0.211379,0.034894,0.196740,89.755386,-0.084022,-0.009165
155,0.020001,9.815836,0.038274,0.175447,0.047206,0.179935,89.761826,-0.090294,-0.007770
156,0.020376,9.812369,0.040699,0.036758,0.039931,0.150131,89.765358,-0.095789,-0.006295
157,0.020814,9.808062,0.039391,0.064805,0.041505,0.122322,89.767052,-0.100324,-0.004920
158,0.019488,9.816191,0.040313,0.039521,0.049574,0.031122,89.768784,-0.102876,-0.003391
159,0.020322,9.813897,0.042984,-0.080647,0.039048,0.050590,89.768097,-0.104231,-0.001909
160,0.025008,9.817331,0.038723,0.106446,0.025782,0.232252,89.768524,-0.108941,-0.000809
161,0.024504,9.820685,0.037140,0.171706,0.027405,0.189048,89.773170,-0.115959,0.000105
162,0.024559,9.826729,0.035682,0.192070,0.036699,0.138510,89.779228,-0.121414,0.001195
163,0.027366,9.825485,0.033325,0.239602,0.042402,0.225722,89.786415,-0.127480,0.002536
164,0.025999,9.826061,0.036191,0.061673,0.055361,0.139620,89.791435,-0.133563,0.004188
165,0.025638,9.822242,0.040170,-0.154789,0.062147,0.093401,89.789871,-0.137439,0.006161
166,0.025860,9.824567,0.039084,-0.090038,0.077349,0.076611,89.785789,-0.140264,0.008496
167,0.024326,9.821059,0.040872,-0.131970,0.067085,-0.003901,89.782082,-0.141467,0.010908
168,0.020646,9.814615,0.044797,-0.273613,0.064972,-0.174258,89.775322,-0.138489,0.013098
169,0.019670,9.817264,0.043327,-0.159625,0.061736,-0.199624,89.768097,-0.132249,0.015185
170,0.017677,9.827664,0.038206,0.100272,0.067392,-0.247296,89.767097,-0.124792,0.017307
171,0.015847,9.829727,0.038409,0.080971,0.053764,-0.271448,89.770119,-0.116138,0.019291
172,0.018791,9.831889,0.040025,-0.011847,0.048636,-0.097032,89.771263,-0.109990,0.020973
173,0.020842,9.835965,0.034991,0.187585,0.046222,0.038472,89.774193,-0.109008,0.022550
174,0.021481,9.828215,0.039961,-0.030703,0.043471,0.070573,89.776810,-0.110819,0.024052
175,0.023754,9.820225,0.039779,-0.032210,0.030979,0.151443,89.775757,-0.114515,0.025308
176,0.021360,9.812203,0.047587,-0.345357,0.035138,0.033101,89.769463,-0.117586,0.026422
177,0.019606,9.810415,0.046233,-0.237165,0.049055,-0.046211,89.759750,-0.117362,0.027824
178,0.020165,9.808366,0.051189,-0.372241,0.044654,-0.023143,89.749588,-0.116199,0.029381
179,0.021333,9.814991,0.046737,-0.123887,0.056094,0.036744,89.741318,-0.116418,0.031061
