seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,0.867660,-1.083835,9.882708,-0.833499,1.163853,1.147066,-6.258605,-4.987707,0.272855
2,0.848743,-1.102094,9.861018,-0.794483,1.960629,1.751524,-6.289412,-4.930666,0.315343
3,0.882571,-1.097583,9.844851,0.003193,0.015449,1.516932,-6.306941,-4.891956,0.366064
4,0.888863,-1.051975,9.823972,2.244310,-0.795134,1.183896,-6.273445,-4.899942,0.412400
5,0.897576,-1.060125,9.862589,1.738599,-1.135390,1.462515,-6.211136,-4.927139,0.459919
6,0.918516,-1.065317,9.844906,1.548809,-2.081230,1.565870,-6.161193,-4.974995,0.516088
7,0.946054,-1.032820,9.806046,2.481638,-3.372542,1.051687,-6.098685,-5.060712,0.569379
8,0.954836,-1.024866,9.804379,2.053014,-3.467378,0.920405,-6.027119,-5.170607,0.614283
9,0.960789,-1.062645,9.828193,-0.249008,-3.012192,1.208707,-6.001312,-5.274286,0.661086
10,0.984440,-1.057244,9.820174,-0.078457,-3.421192,0.683876,-6.010739,-5.377611,0.703876
11,0.975431,-1.014000,9.854856,1.988686,-2.462781,-0.052339,-5.980875,-5.474042,0.724680
12,0.910045,-0.898004,9.912686,6.110442,0.402527,0.073369,-5.846266,-5.508167,0.728567
13,0.768567,-0.786825,9.853948,9.005327,5.551393,2.691655,-5.597768,-5.404837,0.764653
14,0.710522,-0.630720,9.766973,11.655657,6.627552,7.006535,-5.266550,-5.187436,0.906877
15,0.474017,-0.653932,9.841063,2.349585,6.472401,13.908388,-5.062201,-4.938539,1.235673
16,0.194094,-0.685595,9.788701,0.992006,10.826302,24.487116,-5.057638,-4.594577,1.849608
17,0.255585,-0.808330,9.895422,0.424611,7.893762,36.518795,-5.109742,-4.193621,2.837515
18,0.506417,-0.890528,9.752308,3.728063,-0.194503,48.603104,-5.140653,-3.939036,4.242431
19,0.477950,-1.443282,9.501713,-6.504983,-2.072988,60.176826,-5.310414,-3.811841,6.055206
