seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,0.036256,-9.619252,0.215448,0.089685,0.065187,-0.005008,-88.716934,-0.215899,0.211117
2,0.034089,-9.627211,0.206990,-0.310886,0.065930,0.093017,-88.720612,-0.214384,0.208965
3,0.036496,-9.623120,0.216465,0.135842,0.062424,-0.026418,-88.723526,-0.213226,0.206851
4,0.029350,-9.624508,0.210965,-0.098698,0.071048,0.293595,-88.722900,-0.208725,0.204727
5,0.028780,-9.629778,0.212081,-0.064500,0.071040,0.291755,-88.725609,-0.198919,0.202576
6,0.027352,-9.630387,0.211936,-0.069553,0.072402,0.280517,-88.727837,-0.189330,0.200398
8,0.032350,-9.626747,0.219370,0.294614,0.071591,-0.013283,-88.724075,-0.184824,0.198098
9,0.030881,-9.628323,0.214647,0.058740,0.068455,0.024799,-88.718178,-0.184580,0.195769
10,0.036766,-9.624343,0.218361,0.200997,0.056826,-0.246347,-88.713852,-0.188224,0.193598
11,0.044021,-9.619324,0.217397,0.133608,0.051430,-0.545398,-88.708260,-0.201376,0.191498
12,0.044320,-9.625936,0.219827,0.202641,0.059656,-0.449704,-88.702652,-0.217915,0.189272
13,0.041463,-9.623689,0.216155,-0.020818,0.058451,-0.195660,-88.699608,-0.228624,0.187060
15,0.039841,-9.621838,0.218772,0.072011,0.068368,-0.044868,-88.698746,-0.232584,0.184856
16,0.039669,-9.629272,0.221437,0.170761,0.075778,-0.012244,-88.694695,-0.233481,0.182433
17,0.034136,-9.628673,0.222179,0.180166,0.087670,0.228985,-88.688835,-0.229807,0.179792
18,0.036812,-9.624998,0.224268,0.233242,0.081471,0.078429,-88.681931,-0.224620,0.177091
19,0.033999,-9.635429,0.221709,0.055090,0.082803,0.165203,-88.677109,-0.220498,0.174448
20,0.033133,-9.634276,0.222414,0.051547,0.069245,0.172749,-88.675331,-0.214808,0.172044
22,0.031732,-9.636287,0.221791,0.005261,0.063450,0.188296,-88.674377,-0.208741,0.169972
23,0.031380,-9.641151,0.226133,0.188086,0.072602,0.160756,-88.671135,-0.202873,0.167840
24,0.028133,-9.635891,0.221604,-0.037110,0.075662,0.254653,-88.668617,-0.195894,0.165530
25,0.035528,-9.628969,0.225820,0.146715,0.076539,-0.128402,-88.666779,-0.193731,0.163043
26,0.040644,-9.634461,0.225564,0.105141,0.087548,-0.379442,-88.662575,-0.202129,0.160112
27,0.040258,-9.629139,0.222050,-0.074529,0.103993,-0.285056,-88.662041,-0.213127,0.156662
29,0.040307,-9.621937,0.219866,-0.188406,0.081044,-0.195490,-88.666428,-0.221062,0.153392
30,0.038644,-9.624171,0.221046,-0.108322,0.087524,-0.067494,-88.671356,-0.225378,0.150482
31,0.031068,-9.624071,0.222595,-0.011273,0.085848,0.290751,-88.673340,-0.221591,0.147679
