seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
61,-0.116691,-1.932035,9.720602,12.269623,9.631213,-35.447678,-11.241419,0.674578,-0.134074,0.995175,-0.097934,0.005973,-0.000588
62,-0.105364,-1.989696,9.565307,13.401647,12.501455,-38.510212,-11.105739,0.780047,-0.827842,0.995263,-0.096710,0.007474,-0.006531
63,-0.309290,-1.800108,9.725891,14.631590,13.507431,-40.022331,-10.651287,1.034516,-2.194477,0.995476,-0.092623,0.010764,-0.018228
64,-0.444758,-1.612274,10.118002,19.814554,12.376199,-39.764240,-9.932011,1.416835,-3.575231,0.995719,-0.086132,0.015012,-0.030005
65,-0.724622,-1.559147,10.582036,22.004040,11.140272,-35.260918,-9.023977,1.907874,-4.863914,0.995921,-0.077882,0.019920,-0.040987
66,-0.855216,-1.418848,10.598138,20.914228,9.845335,-28.459480,-8.118628,2.501251,-5.953956,0.995988,-0.069546,0.025417,-0.050249
67,-0.791670,-1.353313,10.761696,15.244865,8.357814,-23.135221,-7.373640,3.029469,-6.835373,0.995909,-0.062593,0.030164,-0.057774
68,-0.738335,-1.432978,10.740074,11.885079,6.890921,-18.691572,-6.904505,3.395952,-7.554821,0.995697,-0.058111,0.033478,-0.063952
69,-0.711840,-1.430583,10.524127,7.621202,5.530338,-14.423512,-6.698518,3.639355,-8.132601,0.995408,-0.055998,0.035761,-0.068903
70,-0.627730,-1.312937,10.186888,2.681166,4.656111,-11.954590,-6.673680,3.780083,-8.597069,0.995099,-0.055543,0.037193,-0.072871
71,-0.680348,-1.293101,9.782445,-2.139855,3.337725,-10.300524,-6.809156,3.870516,-8.989663,0.994754,-0.056528,0.038258,-0.076187
72,-0.755642,-1.338343,9.607059,-6.146229,0.565435,-7.949090,-7.125002,3.957289,-9.310876,0.994356,-0.059098,0.039387,-0.078820
73,-0.705413,-1.176292,9.102567,-7.900080,-1.741337,-7.697300,-7.484518,3.985396,-9.575498,0.993974,-0.062105,0.040021,-0.080975
74,-0.471030,-1.324735,8.917013,-12.202165,-4.187620,-6.014270,-7.929409,3.812794,-9.795931,0.993610,-0.066018,0.038966,-0.082838
75,-0.090987,-1.526239,8.903411,-10.294378,-7.235100,-2.445447,-8.530032,3.269373,-9.921041,0.993275,-0.071601,0.034769,-0.084081
76,0.231222,-1.516809,9.125296,-4.225372,-9.977395,-0.769003,-8.986300,2.349837,-9.939189,0.993109,-0.076258,0.027150,-0.084742
