seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-9.806052,-0.028449,-0.210348,0.524574,-0.110295,0.063659,-172.297653,88.760300,-172.129654
2,-9.798990,-0.030120,-0.177979,0.368926,-0.249093,0.007990,-172.300323,88.765839,-172.147217
3,-9.810768,-0.032613,-0.183309,0.291576,-0.184121,-0.050480,-172.211365,88.773155,-172.069244
4,-9.810559,-0.027144,-0.178797,0.187298,-0.200167,-0.003000,-172.121231,88.779388,-171.987061
5,-9.811672,-0.022942,-0.174187,0.142952,-0.206838,0.008511,-172.076096,88.786140,-171.947449
6,-9.814957,-0.027140,-0.166525,0.074915,-0.231571,-0.032681,-172.005692,88.793091,-171.880646
8,-9.815860,-0.027417,-0.170276,0.073331,-0.202670,-0.030745,-171.905228,88.800575,-171.782608
9,-9.814668,-0.028547,-0.168685,0.068877,-0.212418,-0.022512,-171.813858,88.807281,-171.693649
10,-9.818474,-0.035397,-0.172475,0.104696,-0.174799,-0.078272,-171.686356,88.813530,-171.568970
11,-9.822077,-0.038065,-0.177838,0.141490,-0.140643,-0.078325,-171.520203,88.818329,-171.406891
12,-9.820115,-0.029437,-0.181075,0.122027,-0.090463,-0.036062,-171.396530,88.821976,-171.287598
13,-9.825462,-0.027652,-0.177681,0.098939,-0.100974,-0.031189,-171.315552,88.824638,-171.210281
15,-9.825603,-0.024231,-0.171063,0.072682,-0.115151,-0.010024,-171.253006,88.828140,-171.150558
16,-9.822947,-0.020548,-0.167649,0.058554,-0.120674,0.007627,-171.219528,88.832153,-171.119278
17,-9.818027,-0.025950,-0.171042,0.031651,-0.088991,-0.025347,-171.177399,88.835175,-171.078598
18,-9.821342,-0.034354,-0.165540,0.015936,-0.130297,-0.069399,-171.071991,88.838539,-170.973984
19,-9.820498,-0.041396,-0.175874,0.007375,-0.060332,-0.113511,-170.898361,88.841400,-170.800720
20,-9.819802,-0.041086,-0.183093,0.016293,-0.030332,-0.113301,-170.701416,88.842247,-170.604126
22,-9.822371,-0.039606,-0.180973,0.035922,-0.061381,-0.094769,-170.518860,88.843094,-170.422440
23,-9.825561,-0.032634,-0.174177,0.030596,-0.104486,-0.039910,-170.385269,88.845467,-170.289917
24,-9.823997,-0.031799,-0.175476,0.018218,-0.088001,-0.032803,-170.298416,88.848686,-170.203796
25,-9.823465,-0.023950,-0.169940,0.009758,-0.111041,0.015735,-170.256058,88.851921,-170.162003
26,-9.821215,-0.024818,-0.167125,0.011428,-0.133218,0.006408,-170.239426,88.856194,-170.145706
27,-9.817884,-0.027923,-0.170673,0.033071,-0.120466,-0.018180,-170.192917,88.859787,-170.099915
29,-9.817511,-0.024049,-0.167060,0.072359,-0.151154,0.012297,-170.147415,88.864433,-170.056168
30,-9.819389,-0.026531,-0.167329,0.072622,-0.151488,0.010233,-170.119980,88.869614,-170.031128
31,-9.818468,-0.025108,-0.166111,0.086209,-0.170381,-0.015335,-170.066299,88.874649,-169.980072
32,-9.819877,-0.020697,-0.164097,0.137615,-0.196878,0.028921,-170.019867,88.880753,-169.937363
33,-9.819443,-0.024194,-0.165889,0.128806,-0.172765,0.011478,-169.994583,88.887062,-169.916565
34,-9.819590,-0.037132,-0.168033,0.063062,-0.137435,-0.082870,-169.884415,88.891640,-169.809479
36,-9.819793,-0.030045,-0.169257,0.078994,-0.120665,-0.061644,-169.719849,88.895714,-169.647278
37,-9.820686,-0.027491,-0.167954,0.066476,-0.095158,-0.009156,-169.623611,88.899078,-169.553513
38,-9.817625,-0.032320,-0.167646,0.015102,-0.056533,-0.042233,-169.554565,88.901039,-169.485779
39,-9.816821,-0.032172,-0.165342,-0.027617,-0.043062,-0.046596,-169.463196,88.902824,-169.394135
40,-9.816101,-0.027767,-0.169798,0.005347,-0.012373,-0.025510,-169.392960,88.903358,-169.323547
41,-9.814835,-0.027139,-0.166763,0.019051,-0.021504,-0.016053,-169.351532,88.903709,-169.282578
43,-9.812924,-0.032822,-0.169006,0.031822,-0.027591,-0.042423,-169.292725,88.904785,-169.224579
44,-9.816997,-0.033479,-0.168596,0.021202,-0.026614,-0.054333,-169.200211,88.905144,-169.132874
45,-9.819117,-0.030588,-0.165628,0.025494,-0.046387,-0.022047,-169.122070,88.906212,-169.055542
46,-9.817507,-0.027572,-0.155242,0.029934,-0.108798,0.007525,-169.083130,88.908722,-169.017487
47,-9.813726,-0.028629,-0.150230,0.013358,-0.139877,0.019907,-169.064636,88.912674,-168.999756
48,-9.811852,-0.029904,-0.154411,0.004249,-0.112862,0.005919,-169.044495,88.916824,-168.979889
50,-9.810084,-0.025001,-0.157161,0.002126,-0.097164,0.032610,-169.042511,88.920441,-168.977982
51,-9.810237,-0.028862,-0.159445,0.016230,-0.077425,0.001848,-169.042770,88.923347,-168.978622
52,-9.811574,-0.030441,-0.165130,0.008653,-0.040041,-0.017040,-169.009262,88.925346,-168.945511
53,-9.815051,-0.032531,-0.171456,0.008735,-0.001575,-0.039573,-168.952652,88.925896,-168.889099
54,-9.819676,-0.027668,-0.162873,0.008373,-0.053029,-0.016244,-168.894302,88.926437,-168.831024
55,-9.821424,-0.028767,-0.165313,0.025207,-0.025943,-0.018595,-168.849762,88.927895,-168.787033
57,-9.820046,-0.020213,-0.161089,0.025890,-0.053804,0.034982,-168.849503,88.929359,-168.787720
58,-9.820090,-0.021870,-0.164822,0.024463,-0.027754,0.022092,-168.884598,88.930824,-168.823624
59,-9.815949,-0.027257,-0.164012,0.002178,-0.032332,-0.010268,-168.884155,88.931740,-168.823608
60,-9.813011,-0.029544,-0.166122,0.000853,-0.014233,-0.016183,-168.852844,88.932472,-168.792343
61,-9.813556,-0.028481,-0.162519,-0.005299,-0.043785,-0.011017,-168.819046,88.933388,-168.758469
62,-9.810973,-0.036732,-0.167395,-0.001480,-0.012659,-0.061815,-168.745361,88.933937,-168.684677
64,-9.811697,-0.036050,-0.167771,0.016727,-0.011191,-0.056611,-168.636963,88.933937,-168.576462
65,-9.817840,-0.030719,-0.171028,0.045046,0.009065,-0.024913,-168.563995,88.933754,-168.504562
66,-9.816035,-0.037105,-0.173633,0.056328,0.022920,-0.050137,-168.502167,88.933022,-168.444366
67,-9.814051,-0.035769,-0.171189,0.060796,0.015928,-0.033473,-168.433868,88.931740,-168.378006
68,-9.818789,-0.030857,-0.171648,0.048032,0.022016,-0.018530,-168.393234,88.930824,-168.339264
69,-9.818349,-0.031291,-0.168385,0.038980,0.002346,-0.023189,-168.359711,88.930275,-168.307129
71,-9.812159,-0.029766,-0.166830,0.032736,-0.017263,-0.012117,-168.325027,88.930824,-168.273590
72,-9.815140,-0.023991,-0.165209,0.019937,-0.019215,0.005521,-168.311752,88.931374,-168.261230
73,-9.813783,-0.026412,-0.165541,0.030865,-0.028817,-0.008433,-168.299637,88.932289,-168.250000
74,-9.814567,-0.024198,-0.163150,0.042885,-0.054340,0.018366,-168.291977,88.933205,-168.243530
75,-9.813744,-0.016602,-0.161103,0.039067,-0.074072,0.084006,-168.357239,88.935776,-168.310165
76,-9.815146,-0.021269,-0.158949,0.051839,-0.071009,0.053683,-168.450668,88.938354,-168.405121
78,-9.816381,-0.027575,-0.158596,0.055598,-0.073928,0.031493,-168.497940,88.940933,-168.454163
79,-9.817129,-0.025379,-0.158735,0.050800,-0.063247,0.047567,-168.541504,88.943527,-168.499512
80,-9.817294,-0.024203,-0.156691,0.043105,-0.060812,0.063892,-168.616608,88.945938,-168.576187
81,-9.816924,-0.030965,-0.159201,0.054468,-0.039588,0.007392,-168.660477,88.948166,-168.621689
82,-9.818887,-0.032427,-0.163089,0.040820,-0.006349,-0.015969,-168.642960,88.948723,-168.605850
83,-9.819902,-0.028142,-0.163358,0.044937,-0.007238,0.003142,-168.627747,88.949097,-168.592010
85,-9.819829,-0.034303,-0.162379,0.027287,-0.021948,-0.041687,-168.587036,88.949471,-168.552460
86,-9.817250,-0.037868,-0.163168,0.030684,-0.019738,-0.069508,-168.479462,88.949654,-168.445877
87,-9.818898,-0.036874,-0.166334,0.030479,0.000720,-0.058760,-168.360764,88.949654,-168.328232
88,-9.818978,-0.024756,-0.164313,0.046000,-0.033708,0.026325,-168.324570,88.950027,-168.293259
89,-9.816612,-0.026489,-0.168846,0.039968,0.002628,0.010701,-168.350220,88.950401,-168.320358
90,-9.815248,-0.020994,-0.169074,0.050076,0.009157,0.043754,-168.399475,88.950218,-168.371063
92,-9.816373,-0.020938,-0.174397,0.059126,0.033782,0.038725,-168.479065,88.950401,-168.452469
93,-9.812606,-0.021987,-0.168421,0.048706,-0.001443,0.022144,-168.537292,88.949844,-168.512573
94,-9.812165,-0.027105,-0.169005,0.038566,0.009061,-0.007128,-168.550598,88.949844,-168.527359
95,-9.814275,-0.020113,-0.162430,0.054761,-0.032761,0.030508,-168.565582,88.950218,-168.543839
96,-9.821021,-0.019299,-0.160867,0.066921,-0.042210,0.038120,-168.611343,88.951897,-168.591629
97,-9.823993,-0.017804,-0.155622,0.065364,-0.068873,0.041286,-168.660095,88.953766,-168.642639
99,-9.825205,-0.015625,-0.156854,0.072756,-0.064637,0.054353,-168.719604,88.956383,-168.704453
100,-9.823695,-0.015572,-0.153452,0.080469,-0.082225,0.050158,-168.784744,88.959198,-168.772125
101,-9.818578,-0.018060,-0.156849,0.077626,-0.059603,0.043161,-168.840775,88.961647,-168.830841
102,-9.813930,-0.020678,-0.160856,0.057997,-0.025868,0.023360,-168.883499,88.963348,-168.875824
103,-9.810398,-0.019715,-0.165735,0.054759,-0.000260,0.024900,-168.920593,88.963722,-168.914795
104,-9.812499,-0.023250,-0.166248,0.039867,0.012079,0.014275,-168.956451,88.963913,-168.952240
106,-9.816210,-0.021242,-0.168609,0.038095,0.025262,0.028539,-169.000534,88.963348,-168.997589
107,-9.821107,-0.021805,-0.169299,0.028997,0.020512,0.020122,-169.051331,88.962776,-169.049545
108,-9.820793,-0.021776,-0.166040,0.044333,-0.006892,0.027196,-169.095276,88.962776,-169.094666
109,-9.824341,-0.026144,-0.165131,0.043291,-0.005184,0.025481,-169.139267,88.962776,-169.140228
110,-9.822895,-0.017854,-0.165484,0.047015,-0.005885,0.066911,-169.219376,88.963348,-169.221878
111,-9.818525,-0.023347,-0.163826,0.049167,-0.016522,0.028804,-169.300598,88.964287,-169.304657
113,-9.817168,-0.021084,-0.160311,0.052076,-0.027439,0.054220,-169.366638,88.965233,-169.372406
114,-9.814980,-0.027707,-0.164355,0.054229,0.001616,0.014237,-169.422623,88.965805,-169.430191
115,-9.810503,-0.022960,-0.163561,0.044613,0.003896,0.025553,-169.457962,88.965805,-169.467133
116,-9.813938,-0.026397,-0.163013,0.048043,-0.010465,0.006478,-169.484299,88.965805,-169.495026
117,-9.812461,-0.028238,-0.163946,0.043645,-0.004829,0.008964,-169.494293,88.966179,-169.506561
118,-9.811413,-0.032308,-0.166208,0.042500,0.004112,-0.024188,-169.478867,88.965988,-169.492538
120,-9.811823,-0.029285,-0.165619,0.036091,0.003651,-0.009297,-169.448456,88.965805,-169.463516
121,-9.811977,-0.029502,-0.162970,0.046836,-0.018112,-0.002332,-169.434204,88.966370,-169.450592
122,-9.807923,-0.039475,-0.168418,0.056916,0.021924,-0.069595,-169.367813,88.965988,-169.385941
123,-9.810673,-0.026928,-0.164519,0.049568,0.001831,-0.008785,-169.299011,88.965424,-169.318893
124,-9.812813,-0.030097,-0.162622,0.054489,-0.008376,-0.019782,-169.270248,88.965424,-169.291794
125,-9.816168,-0.022242,-0.162098,0.042995,-0.023917,0.032764,-169.274750,88.965988,-169.298004
127,-9.818331,-0.028003,-0.164415,0.043548,-0.005545,-0.008588,-169.290085,88.966179,-169.314743
