seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
60,-0.380289,-9.198348,-0.138554,-22.954113,0.502596,8.498020,-90.863029,2.367218,-110.036530,0.414302,-0.396473,0.591890,-0.566418
61,-1.216242,-7.753992,-6.004651,-57.872093,5.547123,38.353710,-92.215942,3.145023,-110.158440,0.412942,-0.396775,0.601559,-0.556934
62,-1.495001,-7.833527,-6.066038,-49.374569,6.015271,39.630711,-94.020187,4.432197,-110.421089,0.411987,-0.395385,0.615321,-0.543431
63,-1.491213,-7.920238,-6.043715,-44.672985,5.319659,32.403591,-95.612389,5.612450,-110.710175,0.411203,-0.393623,0.627475,-0.531270
64,-1.636768,-8.135528,-5.620360,-50.615025,8.436425,18.074814,-97.234016,6.422493,-111.034218,0.408340,-0.393601,0.638470,-0.520281
65,-1.866574,-8.056460,-5.178855,-30.822456,12.536613,2.566047,-98.636101,6.714840,-111.432465,0.403253,-0.394890,0.647013,-0.512663
66,-1.992251,-8.232866,-4.673650,-19.039671,16.670481,-9.019842,-99.520515,6.532556,-111.900406,0.397145,-0.396219,0.652054,-0.510012
67,-1.956672,-8.486922,-4.433456,-2.420901,15.662686,-21.820459,-99.926430,5.935475,-112.348259,0.390544,-0.397966,0.653722,-0.511611
68,-1.955039,-8.940786,-4.434537,11.218121,15.746375,-27.296877,-99.815430,5.039736,-112.726402,0.384398,-0.399774,0.651988,-0.517040
69,-1.857968,-9.048836,-5.015153,10.362571,18.163780,-20.333267,-99.489761,4.162835,-113.152626,0.378839,-0.400511,0.649468,-0.523701
70,-1.717622,-9.331059,-5.505888,1.544132,15.061881,-13.761695,-99.322174,3.511662,-113.607170,0.373785,-0.400536,0.648392,-0.528625
71,-1.505529,-9.219924,-5.876218,-12.954682,11.990105,-9.334344,-99.534378,3.057828,-113.989189,0.368788,-0.401252,0.649383,-0.530372
72,-1.186215,-8.717283,-5.952936,-32.740845,14.709501,-4.926063,-100.316116,2.746598,-114.386490,0.362488,-0.402983,0.653484,-0.528362
73,-1.039195,-8.070827,-6.282796,-51.561340,14.944365,-0.211693,-101.742920,2.567662,-114.854988,0.354304,-0.405608,0.661166,-0.522313
74,-0.912891,-7.724104,-5.920167,-55.951088,10.545116,3.523328,-103.553497,2.528002,-115.281151,0.345719,-0.408847,0.670751,-0.513241
75,-0.776097,-7.633500,-5.986944,-50.741554,7.240218,5.163611,-105.345772,2.593656,-115.603905,0.338246,-0.411992,0.680036,-0.503392
76,-0.728249,-7.454711,-6.014450,-45.713314,4.135734,6.703369,-106.964035,2.730616,-115.840897,0.332178,-0.414691,0.688296,-0.493901
77,-0.708272,-7.249949,-5.995525,-40.396557,1.042927,8.180928,-108.406746,2.940497,-115.998306,0.327509,-0.416958,0.695571,-0.484835
78,-0.687422,-7.232543,-5.756473,-31.479332,0.003024,9.379936,-109.610550,3.211303,-116.109932,0.324264,-0.418510,0.701711,-0.476764
79,-0.765369,-7.265174,-5.986163,-24.753967,-1.217133,8.186610,-110.552452,3.493225,-116.191269,0.322173,-0.419440,0.706595,-0.470105
80,-0.791277,-7.323397,-6.020358,-20.039368,-1.528212,4.809379,-111.301170,3.711798,-116.225883,0.320604,-0.420382,0.710305,-0.464714
81,-0.695837,-7.724301,-5.925748,-22.885918,-0.212851,0.016929,-112.016747,3.797192,-116.228691,0.318478,-0.421994,0.713406,-0.459939
82,-0.637258,-8.205916,-5.771247,-12.406372,0.618062,-6.808202,-112.602547,3.689886,-116.192162,0.315810,-0.424299,0.715360,-0.456612
83,-0.423250,-8.442614,-5.330594,-11.745322,1.898485,-15.224790,-112.998734,3.335012,-116.088699,0.312589,-0.427527,0.715713,-0.455262
84,-0.121284,-8.746973,-4.768648,-8.694172,2.615443,-25.132185,-113.329124,2.686979,-115.893288,0.308168,-0.432348,0.714747,-0.455241
85,0.095973,-8.817575,-4.385079,-6.054212,2.288371,-30.209351,-113.563461,1.808181,-115.601440,0.303054,-0.438420,0.712440,-0.456482
86,0.399210,-8.765658,-4.075671,-3.117118,1.499766,-31.526844,-113.708046,0.840227,-115.246941,0.297964,-0.444950,0.709251,-0.458477
87,0.483898,-8.769910,-3.981579,-1.021908,-0.908466,-27.359547,-113.774330,-0.062138,-114.861061,0.293697,-0.451146,0.705716,-0.460624
88,0.624039,-8.641832,-3.854976,2.151299,-3.150322,-20.737471,-113.758133,-0.768527,-114.476234,0.290958,-0.456294,0.702293,-0.462518
89,0.707011,-8.568842,-3.998003,1.616572,-5.169662,-10.980976,-113.701004,-1.196741,-114.136703,0.289920,-0.459928,0.699575,-0.463690
90,0.757032,-8.401514,-3.921207,0.832614,-6.441354,-3.541404,-113.666084,-1.340656,-113.862221,0.290286,-0.462083,0.697945,-0.463774
91,0.673377,-8.294741,-3.850673,1.436249,-7.492947,3.055259,-113.633034,-1.254905,-113.646194,0.291820,-0.462975,0.697169,-0.463088
92,0.727416,-8.174660,-4.055067,0.970148,-8.596948,6.366548,-113.596413,-1.003620,-113.463371,0.294247,-0.462999,0.696956,-0.461848
93,0.529085,-8.407166,-4.363115,-0.757520,-10.527742,11.317609,-113.595268,-0.605934,-113.289253,0.297386,-0.462478,0.697309,-0.459822
94,0.165915,-8.659208,-4.684833,-1.823246,-12.466870,18.137596,-113.639038,-0.002584,-113.134850,0.301510,-0.461133,0.698458,-0.456733
