seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
87,9.837244,-0.050290,0.006310,0.059742,0.099866,-0.052940,-82.848633,-89.705246,82.555931
88,9.835090,-0.061013,0.009622,0.088277,0.094643,0.100247,-82.243980,-89.705246,81.953400
89,9.833371,-0.058945,0.010430,0.054733,0.112838,0.065600,-81.656532,-89.701294,81.368645
90,9.834101,-0.051826,0.011030,0.041063,0.102223,-0.032055,-80.994026,-89.699333,80.707344
92,9.832432,-0.047410,0.014485,0.010758,0.139924,-0.084541,-80.172325,-89.700638,79.886398
93,9.830454,-0.048864,0.011680,0.004427,0.103793,-0.077341,-79.313126,-89.702606,79.027885
94,9.832202,-0.048459,0.014844,-0.004582,0.135590,-0.082880,-78.456955,-89.704590,78.171768
95,9.830174,-0.049774,0.015413,0.018277,0.119057,-0.059047,-77.555527,-89.705917,77.270706
96,9.828572,-0.055621,0.015879,0.022756,0.116063,0.013966,-76.777542,-89.705917,76.493332
97,9.831274,-0.056759,0.012436,0.030123,0.058888,0.020966,-76.253036,-89.703926,75.969414
99,9.835361,-0.051542,0.014909,0.050147,0.083348,-0.035120,-75.796432,-89.704590,75.513947
100,9.833671,-0.047985,0.012219,0.068327,0.050339,-0.071409,-75.289551,-89.706581,75.009392
101,9.838302,-0.046720,0.014108,0.056222,0.072374,-0.076756,-74.777214,-89.707916,74.498779
102,9.836662,-0.040584,0.013703,0.051690,0.068144,-0.132550,-74.148010,-89.710609,73.871674
103,9.837998,-0.041955,0.013851,0.057751,0.063631,-0.109704,-73.505211,-89.714012,73.230522
104,9.835238,-0.042698,0.014887,0.048612,0.066759,-0.082178,-72.900177,-89.716759,72.627281
106,9.839053,-0.041114,0.014712,0.045548,0.040452,-0.086818,-72.383598,-89.718842,72.112206
107,9.837477,-0.049054,0.015424,0.039322,0.043656,0.020531,-72.041435,-89.718842,71.771805
108,9.839540,-0.050184,0.014740,0.039247,0.038934,0.037331,-71.835846,-89.718147,71.567215
109,9.836597,-0.049743,0.019025,0.033374,0.090732,0.036570,-71.499901,-89.716759,71.232491
110,9.836879,-0.050568,0.016862,0.027119,0.065788,0.045252,-71.091011,-89.714012,70.824905
111,9.835819,-0.053140,0.018054,0.025589,0.089738,0.061906,-70.718987,-89.710609,70.453247
113,9.834914,-0.044572,0.014162,0.034672,0.036171,-0.052104,-70.336540,-89.709259,70.072319
