seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
34,0.008490,-0.068467,9.927402,-0.089377,-0.028068,2.609686,-0.395152,-0.048996,0.000338,0.999994,-0.003448,-0.000428,0.000001
36,0.007773,-0.060074,9.922840,-0.012490,0.028569,-0.023319,-0.395680,-0.048587,0.043442,0.999994,-0.003453,-0.000425,0.000378
37,0.004933,-0.060378,9.920500,0.010517,0.034703,-0.026371,-0.393330,-0.046934,0.042605,0.999994,-0.003432,-0.000411,0.000370
38,0.007191,-0.050673,9.920640,0.024435,0.036261,-0.024845,-0.389056,-0.045119,0.041740,0.999994,-0.003395,-0.000395,0.000363
39,0.008273,-0.057125,9.926940,0.003272,0.034739,-0.020267,-0.384593,-0.043872,0.040977,0.999994,-0.003356,-0.000384,0.000356
40,0.005767,-0.053712,9.922669,0.032433,0.039327,-0.008059,-0.380653,-0.042442,0.040494,0.999994,-0.003322,-0.000372,0.000352
41,0.006982,-0.056586,9.924385,0.052429,0.050025,-0.018741,-0.376027,-0.040638,0.040035,0.999995,-0.003281,-0.000356,0.000348
43,0.008751,-0.053071,9.922963,0.067873,0.040855,-0.018741,-0.370353,-0.039404,0.039398,0.999995,-0.003232,-0.000345,0.000343
44,0.008793,-0.053900,9.920796,0.049776,0.040819,-0.026372,-0.364103,-0.038756,0.038634,0.999995,-0.003177,-0.000339,0.000336
45,0.008505,-0.050938,9.912710,0.056094,0.043835,-0.032475,-0.358046,-0.038078,0.037642,0.999995,-0.003124,-0.000333,0.000327
46,0.009339,-0.050226,9.912362,0.051746,0.054473,-0.044683,-0.351667,-0.037324,0.036342,0.999995,-0.003069,-0.000327,0.000316
47,0.007458,-0.053631,9.913179,0.045824,0.052911,-0.023321,-0.346393,-0.036264,0.035195,0.999995,-0.003023,-0.000317,0.000306
48,0.008332,-0.052647,9.918255,0.049016,0.058985,-0.015691,-0.342013,-0.034991,0.034532,0.999996,-0.002985,-0.000306,0.000300
50,0.002639,-0.052840,9.922610,0.052200,0.049843,-0.020269,-0.337687,-0.032918,0.033921,0.999996,-0.002947,-0.000288,0.000295
51,0.001502,-0.050868,9.924755,0.058439,0.049916,-0.020269,-0.333145,-0.029793,0.033234,0.999996,-0.002907,-0.000261,0.000289
52,0.003847,-0.062876,9.932055,0.037098,0.045391,-0.027899,-0.331070,-0.027147,0.032421,0.999996,-0.002889,-0.000238,0.000282
53,0.001673,-0.063025,9.933342,0.053780,0.039329,-0.047735,-0.331622,-0.024906,0.031154,0.999996,-0.002894,-0.000218,0.000271
54,0.000150,-0.068217,9.927541,0.035312,0.045502,-0.046209,-0.333288,-0.022117,0.029581,0.999996,-0.002908,-0.000194,0.000258
55,0.003532,-0.074291,9.931833,0.033525,0.059278,-0.026371,-0.337386,-0.019518,0.028363,0.999996,-0.002944,-0.000171,0.000247
57,0.002806,-0.073608,9.931578,0.021012,0.054709,-0.021793,-0.342561,-0.017454,0.027552,0.999996,-0.002989,-0.000153,0.000240
58,-0.000603,-0.059832,9.930039,0.036121,0.050172,-0.017215,-0.344606,-0.014901,0.026892,0.999995,-0.003007,-0.000131,0.000234
59,0.002296,-0.059212,9.927801,0.025441,0.056313,-0.014163,-0.343572,-0.012377,0.026358,0.999996,-0.002998,-0.000109,0.000230
60,0.008303,-0.055231,9.931396,0.027013,0.047101,-0.018741,-0.341771,-0.011786,0.025799,0.999996,-0.002982,-0.000104,0.000225
61,0.004279,-0.052905,9.925413,0.024063,0.042443,-0.038579,-0.338875,-0.011914,0.024835,0.999996,-0.002957,-0.000105,0.000216
62,0.007012,-0.052611,9.926787,0.037916,0.045425,-0.040105,-0.335456,-0.011839,0.023514,0.999996,-0.002927,-0.000104,0.000205
64,0.008926,-0.059799,9.925754,0.028802,0.037682,-0.034002,-0.333494,-0.012736,0.022271,0.999996,-0.002910,-0.000112,0.000194
65,0.009054,-0.050378,9.924289,0.033435,0.037550,-0.041633,-0.331359,-0.014130,0.021003,0.999996,-0.002892,-0.000124,0.000183
66,0.004942,-0.056392,9.924348,0.013679,0.037460,-0.046211,-0.328958,-0.014686,0.019531,0.999996,-0.002871,-0.000129,0.000170
67,0.012658,-0.050084,9.923389,0.036644,0.038864,-0.040108,-0.326600,-0.015849,0.018085,0.999996,-0.002850,-0.000139,0.000157
68,0.012138,-0.059725,9.927499,0.026000,0.035625,-0.044687,-0.324832,-0.018369,0.016664,0.999996,-0.002835,-0.000161,0.000145
69,0.011104,-0.061386,9.925917,0.022868,0.046140,-0.037058,-0.325604,-0.020345,0.015294,0.999996,-0.002841,-0.000178,0.000133
71,0.008452,-0.071428,9.928542,0.010466,0.044491,-0.026377,-0.328918,-0.021312,0.014230,0.999996,-0.002870,-0.000186,0.000124
72,0.009231,-0.065373,9.926735,0.036182,0.053545,-0.021800,-0.332640,-0.021696,0.013419,0.999996,-0.002903,-0.000190,0.000117
73,0.007607,-0.065255,9.931285,0.023822,0.050404,-0.017222,-0.334713,-0.021773,0.012760,0.999996,-0.002921,-0.000190,0.000111
74,0.005204,-0.062408,9.928824,0.029810,0.045775,-0.009593,-0.336128,-0.021187,0.012305,0.999996,-0.002933,-0.000185,0.000107
75,0.010028,-0.056839,9.929744,0.052670,0.036544,-0.006542,-0.335328,-0.021315,0.012028,0.999996,-0.002926,-0.000186,0.000104
76,0.009344,-0.054097,9.924422,0.063404,0.041007,-0.011120,-0.332354,-0.022334,0.011726,0.999996,-0.002900,-0.000195,0.000102
78,0.010983,-0.053468,9.926620,0.057378,0.027150,-0.018750,-0.328782,-0.023657,0.011221,0.999996,-0.002869,-0.000207,0.000097
79,0.006967,-0.056001,9.924866,0.052849,0.037736,-0.026381,-0.325970,-0.024501,0.010462,0.999996,-0.002845,-0.000214,0.000091
80,0.010077,-0.053050,9.922384,0.051366,0.057489,-0.030958,-0.323395,-0.024594,0.009497,0.999996,-0.002822,-0.000215,0.000082
81,0.005410,-0.058056,9.918334,0.046799,0.060474,-0.027907,-0.321503,-0.023979,0.008504,0.999996,-0.002806,-0.000209,0.000074
82,0.007565,-0.061135,9.921634,0.036045,0.051274,-0.021804,-0.321572,-0.023000,0.007666,0.999996,-0.002806,-0.000201,0.000066
83,0.004556,-0.065869,9.918697,0.045051,0.058865,-0.011122,-0.323235,-0.021935,0.007108,0.999996,-0.002821,-0.000192,0.000061
