seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
3982,0.027535,-7.094705,6.694664,-0.188763,0.380765,0.056918,-46.661728,-0.161729,0.171392,0.918232,-0.396037,-0.001888,0.000814
3984,0.020651,-7.110690,6.682652,-0.581157,0.481965,0.145461,-46.674534,-0.149408,0.163248,0.918188,-0.396140,-0.001762,0.000792
3985,0.021844,-7.111936,6.684363,-0.397033,0.426102,0.091988,-46.690823,-0.136146,0.154951,0.918132,-0.396271,-0.001627,0.000771
3986,0.010037,-7.099008,6.684120,-0.007691,0.473655,0.166124,-46.697540,-0.122730,0.146989,0.918109,-0.396325,-0.001492,0.000753
3987,0.008162,-7.098079,6.688663,0.211995,0.071481,0.170903,-46.694134,-0.112411,0.144230,0.918121,-0.396298,-0.001399,0.000767
3988,0.012900,-7.098369,6.684412,0.197798,-0.222888,0.093947,-46.687313,-0.110929,0.149095,0.918144,-0.396244,-0.001404,0.000811
3989,0.015060,-7.086535,6.689487,0.397032,-0.260752,0.055683,-46.677414,-0.114645,0.156670,0.918178,-0.396164,-0.001460,0.000859
3991,0.018954,-7.079497,6.686770,0.235819,-0.481427,0.074042,-46.666893,-0.121560,0.167152,0.918214,-0.396079,-0.001552,0.000919
3992,0.033670,-7.090939,6.691762,-0.073831,-0.674313,-0.023008,-46.664223,-0.134160,0.181747,0.918224,-0.396058,-0.001703,0.000993
3993,0.042544,-7.089271,6.689871,-0.210537,-0.406680,-0.101214,-46.668991,-0.148029,0.193431,0.918207,-0.396095,-0.001855,0.001038
3994,0.041426,-7.087308,6.690691,-0.203597,-0.164126,-0.073431,-46.675903,-0.156674,0.198355,0.918183,-0.396151,-0.001941,0.001048
3995,0.037883,-7.097632,6.688720,-0.207698,-0.075444,-0.022526,-46.682758,-0.160577,0.200162,0.918159,-0.396205,-0.001979,0.001049
3996,0.041812,-7.090665,6.692151,0.081133,0.093162,-0.097532,-46.684864,-0.161830,0.198575,0.918152,-0.396222,-0.001983,0.001031
3998,0.045593,-7.091321,6.688244,0.059404,0.153067,-0.152578,-46.682503,-0.162048,0.192729,0.918160,-0.396204,-0.001965,0.000984
