seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
6116,-0.153032,-0.664929,9.890185,-0.106283,-0.045034,-0.219256,-3.846276,0.884478,-0.059462,0.999407,-0.033554,0.007732,-0.000260
6117,-0.155090,-0.739439,9.867806,-1.764763,-0.219699,-0.114145,-3.877541,0.879702,-0.064710,0.999398,-0.033826,0.007691,-0.000305
6118,-0.152396,-0.760684,9.868025,-1.843719,-0.107274,-0.283714,-3.937777,0.873812,-0.070954,0.999381,-0.034351,0.007642,-0.000357
6119,-0.162695,-0.746090,9.852620,-1.188408,0.268495,-0.365683,-3.988481,0.875746,-0.081938,0.999365,-0.034793,0.007662,-0.000449
6120,-0.157967,-0.738801,9.867149,-0.508402,0.408478,-0.370450,-4.016962,0.886145,-0.094965,0.999356,-0.035040,0.007757,-0.000557
6121,-0.161272,-0.732356,9.882619,-0.101014,0.602634,-0.434334,-4.027346,0.902016,-0.109528,0.999351,-0.035129,0.007900,-0.000679
6122,-0.174093,-0.697985,9.856157,0.646250,0.583705,-0.270372,-4.018467,0.920916,-0.122632,0.999353,-0.035051,0.008069,-0.000788
6123,-0.175377,-0.682248,9.863448,1.284429,0.268094,0.208727,-3.986321,0.935007,-0.124647,0.999361,-0.034770,0.008192,-0.000803
6124,-0.161354,-0.665914,9.864267,2.032338,-0.594075,0.626688,-3.930810,0.930549,-0.110379,0.999379,-0.034287,0.008149,-0.000684
6125,-0.153291,-0.666179,9.887912,1.805057,-1.045659,0.734231,-3.866462,0.904827,-0.085885,0.999400,-0.033728,0.007917,-0.000483
6126,-0.144044,-0.664452,9.876387,1.486661,-1.322440,0.506349,-3.811240,0.866832,-0.062607,0.999418,-0.033248,0.007578,-0.000294
6127,-0.138688,-0.679416,9.885676,1.107962,-1.502009,0.171898,-3.767787,0.820608,-0.048213,0.999434,-0.032870,0.007171,-0.000185
6128,-0.134329,-0.675830,9.870443,1.045895,-1.681120,-0.326550,-3.731878,0.767500,-0.047313,0.999447,-0.032558,0.006708,-0.000195
6129,-0.130962,-0.672880,9.883753,0.806484,-1.258498,-1.049631,-3.701262,0.717122,-0.067027,0.999459,-0.032290,0.006274,-0.000383
6130,-0.120535,-0.680309,9.891431,0.402739,-0.754174,-2.076230,-3.681720,0.680290,-0.116860,0.999466,-0.032117,0.005966,-0.000829
6131,-0.133479,-0.676567,9.913118,-0.218890,0.130438,-3.459581,-3.679732,0.663990,-0.208272,0.999466,-0.032095,0.005850,-0.001631
6132,-0.125266,-0.674534,9.915192,-1.539132,0.626691,-4.544828,-3.710597,0.667981,-0.342223,0.999455,-0.032357,0.005923,-0.002796
6133,-0.136505,-0.683833,9.931036,-3.230161,1.628620,-5.227797,-3.792051,0.694822,-0.507221,0.999425,-0.033058,0.006206,-0.004223
6134,-0.136687,-0.714092,9.931706,-4.542062,2.057244,-5.043292,-3.923795,0.744580,-0.682162,0.999376,-0.034195,0.006698,-0.005727
6135,-0.157508,-0.726469,9.915934,-5.017225,2.006893,-3.910842,-4.085194,0.801710,-0.835778,0.999315,-0.035590,0.007251,-0.007039
6136,-0.140230,-0.737363,9.891569,-4.812533,1.232154,-2.276808,-4.250566,0.848037,-0.942568,0.999253,-0.037022,0.007700,-0.007945
6137,-0.148352,-0.769144,9.895834,-3.650231,0.878229,-1.117897,-4.392502,0.878828,-1.001650,0.999200,-0.038253,0.007998,-0.008440
6138,-0.141797,-0.787497,9.882861,-2.053499,0.471471,-0.313042,-4.487962,0.899402,-1.027172,0.999165,-0.039082,0.008193,-0.008649
6139,-0.151173,-0.780034,9.860139,-0.614968,0.470811,0.212048,-4.532483,0.914923,-1.030085,0.999148,-0.039468,0.008333,-0.008666
6140,-0.149846,-0.777759,9.865821,0.617080,0.205923,0.403016,-4.532299,0.926976,-1.020755,0.999148,-0.039467,0.008435,-0.008581
6141,-0.167647,-0.785061,9.868889,1.765457,0.145974,0.909306,-4.492243,0.934542,-0.999408,0.999163,-0.039118,0.008491,-0.008395
6142,-0.160613,-0.770806,9.891397,2.844030,-0.414995,1.540841,-4.414750,0.933243,-0.958341,0.999193,-0.038446,0.008460,-0.008043
6143,-0.155600,-0.729492,9.894043,3.763205,-0.813843,2.344595,-4.303562,0.917744,-0.892203,0.999235,-0.037482,0.008295,-0.007479
6144,-0.157650,-0.717330,9.908317,4.228962,-1.202266,2.874216,-4.168952,0.890661,-0.802966,0.999286,-0.036317,0.008022,-0.006720
6145,-0.159435,-0.688821,9.878695,4.250221,-1.317830,2.850778,-4.026138,0.855588,-0.704778,0.999338,-0.035080,0.007678,-0.005884
6146,-0.157439,-0.678822,9.888709,3.322780,-1.107023,2.434039,-3.898595,0.821356,-0.614105,0.999383,-0.033975,0.007346,-0.005112
6147,-0.159053,-0.669695,9.883477,2.260417,-0.550476,2.082133,-3.804453,0.798852,-0.537142,0.999415,-0.033160,0.007123,-0.004453
6148,-0.153737,-0.675335,9.894673,0.970443,-0.136761,1.439895,-3.749780,0.791293,-0.477811,0.999433,-0.032687,0.007038,-0.003941
6149,-0.147503,-0.660480,9.888245,0.353850,0.443771,0.719746,-3.727214,0.798749,-0.442224,0.999440,-0.032492,0.007092,-0.003630
6150,-0.156159,-0.662192,9.900263,-0.170621,1.578262,-0.088266,-3.724040,0.833062,-0.433912,0.999439,-0.032464,0.007389,-0.003548
6151,-0.126406,-0.714991,9.772470,-0.596290,0.919841,-0.250876,-3.736944,0.874241,-0.442264,0.999433,-0.032575,0.007751,-0.003609
6152,-0.096280,-0.735419,9.730648,-1.046974,-2.061184,0.657079,-3.764210,0.855702,-0.434265,0.999426,-0.032814,0.007588,-0.003542
6153,-0.088234,-0.721921,9.758719,-0.455689,-4.453183,1.732313,-3.788597,0.749986,-0.387378,0.999427,-0.033033,0.006653,-0.003162
6154,-0.081186,-0.682817,9.840577,1.375307,-5.620277,2.642693,-3.772291,0.587264,-0.303553,0.999442,-0.032899,0.005209,-0.002479
6155,-0.077441,-0.649640,9.899011,2.896032,-5.902456,3.468282,-3.700111,0.402254,-0.189423,0.999471,-0.032278,0.003562,-0.001539
6156,-0.097227,-0.541986,10.038665,4.543481,-4.593627,3.870373,-3.575370,0.235425,-0.056277,0.999511,-0.031195,0.002069,-0.000427
6157,-0.100033,-0.478439,10.080642,5.621603,-2.022344,2.889238,-3.405554,0.132210,0.062856,0.999558,-0.029715,0.001137,0.000583
6158,-0.099217,-0.474254,10.026902,5.325219,0.530509,1.471106,-3.222937,0.111566,0.136805,0.999603,-0.028123,0.000940,0.001221
6159,-0.083829,-0.505140,9.943866,4.007954,1.669211,0.762791,-3.067293,0.150196,0.171936,0.999640,-0.026766,0.001270,0.001535
6160,-0.041663,-0.507276,9.905473,2.672499,0.475825,0.675866,-2.955883,0.187152,0.193987,0.999665,-0.025795,0.001589,0.001734
6161,-0.005793,-0.534408,9.888112,1.200954,-0.450725,0.354390,-2.891271,0.188447,0.211120,0.999679,-0.025231,0.001598,0.001883
6162,0.009192,-0.548632,9.859737,0.844420,-0.318228,0.497186,-2.857135,0.176360,0.225942,0.999686,-0.024934,0.001489,0.002009
6163,0.026079,-0.521777,9.859379,1.644656,-0.951420,1.235288,-2.815563,0.156654,0.255828,0.999695,-0.024571,0.001312,0.002265
6164,0.020525,-0.516140,9.882161,1.366844,-1.137146,1.364387,-2.765261,0.123996,0.300800,0.999705,-0.024132,0.001018,0.002650
6166,-0.002791,-0.483842,9.871058,2.102435,-0.462555,1.524814,-2.707344,0.099665,0.350173,0.999716,-0.023626,0.000797,0.003076
6167,-0.029161,-0.434638,9.906735,2.937560,-0.450607,1.713202,-2.623253,0.086970,0.404785,0.999731,-0.022893,0.000678,0.003549
6168,-0.065248,-0.402895,9.951919,3.035036,-0.061059,1.340577,-2.523635,0.080734,0.456012,0.999749,-0.022024,0.000617,0.003994
6169,-0.077641,-0.391259,9.969139,2.465060,0.584493,0.639454,-2.431916,0.090873,0.488602,0.999765,-0.021224,0.000702,0.004280
6170,-0.069760,-0.372025,9.934895,2.122353,0.809144,0.158008,-2.355435,0.114631,0.500907,0.999779,-0.020558,0.000910,0.004391
6171,-0.033632,-0.384308,9.926903,0.956884,-0.271498,-0.137857,-2.304113,0.123596,0.500876,0.999788,-0.020110,0.000990,0.004392
6172,-0.017884,-0.406630,9.903502,-0.090887,-0.337899,-0.354159,-2.289696,0.113118,0.493093,0.999791,-0.019984,0.000901,0.004322
6173,0.010084,-0.419180,9.879335,-0.520506,-0.832804,-0.272098,-2.299904,0.093203,0.483446,0.999789,-0.020072,0.000729,0.004234
6174,0.004162,-0.421522,9.893693,-0.866459,-1.140275,-0.303664,-2.323030,0.059958,0.475184,0.999786,-0.020273,0.000439,0.004157
6175,-0.020292,-0.397307,9.911991,-0.323237,-0.534775,-0.500024,-2.342868,0.031518,0.462937,0.999783,-0.020445,0.000192,0.004045
6176,-0.067211,-0.383727,9.901709,0.475760,1.037158,-0.875066,-2.340341,0.038949,0.439696,0.999784,-0.020423,0.000261,0.003843
6177,-0.076711,-0.373952,9.894043,0.924191,1.380877,-1.422991,-2.317052,0.077661,0.399789,0.999789,-0.020221,0.000607,0.003502
6178,-0.079827,-0.364186,9.901194,1.083434,1.277132,-1.967222,-2.283691,0.119658,0.341554,0.999796,-0.019931,0.000985,0.003001
6179,-0.057168,-0.359943,9.896774,1.325956,0.747039,-2.281120,-2.243703,0.150570,0.269471,0.999805,-0.019582,0.001268,0.002377
6180,-0.019902,-0.393268,9.922834,0.891722,-0.035443,-2.794202,-2.206967,0.159137,0.184488,0.999812,-0.019260,0.001357,0.001636
6181,0.029530,-0.437834,9.938898,0.091622,-0.799286,-3.045621,-2.190827,0.141497,0.087765,0.999816,-0.019118,0.001220,0.000789
6182,0.036509,-0.457365,9.922562,-0.093627,-0.651513,-2.310125,-2.191052,0.113916,-0.000506,0.999817,-0.019119,0.000994,0.000015
6183,0.029325,-0.417338,9.924386,0.551230,-0.858538,-1.149652,-2.183524,0.086565,-0.057167,0.999818,-0.019053,0.000765,-0.000484
6184,0.015911,-0.407946,9.939666,-0.039920,-0.823685,-0.683828,-2.175036,0.057389,-0.086637,0.999819,-0.018979,0.000515,-0.000746
6185,0.037189,-0.379946,9.941312,-0.047876,-1.389174,0.194416,-2.176503,0.020224,-0.093387,0.999819,-0.018992,0.000192,-0.000811
6186,0.018760,-0.353321,9.937902,-0.101542,-0.985876,0.841105,-2.178990,-0.018675,-0.074637,0.999819,-0.019014,-0.000151,-0.000654
6187,-0.017837,-0.333309,9.937312,0.105002,-0.131792,0.896645,-2.178944,-0.036189,-0.044987,0.999819,-0.019014,-0.000308,-0.000399
6188,-0.037712,-0.351036,9.936390,-0.381815,0.563335,0.528664,-2.183569,-0.028098,-0.021523,0.999818,-0.019054,-0.000242,-0.000192
6189,-0.027275,-0.336913,9.930160,0.014534,0.679762,0.365243,-2.189694,-0.006825,-0.007426,0.999817,-0.019108,-0.000058,-0.000066
6190,-0.076209,-0.313790,9.891622,0.771977,1.934345,0.326973,-2.176583,0.037151,0.002444,0.999820,-0.018993,0.000324,0.000027
6191,-0.075303,-0.295946,9.894488,1.112982,1.509168,-0.063964,-2.145163,0.094667,0.004662,0.999824,-0.018719,0.000825,0.000056
6192,-0.001033,-0.332364,9.943399,-0.297131,-0.722477,-1.043814,-2.131597,0.107079,-0.014275,0.999827,-0.018600,0.000937,-0.000107
6193,0.036773,-0.394431,9.968451,-1.764481,-1.290251,-1.719788,-2.166023,0.071827,-0.059044,0.999821,-0.018901,0.000636,-0.000503
