seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
5508,-0.156891,-7.229904,-6.541232,-0.137766,-0.481071,0.047012,-132.137131,0.921903,-178.981186,0.010959,-0.004863,0.913995,-0.405549
5510,-0.161185,-7.231616,-6.582655,-0.838524,0.183056,0.129910,-132.153366,0.927422,-178.979477,0.011009,-0.004858,0.914052,-0.405418
5511,-0.162443,-7.228836,-6.581238,-0.726970,0.162301,0.153384,-132.179581,0.927059,-178.986923,0.010979,-0.004803,0.914145,-0.405210
5512,-0.162800,-7.223236,-6.578485,-0.643464,0.017107,0.149965,-132.202515,0.928797,-178.992538,0.010972,-0.004754,0.914226,-0.405027
5513,-0.157793,-7.215962,-6.583833,-0.743489,0.020816,0.073938,-132.225677,0.931136,-178.995514,0.010979,-0.004724,0.914308,-0.404843
5514,-0.153622,-7.210093,-6.587988,-0.736565,0.032422,0.023869,-132.250366,0.931746,-178.997269,0.010976,-0.004711,0.914396,-0.404646
5515,-0.150254,-7.204659,-6.585770,-0.630901,0.049700,-0.021967,-132.273178,0.930849,-178.998291,0.010965,-0.004708,0.914476,-0.404464
5517,-0.146537,-7.202279,-6.588239,-0.658247,0.095829,-0.091462,-132.294678,0.927819,-178.998825,0.010938,-0.004716,0.914552,-0.404293
5518,-0.156383,-7.213495,-6.584295,-0.378656,-0.037358,0.064509,-132.311966,0.926831,-178.999237,0.010928,-0.004718,0.914613,-0.404155
5519,-0.153527,-7.214008,-6.582314,-0.288726,0.007573,0.010666,-132.323074,0.928091,-178.999710,0.010936,-0.004711,0.914652,-0.404066
5520,-0.158800,-7.220349,-6.576008,-0.092385,-0.067936,0.065079,-132.329437,0.929702,-178.999817,0.010948,-0.004705,0.914675,-0.404015
5521,-0.155983,-7.222291,-6.578363,-0.137026,-0.021637,-0.008662,-132.333252,0.931402,-178.999344,0.010963,-0.004703,0.914688,-0.403984
5522,-0.157259,-7.223608,-6.580071,-0.110037,-0.018067,0.005713,-132.337372,0.931812,-178.998825,0.010968,-0.004706,0.914703,-0.403952
5524,-0.156650,-7.221406,-6.582957,-0.169847,0.004317,-0.004009,-132.342026,0.931987,-178.998672,0.010970,-0.004707,0.914719,-0.403914
5525,-0.155631,-7.217311,-6.582827,-0.199050,0.017072,-0.017222,-132.348175,0.931486,-178.998703,0.010965,-0.004709,0.914741,-0.403865
