seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
6031,-6.964677,6.981235,-0.074198,0.028648,-0.194221,0.033141,90.608925,44.930355,45.362026
6032,-6.963769,6.988912,-0.061243,-0.124627,-0.361001,0.144996,90.598053,44.927479,45.348915
6033,-6.959778,6.985523,-0.057447,-0.176427,-0.361867,0.155088,90.580978,44.922604,45.331821
6034,-6.960242,6.968349,-0.056916,-0.177367,-0.336370,-0.111974,90.563484,44.922005,45.315384
6035,-6.955751,6.965373,-0.053634,-0.239553,-0.357833,-0.094869,90.545021,44.925564,45.299095
6036,-6.947946,6.957654,-0.046847,-0.330385,-0.391897,-0.075306,90.523079,44.928513,45.281471
6038,-6.944725,6.948648,-0.045202,-0.345354,-0.364832,-0.142653,90.499268,44.932255,45.263710
6039,-6.942538,6.948674,-0.047332,-0.294333,-0.287603,-0.082764,90.477783,44.936104,45.248394
6040,-6.942221,6.958178,-0.053855,-0.158992,-0.152757,0.075003,90.462929,44.936298,45.238029
6041,-6.948973,6.964080,-0.057003,-0.065252,-0.065375,0.062999,90.455536,44.934025,45.232876
6042,-6.951873,6.971494,-0.054300,-0.075376,-0.102454,0.113719,90.450378,44.931103,45.228893
6043,-6.954741,6.978716,-0.062202,0.043677,0.016716,0.167434,90.448395,44.926426,45.226818
6045,-6.952274,6.981969,-0.053367,-0.065210,-0.124930,0.216611,90.446182,44.920040,45.224197
6046,-6.947026,6.978037,-0.047478,-0.136685,-0.206892,0.210497,90.437256,44.912971,45.216316
6047,-6.940740,6.975817,-0.049046,-0.079916,-0.169818,0.243025,90.427322,44.905460,45.207367
6048,-6.942651,6.979476,-0.053187,-0.003104,-0.097863,0.252381,90.421432,44.897232,45.200977
6049,-6.942707,6.968926,-0.047139,-0.072855,-0.182437,0.071103,90.415459,44.891876,45.194328
6050,-6.948759,6.961263,-0.060850,0.130356,0.036741,-0.150030,90.414024,44.893208,45.190914
6052,-6.949919,6.967754,-0.061608,0.140099,0.045511,-0.070267,90.419914,44.896866,45.192890
6053,-6.952428,6.973541,-0.059497,0.098641,-0.001455,-0.005791,90.424644,44.898140,45.193939
6054,-6.952433,6.969846,-0.055392,0.031599,-0.064043,-0.063716,90.425720,44.899296,45.192402
6055,-6.947830,6.980716,-0.061237,0.123506,0.021636,0.158462,90.427597,44.897724,45.191391
6056,-6.945327,6.985917,-0.056865,0.058179,-0.044196,0.268434,90.430206,44.890610,45.190788
6057,-6.945053,6.979201,-0.052627,-0.020485,-0.106717,0.135927,90.428284,44.883896,45.187168
6059,-6.943360,6.970267,-0.053179,-0.015805,-0.104569,0.000783,90.424149,44.881645,45.182178
6060,-6.943354,6.966736,-0.058594,0.077715,-0.024043,-0.068566,90.423058,44.882786,45.179169
6061,-6.944191,6.963715,-0.055710,0.016980,-0.063631,-0.117114,90.423210,44.885895,45.177139
6062,-6.947689,6.959208,-0.058174,0.051312,-0.030207,-0.220224,90.422806,44.891521,45.174980
6063,-6.953557,6.973777,-0.056144,0.025614,-0.034866,-0.057252,90.423050,44.896149,45.173496
6064,-6.953815,6.974590,-0.055668,0.018270,-0.034365,-0.016327,90.422638,44.897388,45.171883
6066,-6.950528,6.979657,-0.055861,0.012087,-0.028956,0.120422,90.422104,44.895672,45.170383
6067,-6.953019,6.984048,-0.053626,-0.011982,-0.052759,0.141530,90.420700,44.891315,45.168415
6068,-6.951545,6.990013,-0.053612,-0.010367,-0.048959,0.230141,90.418594,44.885128,45.165951
6069,-6.947384,6.983053,-0.061234,0.114777,0.041696,0.162567,90.420166,44.878586,45.165707
6070,-6.952426,6.982500,-0.060119,0.099080,0.029867,0.049894,90.424873,44.875031,45.167343
6071,-6.953138,6.977568,-0.064219,0.145998,0.069750,-0.048155,90.430603,44.874989,45.169682
6073,-6.954991,6.972416,-0.063639,0.131285,0.054347,-0.144504,90.437317,44.878185,45.172642
6074,-6.954257,6.968608,-0.060845,0.079712,-0.001843,-0.168356,90.441734,44.883392,45.173935
6075,-6.955791,6.965793,-0.059782,0.047794,-0.024852,-0.221970,90.443481,44.889900,45.173382
6076,-6.954386,6.967802,-0.059400,0.029893,-0.034521,-0.150122,90.443832,44.896111,45.172050
6077,-6.957136,6.965666,-0.057758,0.010415,-0.051223,-0.191218,90.443130,44.901814,45.170097
6078,-6.952226,6.968765,-0.060568,0.062568,-0.017987,-0.060552,90.443230,44.906021,45.168518
6080,-6.957541,6.963772,-0.061135,0.071170,-0.015012,-0.198981,90.444931,44.910355,45.167789
6081,-6.958365,6.962824,-0.061268,0.070240,-0.006856,-0.201799,90.446991,44.917038,45.167355
6082,-6.952761,6.966758,-0.063104,0.103421,0.018373,-0.036475,90.450111,44.921013,45.167667
