seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
34,9.835690,-0.049873,-0.004511,0.028305,0.119026,-0.071432,-95.171928,-89.709259,95.171928,-0.706942,0.001792,0.707267,-0.001793
36,9.841990,-0.049008,0.009841,0.214812,0.141483,-0.064519,-93.527138,-89.713326,93.532570,-0.706995,0.001752,0.707214,-0.001803
37,9.840743,-0.056811,0.012608,0.243804,0.196416,-0.052311,-90.665955,-89.712646,90.676826,-0.707084,0.001704,0.707125,-0.001849
38,9.842628,-0.057220,0.015415,0.237700,0.240668,-0.037052,-87.404816,-89.709930,87.424332,-0.707186,0.001672,0.707023,-0.001917
39,9.840512,-0.051096,0.014760,0.220915,0.243720,-0.020267,-84.223831,-89.707245,84.251259,-0.707287,0.001635,0.706922,-0.001974
40,9.839227,-0.050444,0.011723,0.234649,0.226935,-0.006533,-81.626091,-89.703926,81.660889,-0.707369,0.001588,0.706839,-0.002021
41,9.837783,-0.054227,0.007366,0.181241,0.190313,-0.012637,-79.956474,-89.703262,79.998497,-0.707424,0.001551,0.706784,-0.002069
43,9.837156,-0.054341,0.009404,0.170559,0.147587,-0.000430,-78.945930,-89.699989,78.993561,-0.707460,0.001531,0.706748,-0.002120
44,9.842755,-0.047400,0.004911,0.169034,0.107913,-0.009585,-78.475685,-89.699333,78.529243,-0.707476,0.001496,0.706733,-0.002156
45,9.848220,-0.057386,0.009973,0.170559,0.097231,-0.017215,-78.255470,-89.698685,78.314819,-0.707484,0.001466,0.706725,-0.002195
46,9.845667,-0.054065,0.009196,0.178189,0.083498,-0.015689,-77.948326,-89.696098,78.012947,-0.707498,0.001450,0.706710,-0.002251
47,9.843518,-0.055265,0.009762,0.187345,0.085024,-0.014163,-77.701073,-89.691620,77.772339,-0.707509,0.001426,0.706699,-0.002301
48,9.845956,-0.049285,0.009432,0.158352,0.086550,-0.024845,-77.388649,-89.690987,77.465164,-0.707519,0.001389,0.706689,-0.002336
50,9.838048,-0.056139,0.016052,0.136991,0.092653,-0.020267,-76.660751,-89.690353,76.742462,-0.707544,0.001358,0.706664,-0.002365
51,9.832522,-0.051152,0.011843,0.100367,0.101809,-0.026371,-75.825844,-89.689095,75.911278,-0.707574,0.001338,0.706634,-0.002394
52,9.830812,-0.050128,0.013136,0.056116,0.110964,-0.035526,-75.129097,-89.690353,75.217041,-0.707595,0.001310,0.706613,-0.002398
53,9.831141,-0.050568,0.015794,-0.024759,0.114016,-0.044682,-74.196533,-89.691620,74.285179,-0.707623,0.001292,0.706585,-0.002386
54,9.829686,-0.048277,0.014557,-0.096478,0.104861,-0.058415,-73.229660,-89.693535,73.316574,-0.707651,0.001285,0.706557,-0.002354
55,9.836985,-0.044896,0.012151,-0.113263,0.098757,-0.073674,-72.530251,-89.697388,72.613434,-0.707665,0.001272,0.706544,-0.002298
57,9.838060,-0.043719,0.011204,-0.087321,0.068239,-0.070622,-72.157455,-89.703926,72.237785,-0.707664,0.001250,0.706545,-0.002235
