seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
5508,-0.156891,-7.229904,-6.541232,-0.137766,-0.481071,0.047012,-132.137131,0.921903,-178.981186
5510,-0.161185,-7.231616,-6.582655,-0.925151,0.176569,0.139159,-132.154816,0.927609,-178.979507
5511,-0.162443,-7.228836,-6.581238,-0.802167,0.155458,0.162758,-132.183716,0.927625,-178.986984
5512,-0.162800,-7.223236,-6.578485,-0.699904,0.010023,0.159140,-132.208847,0.929747,-178.992630
5513,-0.157793,-7.215962,-6.583833,-0.805699,0.025228,0.070593,-132.233994,0.932187,-178.995651
5514,-0.153622,-7.210093,-6.587988,-0.799934,0.046099,0.010379,-132.260788,0.932387,-178.997437
5515,-0.150254,-7.204659,-6.585770,-0.679563,0.068800,-0.041751,-132.285461,0.930712,-178.998505
5517,-0.146537,-7.202279,-6.588239,-0.698143,0.119795,-0.116773,-132.308426,0.926643,-178.999039
5518,-0.156383,-7.213495,-6.584295,-0.371202,-0.037064,0.064011,-132.326248,0.925064,-178.999466
5519,-0.153527,-7.214008,-6.582314,-0.265161,0.011374,0.005951,-132.336868,0.926214,-178.999939
5520,-0.158800,-7.220349,-6.576008,-0.039108,-0.074775,0.071302,-132.341949,0.927878,-179.000031
5521,-0.155983,-7.222291,-6.578363,-0.086953,-0.022085,-0.009358,-132.344040,0.929728,-178.999527
5522,-0.157259,-7.223608,-6.580071,-0.066041,-0.019920,0.006696,-132.346573,0.930167,-178.998978
5524,-0.156650,-7.221406,-6.582957,-0.140663,0.004071,-0.004434,-132.350021,0.930373,-178.998810
5525,-0.155631,-7.217311,-6.582827,-0.180212,0.019009,-0.019791,-132.355362,0.929815,-178.998825
5526,-0.147768,-7.214827,-6.581846,-0.162807,0.139684,-0.153797,-132.361084,0.925896,-178.998825
5527,-0.147645,-7.215289,-6.581602,-0.091802,0.130751,-0.124959,-132.365341,0.919426,-178.999023
5528,-0.151104,-7.221834,-6.576227,0.143208,0.050328,-0.034804,-132.364487,0.915424,-178.999466
5529,-0.148650,-7.221871,-6.571723,0.244525,0.064546,-0.062501,-132.358032,0.912936,-178.999786
5531,-0.149014,-7.222222,-6.571006,0.248947,0.049092,-0.044149,-132.349808,0.910347,-178.999985
5532,-0.150307,-7.224979,-6.578616,0.112381,0.023329,-0.004034,-132.343796,0.908940,-179.000336
5533,-0.154411,-7.221690,-6.579903,0.003431,-0.033833,0.065083,-132.341873,0.909810,-179.000900
5534,-0.150392,-7.214767,-6.582858,-0.177113,0.024067,-0.006061,-132.344772,0.910647,-179.001434
5535,-0.151521,-7.205864,-6.588201,-0.409710,0.007326,0.014208,-132.354553,0.910395,-179.001923
5536,-0.151603,-7.205132,-6.583142,-0.326614,0.010682,0.011622,-132.366837,0.910511,-179.002426
5538,-0.153999,-7.203151,-6.576683,-0.166423,-0.043598,0.066780,-132.375061,0.911846,-179.002899
5539,-0.155713,-7.204321,-6.572975,-0.033902,-0.076534,0.100948,-132.378418,0.915260,-179.003311
5540,-0.156055,-7.201447,-6.577085,-0.152632,-0.068309,0.080946,-132.381531,0.919127,-179.003571
5541,-0.155372,-7.208873,-6.575610,-0.035168,-0.050823,0.039488,-132.384644,0.921948,-179.003448
5542,-0.159165,-7.205615,-6.581953,-0.173536,-0.107109,0.098031,-132.388123,0.925415,-179.003052
5543,-0.155938,-7.201274,-6.585640,-0.313715,-0.034766,0.016541,-132.396240,0.928420,-179.002594
5545,-0.155750,-7.201536,-6.590216,-0.361008,-0.026904,-0.008240,-132.407471,0.929215,-179.001938
5546,-0.153814,-7.207633,-6.585347,-0.113883,-0.001066,-0.043896,-132.415375,0.928888,-179.001007
5547,-0.151335,-7.212597,-6.586134,0.042140,0.041778,-0.072819,-132.416550,0.926994,-179.000183
5548,-0.154999,-7.216853,-6.585589,0.148050,-0.020036,-0.008493,-132.413361,0.925749,-178.999542
5549,-0.155404,-7.221922,-6.577269,0.371897,-0.034310,0.000392,-132.404694,0.926260,-178.998779
5550,-0.152358,-7.228477,-6.574186,0.497315,-0.000782,-0.052929,-132.390198,0.926008,-178.997757
5552,-0.153048,-7.223937,-6.572281,0.400815,-0.019999,-0.033390,-132.375198,0.925179,-178.996536
5553,-0.155622,-7.209451,-6.574288,0.064951,-0.061436,0.021275,-132.367416,0.925945,-178.995392
5554,-0.148799,-7.211166,-6.571870,0.110568,0.035870,-0.081405,-132.364487,0.925491,-178.994400
5555,-0.147521,-7.212223,-6.576425,0.054820,0.058234,-0.087234,-132.361710,0.922358,-178.993668
5556,-0.146529,-7.201297,-6.581251,-0.202272,0.073656,-0.089545,-132.364166,0.918700,-178.993317
5557,-0.153073,-7.201561,-6.584503,-0.258441,-0.026446,0.037658,-132.371841,0.917530,-178.993301
5559,-0.152553,-7.208852,-6.580018,-0.057453,-0.034097,0.022918,-132.377106,0.918956,-178.993240
5560,-0.150872,-7.210902,-6.578175,0.020350,0.024418,-0.020612,-132.377731,0.919093,-178.993149
5561,-0.151755,-7.204656,-6.581338,-0.172091,0.021176,-0.033941,-132.380249,0.917910,-178.993103
5562,-0.147069,-7.202779,-6.575472,-0.105269,0.097562,-0.112766,-132.384872,0.914769,-178.992920
5563,-0.146040,-7.208457,-6.574718,0.020779,0.100305,-0.122115,-132.386276,0.909655,-178.992706
5564,-0.144246,-7.202698,-6.571685,-0.002980,0.119978,-0.137717,-132.385986,0.903981,-178.992508
5566,-0.147729,-7.196751,-6.577185,-0.196930,0.031760,-0.053744,-132.389313,0.899920,-178.992218
5567,-0.144184,-7.204924,-6.573849,0.019008,0.066406,-0.089625,-132.392273,0.897052,-178.991821
5568,-0.153610,-7.214083,-6.576290,0.136498,-0.095929,0.086508,-132.389679,0.897345,-178.991425
5569,-0.150508,-7.206791,-6.574080,0.035368,-0.032983,0.025468,-132.386810,0.900172,-178.991089
5570,-0.142792,-7.213895,-6.578624,0.065142,0.110717,-0.111496,-132.385132,0.898240,-178.991074
5571,-0.145271,-7.221934,-6.573228,0.286757,0.064383,-0.055029,-132.379272,0.894222,-178.991364
5573,-0.152534,-7.222558,-6.576131,0.216772,-0.061488,0.085781,-132.370880,0.894568,-178.991745
5574,-0.144234,-7.218658,-6.573579,0.188866,0.079338,-0.051287,-132.364136,0.894793,-178.992355
5575,-0.147309,-7.223706,-6.571455,0.319703,0.021682,0.010465,-132.355667,0.893155,-178.993134
5576,-0.150916,-7.217813,-6.568038,0.252161,-0.052800,0.069637,-132.346146,0.894491,-178.993652
5577,-0.149435,-7.215496,-6.573439,0.079157,-0.030996,0.027498,-132.340622,0.896629,-178.993713
5578,-0.147298,-7.206948,-6.571973,-0.045075,0.011394,-0.015672,-132.340057,0.896994,-178.993607
5580,-0.149669,-7.210126,-6.570683,0.016170,-0.036258,0.011055,-132.340530,0.897217,-178.993240
5581,-0.147924,-7.211399,-6.574143,-0.017257,-0.005286,-0.011220,-132.340546,0.897681,-178.992737
5582,-0.155564,-7.221443,-6.574863,0.145836,-0.118454,0.131528,-132.338394,0.900552,-178.992554
5583,-0.151640,-7.217478,-6.568052,0.188260,-0.035851,0.039732,-132.332825,0.904394,-178.992584
5584,-0.150352,-7.216630,-6.566704,0.147042,-0.002315,-0.001094,-132.327225,0.905299,-178.992538
5585,-0.154446,-7.215487,-6.575097,-0.078739,-0.045981,0.058797,-132.326096,0.906552,-178.992599
5586,-0.153325,-7.208724,-6.576417,-0.239122,-0.021283,0.019881,-132.331390,0.908276,-178.992645
5587,-0.149304,-7.193768,-6.579028,-0.515518,0.040142,-0.046714,-132.343979,0.907734,-178.992584
5588,-0.151327,-7.198843,-6.583513,-0.459571,0.010783,0.002899,-132.360229,0.906622,-178.992722
5589,-0.152622,-7.208417,-6.584117,-0.247358,-0.001038,0.015276,-132.372025,0.906737,-178.993042
5590,-0.150089,-7.215080,-6.578513,0.022147,0.035188,-0.024328,-132.375778,0.906241,-178.993362
5591,-0.149909,-7.216086,-6.573205,0.146736,0.023915,-0.032661,-132.372955,0.904876,-178.993454
5592,-0.150722,-7.219466,-6.571646,0.206843,0.009985,-0.032454,-132.367065,0.903693,-178.993134
5593,-0.150260,-7.218293,-6.571640,0.163363,0.008289,-0.028681,-132.360886,0.902735,-178.992676
5594,-0.150947,-7.211790,-6.571908,0.064798,-0.010846,0.010054,-132.357086,0.902535,-178.992432
5595,-0.149745,-7.203156,-6.572267,-0.081088,-0.002692,-0.003862,-132.357346,0.902763,-178.992340
5596,-0.149749,-7.205064,-6.578650,-0.165159,-0.001337,0.003993,-132.361450,0.902810,-178.992279
5597,-0.149450,-7.217052,-6.579341,0.033495,0.003541,0.000219,-132.363647,0.902837,-178.992355
5598,-0.151823,-7.210000,-6.579640,-0.079018,-0.036914,0.039184,-132.364410,0.903697,-178.992386
5599,-0.155914,-7.208797,-6.579718,-0.107111,-0.114572,0.100386,-132.367508,0.907117,-178.992096
5600,-0.156573,-7.213810,-6.578995,-0.008968,-0.114661,0.102763,-132.369431,0.912193,-178.991547
5601,-0.160910,-7.221222,-6.578576,0.130776,-0.169784,0.167701,-132.367401,0.918719,-178.991089
5602,-0.160533,-7.213419,-6.579068,-0.027515,-0.142966,0.140380,-132.365662,0.926025,-178.990692
5603,-0.157444,-7.219533,-6.579481,0.036775,-0.074191,0.061467,-132.365509,0.930949,-178.990295
5604,-0.153131,-7.219913,-6.578919,0.047315,0.010110,-0.024943,-132.364090,0.932119,-178.989914
5605,-0.153426,-7.215268,-6.579658,-0.046049,0.016622,-0.023034,-132.364075,0.931228,-178.989700
5606,-0.148803,-7.208914,-6.582360,-0.188944,0.089950,-0.092106,-132.367981,0.928613,-178.989716
5607,-0.150958,-7.203348,-6.579640,-0.189880,0.046179,-0.042113,-132.374298,0.925431,-178.989883
5608,-0.151653,-7.198921,-6.577252,-0.178119,0.028525,-0.013216,-132.380447,0.923911,-178.990189
5609,-0.152387,-7.206038,-6.577611,-0.042522,0.020259,-0.000441,-132.384125,0.923195,-178.990631
5611,-0.150705,-7.215199,-6.577199,0.105999,0.041532,-0.032598,-132.383072,0.922094,-178.991028
5612,-0.151274,-7.219269,-6.575272,0.179739,0.036522,-0.022508,-132.378311,0.920538,-178.991364
5613,-0.148261,-7.218065,-6.577630,0.082524,0.079585,-0.080186,-132.373947,0.917970,-178.991638
5614,-0.146192,-7.221971,-6.575896,0.150805,0.100356,-0.117383,-132.370056,0.913516,-178.991638
5615,-0.147911,-7.214702,-6.580282,-0.063264,0.070693,-0.071615,-132.368607,0.909267,-178.991623
5616,-0.147063,-7.207927,-6.579197,-0.136120,0.067839,-0.069764,-132.371918,0.905970,-178.991745
5617,-0.144252,-7.203681,-6.578794,-0.178538,0.098644,-0.110492,-132.377167,0.901881,-178.991760
5618,-0.140779,-7.206156,-6.576074,-0.066637,0.144456,-0.146112,-132.381256,0.895991,-178.991867
5619,-0.143784,-7.210545,-6.579614,-0.025429,0.082087,-0.073725,-132.382797,0.890739,-178.992188
5620,-0.142314,-7.218800,-6.582100,0.059009,0.078211,-0.089729,-132.382233,0.886926,-178.992325
5621,-0.142840,-7.215087,-6.582479,-0.017614,0.059848,-0.071103,-132.381546,0.883395,-178.992218
5622,-0.146711,-7.209827,-6.585333,-0.127098,-0.009789,0.014410,-132.383957,0.882135,-178.992203
5623,-0.154572,-7.223582,-6.583638,0.120186,-0.142768,0.152302,-132.384079,0.885901,-178.992203
5624,-0.150633,-7.223037,-6.582965,0.108481,-0.066051,0.073158,-132.380264,0.891023,-178.992157
5625,-0.144738,-7.215303,-6.575162,0.118597,0.035326,-0.035154,-132.376480,0.891836,-178.992203
5626,-0.148001,-7.221075,-6.576052,0.186882,-0.009045,0.018602,-132.371399,0.891337,-178.992340
