seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
7915,0.052801,6.816492,-7.053941,0.005652,-0.081650,0.070235,135.980759,-0.308406,-179.701981
7917,0.063557,6.817914,-7.056435,0.007657,0.124654,0.256821,135.981003,-0.312709,-179.705399
7918,0.059133,6.820775,-7.051580,-0.140746,0.033990,0.168325,135.978806,-0.319535,-179.708664
7919,0.057507,6.821356,-7.047393,-0.221427,-0.019735,0.120316,135.972778,-0.323049,-179.711960
7920,0.058113,6.814833,-7.049778,-0.027522,-0.026183,0.123022,135.968658,-0.325317,-179.715408
7921,0.058815,6.808206,-7.050473,0.129115,-0.018869,0.106973,135.970367,-0.327442,-179.718674
7922,0.055407,6.809555,-7.048128,0.053068,-0.085236,0.034740,135.973404,-0.327836,-179.721588
7924,0.057692,6.804911,-7.052536,0.210855,-0.049999,0.063725,135.977829,-0.327356,-179.724335
7925,0.060500,6.803667,-7.054892,0.266768,0.008986,0.119721,135.985809,-0.328988,-179.727005
7926,0.060569,6.804272,-7.051879,0.170541,0.014798,0.117188,135.993103,-0.332017,-179.729568
7927,0.057648,6.807590,-7.052060,0.073637,-0.048639,0.068947,135.997192,-0.333766,-179.732193
7928,0.058835,6.802011,-7.054195,0.199932,-0.033610,0.090538,136.001770,-0.334627,-179.735062
7929,0.055452,6.814386,-7.056212,-0.013394,-0.097561,0.028645,136.004898,-0.334434,-179.738007
7931,0.054745,6.814598,-7.057310,-0.022118,-0.105845,0.007092,136.004318,-0.332409,-179.740784
7932,0.056421,6.817173,-7.059696,-0.041428,-0.072558,0.046684,136.003281,-0.330892,-179.743500
7933,0.059352,6.821307,-7.059170,-0.124473,-0.016781,0.107345,136.000534,-0.331605,-179.746384
7934,0.054691,6.821096,-7.059977,-0.097994,-0.114947,0.020168,135.996841,-0.331502,-179.749435
7935,0.053914,6.810242,-7.062016,0.156431,-0.134289,0.004937,135.997818,-0.328804,-179.752625
7936,0.051592,6.805768,-7.062892,0.266397,-0.181808,-0.026882,136.004898,-0.324760,-179.756012
7937,0.050250,6.798759,-7.062780,0.382150,-0.192495,-0.045531,136.015717,-0.319434,-179.759476
7938,0.048177,6.796312,-7.057751,0.289623,-0.215162,-0.077358,136.026932,-0.313123,-179.762726
7939,0.051491,6.797898,-7.056368,0.179360,-0.131592,-0.008216,136.034760,-0.307973,-179.765717
7940,0.054877,6.799741,-7.051732,0.015406,-0.046930,0.076960,136.038025,-0.306627,-179.768600
7941,0.059884,6.800428,-7.050437,-0.054271,0.055604,0.163357,136.037399,-0.309511,-179.771378
7942,0.059001,6.803669,-7.050581,-0.119338,0.026449,0.148446,136.034531,-0.314103,-179.774170
7943,0.062705,6.801373,-7.055932,0.040907,0.077846,0.208244,136.033234,-0.319481,-179.777252
7944,0.055511,6.799158,-7.053647,0.033239,-0.070882,0.058909,136.034485,-0.322656,-179.780365
7945,0.054328,6.797857,-7.053425,0.052799,-0.108100,0.018395,136.035919,-0.321403,-179.783371
7946,0.052403,6.800019,-7.055151,0.058246,-0.136153,-0.007100,136.037796,-0.318604,-179.786331
7947,0.057867,6.802459,-7.053973,-0.004150,-0.027977,0.099524,136.038712,-0.317704,-179.789337
7948,0.055059,6.804512,-7.052462,-0.067141,-0.074943,0.055320,136.037552,-0.318261,-179.792389
7949,0.061762,6.810306,-7.057535,-0.065179,0.047808,0.194921,136.035370,-0.320831,-179.795700
7950,0.061675,6.817513,-7.058637,-0.169997,0.037589,0.185769,136.031464,-0.326260,-179.799286
7951,0.062226,6.819397,-7.057065,-0.236613,0.024516,0.180194,136.024704,-0.331240,-179.802948
7952,0.054136,6.826440,-7.059999,-0.299449,-0.142036,0.013105,136.015793,-0.332068,-179.806625
7953,0.056760,6.823606,-7.056209,-0.281183,-0.093203,0.063517,136.006134,-0.330134,-179.810272
7954,0.059641,6.820654,-7.053499,-0.220838,-0.032242,0.109050,135.997787,-0.330628,-179.813797
7955,0.060804,6.816704,-7.055518,-0.070278,-0.006193,0.124944,135.992950,-0.332876,-179.817047
7956,0.058144,6.816666,-7.053879,-0.068605,-0.071208,0.072516,135.990662,-0.334235,-179.820312
7957,0.059340,6.807499,-7.052993,0.097394,-0.057444,0.090066,135.991165,-0.334575,-179.823746
7958,0.059363,6.808644,-7.055767,0.116547,-0.064634,0.083131,135.994751,-0.335117,-179.827240
7959,0.053675,6.806076,-7.057914,0.182111,-0.174234,-0.019096,135.999741,-0.332995,-179.830765
7960,0.053683,6.805610,-7.058033,0.176787,-0.167157,-0.004724,136.005753,-0.328626,-179.834442
7961,0.056620,6.802283,-7.058937,0.215570,-0.083750,0.055328,136.012314,-0.326203,-179.837952
7962,0.060370,6.798755,-7.057776,0.237850,0.006074,0.133359,136.019882,-0.327455,-179.841110
7963,0.055425,6.798792,-7.055696,0.163615,-0.091136,0.037432,136.026596,-0.328412,-179.844147
7964,0.055414,6.799376,-7.055457,0.113464,-0.092765,0.030980,136.031235,-0.326998,-179.847092
7965,0.054645,6.801698,-7.054271,0.022418,-0.108592,0.016335,136.033508,-0.325130,-179.849991
7966,0.052847,6.804206,-7.056839,0.019202,-0.147604,0.005707,136.034210,-0.322311,-179.853210
7967,0.052262,6.804650,-7.058298,0.028125,-0.160438,0.000695,136.035034,-0.318690,-179.856857
7968,0.052985,6.805240,-7.059129,0.037648,-0.124454,0.022045,136.036148,-0.315536,-179.860428
7969,0.052982,6.806166,-7.059855,0.037504,-0.108278,0.030160,136.037415,-0.313348,-179.863739
7970,0.055044,6.808504,-7.063920,0.063233,-0.050534,0.066628,136.039108,-0.312562,-179.866745
7971,0.055642,6.806551,-7.061856,0.054959,-0.036333,0.061947,136.041092,-0.313008,-179.869293
7972,0.059470,6.813969,-7.060236,-0.122348,0.030319,0.126223,136.039993,-0.315113,-179.871613
7974,0.061831,6.809695,-7.061871,-0.006701,0.058803,0.172559,136.037842,-0.319638,-179.874176
7975,0.058195,6.811727,-7.061098,-0.051146,-0.030653,0.096429,136.036896,-0.323088,-179.877075
7976,0.057671,6.809775,-7.055921,-0.105996,-0.060108,0.100848,136.034302,-0.324282,-179.880493
7977,0.057213,6.819177,-7.058360,-0.216863,-0.071544,0.098072,136.028946,-0.325004,-179.884399
7978,0.053872,6.817372,-7.057694,-0.161699,-0.134000,0.029136,136.022659,-0.324011,-179.888306
7979,0.055214,6.816577,-7.058511,-0.121827,-0.111749,0.043218,136.017960,-0.321901,-179.892014
7980,0.060854,6.817489,-7.059857,-0.094873,-0.000102,0.152665,136.014359,-0.322827,-179.895660
7981,0.062541,6.818788,-7.061758,-0.064015,0.036062,0.168217,136.011734,-0.326973,-179.899094
7982,0.062805,6.810922,-7.055589,-0.025229,0.022559,0.155359,136.010269,-0.331421,-179.902298
7983,0.061321,6.813691,-7.055140,-0.099030,-0.010708,0.113978,136.008209,-0.334681,-179.905380
7984,0.062961,6.823509,-7.053806,-0.282938,0.020558,0.144429,136.001862,-0.337790,-179.908371
7985,0.058157,6.828338,-7.049445,-0.435931,-0.082777,0.040327,135.989899,-0.339184,-179.911301
7986,0.056899,6.825510,-7.050908,-0.299014,-0.123709,0.015194,135.977676,-0.337352,-179.914368
7987,0.060272,6.825449,-7.052052,-0.226565,-0.045308,0.090379,135.968933,-0.336549,-179.917587
7988,0.058731,6.819226,-7.055561,0.005058,-0.080147,0.065898,135.965256,-0.336856,-179.920914
7989,0.051132,6.815001,-7.056533,0.114616,-0.227994,-0.076215,135.967270,-0.333045,-179.924362
7990,0.057511,6.810948,-7.054239,0.152553,-0.102381,0.052806,135.971756,-0.328815,-179.927902
7991,0.060380,6.811931,-7.054671,0.115647,-0.032906,0.102965,135.976242,-0.328998,-179.931335
7992,0.058551,6.809886,-7.058918,0.223909,-0.074726,0.061571,135.981903,-0.329613,-179.934555
7993,0.062679,6.815892,-7.060182,0.095697,0.002708,0.133989,135.987259,-0.331015,-179.937729
7994,0.069871,6.815565,-7.059810,0.078685,0.140380,0.253255,135.990189,-0.337214,-179.940720
7995,0.068148,6.814223,-7.063815,0.154829,0.113149,0.199526,135.994080,-0.345496,-179.943207
7996,0.069073,6.812525,-7.059697,0.100401,0.112290,0.201512,135.998352,-0.352842,-179.945404
7997,0.067552,6.811552,-7.061410,0.123229,0.059596,0.150877,136.002090,-0.358983,-179.947647
7998,0.064623,6.809443,-7.055553,0.057749,-0.013034,0.089230,136.005112,-0.362321,-179.949982
7999,0.065355,6.808642,-7.055658,0.056613,-0.016037,0.093778,136.007034,-0.364091,-179.952515
8000,0.059113,6.808414,-7.054807,0.038305,-0.147300,-0.018131,136.008636,-0.363008,-179.955307
8001,0.055233,6.812176,-7.055489,-0.030648,-0.220316,-0.081674,136.008789,-0.357445,-179.958374
8002,0.058272,6.818167,-7.055929,-0.135038,-0.146418,-0.018934,136.006042,-0.351883,-179.961411
8003,0.055650,6.813080,-7.060424,0.064658,-0.180306,-0.048540,136.004883,-0.347184,-179.964386
8004,0.051565,6.814972,-7.061707,0.048356,-0.245582,-0.114795,136.006790,-0.340187,-179.967361
8005,0.058448,6.816925,-7.067251,0.110118,-0.101316,0.039943,136.009445,-0.335161,-179.970474
8006,0.061777,6.811740,-7.068625,0.225830,-0.020755,0.114078,136.015076,-0.335480,-179.973740
8007,0.056715,6.804548,-7.067978,0.327959,-0.111135,0.035480,136.024323,-0.335629,-179.977051
