seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
134,-6.888949,-6.843297,0.005700,-0.040018,-0.026369,0.002622,-89.952286,45.190464,-89.932732,0.654001,-0.269623,0.653460,-0.269400
136,-6.899263,-6.830106,0.027591,-0.044581,-0.035539,0.004164,-89.935677,45.199524,-89.919022,0.654093,-0.269555,0.653410,-0.269365
137,-6.896167,-6.835530,0.025972,-0.064390,-0.014204,-0.000388,-89.908600,45.212208,-89.897934,0.654236,-0.269448,0.653327,-0.269327
138,-6.892713,-6.826148,0.026616,-0.059788,-0.002021,0.001158,-89.886635,45.222137,-89.880692,0.654352,-0.269365,0.653258,-0.269297
139,-6.889266,-6.825490,0.028124,-0.084182,0.030002,-0.004928,-89.868286,45.231216,-89.866287,0.654450,-0.269290,0.653202,-0.269267
140,-6.892959,-6.826496,0.027456,-0.137571,0.083391,-0.017120,-89.855461,45.238380,-89.855888,0.654521,-0.269235,0.653165,-0.269240
141,-6.886218,-6.832916,0.023375,-0.148240,0.112371,-0.012537,-89.850990,45.240410,-89.851631,0.654546,-0.269222,0.653149,-0.269230
143,-6.889594,-6.840079,0.023450,-0.154335,0.115415,-0.001864,-89.851631,45.236031,-89.851173,0.654536,-0.269254,0.653139,-0.269248
144,-6.888150,-6.843698,0.018181,-0.160435,0.113884,-0.000352,-89.856453,45.228954,-89.853569,0.654502,-0.269308,0.653139,-0.269275
145,-6.889300,-6.846171,0.017202,-0.146702,0.092521,-0.003421,-89.864685,45.220581,-89.858192,0.654453,-0.269376,0.653150,-0.269302
146,-6.889459,-6.851185,0.016487,-0.103974,0.049796,0.016398,-89.871002,45.211624,-89.861389,0.654409,-0.269445,0.653151,-0.269336
147,-6.891487,-6.850072,0.014640,-0.097871,0.022329,0.013330,-89.875916,45.203781,-89.863335,0.654375,-0.269507,0.653149,-0.269363
