seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
3982,0.027535,-7.094705,6.694664,-0.253648,0.435987,0.062133,-46.661728,-0.161729,0.171392,0.918232,-0.396037,-0.001888,0.000814
3984,0.020651,-7.110690,6.682652,-0.291873,0.413116,0.071308,-46.680321,-0.147385,0.163263,0.918168,-0.396187,-0.001745,0.000799
3985,0.021844,-7.111936,6.684363,-0.145524,0.390254,0.053026,-46.706894,-0.131228,0.154990,0.918076,-0.396400,-0.001588,0.000788
3986,0.010037,-7.099008,6.684120,0.075660,0.341466,0.025605,-46.718307,-0.113533,0.147036,0.918037,-0.396492,-0.001418,0.000785
3987,0.008162,-7.098079,6.688663,0.220623,-0.056737,0.034826,-46.713364,-0.096912,0.144273,0.918054,-0.396452,-0.001276,0.000821
3988,0.012900,-7.098369,6.684412,0.263355,-0.285586,0.027239,-46.704342,-0.092124,0.149134,0.918085,-0.396380,-0.001254,0.000876
3989,0.015060,-7.086535,6.689487,0.306113,-0.299308,0.015043,-46.690613,-0.096034,0.156706,0.918133,-0.396270,-0.001311,0.000923
3991,0.018954,-7.079497,6.686770,0.127653,-0.487002,0.068446,-46.673325,-0.105104,0.167179,0.918192,-0.396131,-0.001420,0.000976
3992,0.033670,-7.090939,6.691762,-0.093558,-0.543511,0.115697,-46.666279,-0.124579,0.181766,0.918216,-0.396074,-0.001627,0.001026
3993,0.042544,-7.089271,6.689871,-0.220197,-0.207908,0.109487,-46.669678,-0.150449,0.193448,0.918205,-0.396101,-0.001874,0.001030
3994,0.041426,-7.087308,6.690691,-0.253750,-0.000482,0.100225,-46.675129,-0.170325,0.198369,0.918185,-0.396144,-0.002051,0.001001
3995,0.037883,-7.097632,6.688720,-0.149989,0.037600,0.097103,-46.682140,-0.180828,0.200178,0.918161,-0.396200,-0.002141,0.000979
3996,0.041812,-7.090665,6.692151,0.014813,0.238968,0.057372,-46.684189,-0.186527,0.198591,0.918154,-0.396216,-0.002181,0.000946
3998,0.045593,-7.091321,6.688244,0.036199,0.335035,0.040516,-46.680145,-0.192191,0.192739,0.918168,-0.396184,-0.002206,0.000880
3999,0.042206,-7.090560,6.689627,-0.009565,0.365491,0.048079,-46.677639,-0.195696,0.185251,0.918177,-0.396164,-0.002208,0.000808
4000,0.044212,-7.095767,6.688590,-0.041609,0.371540,0.057177,-46.678535,-0.196988,0.177518,0.918174,-0.396171,-0.002192,0.000741
4001,0.049481,-7.093817,6.686994,-0.078250,0.379097,0.055573,-46.682953,-0.201512,0.169714,0.918158,-0.396207,-0.002201,0.000663
4002,0.050018,-7.105915,6.686549,-0.156119,0.379012,0.057010,-46.693344,-0.208531,0.161832,0.918123,-0.396290,-0.002230,0.000575
4003,0.046435,-7.101075,6.689245,-0.047829,0.383518,0.044726,-46.703663,-0.212916,0.153774,0.918087,-0.396373,-0.002238,0.000496
4005,0.044267,-7.100417,6.689324,0.091016,0.391097,0.023310,-46.704849,-0.213437,0.145163,0.918083,-0.396383,-0.002212,0.000425
4006,0.041208,-7.091484,6.693347,0.141404,0.388010,0.003436,-46.696659,-0.211152,0.136002,0.918111,-0.396317,-0.002162,0.000359
4007,0.035593,-7.089403,6.689866,0.083475,0.375791,0.006475,-46.684978,-0.204751,0.126822,0.918152,-0.396224,-0.002079,0.000308
4008,0.032061,-7.077824,6.690740,0.078971,0.377326,0.001905,-46.672119,-0.194380,0.117750,0.918196,-0.396121,-0.001965,0.000272
4009,0.029338,-7.074249,6.693214,0.126383,0.366661,-0.008759,-46.653877,-0.182477,0.108602,0.918259,-0.395975,-0.001838,0.000240
4010,0.029744,-7.072008,6.696229,0.100560,0.369727,-0.008745,-46.633804,-0.171580,0.099426,0.918329,-0.395815,-0.001718,0.000204
4012,0.032765,-7.078496,6.692442,0.108269,0.372773,-0.005700,-46.619438,-0.164507,0.090231,0.918378,-0.395700,-0.001630,0.000155
4013,0.038961,-7.077837,6.703038,0.144951,0.369682,-0.013371,-46.606983,-0.164087,0.080995,0.918422,-0.395600,-0.001595,0.000083
4014,0.039597,-7.083221,6.697277,0.143468,0.374199,-0.016487,-46.596260,-0.168134,0.071626,0.918459,-0.395514,-0.001595,-0.000006
4015,0.044404,-7.082674,6.695916,0.138884,0.378703,-0.002832,-46.592335,-0.174553,0.062289,0.918472,-0.395483,-0.001614,-0.000103
4016,0.050341,-7.079298,6.696498,0.103780,0.366397,0.010797,-46.589268,-0.185569,0.053360,0.918482,-0.395458,-0.001672,-0.000213
4017,0.056759,-7.078109,6.699264,0.012235,0.366273,0.028978,-46.585945,-0.201404,0.044940,0.918494,-0.395432,-0.001769,-0.000335
