seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
7344,-0.066715,6.991331,7.032239,0.013453,-0.088143,0.015423,44.756069,0.388642,0.160013
7345,-0.071195,6.992656,7.034083,0.414379,0.017240,-0.055707,44.763199,0.388276,0.158704
7346,-0.076561,6.989420,7.035318,0.265054,0.154996,-0.201478,44.774517,0.393332,0.157682
7347,-0.074906,6.986574,7.039814,0.003699,0.083716,-0.134671,44.778988,0.400102,0.156507
7349,-0.074242,6.982972,7.038869,-0.082640,0.040240,-0.089416,44.777664,0.404200,0.155311
7350,-0.073600,6.981575,7.037197,-0.052986,-0.004720,-0.073558,44.775394,0.406533,0.153800
7351,-0.070528,6.978590,7.034849,-0.050906,-0.083513,0.003027,44.773647,0.406317,0.151930
7352,-0.067019,6.976444,7.034676,-0.079970,-0.175042,0.099606,44.771454,0.402053,0.150109
7353,-0.066296,6.974315,7.028066,0.045368,-0.171558,0.100401,44.770863,0.395604,0.148407
7354,-0.064589,6.970171,7.030155,-0.115015,-0.194320,0.110893,44.769688,0.388795,0.146613
7356,-0.063506,6.968688,7.031383,-0.183772,-0.186186,0.117479,44.764698,0.381612,0.144849
7357,-0.063778,6.969161,7.033185,-0.181656,-0.159843,0.082272,44.758598,0.375173,0.143152
7358,-0.061691,6.975477,7.031883,0.031786,-0.183379,0.104640,44.756084,0.368918,0.141336
7359,-0.061648,6.983436,7.037891,0.100658,-0.160560,0.090222,44.758286,0.362560,0.139606
7360,-0.068226,6.986425,7.033789,0.270426,0.030856,-0.099709,44.764458,0.361137,0.137971
7361,-0.067610,6.988915,7.038615,0.187471,0.022013,-0.085718,44.772079,0.363939,0.136398
7363,-0.073580,7.000007,7.042821,0.299529,0.157115,-0.218668,44.780190,0.369631,0.134899
7364,-0.076483,6.998925,7.045784,0.144466,0.206398,-0.252181,44.787582,0.379460,0.133597
7365,-0.080083,7.000939,7.044027,0.201634,0.266980,-0.302850,44.793346,0.391576,0.132590
7366,-0.075944,7.001855,7.047113,0.106682,0.115896,-0.161349,44.798477,0.401555,0.131596
7367,-0.075681,7.011155,7.044687,0.355647,0.073465,-0.121303,44.806175,0.407114,0.130478
7368,-0.068691,7.004041,7.040611,0.234567,-0.124022,0.078251,44.815994,0.407022,0.129375
7370,-0.066980,6.999897,7.042459,0.041023,-0.169469,0.103070,44.820587,0.401422,0.128071
7371,-0.067740,7.001868,7.043405,0.017464,-0.122768,0.050512,44.821552,0.396163,0.126453
7372,-0.063160,7.001424,7.050599,-0.179254,-0.216068,0.153570,44.818840,0.389760,0.124885
7373,-0.063234,6.991632,7.048691,-0.363215,-0.195747,0.119529,44.809792,0.381683,0.123277
7374,-0.062710,6.998729,7.046877,-0.087287,-0.187278,0.095487,44.802273,0.374628,0.121321
7375,-0.064909,7.002291,7.046227,0.051990,-0.098326,0.017624,44.801670,0.369922,0.119304
7377,-0.062171,6.997553,7.043877,0.031703,-0.158750,0.068053,44.803055,0.365876,0.117298
7378,-0.064521,6.998756,7.039252,0.173529,-0.081281,-0.019899,44.806458,0.362472,0.115048
7379,-0.064419,6.991657,7.039149,-0.015759,-0.069344,-0.036541,44.809078,0.361354,0.112611
7380,-0.065664,6.991657,7.042381,-0.102738,-0.022551,-0.070215,44.807091,0.361521,0.110270
7381,-0.065594,6.990698,7.038407,-0.014327,-0.036221,-0.066473,44.805126,0.362431,0.107963
7382,-0.064265,6.992451,7.035896,0.086608,-0.066046,-0.043481,44.806313,0.362514,0.105462
7384,-0.065053,6.989752,7.034924,0.033838,-0.049864,-0.046244,44.808308,0.362197,0.103039
7385,-0.065335,6.997919,7.038275,0.139262,-0.046984,-0.043549,44.811161,0.362106,0.100840
7386,-0.064272,6.988410,7.040484,-0.174741,-0.062566,-0.029335,44.810562,0.361667,0.098691
7387,-0.061679,6.986170,7.045839,-0.359987,-0.121012,0.036233,44.801647,0.359415,0.096617
7388,-0.062428,6.991663,7.050996,-0.301761,-0.095423,0.028181,44.790604,0.356099,0.094837
7389,-0.065148,6.995176,7.044792,0.008135,-0.000603,-0.060302,44.785702,0.355340,0.093329
7391,-0.065197,6.993637,7.041300,0.088092,0.010878,-0.069532,44.787292,0.356986,0.091914
7392,-0.062667,6.999979,7.042537,0.213282,-0.073892,0.015743,44.792309,0.356873,0.090538
7393,-0.068976,6.996371,7.043033,0.082527,0.082945,-0.135020,44.797234,0.358380,0.089234
7394,-0.071031,6.989231,7.042891,-0.126666,0.122499,-0.182169,44.796486,0.364535,0.087895
7395,-0.066777,6.987317,7.040683,-0.112320,-0.016873,-0.052784,44.792492,0.368543,0.086356
7396,-0.068194,6.985083,7.041385,-0.148296,0.002429,-0.073915,44.788136,0.369860,0.084688
7398,-0.073761,6.980784,7.040932,-0.216986,0.149372,-0.218975,44.782040,0.375095,0.083005
7399,-0.068552,6.984498,7.041862,-0.114789,0.011086,-0.071679,44.776505,0.380405,0.081450
7400,-0.070070,6.984449,7.039062,-0.009810,0.028192,-0.092298,44.774414,0.382795,0.079971
7401,-0.070744,6.981816,7.047010,-0.263730,0.029758,-0.096138,44.769844,0.385692,0.078422
7402,-0.068117,6.983720,7.045848,-0.171867,-0.043742,-0.011596,44.762581,0.386791,0.076983
7403,-0.067464,6.983936,7.041762,-0.030867,-0.060264,0.010759,44.759190,0.385570,0.075752
7404,-0.067782,6.981367,7.041400,-0.060358,-0.057725,-0.013355,44.757664,0.384204,0.074337
7405,-0.068313,6.983463,7.042953,-0.039061,-0.049834,-0.020871,44.755993,0.383333,0.072670
7406,-0.068732,6.989610,7.041003,0.169786,-0.033786,-0.028722,44.758156,0.382925,0.071102
7407,-0.069966,6.992840,7.040251,0.254634,-0.007676,-0.061397,44.765224,0.383492,0.069548
7408,-0.068019,6.997314,7.042204,0.279172,-0.072376,-0.006099,44.774117,0.383337,0.067810
7409,-0.067821,7.000807,7.041718,0.311356,-0.075200,-0.002905,44.783943,0.381697,0.065971
7411,-0.063483,7.000761,7.040110,0.287581,-0.159478,0.097192,44.793915,0.377814,0.064331
