seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
60,-0.380289,-9.198348,-0.138554,-22.954113,0.502596,8.498020,-90.863029,2.367218,-110.036530
61,-1.216242,-7.753992,-6.004651,-172.976410,10.042226,55.863419,-94.138908,3.430753,-110.259094
62,-1.495001,-7.833527,-6.066038,-152.691132,10.773019,58.949104,-99.600548,5.285231,-110.833267
63,-1.491213,-7.920238,-6.043715,-126.187889,10.794520,45.341270,-104.312645,6.908283,-111.543297
64,-1.636768,-8.135528,-5.620360,-122.741501,14.167513,30.782707,-108.552994,8.005570,-112.307602
65,-1.866574,-8.056460,-5.178855,-61.258270,13.302794,12.341726,-111.713379,8.521587,-112.995163
66,-1.992251,-8.232866,-4.673650,-26.198526,13.404199,-0.217488,-113.243057,8.539407,-113.490456
67,-1.956672,-8.486922,-4.433456,3.040468,11.043552,-15.391703,-113.668343,8.139317,-113.764778
68,-1.955039,-8.940786,-4.434537,22.146404,10.605760,-21.753988,-113.259781,7.428113,-113.851273
69,-1.857968,-9.048836,-5.015153,10.814734,15.032450,-14.854509,-112.729576,6.699795,-114.008263
70,-1.717622,-9.331059,-5.505888,-5.266816,13.710961,-9.351753,-112.669685,6.142369,-114.295883
71,-1.505529,-9.219924,-5.876218,-26.483187,12.388661,-6.498744,-113.229858,5.729168,-114.594414
72,-1.186215,-8.717283,-5.952936,-50.102409,17.106890,-4.983737,-114.542282,5.354720,-114.967346
73,-1.039195,-8.070827,-6.282796,-75.885948,18.229628,-0.415567,-116.686325,5.018914,-115.460777
74,-0.912891,-7.724104,-5.920167,-70.618690,12.969367,2.614451,-119.167992,4.807470,-115.937660
75,-0.776097,-7.633500,-5.986944,-58.225651,10.090888,2.490170,-121.345558,4.687023,-116.312752
76,-0.728249,-7.454711,-6.014450,-47.912895,6.730401,3.744353,-123.137749,4.625320,-116.606056
77,-0.708272,-7.249949,-5.995525,-38.580006,3.205492,5.341860,-124.597008,4.658722,-116.828300
78,-0.687422,-7.232543,-5.756473,-20.936956,1.636906,6.058635,-125.603287,4.767704,-117.003784
79,-0.765369,-7.265174,-5.986163,-14.364293,-0.356059,5.804635,-126.202888,4.915501,-117.137238
80,-0.791277,-7.323397,-6.020358,-7.854233,-0.866791,2.395103,-126.578842,5.037590,-117.202049
81,-0.695837,-7.724301,-5.925748,3.138083,2.333773,-6.368697,-126.655724,4.969813,-117.182098
82,-0.637258,-8.205916,-5.771247,14.580677,2.745218,-12.824192,-126.350113,4.662300,-117.059525
83,-0.423250,-8.442614,-5.330594,22.591022,5.462214,-23.612017,-125.711708,4.090730,-116.812370
84,-0.121284,-8.746973,-4.768648,34.336430,8.184367,-36.467461,-124.738243,3.141711,-116.419762
85,0.095973,-8.817575,-4.385079,39.020870,8.525287,-41.798485,-123.493713,1.905860,-115.918312
86,0.399210,-8.765658,-4.075671,40.624546,9.208195,-43.869293,-122.155273,0.546309,-115.392776
87,0.483898,-8.769910,-3.981579,37.787079,5.394730,-36.579155,-120.849564,-0.723640,-114.899803
88,0.624039,-8.641832,-3.854976,35.788635,2.597347,-28.237627,-119.632500,-1.723647,-114.471359
89,0.707011,-8.568842,-3.998003,26.122368,-0.514968,-16.687218,-118.612679,-2.394569,-114.137749
90,0.757032,-8.401514,-3.921207,20.444246,-2.538755,-8.183732,-117.847282,-2.735641,-113.897026
91,0.673377,-8.294741,-3.850673,17.794680,-5.208974,0.932927,-117.218109,-2.783128,-113.726807
92,0.727416,-8.174660,-4.055067,9.347197,-6.368335,3.312524,-116.772232,-2.632547,-113.587265
93,0.529085,-8.407166,-4.363115,2.006418,-10.644828,11.827051,-116.588982,-2.279682,-113.447250
94,0.165915,-8.659208,-4.684833,-3.271815,-15.796113,24.207569,-116.614136,-1.545292,-113.322403
95,-0.210887,-8.870893,-4.955678,-5.777004,-19.631704,34.283230,-116.766312,-0.409132,-113.232994
96,-0.621813,-9.011225,-5.079333,-6.289555,-22.430611,41.691624,-116.966957,1.037081,-113.179955
97,-1.234991,-9.070756,-4.958249,-2.548666,-26.066345,51.568737,-117.113678,2.788627,-113.166588
98,-1.916953,-9.024738,-4.782866,2.151124,-29.836351,59.493084,-117.121048,4.860276,-113.180458
99,-2.257055,-8.721281,-4.625982,2.433984,-29.002136,55.050694,-117.044128,7.005668,-113.175758
100,-2.539737,-8.576076,-4.523238,0.752160,-26.046104,47.479069,-116.985458,8.944091,-113.134125
101,-2.925237,-8.312691,-4.516266,-6.445074,-29.120056,55.386257,-117.073532,10.888523,-113.093857
102,-3.090397,-8.070623,-4.616590,-15.194732,-21.779665,45.292355,-117.437164,12.768098,-113.109428
103,-2.906055,-7.991917,-4.531849,-10.629910,-6.629877,16.815756,-117.882072,13.904470,-113.173828
104,-2.899858,-7.928954,-4.447532,-8.385074,-0.272147,8.639174,-118.223633,14.332962,-113.275528
105,-2.876301,-7.894727,-4.443690,-5.701240,4.369927,4.015318,-118.499496,14.486162,-113.441185
106,-2.618211,-7.999237,-4.500702,-3.999573,10.294686,-4.229400,-118.715851,14.366066,-113.661057
107,-2.227470,-8.132529,-4.542346,-2.195544,16.590767,-13.482288,-118.882034,13.891568,-113.919464
108,-1.918401,-8.209629,-4.782866,-6.836675,21.761768,-18.847769,-119.103973,13.110504,-114.225998
110,-1.428339,-8.282184,-4.949980,-12.002026,28.494482,-29.485292,-119.492722,11.998116,-114.570267
111,-0.833517,-8.339211,-4.961227,-15.423697,35.188385,-41.190018,-120.016342,10.448884,-114.913498
112,-0.333445,-8.411933,-4.842327,-11.959103,39.441135,-49.079811,-120.525078,8.522955,-115.233665
113,0.126120,-8.431809,-4.947937,-11.873712,42.381008,-53.149403,-120.961365,6.362309,-115.537964
114,0.585231,-8.323101,-4.851894,-7.849238,43.500671,-55.114971,-121.316620,4.078685,-115.831223
115,0.844095,-8.293999,-4.842444,-2.859452,39.681992,-49.095428,-121.509468,1.874878,-116.110115
116,0.859343,-8.441162,-4.960640,1.428209,31.183323,-37.180313,-121.537682,0.032404,-116.365723
117,0.877451,-8.328367,-5.160006,-4.454052,22.692070,-27.832293,-121.585938,-1.360433,-116.564186
118,1.013505,-8.354486,-4.834771,3.032786,17.965881,-23.402237,-121.605270,-2.442739,-116.693405
119,1.005734,-8.437871,-4.888944,2.388443,12.035997,-17.171463,-121.511215,-3.280517,-116.766243
120,0.983465,-8.449685,-4.768095,3.335625,7.478916,-12.431649,-121.414513,-3.871089,-116.786209
121,1.077735,-8.349896,-4.718296,2.624603,5.352095,-11.521178,-121.316917,-4.323250,-116.761032
122,1.087021,-8.482672,-4.674076,5.910324,2.711272,-7.988957,-121.178848,-4.670944,-116.707062
123,0.927112,-8.463991,-4.897902,0.098359,-2.753439,-1.321722,-121.085373,-4.803416,-116.626106
124,0.761455,-8.337681,-4.906142,-1.288600,-7.188412,4.369951,-121.114723,-4.674282,-116.510056
125,0.538133,-8.270720,-4.922642,-0.418530,-11.427865,12.181618,-121.152748,-4.277727,-116.386742
126,0.287022,-8.173324,-5.005390,-2.590001,-14.856651,19.661156,-121.209686,-3.596893,-116.286453
