seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
69,0.033767,-9.628616,0.219644,0.047996,0.075063,-0.002636,-88.693138,-0.200890,8.737771,0.713139,-0.696869,-0.054498,0.053255
71,0.031458,-9.632813,0.203701,-0.696730,0.078766,0.130012,-88.703941,-0.198709,8.735256,0.713074,-0.696939,-0.054474,0.053247
72,0.031337,-9.631775,0.202732,-0.658588,0.069494,0.125811,-88.726532,-0.194391,8.732882,0.712935,-0.697082,-0.054443,0.053248
73,0.030810,-9.623610,0.206440,-0.313162,0.059829,0.092215,-88.742714,-0.190710,8.730805,0.712836,-0.697186,-0.054415,0.053250
74,0.033952,-9.618765,0.208294,-0.099566,0.058147,-0.092207,-88.749588,-0.190667,8.728840,0.712795,-0.697230,-0.054406,0.053234
75,0.032708,-9.615183,0.207902,-0.064208,0.070245,-0.052205,-88.752304,-0.193027,8.726648,0.712781,-0.697246,-0.054409,0.053205
76,0.032850,-9.618544,0.209720,0.040666,0.066295,-0.042609,-88.752693,-0.194557,8.724339,0.712780,-0.697249,-0.054404,0.053181
78,0.034839,-9.614552,0.209145,0.025093,0.064415,-0.127339,-88.751587,-0.197341,8.722098,0.712789,-0.697242,-0.054408,0.053151
79,0.035765,-9.622668,0.211108,0.098273,0.071859,-0.147781,-88.749527,-0.201876,8.719727,0.712805,-0.697228,-0.054420,0.053109
80,0.033116,-9.625948,0.215285,0.272607,0.060788,0.009031,-88.743340,-0.204139,8.717467,0.712845,-0.697190,-0.054418,0.053085
81,0.031090,-9.624258,0.212714,0.094909,0.064228,0.123324,-88.737213,-0.201888,8.715433,0.712882,-0.697153,-0.054389,0.053089
82,0.028445,-9.622686,0.211698,0.006761,0.072383,0.234107,-88.735504,-0.195882,8.713287,0.712891,-0.697147,-0.054337,0.053113
83,0.025282,-9.629024,0.212860,0.038717,0.077846,0.345150,-88.734741,-0.186175,8.710998,0.712892,-0.697148,-0.054263,0.053158
85,0.024066,-9.624008,0.217527,0.269238,0.075069,0.333997,-88.729591,-0.174802,8.708699,0.712919,-0.697122,-0.054176,0.053215
86,0.028647,-9.628502,0.211715,-0.044074,0.079437,0.033274,-88.725830,-0.168626,8.706261,0.712940,-0.697103,-0.054121,0.053239
87,0.031415,-9.641807,0.215771,0.118356,0.060645,-0.145774,-88.724594,-0.170448,8.703886,0.712950,-0.697096,-0.054117,0.053214
88,0.032114,-9.643632,0.219042,0.261901,0.060662,-0.170261,-88.718246,-0.175669,8.701746,0.712992,-0.697055,-0.054133,0.053172
89,0.030408,-9.632727,0.218625,0.197019,0.047934,-0.055209,-88.710594,-0.179385,8.699853,0.713041,-0.697006,-0.054142,0.053141
90,0.031827,-9.628760,0.215991,0.014747,0.049554,-0.104289,-88.707062,-0.182006,8.698169,0.713064,-0.696984,-0.054146,0.053116
92,0.033231,-9.620566,0.218770,0.115360,0.036634,-0.149970,-88.704880,-0.186211,8.696636,0.713080,-0.696969,-0.054162,0.053082
93,0.033056,-9.617768,0.219845,0.149140,0.052951,-0.103906,-88.700462,-0.190407,8.695047,0.713110,-0.696940,-0.054176,0.053049
94,0.030017,-9.619713,0.216300,-0.055586,0.057845,0.073180,-88.698898,-0.190877,8.693190,0.713120,-0.696931,-0.054167,0.053035
95,0.035797,-9.624472,0.219187,0.076444,0.059729,-0.200542,-88.698547,-0.192955,8.691181,0.713124,-0.696929,-0.054168,0.053010
96,0.030718,-9.628534,0.217899,0.006386,0.062330,0.063020,-88.697151,-0.195200,8.689095,0.713135,-0.696920,-0.054168,0.052984
97,0.025779,-9.633876,0.216495,-0.072691,0.081548,0.310595,-88.698250,-0.188921,8.686839,0.713126,-0.696931,-0.054116,0.053008
99,0.026095,-9.631884,0.217581,-0.022344,0.065015,0.242101,-88.699821,-0.179656,8.684607,0.713113,-0.696946,-0.054045,0.053050
100,0.032263,-9.630232,0.220582,0.133258,0.058690,-0.121038,-88.697983,-0.177592,8.682592,0.713125,-0.696937,-0.054020,0.053051
101,0.028747,-9.632651,0.217269,-0.050905,0.070731,0.028526,-88.696602,-0.179084,8.680401,0.713135,-0.696928,-0.054015,0.053029
