seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
6131,-0.133479,-0.676567,9.913118,0.082187,-0.127465,-0.261248,-3.886274,0.881624,-0.029912
6132,-0.125266,-0.674534,9.915192,-1.106780,-0.856968,-4.640296,-3.904572,0.859704,-0.110310
6133,-0.136505,-0.683833,9.931036,-3.006608,0.735617,-5.286213,-3.975584,0.846317,-0.275239
6134,-0.136687,-0.714092,9.931706,-4.981961,1.343770,-5.100641,-4.111367,0.868661,-0.450376
6135,-0.157508,-0.726469,9.915934,-5.084806,1.970320,-3.914597,-4.281547,0.912727,-0.604284
6136,-0.140230,-0.737363,9.891569,-4.253297,0.340954,-2.335310,-4.438921,0.943202,-0.711081
6137,-0.148352,-0.769144,9.895834,-3.257195,0.121571,-1.170810,-4.565060,0.946287,-0.769964
6138,-0.141797,-0.787497,9.882861,-1.482223,-0.427861,-0.376496,-4.644466,0.939122,-0.795264
6139,-0.151173,-0.780034,9.860139,0.524447,0.001095,0.192365,-4.660468,0.931782,-0.797750
6140,-0.149846,-0.777759,9.865821,1.845652,-0.200134,0.389671,-4.620805,0.929261,-0.787812
6141,-0.167647,-0.785061,9.868889,2.433715,0.360862,0.937753,-4.549127,0.933699,-0.765970
6142,-0.160613,-0.770806,9.891397,3.531366,-0.449131,1.549343,-4.449032,0.935485,-0.724528
6143,-0.155600,-0.729492,9.894043,5.295496,-1.052442,2.351098,-4.300843,0.915493,-0.657787
6144,-0.157650,-0.717330,9.908317,5.227191,-1.239381,2.887406,-4.124054,0.883813,-0.567894
6145,-0.159435,-0.688821,9.878695,4.999709,-1.064334,2.880539,-3.952113,0.852290,-0.469284
6146,-0.157439,-0.678822,9.888709,3.243478,-0.781972,2.455078,-3.813393,0.827612,-0.378469
6147,-0.159053,-0.669695,9.883477,1.662927,-0.063823,2.105479,-3.730517,0.818553,-0.301689
6148,-0.153737,-0.675335,9.894673,-0.203857,0.185587,1.443640,-3.705352,0.824421,-0.242790
6149,-0.147503,-0.660480,9.888245,-0.413255,0.499215,0.711996,-3.715126,0.838142,-0.207674
6150,-0.156159,-0.662192,9.900263,-0.815872,1.808087,-0.083085,-3.735491,0.877198,-0.199712
6151,-0.126406,-0.714991,9.772470,-3.027272,0.030931,-0.347350,-3.799682,0.907312,-0.208885
6152,-0.096280,-0.735419,9.730648,-3.727808,-4.035731,0.481343,-3.912164,0.840866,-0.202181
6153,-0.088234,-0.721921,9.758719,-1.761160,-6.188376,1.592166,-4.003032,0.673247,-0.155969
6154,-0.081186,-0.682817,9.840577,2.207629,-6.499802,2.588546,-3.994745,0.467137,-0.071747
6155,-0.077441,-0.649640,9.899011,4.886961,-5.655032,3.500103,-3.875746,0.271976,0.043337
6156,-0.097227,-0.541986,10.038665,8.182118,-3.142891,3.983917,-3.657434,0.133840,0.177388
6157,-0.100033,-0.478439,10.080642,9.688680,-0.009417,3.025098,-3.359329,0.088523,0.297126
6158,-0.099217,-0.474254,10.026902,9.297225,3.608106,1.655940,-3.042721,0.152726,0.371601
6159,-0.083829,-0.505140,9.943866,4.213340,3.355687,0.850171,-2.817388,0.270738,0.407298
6160,-0.041663,-0.507276,9.905473,1.299648,-0.051054,0.643110,-2.725384,0.326954,0.429455
6161,-0.005793,-0.534408,9.888112,-1.510604,-2.482094,0.243037,-2.728815,0.285490,0.446228
6162,0.009192,-0.548632,9.859737,-2.146708,-2.471128,0.380209,-2.789713,0.203535,0.460585
6163,0.026079,-0.521777,9.859379,0.128346,-2.983853,1.131771,-2.823270,0.113962,0.490210
6164,0.020525,-0.516140,9.882161,0.477896,-2.289930,1.306053,-2.813106,0.028163,0.535097
6166,-0.002791,-0.483842,9.871058,2.287959,-0.243166,1.535634,-2.766998,-0.011701,0.584454
6167,-0.029161,-0.434638,9.906735,4.522329,0.871272,1.775855,-2.653491,0.001359,0.639077
6168,-0.065248,-0.402895,9.951919,4.973479,2.248685,1.446768,-2.495198,0.055711,0.690390
6169,-0.077641,-0.391259,9.969139,3.746310,2.802135,0.736434,-2.349805,0.141348,0.723172
6170,-0.069760,-0.372025,9.934895,3.009658,2.089325,0.212144,-2.237160,0.223435,0.735694
6171,-0.033632,-0.384308,9.926903,0.717309,-0.760552,-0.157616,-2.175041,0.245596,0.735751
6172,-0.017884,-0.406630,9.903502,-1.442598,-1.486189,-0.403753,-2.187161,0.207820,0.727836
