seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-0.10091939568519592,-9.78195571899414,-0.12030572444200516,0.22971367835998535,1.237037181854248,-0.28305864334106445,-90.70463033651696,0.0,0.0
2,-0.061999693512916565,-9.786161422729492,-0.11523300409317017,0.07712113857269287,0.21466684341430664,-0.0312809944152832,-90.69794551795894,0.0060822275467216965,-0.001042699906975031
3,-0.08208412677049637,-9.781667709350586,-0.11719880998134613,-0.006804704666137695,-0.21259212493896484,0.12131166458129883,-90.69641475818898,-0.0008535504946493692,0.00300102261826396
4,-0.04336904361844063,-9.809026718139648,-0.14771893620491028,-0.06784176826477051,-0.20496273040771484,0.014496803283691406,-90.7232917247636,-0.0065327953875552675,0.003484249406028539
5,-0.08021420985460281,-9.803007125854492,-0.10326472669839859,0.008454561233520508,-0.21259212493896484,0.07553386688232422,-90.7050880010724,-0.011576319988783721,0.006002045061904937
6,-0.03980560228228569,-9.795018196105957,-0.13051854074001312,-0.060212135314941406,-0.4567403793334961,0.13657069206237793,-90.71554390642753,-0.02278085024931329,0.010554401495028287
8,-0.10928250849246979,-9.803595542907715,-0.12016235291957855,-0.07547140121459961,-0.838221549987793,0.20523738861083984,-90.71568627909289,-0.04311333498370118,0.017395647999364883
9,-0.06328412145376205,-9.805634498596191,-0.14191579818725586,0.01608407497406006,-0.029480934143066406,0.03738570213317871,-90.73225420274628,-0.037481627883393286,0.018641838163603097
10,-0.08082215487957001,-9.793709754943848,-0.12543395161628723,0.008454561233520508,0.11548185348510742,-0.016021728515625,-90.73224375257163,-0.028587397680622927,0.018107780546415597
11,-0.08043868839740753,-9.808605194091797,-0.1211170107126236,0.0008249282836914062,0.18414831161499023,-0.0236513614654541,-90.72850197631178,-0.01908175237444851,0.017319401784334332
12,-0.09021876752376556,-9.7736177444458,-0.13522964715957642,0.03897297382354736,0.0086669921875,-0.016021728515625,-90.73702816514385,-0.015973924726439746,0.016785344167146832
13,-0.09248773753643036,-9.79018497467041,-0.11778665333986282,0.046602606773376465,-0.014221668243408203,0.014496803283691406,-90.72854819643618,-0.013980783317354903,0.01726857095491141
15,-0.08036860078573227,-9.787731170654297,-0.12608270347118378,0.07712113857269287,0.29859304428100586,-0.06179952621459961,-90.72778487752477,-0.003423529037374348,0.015208586701191962
16,-0.06843393296003342,-9.785627365112305,-0.11349070072174072,0.03897297382354736,-0.06762933731079102,0.07553386688232422,-90.71718327101388,-0.004826164423619159,0.01772638235706836
17,-0.07199250906705856,-9.808719635009766,-0.1401553452014923,0.008454561233520508,-0.12866640090942383,-0.0007624626159667969,-90.73216151663077,-0.007747787891395315,0.017700966935080942
18,-0.06741902232170105,-9.80048656463623,-0.10678291320800781,0.14578783512115479,-0.09051799774169922,0.022126436233520508,-90.71184435441992,-0.009150296442305712,0.018438514867739286
19,-0.08290507644414902,-9.804473876953125,-0.12296175956726074,0.161047101020813,-0.021851539611816406,0.022126436233520508,-90.70828438214417,-0.008396878977806915,0.01917606280039763
20,-0.03293049708008766,-9.795032501220703,-0.1394236534833908,0.13052856922149658,-0.014221668243408203,-0.008392095565795898,-90.72066839175692,-0.007540294431016998,0.018896326269896235
22,-0.08817371726036072,-9.793025016784668,-0.1099739819765091,0.08475077152252197,-0.12866640090942383,-0.046540260314941406,-90.7066760625468,-0.010054798397682413,0.017344984189548995
23,-0.0751170814037323,-9.789497375488281,-0.1296118199825287,-0.0220639705657959,-0.006592273712158203,-0.0236513614654541,-90.71508158112236,-0.008733359730665307,0.01655660542746773
24,-0.08041395246982574,-9.791021347045898,-0.100989431142807,0.10763967037200928,-0.11340713500976562,0.014496803283691406,-90.69341295600415,-0.010636558153970549,0.01703983221523231
25,-0.071425661444664,-9.801081657409668,-0.10203022509813309,0.11526930332183838,-0.09814786911010742,-0.0007624626159667969,-90.67560002311747,-0.011821930867458258,0.01701441679324489
26,-0.07855655252933502,-9.807896614074707,-0.11395001411437988,0.13052856922149658,-0.05999946594238281,0.04501533508300781,-90.67040821249822,-0.01174862627722603,0.01851492798596155
27,-0.11104706674814224,-9.782419204711914,-0.09769283980131149,0.08475077152252197,0.26044464111328125,-0.0007624626159667969,-90.65327112493668,-0.0026070673457723997,0.01848951256397413
29,-0.09549550712108612,-9.796562194824219,-0.09745870530605316,0.10001003742218018,-0.27362918853759766,0.09079313278198242,-90.63794297745079,-0.009968834938547382,0.02151595050963806
30,-0.06001326069235802,-9.783941268920898,-0.1319490224123001,0.09238040447235107,-0.16681432723999023,0.04501533508300781,-90.65553314314741,-0.013199915768169026,0.023016461702354718
31,-0.06172344088554382,-9.803549766540527,-0.11924824863672256,0.008454561233520508,-0.12103652954101562,-0.0236513614654541,-90.66149848176057,-0.01464929703020345,0.022228082940273453
32,-0.09283041954040527,-9.789429664611816,-0.10407079756259918,0.01608407497406006,-0.22022199630737305,0.014496803283691406,-90.65318071468525,-0.018691525889096276,0.02271130972803803
33,-0.06806270778179169,-9.799924850463867,-0.10917934775352478,0.06949150562286377,-0.26599931716918945,0.022126436233520508,-90.6489791459059,-0.023424444800500047,0.023448857660696376
34,-0.09521190077066422,-9.805465698242188,-0.09200415015220642,0.13052856922149658,0.06207466125488281,-0.0312809944152832,-90.62857207453524,-0.018151995945568437,0.022406157753721345
36,-0.06315965950489044,-9.80396842956543,-0.10254513472318649,0.19919514656066895,-0.30414772033691406,0.060274600982666016,-90.61853236530789,-0.024046716141010893,0.024415311119810212
37,-0.10092108696699142,-9.797332763671875,-0.10584229230880737,0.28312110900878906,-0.26599931716918945,0.03738570213317871,-90.61057357623086,-0.02797635651462683,0.025661501284048427
38,-0.09472600370645523,-9.798859596252441,-0.09027150273323059,0.23734331130981445,-0.18970346450805664,0.09079313278198242,-90.59143574731957,-0.02915483495402923,0.028687939229712356
