seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,0.124071,-0.035799,-9.774354,-1.006286,-6.461257,-0.084688,180.000000,0.000000,0.000000
2,-0.028278,0.008066,-9.837838,-1.425915,-8.971404,-0.588244,179.954849,-0.284094,-0.019608
3,0.045072,-0.010432,-9.765568,-0.785027,-5.553331,-0.634022,179.939377,-0.398825,-0.040742
4,0.021608,-0.022855,-9.778142,-0.861323,-6.339183,-1.046021,179.924072,-0.518611,-0.075610
5,0.092580,-0.006784,-9.763494,-0.701101,-7.285256,-4.418317,179.905655,-0.723381,-0.222887
6,-0.096156,0.037804,-9.826034,-0.456953,-6.941924,-23.088015,179.895905,-0.907039,-0.992487
8,-0.186138,-0.000941,-9.814939,-0.189916,-2.669332,-1.793725,179.906143,-0.683644,-1.052278
9,-0.291042,-0.043075,-9.820622,0.153417,1.351481,-12.208166,179.915695,-0.521790,-1.459217
10,-1.504526,-0.382396,-9.887669,0.244973,1.916074,-29.237495,180.038391,-0.002750,-2.433800
11,-0.003703,-0.086334,-9.756841,0.710380,8.927702,-78.585922,180.058960,0.280098,-5.053331
12,1.461283,0.488941,-9.794122,-0.281471,-0.624592,-61.709190,179.904190,-0.177462,-7.110305
13,-0.085395,0.017245,-9.806677,-0.167027,-2.554888,-0.229651,179.913834,-0.223231,-7.117960
15,-0.099505,0.024915,-9.799681,0.191566,0.458815,0.327312,179.932190,-0.176747,-7.107049
16,-0.129277,0.011289,-9.805720,0.183936,2.633259,0.571460,179.947586,-0.075626,-7.088001
17,0.008598,-0.004919,-9.764071,0.382306,4.510148,0.769830,179.966278,0.063506,-7.062340
18,-0.059453,-0.009823,-9.798495,0.397565,3.854000,0.647756,179.982605,0.163176,-7.040748
19,-0.067610,0.014800,-9.831001,0.321269,3.182592,0.464645,179.994324,0.228873,-7.025260
20,0.034306,-0.019418,-9.754816,0.367047,3.022370,0.403608,180.005585,0.280176,-7.011806
22,-0.046559,-0.012690,-9.802561,0.344158,2.709555,0.151830,180.014511,0.314921,-7.006745
23,0.004016,-0.027091,-9.812831,0.153417,1.771111,0.113682,180.016678,0.317864,-7.002956
24,0.005228,-0.023415,-9.806890,0.000825,0.474074,0.098423,180.014206,0.283616,-6.999675
25,0.006425,-0.014065,-9.826661,-0.014434,0.558000,0.159460,180.011658,0.256884,-6.994360
26,0.119998,-0.011600,-9.746558,-0.075471,-0.075259,0.434126,180.007767,0.216219,-6.979889
27,-0.128870,-0.019715,-9.848399,-1.311471,-9.719108,6.629384,179.965851,-0.102364,-6.758909
29,-0.453248,0.111915,-9.882809,-0.876582,-5.087924,52.857296,179.939804,-0.127078,-4.996999
30,0.055880,0.010324,-9.792541,-0.311990,0.672445,21.385084,179.932922,-0.099430,-4.284163
31,-0.064759,0.026669,-9.791707,-0.067842,-0.067629,-0.168614,179.941071,-0.086432,-4.289783
32,-0.152031,0.027658,-9.811992,0.290751,0.046815,-0.405133,179.958145,0.061013,-4.303288
33,-0.127251,0.009900,-9.824195,0.367047,1.816889,-0.183874,179.974823,0.103340,-4.309417
34,-0.092988,0.005424,-9.786329,0.351788,3.029999,-0.038911,179.988571,0.173689,-4.310714
36,-0.065241,0.014846,-9.829793,0.473862,3.800592,0.205237,180.003708,0.255319,-4.303873
37,-0.028613,0.007384,-9.794271,0.672232,5.311258,0.319682,180.022202,0.367507,-4.293217
38,0.042345,-0.026692,-9.772000,0.580677,4.090518,0.067904,180.035339,0.428279,-4.290954
39,0.031263,-0.007554,-9.809846,-0.014434,-0.052370,0.045015,180.029633,0.362553,-4.289453
40,-0.003984,-0.006837,-9.810685,-0.212805,-1.379925,-0.008392,180.019165,0.269072,-4.289733
41,0.004267,-0.011177,-9.782542,0.115269,0.855556,0.045015,180.019562,0.252952,-4.288232
43,-0.024968,-0.005816,-9.801883,-0.044953,-0.250741,0.022126,180.015366,0.207905,-4.287495
44,-0.023496,0.005530,-9.804961,-0.090731,-0.304148,-0.023651,180.010498,0.168102,-4.288283
45,0.001616,0.012452,-9.804261,0.100010,0.664815,0.045015,180.011749,0.161723,-4.286782
46,0.014482,-0.016108,-9.806298,-0.006805,0.069704,0.045015,180.009796,0.139439,-4.285282
47,0.035822,-0.000310,-9.809284,-0.014434,-0.059999,0.052645,180.007919,0.116824,-4.283527
48,-0.003442,-0.000800,-9.806559,0.038973,0.245185,0.037386,180.007843,0.106247,-4.282281
50,0.010908,0.004639,-9.817851,0.061862,0.290963,0.037386,180.008423,0.098554,-4.281035
51,0.010927,-0.016177,-9.808112,-0.029694,-0.029481,0.022126,180.006317,0.082936,-4.280297
52,0.012829,0.002344,-9.811851,-0.014434,0.107852,0.037386,180.004959,0.073551,-4.279051
53,0.004437,0.003704,-9.788646,0.016084,0.168889,0.067904,180.004669,0.067304,-4.276788
54,-0.000924,-0.008533,-9.805875,-0.029694,-0.105777,-0.000762,180.003128,0.054211,-4.276813
55,0.011454,-0.001064,-9.795119,0.054232,0.199408,0.052645,180.004196,0.051729,-4.275058
57,0.008636,-0.010114,-9.798635,0.023714,0.039186,-0.008392,180.004242,0.045080,-4.275338
58,0.015992,-0.004364,-9.775962,0.046603,0.214667,0.045015,180.004929,0.044400,-4.273838
59,0.003288,-0.006967,-9.829731,-0.014434,-0.037111,-0.000762,180.003784,0.036689,-4.273863
60,-0.019349,0.002582,-9.806100,-0.014434,0.046815,-0.008392,180.002808,0.032512,-4.274143
61,0.023020,0.007463,-9.795120,0.031343,0.168889,0.037386,180.003265,0.032420,-4.272897
62,0.031736,-0.010275,-9.787739,0.000825,-0.067629,0.037386,180.002808,0.025641,-4.271651
64,0.027099,0.017798,-9.785641,0.008455,0.069704,0.029756,180.002625,0.023770,-4.270659
65,0.036504,0.002789,-9.800955,0.000825,-0.052370,0.045015,180.002258,0.018721,-4.269158
66,0.034787,-0.009322,-9.811596,0.069492,0.146000,0.045015,180.003891,0.020049,-4.267658
67,0.005173,-0.001411,-9.817237,0.000825,0.001038,0.022126,180.003342,0.017071,-4.266920
68,0.039562,0.002303,-9.794962,-0.006805,0.016297,0.029756,180.002655,0.014972,-4.265928
69,0.025463,-0.014857,-9.813993,0.016084,0.077333,0.014497,180.002716,0.014918,-4.265445
71,0.002895,0.003449,-9.808346,-0.029694,0.130741,0.029756,180.001465,0.016384,-4.264453
72,0.017982,-0.003959,-9.794453,0.023714,-0.021852,0.098423,180.001923,0.013307,-4.261173
73,0.021410,-0.014271,-9.810447,0.016084,0.062075,0.037386,180.002090,0.013070,-4.259927
74,0.006473,0.008986,-9.799422,-0.022064,0.084963,0.060275,180.001160,0.013517,-4.257917
75,0.043296,-0.010839,-9.797800,0.023714,-0.006592,0.090793,180.001663,0.011303,-4.254891
76,0.005078,-0.008368,-9.798675,-0.022064,0.046815,0.022126,180.000793,0.010934,-4.254153
78,0.021363,-0.000369,-9.798043,-0.037323,-0.021852,0.067904,179.999619,0.008674,-4.251890
79,0.018039,-0.027174,-9.785287,0.023714,0.016297,0.052645,180.000351,0.007835,-4.250135
80,0.022398,0.001981,-9.802832,-0.014434,0.008667,0.075534,179.999893,0.006905,-4.247617
81,-0.018182,0.006228,-9.802546,-0.029694,0.016297,0.022126,179.999069,0.006331,-4.246880
82,0.012433,-0.010867,-9.815907,-0.037323,0.046815,0.006867,179.998154,0.006708,-4.246651
83,0.005987,-0.009736,-9.814171,-0.014434,0.001038,0.029756,179.998016,0.005731,-4.245659
85,-0.008010,-0.013129,-9.782009,-0.037323,-0.014222,0.060275,179.997253,0.004469,-4.243649
86,0.015642,-0.014890,-9.805706,0.008455,0.046815,0.045015,179.997910,0.005125,-4.242149
87,0.024521,-0.019569,-9.806796,-0.022064,0.023926,0.052645,179.997604,0.005034,-4.240394
88,0.037535,0.001500,-9.809887,0.016084,0.062075,0.045015,179.998428,0.006038,-4.238894
89,0.012723,0.005304,-9.814264,0.008455,0.016297,-0.016022,179.998901,0.005594,-4.239428
90,-0.003561,0.003363,-9.808389,-0.006805,0.008667,0.029756,179.998871,0.005000,-4.238436
92,0.024030,-0.011033,-9.792557,0.038973,-0.044740,0.037386,180.000153,0.002983,-4.237190
93,0.034177,-0.008739,-9.812201,0.016084,0.054445,0.052645,180.000595,0.004078,-4.235435
94,0.021725,-0.009825,-9.789002,0.008455,-0.006592,0.060275,180.000748,0.003279,-4.233426
95,0.035236,0.015665,-9.823162,0.016084,0.077333,0.045015,180.001099,0.004979,-4.231925
96,0.028553,-0.008053,-9.798521,-0.006805,0.023926,0.083163,180.000748,0.004910,-4.229153
97,0.028196,-0.018210,-9.797236,0.008455,-0.067629,0.052645,180.000870,0.002257,-4.227398
99,0.011034,-0.000963,-9.786172,-0.029694,0.031556,-0.023651,179.999893,0.002813,-4.228187
