seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
6057,-0.094729,-0.013342,9.795496,-0.037323,-0.059999,-0.038911,0.000000,0.000000,0.000000
6058,-0.098173,-0.040227,9.801687,-0.083101,-0.044740,0.022126,-0.002355,-0.001268,0.000738
6059,-0.108746,-0.040376,9.801023,-0.159397,-0.037111,-0.023651,-0.006518,-0.002129,-0.000051
6060,-0.660972,0.144485,9.720520,-0.334879,0.153630,0.098423,-0.015028,0.585977,0.003230
6061,-0.602660,0.189040,9.780757,0.779047,0.954741,-1.152836,0.175388,1.053923,-0.035198
6062,-0.552005,0.179162,9.748363,0.443343,-0.121037,-0.771355,0.319577,1.378463,-0.060910
6063,-0.585398,0.207004,9.813521,-0.250953,-0.731407,0.296793,0.445791,1.662923,-0.051017
6064,-0.655795,0.179408,9.784674,0.038973,-0.464370,0.365460,0.537592,1.975388,-0.038835
6065,-0.671728,0.200345,9.802873,1.168158,0.535111,-0.611133,0.665672,2.282117,-0.059206
6066,-0.535466,0.191800,9.736422,-0.182286,0.260445,-0.710318,0.729937,2.419270,-0.082883
6067,-0.617499,0.196003,9.779403,-0.762138,-0.159185,-0.092318,0.771082,2.593714,-0.085960
6068,-0.652140,0.153487,9.763455,0.351788,0.374889,-0.199133,0.800484,2.788408,-0.092598
6069,-0.694304,0.180769,9.640610,-0.517990,-0.517777,0.090793,0.826867,2.973257,-0.089572
6070,-0.617215,0.186341,9.721017,-0.594286,-0.166814,-0.527207,0.850724,3.067392,-0.107145
6071,-0.644478,0.155810,9.799285,0.443343,0.359630,-0.870540,0.872316,3.181822,-0.136163
6072,-0.621922,0.214525,9.782783,0.512010,0.260445,-0.664540,0.944410,3.257433,-0.158315
6073,-0.627412,0.185383,9.802706,0.527269,1.481185,-0.397503,0.980200,3.360012,-0.171565
6074,-0.681851,0.150044,9.708398,-0.128879,0.817408,-0.336466,0.962334,3.481718,-0.182780
6075,-0.559571,0.163726,9.766356,-0.327249,1.511703,-0.618762,0.952777,3.494106,-0.203406
6076,-0.676894,0.166344,9.866400,-0.006805,0.680074,-0.672170,0.954552,3.577878,-0.225811
6077,-0.709770,0.182551,9.757441,-0.579027,-0.555925,0.724052,0.955736,3.649404,-0.201676
6078,-0.674926,0.118705,9.730808,-2.471174,-0.265999,1.097904,0.742359,3.689562,-0.165079
6079,-0.669339,0.192599,9.702121,-1.189397,-0.586444,-0.542466,0.767892,3.711373,-0.183162
6080,-0.597769,0.186430,9.756946,0.229714,-0.380444,-0.611133,0.823412,3.669677,-0.203533
6081,-0.625612,0.155514,9.803588,0.077121,-0.792444,0.594348,0.838406,3.644408,-0.183721
6082,-0.685390,0.213160,9.839660,0.595936,-0.319407,-0.107577,0.915684,3.686239,-0.187307
6083,-0.630776,0.173772,9.735365,-0.411175,-0.639851,0.182348,0.920071,3.671157,-0.181229
6084,-0.654184,0.135477,9.760028,-1.044434,-0.616962,0.975830,0.752468,3.678141,-0.148701
6085,-0.573252,0.109039,9.759608,0.199195,-0.098148,0.037386,0.645241,3.627837,-0.147455
6086,-0.663838,0.128736,9.706922,0.328899,-0.418592,-0.176244,0.557774,3.658589,-0.153330
6087,-0.659728,0.186052,9.643770,-0.685842,-0.250741,0.258645,0.620461,3.689612,-0.144708
6088,-0.634304,0.193943,9.725609,0.664602,-0.586444,-0.374614,0.717584,3.679175,-0.157195
6089,-0.638713,0.145898,9.814331,0.641714,-1.997925,-0.160985,0.628129,3.629161,-0.162561
6090,-0.573906,0.106419,9.942212,-0.228064,-1.112888,0.205237,0.527448,3.548779,-0.155720
6091,-0.571368,0.168077,9.893928,-0.716360,-0.288888,-0.672170,0.574020,3.503975,-0.178126
6092,-0.606429,0.184207,9.730655,-1.555619,-0.021852,-0.473799,0.606518,3.512586,-0.193919
6093,-0.568389,0.161544,9.542562,-1.456434,0.352000,-0.801873,0.578565,3.518515,-0.220648
6094,-0.632806,0.158647,9.672839,-0.105990,1.404889,-0.870540,0.629723,3.591919,-0.249666
6095,-0.549343,0.163267,9.716305,0.901121,1.557481,-0.641651,0.705197,3.582586,-0.271055
6096,-0.623600,0.166005,9.828565,0.832454,0.237556,-0.618762,0.768149,3.596414,-0.291680
6097,-0.657494,0.130269,9.828671,0.275491,0.290963,0.029756,0.660733,3.639215,-0.290688
6098,-0.712914,0.180935,9.775930,0.512010,1.832148,-1.145207,0.735178,3.770778,-0.328862
6099,-0.587641,0.185751,9.638279,0.450973,0.664815,-0.962095,0.803291,3.747247,-0.360932
6100,-0.633960,0.151074,9.791642,1.381787,0.153630,-0.176244,0.854539,3.745114,-0.366806
6101,-0.588032,0.195649,9.817189,0.466232,0.306222,0.090793,0.910825,3.706094,-0.363780
6102,-0.665230,0.212960,9.850534,-0.701101,0.786889,0.571460,0.940110,3.751858,-0.344731
6103,-0.712990,0.172628,9.731256,-0.449323,0.786889,1.013978,0.938807,3.839845,-0.310932
6104,-0.683426,0.135599,9.702553,-0.487471,1.092074,1.120793,0.784174,3.899121,-0.273572
