seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
2814,0.271135,-0.204874,9.725072,-1.700582,1.336222,-0.069429,-1.206849,-1.596640,0.000000
2815,0.195091,-0.168776,9.777942,-1.532730,0.329112,0.014497,-1.217581,-1.519248,0.000483
2816,0.269242,-0.263006,9.717240,-0.632434,-0.914518,0.060275,-1.285420,-1.555253,0.002492
2817,0.314426,-0.179380,9.808656,1.435195,-1.151036,-0.183874,-1.209099,-1.629938,-0.003637
2818,-0.061764,-0.035858,9.776229,-0.144138,-0.761925,0.067904,-1.031818,-1.407035,-0.001373
2819,-0.037272,0.018303,9.827205,-0.083101,-1.654592,-0.008392,-0.879400,-1.242860,-0.001653
2821,-0.383011,-0.079427,9.841948,-0.174657,-0.861111,-0.069429,-0.752439,-0.746549,-0.003967
2822,0.820826,0.004804,9.692140,-0.159397,-3.233925,0.098423,-0.644089,-1.452317,-0.000687
2823,0.239248,-0.031220,9.778757,-0.052583,3.686147,0.144200,-0.548966,-1.340256,0.004120
2824,-0.014822,-0.057270,9.783894,-0.075471,0.603778,-0.000762,-0.468759,-1.122111,0.004095
2825,-0.070838,0.014971,9.785845,-0.090731,0.153630,0.014497,-0.401016,-0.949441,0.004578
2826,-0.095703,-0.019285,9.799722,-0.067842,0.176519,-0.000762,-0.342786,-0.802024,0.004553
2827,-0.046546,-0.057341,9.813520,-0.060212,0.084963,0.045015,-0.293074,-0.679313,0.006053
2828,-0.059591,-0.006855,9.798651,-0.083101,0.138371,0.006867,-0.251467,-0.573496,0.006282
2829,-0.058318,-0.017075,9.792786,-0.144138,0.115482,-0.031281,-0.217831,-0.484199,0.005239
2830,-0.065265,-0.029833,9.783906,-0.144138,0.001038,0.022126,-0.189240,-0.411540,0.005977
2831,-0.048051,-0.007434,9.787395,-0.121249,0.092593,0.006867,-0.164290,-0.347186,0.006206
2832,-0.062793,-0.016993,9.804689,-0.121249,0.100223,0.029756,-0.143082,-0.292268,0.007198
2833,-0.051490,-0.049085,9.809234,-0.113620,0.092593,0.006867,-0.124839,-0.245804,0.007426
2834,-0.087574,-0.034987,9.777842,-0.105990,0.084963,-0.046540,-0.109116,-0.206526,0.005875
2835,-0.060583,-0.024324,9.789257,-0.151768,0.077333,0.022126,-0.097049,-0.173356,0.006613
2836,-0.044474,-0.054841,9.769954,-0.113620,0.031556,-0.038911,-0.085711,-0.146459,0.005316
2837,-0.046501,-0.062765,9.809991,-0.105990,0.077333,-0.000762,-0.075857,-0.122299,0.005290
2838,-0.083004,-0.001452,9.776369,-0.083101,0.008667,-0.031281,-0.066833,-0.103709,0.004248
2839,-0.111155,-0.047114,9.790329,-0.090731,0.016297,-0.000762,-0.059379,-0.087690,0.004222
2840,-0.073623,-0.036929,9.800028,-0.060212,0.123111,-0.038911,-0.052178,-0.071049,0.002925
2841,-0.049809,-0.025860,9.798889,-0.113620,0.001038,0.029756,-0.047570,-0.060362,0.003917
2842,-0.042037,-0.035965,9.795452,-0.075471,0.100223,0.045015,-0.042573,-0.048468,0.005417
2843,-0.069401,-0.026877,9.785643,-0.098360,0.023926,-0.023651,-0.038974,-0.040520,0.004629
2844,-0.057747,-0.009806,9.799883,-0.075471,0.023926,0.037386,-0.035266,-0.033764,0.005875
2845,-0.070969,-0.024350,9.798737,-0.128879,0.023926,-0.046540,-0.033628,-0.028022,0.004324
2846,-0.040412,-0.056254,9.797441,-0.128879,0.054445,0.006867,-0.032235,-0.022276,0.004553
2847,-0.058358,-0.018920,9.788625,-0.144138,0.062075,0.045015,-0.031484,-0.017176,0.006053
2848,-0.084523,-0.013056,9.808090,-0.182286,0.084963,0.006867,-0.031926,-0.012192,0.006282
2849,-0.055174,-0.064389,9.783694,-0.189916,-0.052370,-0.000762,-0.032518,-0.011847,0.006257
2850,-0.030697,-0.018116,9.825197,-0.174657,-0.044740,0.029756,-0.032589,-0.011338,0.007249
2851,-0.022192,-0.067124,9.818543,-0.121249,0.069704,-0.000762,-0.031136,-0.007662,0.007223
2852,-0.050140,-0.042061,9.794859,-0.136508,0.153630,-0.046540,-0.030333,-0.002160,0.005672
2853,-0.063297,0.002670,9.799135,-0.098360,0.107852,-0.077059,-0.028570,0.001220,0.003103
2854,-0.036461,-0.040547,9.806272,-0.113620,0.123111,-0.000762,-0.027504,0.004525,0.003078
2855,-0.054335,-0.044218,9.819315,-0.121249,0.130741,0.014497,-0.026814,0.007551,0.003561
2856,-0.044028,0.020441,9.813417,-0.121249,0.123111,-0.000762,-0.026227,0.009906,0.003536
2857,-0.061743,-0.052432,9.790702,-0.136508,0.115482,-0.061800,-0.026161,0.011692,0.001476
2858,-0.073355,-0.031679,9.788644,-0.128879,0.023926,-0.046540,-0.025888,0.010616,-0.000076
2859,-0.104129,0.001674,9.811406,-0.151768,0.069704,-0.031281,-0.026305,0.010999,-0.001118
2860,-0.015662,-0.027147,9.803302,-0.105990,0.069704,0.037386,-0.025362,0.011324,0.000128
2861,-0.041459,-0.046870,9.783027,-0.060212,0.031556,-0.023651,-0.023264,0.010519,-0.000660
2862,-0.060500,-0.016998,9.801721,-0.014434,-0.014222,-0.061800,-0.020183,0.008539,-0.002720
2863,-0.062687,-0.013061,9.783174,0.008455,0.001038,0.022126,-0.016916,0.007287,-0.001983
2864,-0.062915,-0.048205,9.795428,-0.006805,-0.014222,0.006867,-0.014572,0.005791,-0.001754
2865,-0.038904,-0.029508,9.781691,-0.067842,0.031556,-0.000762,-0.014308,0.005817,-0.001779
2866,-0.097156,-0.017062,9.787161,-0.113620,0.153630,-0.000762,-0.015381,0.009297,-0.001805
2867,-0.050189,-0.034821,9.800162,-0.144138,-0.006592,0.014497,-0.017158,0.007716,-0.001322
2868,-0.041190,-0.042225,9.771051,-0.174657,0.062075,0.052645,-0.019533,0.008317,0.000433
2869,-0.033661,-0.029688,9.810964,-0.113620,0.039186,-0.008392,-0.019822,0.008180,0.000153
2870,-0.055989,-0.028570,9.779183,-0.090731,0.062075,-0.016022,-0.019419,0.008712,-0.000381
2871,-0.091112,-0.058905,9.782214,-0.098360,0.046815,-0.038911,-0.019293,0.008731,-0.001678
2872,-0.042700,0.000561,9.799887,-0.121249,0.054445,0.029756,-0.019835,0.008964,-0.000686
2873,-0.061149,-0.014017,9.801689,-0.144138,0.046815,-0.016022,-0.020944,0.008946,-0.001220
2874,-0.035405,-0.051517,9.787882,-0.136508,0.046815,-0.031281,-0.021670,0.008931,-0.002262
2876,-0.080459,-0.028179,9.789163,-0.144138,0.107852,-0.008392,-0.022503,0.010647,-0.002542
2877,-0.026448,-0.057355,9.789784,-0.121249,-0.029481,0.006867,-0.022563,0.008214,-0.002313
2878,-0.072842,-0.023236,9.793940,-0.060212,0.084963,-0.023651,-0.020885,0.009390,-0.003102
2879,-0.070578,-0.032575,9.810748,-0.121249,-0.014222,0.006867,-0.021187,0.007578,-0.002873
2880,-0.036715,-0.027763,9.775125,-0.090731,0.077333,0.006867,-0.020580,0.008633,-0.002644
2881,-0.039843,-0.021491,9.803091,-0.105990,0.046815,0.045015,-0.020496,0.008664,-0.001143
2882,-0.055270,-0.013931,9.802322,-0.113620,0.092593,-0.038911,-0.020641,0.009988,-0.002440
2883,-0.021991,-0.039270,9.796807,-0.098360,0.069704,0.006867,-0.020332,0.010465,-0.002211
2884,-0.066968,-0.037923,9.809628,-0.083101,0.039186,-0.000762,-0.019636,0.010005,-0.002237
