seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,0.167433,0.036584,-0.084507,0.267862,-1.570666,1.624348,-23.408697,61.190006,0.000000
2,0.076039,0.093050,-0.090406,0.465706,-1.622486,0.825767,-23.185638,61.270424,0.027526
3,0.098974,0.145376,-0.076926,0.679203,-1.222458,0.857730,-22.727455,61.354328,0.056117
4,0.146631,0.024840,-0.081344,0.981634,-0.872442,0.276148,-22.729944,61.332977,0.065322
5,0.129186,0.061882,-0.026375,0.912555,-0.113270,-0.042843,-22.506798,61.289478,0.063893
6,0.160683,0.057960,-0.138191,0.801463,-0.035762,-0.137373,-22.479607,61.305347,0.059314
7,0.007613,0.122421,0.034226,0.664495,-0.005071,-0.125490,-21.943542,61.319096,0.055131
8,0.079267,0.012877,-0.085960,-0.287106,-2.366345,0.018835,-22.037014,61.311188,0.055759
9,-0.082879,0.055954,0.109143,0.607847,-1.831238,0.527403,-21.650291,61.189255,0.073339
10,0.118802,0.070665,-0.120452,-0.054098,-3.424210,1.513725,-21.562799,61.201225,0.123797
11,-0.096983,0.106641,0.087528,0.257614,-1.334245,1.788796,-21.030466,61.170513,0.183423
12,0.030430,-0.014380,0.105275,0.765734,-3.076342,2.630452,-20.910461,60.863575,0.271105
13,0.145431,0.119024,-0.028146,0.386414,-9.558001,3.385478,-20.833403,60.541008,0.383954
14,0.158544,0.384642,-0.197373,-0.765660,-12.197852,4.827478,-20.667070,60.194992,0.544870
15,0.591823,0.807669,-1.041528,-2.467067,-11.900296,8.649920,-20.424370,60.067337,0.833201
16,0.657500,0.394374,-1.948453,-1.376030,3.549699,11.915401,-20.812151,60.680607,1.230381
17,0.946422,0.555294,-2.163172,1.454562,28.139988,13.090364,-21.095226,62.184074,1.666727
18,1.514040,0.241661,-1.784423,3.873154,49.762352,8.680440,-21.473324,64.186974,1.956075
19,0.896181,0.367301,-1.996650,4.857377,66.509384,11.442364,-21.961058,66.926147,2.337487
20,0.964240,-0.059655,-2.067146,4.918413,86.476120,10.786216,-23.443533,70.240906,2.697027
21,1.421894,-0.926346,-1.159703,14.272337,120.122780,5.445477,-24.729979,74.197983,2.878543
22,1.755955,0.057040,0.252157,26.037222,144.873276,3.858515,-23.643215,78.823364,3.007160
23,0.892239,-1.114070,0.388242,27.303740,144.842758,13.426067,-23.983665,83.290901,3.454696
24,-0.356621,-1.874286,0.295809,26.540777,139.494400,8.138735,-25.517691,87.439102,3.725987
25,-0.151007,-1.113029,0.106574,33.148033,154.471344,11.923031,-28.360245,92.182854,4.123421
26,-1.793314,-1.827461,0.558564,28.852554,130.705063,15.020659,-31.178017,95.881531,4.624110
27,-1.306414,-1.377039,-0.226162,21.245815,99.690636,15.173252,-27.856270,99.193123,5.129885
28,-1.834241,-1.601959,0.853471,20.467592,94.670341,32.782429,-23.959721,102.050064,6.222632
29,-2.128328,-2.023395,0.422469,12.120782,68.638054,44.821983,-20.736298,104.148132,7.716699
30,-1.862608,-1.786080,0.989723,5.391450,51.356945,50.651020,-17.877575,105.518692,9.405066
