seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
30,-0.007293,0.247812,-0.032377,-14.334353,9.113421,23.750063,-82.556610,-1.671609,12.586536,0.747961,-0.654470,-0.083205,0.072805
31,-1.447707,-0.215400,-1.798740,20.388420,12.144589,2.586336,-82.666542,-1.005156,12.297722,0.747153,-0.655908,-0.077287,0.074666
32,-1.414980,0.432792,-1.710299,29.053028,3.863771,-9.025318,-82.255501,-0.705389,12.030926,0.749507,-0.653620,-0.073539,0.074910
33,-1.782098,0.564695,-1.692141,35.825760,-3.821829,-14.860931,-81.563797,-0.685883,11.984466,0.753459,-0.649128,-0.072694,0.075157
34,-1.352431,0.532234,-1.603515,39.705582,-8.473859,-11.997376,-80.672646,-0.759207,12.128369,0.758429,-0.643103,-0.073400,0.076261
35,-1.943286,1.066682,-1.508102,41.006939,-11.251935,-13.256557,-79.661880,-0.796547,12.391147,0.763915,-0.636192,-0.074432,0.078449
36,-2.365981,1.462718,-1.037876,40.545284,-12.316043,-10.580337,-78.541855,-0.667712,12.715039,0.769796,-0.628585,-0.074574,0.082057
37,-2.535365,1.500729,-1.016184,37.234058,-8.365653,-5.769914,-77.397995,-0.313161,13.010164,0.775607,-0.620960,-0.072952,0.086719
38,-1.984079,1.998450,-1.300845,32.798008,-2.945709,-4.852357,-76.401939,0.143604,13.167372,0.780575,-0.614456,-0.069926,0.090870
39,-2.113885,2.248836,-1.491606,27.143740,2.684907,-14.349472,-75.627098,0.483430,13.104155,0.784548,-0.609464,-0.066646,0.092714
40,-1.619290,2.228445,-1.897418,21.737288,7.685309,-26.117666,-75.129929,0.476542,12.772122,0.787455,-0.606239,-0.064534,0.090684
41,-1.531038,2.787089,-2.177640,14.269705,12.795447,-42.829178,-74.960083,-0.028178,12.145814,0.789128,-0.605050,-0.064568,0.083806
