seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,0.108164,0.017456,-0.023048,2.854306,-1.501999,1.288645,-37.138462,75.034836,0.000000
2,0.144514,0.036696,0.044687,3.174750,-0.616962,-0.756096,-36.615349,74.912186,-0.025203
3,0.020683,0.182192,0.003151,2.800898,-0.876370,-0.824762,-35.339428,75.058029,-0.052695
4,0.189888,-0.033592,-0.128169,1.603047,-2.081851,-0.603503,-35.410809,74.998337,-0.072812
5,0.289208,0.029219,0.007229,1.259713,-1.517258,0.693534,-35.335556,74.927269,-0.049694
6,0.003909,0.000926,-0.044138,0.931639,-1.364666,0.891904,-35.493668,74.948235,-0.019964
7,0.277103,0.059734,-0.057661,0.672232,-0.059999,-1.725058,-35.452656,74.948387,-0.077466
8,0.157496,0.204912,0.001280,0.824825,0.641926,0.067904,-34.076355,75.095909,-0.075203
9,0.238461,0.046905,-0.024196,-0.380656,1.176000,0.586719,-34.058159,75.129883,-0.055645
10,0.367667,0.230763,-0.148095,-1.380138,3.304666,0.220497,-33.957947,75.287415,-0.048295
11,0.452139,-0.007442,-0.805002,-0.807916,4.616962,2.112644,-34.753975,75.593628,0.022126
12,1.130434,0.362797,-0.951856,1.954010,11.895626,4.287088,-35.248066,76.226555,0.165029
13,1.118472,1.531877,-1.221641,2.778009,22.638142,14.770196,-31.694490,77.386856,0.657369
14,1.051322,0.822031,-0.589063,3.212898,31.671619,27.992340,-30.417526,78.659370,1.590447
15,0.984210,0.029214,-0.625865,5.242379,42.879543,44.106113,-31.027521,80.204918,3.060651
16,1.337472,-0.696560,-0.232622,6.226601,49.189247,54.375591,-32.088467,81.662506,4.873171
17,0.845137,0.890048,0.210794,13.947784,55.941467,54.360332,-29.233852,83.455795,6.685182
18,0.039550,0.418529,-0.255471,13.512896,45.809322,54.490036,-27.344252,85.089088,8.501516
19,-0.809897,1.002406,0.017381,16.854671,49.715691,61.097294,-22.690306,86.652100,10.538093
20,-0.389085,0.474629,-0.380685,16.328228,43.611988,70.962402,-24.624144,88.305183,12.903506
21,-1.048755,0.832197,0.737228,17.335339,34.937103,67.994476,-20.739716,89.189201,15.169989
22,-1.354178,1.146078,0.881976,20.837337,30.992584,71.839806,-16.472313,89.839584,17.564650
23,-0.648233,-0.147083,0.848268,23.820522,27.025177,58.877071,-14.894381,90.490875,19.527218
24,-0.402336,1.484239,0.306313,25.376966,18.396069,43.152409,-17.964394,91.484352,20.965631
25,-1.148032,2.603443,0.351392,27.078373,2.854518,36.041599,-20.707436,92.202103,22.167019
26,-0.391398,1.779796,0.016734,24.545336,-6.514665,29.510637,-22.859325,92.434303,23.150707
27,-0.922155,1.144556,-0.433816,24.003633,-7.491257,17.074343,-23.855621,92.487373,23.719852
28,-1.005881,2.652416,0.367461,18.166967,-15.868587,4.508348,-26.556870,92.599632,23.870131
29,0.506682,2.978569,-0.175299,8.629933,-22.292734,0.701163,-28.939215,92.729637,23.893503
30,-0.225073,-0.083032,-0.132526,8.752007,-22.315622,5.637532,-27.215107,92.013634,24.081421
31,0.305972,-1.037202,-1.152642,0.885862,-33.760063,-14.634388,-24.090311,91.338463,23.593609
32,2.407911,1.389966,0.020936,-17.402355,-50.835171,-41.002380,-27.918026,90.199509,22.226862
33,-0.240649,4.709090,0.644934,-20.263466,-49.751762,-24.690237,-32.065262,89.877556,21.403854
34,0.487767,1.107279,0.432593,-14.632799,-41.710136,14.999085,-36.938610,88.915398,21.903824
35,2.637604,3.071860,0.828748,-5.141544,-28.838953,-0.679799,-40.617775,89.234482,21.881165
36,2.513218,1.536154,1.582185,-4.439619,-31.463545,-1.282540,-37.068272,87.394936,21.838413
37,2.804933,2.828988,0.738618,2.343121,-34.286507,-16.984312,-40.769135,87.517044,21.272270
38,2.451016,2.611969,-0.215043,6.829341,-27.580065,-20.135349,-43.110710,87.650169,20.601091
39,1.905311,2.172942,0.058418,13.512896,-13.449995,-32.518234,-45.459736,88.037048,19.517151
40,2.623833,0.705235,-0.888498,19.853115,-1.822443,-59.550003,-44.387432,88.421234,17.532150
41,5.358289,0.598740,0.467336,21.104374,5.852962,-84.865105,-40.034428,88.168579,14.703314
42,3.844199,0.553399,-0.886298,15.488969,17.839108,-89.717552,-39.092609,89.263382,11.712729
43,0.097527,2.760306,-1.512470,5.600971,45.527023,-63.052002,-39.935265,91.712830,9.610995
44,-3.396812,0.278057,-2.116512,-15.624651,76.755089,-29.924160,-39.232014,94.666985,8.613523
45,-3.341489,-2.252956,0.457510,-34.683464,97.805229,-3.754539,-43.725700,97.210686,8.488372
46,-2.860097,-1.945832,1.633137,-50.095310,112.408333,-5.433057,-46.049454,100.224106,8.307270
47,-2.242223,-0.117459,0.290389,-55.413158,112.446480,12.313457,-48.098446,103.769646,8.717719
48,-1.422194,-3.118916,0.624662,-48.714348,115.086334,23.292490,-45.397217,107.189041,9.494136
49,-1.856522,-2.389466,0.749222,-40.947388,108.189148,17.905973,-44.424023,110.184311,10.091002
50,-0.530246,-1.971991,0.862558,-35.827908,104.252266,25.543230,-44.378262,113.072350,10.942443
51,-0.253528,-3.313468,0.555157,-20.858576,95.127228,22.537157,-42.333710,115.738457,11.693682
52,-1.057047,-2.119049,-0.806695,-10.505172,85.841972,22.148046,-41.171429,118.396774,12.431950
53,-1.666888,-2.643257,-1.380023,-9.902431,85.491005,20.469528,-39.747948,121.073601,13.114267
54,-0.938971,-3.070886,-1.392111,-2.570360,90.824120,20.164343,-37.995594,124.008743,13.786412
55,-0.018984,-2.099700,0.131007,16.068819,73.367531,18.470566,-36.409233,126.168762,14.402098
56,0.436763,-1.632688,-0.616890,9.339489,46.488358,22.628712,-35.209663,127.757027,15.156388
57,-0.818911,-2.404135,-0.745413,2.106602,23.729179,27.603230,-33.865814,128.353210,16.076496
58,-0.464098,-1.536126,-1.029091,5.089787,6.287850,23.643454,-32.815006,128.547928,16.864611
59,0.012608,-2.056896,-0.780311,3.342602,12.216072,34.599598,-31.620251,128.952377,18.017931
60,0.165772,-2.202169,-0.014332,3.617268,0.962370,35.301525,-30.410763,128.826157,19.194649
61,-0.237919,-1.600031,-1.511112,3.304453,-9.452070,32.066559,-29.365053,128.662018,20.263535
62,-1.212346,-0.552571,-0.778935,2.633046,-9.703848,27.336193,-28.879763,128.235046,21.174742
63,-0.845093,-1.108205,-0.739611,-2.074434,-3.531480,-4.128391,-28.310266,128.029297,21.037128
64,-0.897301,-0.887226,1.345953,12.078526,1.633778,-47.098454,-27.799276,127.516640,19.467180
65,0.795663,-0.626611,2.120243,31.198372,-5.599109,-36.424603,-27.089220,126.858208,18.253027
66,-0.749891,-0.463942,0.734541,28.116001,-37.307838,-28.665272,-26.093246,125.270485,17.297518
67,-1.918998,-0.113207,-0.169548,0.626454,-73.251015,-34.402752,-25.973833,122.581375,16.150759
68,-2.411994,-0.390037,-1.585146,1.168158,-60.913906,-31.556900,-25.440723,120.535606,15.098862
69,-0.796982,-0.598530,-2.284757,24.263041,-13.770439,-12.490462,-23.988573,120.421638,14.682513
70,-0.129835,-0.634386,-0.863559,16.206154,24.782068,-1.183355,-22.961630,121.384048,14.643068
71,0.072092,-0.979030,-1.324403,12.810969,19.860958,-2.640613,-21.854382,122.310059,14.555048
72,0.585285,-1.271705,-0.306380,13.848598,14.077700,-5.074465,-20.650158,122.881790,14.385900
73,0.516823,-0.847943,-2.544365,2.434676,14.192144,-6.073946,-19.917665,123.964081,14.183434
74,0.587245,-1.051586,0.243706,3.579120,20.288218,8.651235,-19.253635,124.615982,14.471809
75,-0.005819,-1.117042,-0.580725,-0.456953,6.341258,12.633901,-18.632471,124.906731,14.892940
76,0.691901,-1.026860,-0.939273,-2.639026,1.427778,7.171087,-18.115526,125.257004,15.131976
77,1.396201,-1.198528,0.204804,-1.662434,-6.224739,3.508866,-17.540972,125.208099,15.248939
78,0.508599,-0.750754,-1.123957,-2.799249,-12.954069,2.005830,-17.151337,125.096565,15.315800
79,0.377829,-0.456931,-0.778118,-2.471174,-11.657033,1.441237,-16.913698,124.935646,15.363841
80,-0.279484,-0.781341,-0.719610,-2.471174,-10.153996,-3.273873,-16.524532,124.680794,15.254712
81,-1.239575,-1.252400,-0.543461,0.267862,-5.209998,-12.170018,-15.815456,124.392258,14.849045
82,-0.914755,-1.212689,0.863126,4.052157,3.350443,-23.965422,-15.033824,124.089890,14.050198
83,-0.551718,-1.496748,0.968019,1.976898,8.767479,-31.511124,-14.114778,123.994347,12.999826
84,-0.977118,-1.564316,1.863568,-1.044434,3.136815,-37.546158,-13.161136,123.415245,11.748288
85,-0.441095,-1.430884,1.016115,-4.813470,-4.820887,-23.912014,-12.463053,122.881241,10.951221
86,-0.766031,-2.279842,0.795045,-5.851099,-6.880887,-12.093721,-11.219000,122.348846,10.548098
87,-0.721864,-1.172252,1.101719,-6.469099,-2.165777,-6.173131,-10.712093,121.852043,10.342326
88,0.341008,-1.731862,1.313315,-9.177616,-3.775628,1.593830,-9.816991,121.412575,10.395453
89,-0.401754,-1.550958,0.891444,-10.413616,-1.578295,9.910124,-9.140336,121.059814,10.725791
90,0.598271,-1.285548,1.162928,-10.970579,-1.379925,13.091679,-8.631837,120.767967,11.162180
91,-0.034312,-1.520721,0.894302,-9.284431,-9.291849,16.792048,-7.899165,120.216911,11.721915
92,0.044888,-1.128098,-0.149582,-13.068727,-11.153478,13.465530,-7.644794,119.886261,12.170766
93,-0.707375,-0.523685,-0.425267,-15.449171,-3.264443,18.775751,-7.751778,119.771965,12.796624
94,-1.571948,0.363218,-0.891340,-14.716726,-3.691702,31.364635,-8.361942,119.658844,13.842112
