seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-0.130542,-0.001133,0.026883,-0.105990,-1.944518,1.891385,-2.412890,0.000000,0.000000
2,-0.193062,0.035937,0.016960,-0.013961,-1.740558,1.379229,-2.342212,0.316987,0.045974
3,-0.149162,-0.051287,0.002165,0.230020,-2.664969,1.643951,-2.434083,0.518266,0.100773
4,-0.079041,0.029347,-0.075478,0.008473,-1.507573,1.789302,-2.382419,0.624718,0.160416
5,0.020913,0.091606,-0.145620,0.310755,-1.878781,2.490731,-2.202162,0.421569,0.243440
6,-0.285008,0.079170,-0.030161,0.271050,-0.924268,3.796421,-2.040654,0.948031,0.369988
7,-0.066465,-0.431328,-0.440041,0.741830,1.548646,3.893344,-2.159641,1.023340,0.499766
8,-0.576641,-0.471157,-0.091467,0.825756,11.169607,2.039344,-2.278980,1.573983,0.567744
9,-0.831912,-0.569958,-0.214376,-0.539947,13.115162,-0.951470,-2.478299,2.271830,0.536028
10,0.558188,0.212337,-0.303841,-3.095872,21.645086,-3.011469,-2.518306,2.843667,0.435646
11,1.105467,0.055580,-0.695815,-4.423427,38.140339,5.701565,-2.658041,3.763967,0.625698
12,1.385123,-0.200256,0.596177,-4.080093,56.604038,12.476674,-2.843579,5.232930,1.041587
13,-0.026638,-0.622498,0.400156,-6.697055,59.320187,9.539268,-3.244225,7.201372,1.359563
14,0.033920,-0.776038,-0.668514,-5.735723,55.184929,5.548972,-3.706507,9.059770,1.544529
15,0.516044,-0.917627,-0.220730,-2.767798,44.923077,0.650752,-4.093549,10.404243,1.566220
16,0.591545,-1.085053,-0.115550,2.435608,32.990341,-3.133543,-4.353995,11.322465,1.461769
17,1.148943,-0.373933,-0.133456,6.959978,24.796122,-5.513987,-4.243471,11.799160,1.277969
18,0.909907,-0.076024,0.019999,10.439087,25.787973,2.512381,-3.918880,12.379827,1.361715
19,-0.034248,0.675988,0.386999,14.871901,29.747749,10.973638,-3.251992,13.355798,1.727503
20,-1.127419,1.130534,0.612532,15.756937,25.734566,21.365191,-2.382166,14.476072,2.439677
21,-0.295379,0.852484,-1.644243,17.908493,31.624638,24.836672,-1.472163,15.792472,3.267566
22,-0.464148,1.548930,-0.787366,11.484345,45.434265,34.877258,-0.551705,17.514629,4.430141
23,-1.355778,0.621289,1.370229,-1.913280,47.303524,46.367477,-0.436382,19.305374,5.975724
24,0.011580,-0.709887,0.141150,3.412200,36.332119,31.237928,-0.551027,20.494652,7.016988
25,-0.133402,0.060700,-0.361026,13.956346,36.675453,16.993414,-0.081524,21.798796,7.583435
26,-0.172896,1.386636,-0.490511,14.047900,39.475525,14.979192,0.874277,23.209131,8.082742
27,-0.041597,0.937023,-0.399129,9.370939,30.747231,7.448750,1.518709,24.287912,8.331034
28,-0.187222,0.376396,-0.326379,3.572422,23.949232,0.513419,1.773740,25.180164,8.348147
29,0.295663,0.469648,-0.272590,-4.179278,16.868938,-5.193542,1.802204,25.691317,8.175030
30,0.399588,0.734874,0.518012,-13.624758,6.889386,-12.350133,1.579300,25.741175,7.763359
31,-0.769210,-0.198765,1.018474,-24.275717,-5.592684,-23.870869,0.731604,25.623789,6.967663
32,-1.021662,-0.285685,-0.368973,-29.891123,-5.760537,-32.072720,-0.367302,25.757805,5.898572
33,0.015338,-0.591851,-2.184382,-19.903940,8.934126,-12.266207,-1.322533,26.412472,5.489698
34,-0.088529,-0.390177,0.475259,-2.920391,15.144644,-18.141020,-1.542979,26.875088,4.884998
35,-0.203305,0.853247,1.029979,1.359830,9.910719,-19.674574,-1.227510,27.122532,4.229178
36,-0.062114,-0.626239,-0.994200,-4.659945,5.599979,-2.805469,-1.637596,27.474127,4.135663
37,0.237038,-0.700176,-1.076266,2.847608,10.719460,2.184307,-1.832556,27.923008,4.208473
38,-0.456066,-0.847216,-0.521755,13.345975,2.105609,-3.965173,-1.705574,28.185530,4.076300
39,-0.904704,0.281678,0.461772,14.314937,-4.173573,-4.613690,-1.166989,28.210440,3.922510
40,-0.411125,0.684734,-2.043753,7.684792,7.408201,1.352678,-0.605844,28.941891,3.967600
41,-0.140584,-0.034392,-0.409571,12.636419,25.223381,-1.279544,-0.175399,29.885799,3.924948
42,-0.102811,-0.175262,-0.047974,8.653755,27.420712,-0.768359,0.049980,30.834208,3.899336
43,0.402552,-0.483629,0.113256,4.190423,21.568789,-1.935692,0.017934,31.425995,3.834813
44,0.345697,-0.454589,0.158040,6.624274,19.684271,-7.017024,0.077167,31.963970,3.600913
45,0.781782,-0.196241,-0.276875,11.392791,23.575380,-11.404059,0.434081,32.581989,3.220777
46,0.118175,-0.051111,-0.018378,13.292567,26.520418,-11.053097,0.833308,33.438679,2.852341
47,0.406702,0.064521,-0.232318,10.805309,27.611454,-8.512430,1.220084,34.292892,2.568593
48,0.595242,0.001282,-0.050463,8.432495,36.309231,-5.010432,1.502155,35.357315,2.401579
49,0.495861,-0.484190,0.612775,8.455384,38.163227,-4.194061,1.606298,36.399906,2.261777
50,0.276865,-0.096453,0.530381,7.661902,36.904339,-3.934654,1.768610,37.468079,2.130621
51,0.320965,-0.253344,-0.180203,4.693978,30.609898,-0.669174,1.828822,38.444798,2.108316
52,0.276717,-0.313870,0.092915,4.640571,32.044266,-2.668136,1.884332,39.428947,2.019378
53,0.532545,-0.143079,-0.477329,0.619756,32.196861,2.115640,1.809741,40.471260,2.089899
54,0.472684,-0.053949,0.153265,0.589238,38.910931,4.694455,1.805711,41.625893,2.246381
55,0.128123,-0.163545,0.012821,-0.913799,39.498413,5.732084,1.686489,42.911343,2.437450
56,-0.051934,0.208597,0.495028,-3.042464,33.547302,4.152751,1.662447,43.937489,2.575876
57,-0.848352,0.383681,0.448228,-3.896982,21.492493,2.794677,1.682765,44.730526,2.669031
58,-1.021603,-0.677408,-0.372326,-2.310021,2.906721,1.474752,1.298249,45.111401,2.718190
59,0.083968,-0.087283,-1.127331,-1.577514,-4.081025,1.485440,1.183382,45.224640,2.767704
60,-0.217351,0.242955,-0.797862,-1.867440,2.381270,3.522550,1.250170,45.532215,2.885123
61,-0.267822,0.282346,-0.180627,-0.588600,-3.157627,2.137793,2.059975,46.014027,2.956383
62,0.024366,0.374005,-0.253343,-1.381048,-5.895214,2.134124,3.138570,46.099648,3.027520
63,-0.182339,-0.034566,-0.334208,-2.147517,-2.078612,5.923636,3.016342,46.756252,3.224974
64,-0.080818,-0.277187,-0.081166,-3.276702,5.085608,3.337193,2.180339,47.155430,3.336214
65,0.261117,-0.044205,0.100416,-1.604825,0.609254,3.316341,1.993526,46.680721,3.446759
66,0.719626,0.102154,0.045627,-3.748750,2.364069,1.012194,1.913226,46.588020,3.480499
67,0.325530,-0.268514,0.591066,-3.420676,6.567994,-2.833139,1.709243,46.610420,3.386060
68,0.106485,-0.028228,0.192041,-3.756380,6.560365,-4.801583,1.569423,46.764202,3.226008
69,0.167173,-0.117563,-0.006303,0.981619,2.646366,-6.556397,1.201608,46.637131,3.007461
70,0.325565,0.025839,-0.084944,3.163692,0.151477,-5.534027,1.319651,46.590683,2.822994
71,0.765555,-0.077778,-0.250881,1.561470,3.920513,-4.214101,1.303115,46.607620,2.682523
72,0.437435,0.147011,0.020316,2.957692,11.557770,-6.922619,1.467333,46.892166,2.451770
73,0.150678,-0.030367,0.117504,2.026878,10.985548,-4.267509,1.458150,47.200363,2.309519
74,0.193092,-0.144406,0.075312,0.157619,10.909252,-3.329064,1.390234,47.506744,2.198550
75,-0.069793,-0.257613,-0.065352,-0.002603,12.419918,-3.062027,1.320640,47.950207,2.096483
