seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-0.003303,-0.006596,0.158080,-0.050245,-1.991464,1.825870,-2.389406,1.195882,0.000000
2,-0.054951,0.012016,0.153434,-0.005144,-1.888715,1.570866,-2.354470,1.231930,0.052362
3,-0.063617,-0.012570,0.147147,0.090627,-2.162105,1.574798,-2.363900,1.275530,0.104855
4,-0.053399,-0.004095,0.124105,0.082699,-2.009092,1.613604,-2.359187,1.305743,0.158642
5,-0.026724,0.013580,0.095630,0.138068,-1.991247,1.777562,-2.320946,1.286767,0.217894
6,-0.075343,0.030130,0.084484,0.211764,-1.785756,2.160580,-2.249347,1.368779,0.289914
7,-0.059738,-0.044581,-0.006234,0.361267,-1.126521,2.665349,-2.324585,1.447736,0.378759
8,-0.127990,-0.094482,-0.021121,0.479112,1.641491,2.745958,-2.494576,1.752804,0.470291
9,-0.291501,-0.209020,-0.046052,0.368468,4.566847,2.198932,-2.547384,1.995150,0.543588
10,-0.202986,-0.184017,-0.078224,-0.313486,9.272150,1.099231,-2.615894,2.367805,0.580229
11,0.072845,-0.192135,-0.213750,-1.252691,17.085331,1.480624,-2.721161,2.917706,0.629584
12,0.357064,-0.148360,-0.005755,-2.217076,28.096411,3.197290,-2.840787,3.744490,0.736160
13,0.464805,-0.181216,0.094187,-3.721638,37.726524,4.697275,-3.018565,4.858007,0.892736
14,0.637238,-0.225733,0.002549,-4.760794,46.140480,5.997363,-3.246778,6.199945,1.092648
15,0.628731,-0.455708,0.024960,-4.695179,50.796078,6.729807,-3.543029,7.698849,1.316975
16,0.523996,-0.688555,0.151004,-3.323372,49.766079,4.962786,-3.860044,9.190356,1.482401
17,0.477710,-0.727726,0.011226,-1.115358,43.404495,1.364653,-4.121984,10.487867,1.527889
18,0.663154,-0.621766,-0.063542,2.311871,36.698051,-0.040724,-4.240991,11.508834,1.526532
19,0.646968,-0.334797,0.148990,6.433396,31.610615,1.044209,-4.126417,12.357597,1.561339
20,0.320358,0.071544,0.316642,10.138343,27.772913,5.187097,-3.760298,13.168404,1.734242
21,0.146723,0.453767,0.004296,13.232920,27.499773,10.781139,-3.153240,14.041847,2.093614
22,-0.173280,0.838019,-0.130295,14.137794,31.627401,18.859388,-2.413077,15.158313,2.722260
23,-0.626453,0.977661,0.144796,11.667320,35.930511,27.630407,-1.714359,16.520294,3.643274
24,-0.617893,0.700754,0.099089,9.375380,37.247387,31.683266,-1.177291,17.926956,4.699383
25,-0.419582,0.486339,-0.095226,9.015262,39.435562,30.808910,-0.717113,19.371351,5.726346
26,-0.398973,0.593922,0.138316,8.243143,41.005741,28.837414,-0.249917,20.833117,6.687593
27,-0.317925,0.470907,0.217792,7.820462,38.068333,23.351713,0.163057,22.163673,7.465984
28,-0.084175,0.421141,-0.126483,8.917603,33.397476,14.180902,0.603551,23.314575,7.938681
29,-0.029141,0.657327,-0.211868,7.399307,29.504839,6.894608,1.077910,24.328789,8.168501
30,0.071468,0.793627,-0.035778,1.883086,23.547626,1.025899,1.410051,25.091274,8.202698
31,-0.053542,0.477998,0.272715,-5.781638,14.533984,-6.744113,1.372789,25.552013,7.977894
32,-0.251450,0.232841,0.281656,-13.634050,7.232430,-14.648408,0.993700,25.822916,7.489614
33,-0.212076,0.039470,-0.094444,-18.329323,4.229409,-17.204332,0.363587,26.035093,6.916136
34,-0.295131,-0.135847,0.057288,-18.077545,3.884551,-19.793829,-0.285148,26.236576,6.256341
35,-0.420871,-0.115538,0.160751,-15.080628,4.488817,-21.258717,-0.826005,26.476553,5.547718
36,-0.280690,-0.206624,-0.247230,-11.157474,6.727350,-17.045637,-1.273028,26.812016,4.979529
37,-0.033937,-0.294675,-0.393265,-4.609727,10.023350,-10.194232,-1.536972,27.210884,4.639722
38,-0.134183,-0.348735,-0.057770,2.040256,8.657646,-8.534025,-1.590982,27.541756,4.355254
39,-0.298244,-0.218880,-0.061792,5.487322,4.794003,-5.828559,-1.485138,27.789448,4.160969
