seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-0.130541,-0.001133,0.026883,-0.105990,-1.944518,1.891385,-2.412887,0.000000,0.000000
2,-0.193314,0.035939,0.016958,-0.014434,-1.799555,1.425978,-2.342222,0.315512,0.047533
3,-0.149991,-0.051317,0.002158,0.237343,-2.814295,1.746422,-2.433908,0.513426,0.105747
4,-0.080520,0.029294,-0.075495,0.016084,-1.707999,1.952422,-2.382096,0.616077,0.170827
5,0.018673,0.091488,-0.145642,0.328899,-2.142888,2.738274,-2.201467,0.408485,0.262103
6,-0.287952,0.078964,-0.030217,0.298380,-1.219703,4.172644,-2.039451,0.930833,0.401191
7,-0.070579,-0.431804,-0.440132,0.794306,1.305704,4.401533,-2.156836,0.999309,0.547909
8,-0.581866,-0.471891,-0.091638,0.878232,10.926664,2.547533,-2.274653,1.543460,0.632827
9,-0.838189,-0.570934,-0.214665,-0.487471,12.872219,-0.443281,-2.472526,2.235140,0.618051
10,0.550911,0.211132,-0.304253,-3.043396,21.402143,-2.503280,-2.511160,2.801118,0.534608
11,1.097246,0.054162,-0.696418,-4.370952,37.897396,6.209754,-2.649590,3.715852,0.741600
12,1.376019,-0.201865,0.595267,-4.027618,56.361095,12.984863,-2.833889,5.179528,1.174429
13,-0.036564,-0.624271,0.398805,-6.644580,59.077244,10.047457,-3.233359,7.142947,1.509344
14,0.023232,-0.777952,-0.670339,-5.683248,54.941986,6.057161,-3.694522,8.996572,1.711249
15,0.504637,-0.919671,-0.222969,-2.715322,44.680134,1.158941,-4.080502,10.336513,1.749881
16,0.579449,-1.087223,-0.118134,2.488083,32.747398,-2.625355,-4.339939,11.250429,1.662369
17,1.136182,-0.376247,-0.136292,7.012452,24.553179,-5.005797,-4.228456,11.723034,1.495509
18,0.896524,-0.078483,0.016896,10.491563,25.545031,3.020570,-3.902953,12.299815,1.596195
19,-0.048194,0.673381,0.383546,14.924376,29.504807,11.481827,-3.235200,13.272094,1.978922
20,-1.141880,1.127770,0.608692,15.809413,25.491623,21.873379,-2.364552,14.388862,2.708035
21,-0.310300,0.849561,-1.648527,17.960968,31.381695,25.344860,-1.453768,15.701929,3.552864
22,-0.479453,1.545850,-0.792211,11.536821,45.191322,35.385448,-0.532568,17.420919,4.732378
23,-1.371412,0.618122,1.364743,-1.860804,47.060581,46.875668,-0.416541,19.208656,6.294901
24,-0.004396,-0.713121,0.135164,3.464676,36.089176,31.746117,-0.530515,20.395075,7.353105
25,-0.149670,0.057345,-0.367520,14.008821,36.432510,17.501602,-0.060376,21.696505,7.936491
26,-0.189406,1.383103,-0.497518,14.100376,39.232582,15.487381,0.896028,23.104261,8.452738
27,-0.058353,0.933337,-0.406575,9.423415,30.504288,7.956939,1.541035,24.180592,8.717969
