seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
76,-0.002002,0.021132,-0.072132,-5.023575,-4.193686,24.367517,-16.331100,-1.526441,0.219039
77,-0.003717,-1.153245,-0.691949,-44.040478,24.935472,28.727180,-17.164925,-0.940430,0.966932
78,-0.183321,-1.281957,-0.015756,-16.971886,25.803789,33.225689,-18.184687,0.180963,1.693876
79,-0.308030,-1.379987,0.381812,-19.039028,22.172808,32.335510,-18.774963,1.283788,2.479030
80,0.196467,-0.523007,-0.114114,-27.523544,11.750292,23.225748,-19.530643,2.121653,3.168145
81,0.139525,-0.049794,-0.004375,-10.470513,2.723632,16.437769,-20.142044,2.573534,3.707255
82,0.025199,-0.194768,0.102193,-7.557015,-5.620937,10.711135,-20.422550,2.684565,4.148929
83,0.061454,-0.270939,0.061305,0.522353,-16.051620,1.298717,-20.526114,2.416151,4.462908
84,0.392012,-0.484524,-0.165848,-4.851128,-33.574360,-7.454987,-20.591845,1.605577,4.657136
85,0.268285,-0.540204,-0.254067,-6.967962,-36.528732,-6.549031,-20.785753,0.430267,4.851790
86,0.460475,-0.721543,-0.097256,-11.191920,-42.180912,-13.046786,-21.088957,-0.911471,5.015653
87,0.585570,-0.864689,-0.139165,1.845536,-24.007769,-14.757639,-21.244307,-2.107185,4.982070
88,0.315803,-0.419044,-0.531453,0.617366,-15.337962,-18.502829,-21.191708,-2.918921,4.701443
89,-0.141579,-0.093473,-0.281705,-2.380929,-5.450689,-18.260815,-21.196760,-3.463499,4.254804
90,-0.205194,-0.222194,0.188021,-1.439770,-1.248953,-17.049833,-21.228708,-3.780614,3.745710
91,-0.299230,-0.080129,0.071148,-0.388335,1.571697,-8.399813,-21.232578,-3.929158,3.347498
92,-0.264856,0.204405,0.032999,0.925486,1.683139,2.373003,-21.215948,-3.914939,3.233962
93,0.355884,0.058911,-0.129420,-1.482568,-2.691210,10.632876,-21.239405,-3.852098,3.442580
94,0.628949,-0.072638,-0.417578,-3.239869,-2.388174,14.217092,-21.345963,-3.780549,3.860126
95,0.345756,-0.290095,-0.455568,-5.556034,3.908880,13.722765,-21.519838,-3.586764,4.285197
96,0.094389,-0.308810,-0.187729,-6.591344,10.580308,12.502936,-21.740894,-3.201068,4.603073
97,-0.148028,-0.463727,-0.063715,-7.220054,15.821160,14.566988,-21.983818,-2.624624,4.858312
98,-0.442801,-0.434062,0.036981,-6.356871,19.393423,17.578829,-22.220827,-1.879276,5.134138
99,-0.481029,-0.257622,0.339444,-3.523791,19.842474,17.931053,-22.393143,-1.049731,5.433663
100,-0.102918,0.144007,0.268467,0.129697,15.294539,13.916203,-22.452868,-0.306036,5.701118
101,0.201762,0.248462,0.245814,1.491289,10.453201,7.203479,-22.425966,0.224874,5.862825
102,0.106749,0.339715,0.207452,2.830816,8.016078,-3.540975,-22.354252,0.532710,5.802078
103,0.149737,0.415474,-0.096596,3.626789,2.451738,-15.146423,-22.249826,0.575887,5.447762
104,0.051451,0.245752,-0.035146,-0.291039,-2.767221,-19.110136,-22.198235,0.355027,4.921292
105,-0.225802,-0.180294,0.140009,-3.191997,-4.478787,-14.580184,-22.257664,0.030672,4.447300
106,-0.394249,-0.424127,-0.030191,-6.209387,-5.087670,-9.553700,-22.413591,-0.269782,4.135917
107,-0.192576,-0.283012,-0.022451,-6.445192,-7.173361,-4.593126,-22.623425,-0.548971,3.996456
108,-0.350325,-0.349763,0.310963,-7.097518,-3.945659,1.918763,-22.849369,-0.737197,4.026978
109,-0.174876,-0.334404,-0.116528,-7.394653,-2.468973,3.092114,-23.092426,-0.803113,4.145703
110,0.046296,-0.127169,-0.172043,-7.070604,-2.752681,0.078740,-23.334696,-0.862271,4.228616
111,0.170789,0.034009,0.099198,-2.129903,-3.487813,-2.783070,-23.488058,-0.975580,4.228553
112,0.295069,-0.176815,0.127900,-1.096527,-4.168798,-5.344311,-23.540491,-1.146611,4.155185
113,0.290460,-0.255488,0.143432,-0.645175,-3.799821,-7.789911,-23.566313,-1.355817,4.007537
114,0.213992,-0.140351,0.312994,3.944662,-3.537717,-9.042549,-23.506010,-1.579953,3.799094
115,0.311398,-0.032256,-0.003911,7.896708,-4.808746,-10.367959,-23.301468,-1.836049,3.557278
116,0.213891,-0.130417,-0.180185,4.465542,-4.594152,-9.980240,-23.086792,-2.113603,3.307079
117,-0.034251,-0.159942,0.005872,2.547171,-3.091292,-7.676303,-22.961321,-2.346642,3.086244
118,0.035599,-0.097655,-0.054290,3.308289,-3.576032,-6.078503,-22.856583,-2.538254,2.918197
119,0.063128,-0.028235,-0.188542,2.562577,-3.502561,-4.468647,-22.753378,-2.715121,2.801746
