seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
30,0.000794,-0.001716,0.020597,-20.545853,1.686550,-1.916975,-4.763300,-2.198992,0.183191,0.998952,-0.041517,-0.019238,0.000800
31,-0.223302,-2.288756,-0.134508,-47.642704,1.803486,0.300314,-6.196307,-2.115437,0.161869,0.998369,-0.054011,-0.018509,0.000413
32,-0.134696,-2.285313,-0.099194,-43.621834,1.961097,-0.503578,-8.321320,-2.006886,0.171706,0.997212,-0.072516,-0.017575,0.000224
33,-0.084071,-2.392884,-0.009157,-36.868122,2.297082,-1.716432,-10.275337,-1.910857,0.144533,0.995845,-0.089516,-0.016721,-0.000237
34,-0.194061,-2.492503,-0.041355,-27.453239,2.149408,-2.889596,-11.962347,-1.814085,0.075025,0.994432,-0.104178,-0.015812,-0.000998
35,-0.194354,-2.520939,-0.327600,-17.371632,2.381804,-3.133447,-13.334846,-1.711307,-0.020303,0.993126,-0.116096,-0.014812,-0.001910
36,-0.160154,-2.416119,-0.671335,-8.202609,2.493600,-2.838653,-14.394776,-1.610007,-0.117790,0.992020,-0.125290,-0.013810,-0.002780
37,-0.178743,-2.326279,-0.909822,-2.331099,2.442096,-2.623214,-15.203128,-1.510024,-0.209052,0.991121,-0.132296,-0.012820,-0.003551
38,-0.212373,-2.069046,-1.205817,2.948500,2.157183,-2.308583,-15.811413,-1.408403,-0.292392,0.990413,-0.137563,-0.011823,-0.004218
39,-0.161245,-1.850723,-1.320691,4.633341,2.301036,-1.543825,-16.271753,-1.307278,-0.360074,0.989861,-0.141547,-0.010848,-0.004725
40,-0.095395,-1.810357,-1.134480,4.859760,2.356249,-1.302511,-16.664595,-1.213338,-0.414736,0.989377,-0.144943,-0.009952,-0.005115
41,-0.084043,-1.762184,-0.886072,5.068242,2.347289,-1.059714,-17.012821,-1.125937,-0.463955,0.988938,-0.147951,-0.009118,-0.005457
42,-0.087878,-1.572630,-0.748772,6.241611,2.200996,-0.548370,-17.288116,-1.038003,-0.502534,0.988585,-0.150327,-0.008296,-0.005697
43,-0.089784,-1.533560,-0.560847,4.777104,1.972317,-0.568058,-17.523560,-0.952685,-0.533251,0.988280,-0.152358,-0.007508,-0.005865
44,-0.046799,-1.396591,-0.464563,3.819556,1.482661,-0.844130,-17.764252,-0.885484,-0.566542,0.987961,-0.154433,-0.006871,-0.006078
45,-0.103041,-1.138191,-0.411776,2.799952,0.835847,-0.110045,-17.987324,-0.833078,-0.588252,0.987661,-0.156356,-0.006378,-0.006207
46,-0.100280,-1.030170,-0.346719,1.550397,0.088383,0.538595,-18.202286,-0.789692,-0.582029,0.987369,-0.158207,-0.006001,-0.006105
47,-0.043868,-0.937942,-0.397969,1.511131,-0.186118,0.730956,-18.416040,-0.765862,-0.557772,0.987075,-0.160046,-0.005818,-0.005874
48,0.011996,-0.766528,-0.349734,1.679688,0.000076,0.636391,-18.597906,-0.757287,-0.532021,0.986822,-0.161611,-0.005771,-0.005649
49,0.021386,-0.667189,-0.201751,2.188939,0.550891,0.805782,-18.727079,-0.744616,-0.509608,0.986641,-0.162722,-0.005688,-0.005445
50,0.023580,-0.575920,-0.065186,3.554605,1.005569,0.589107,-18.787823,-0.716938,-0.493871,0.986557,-0.163243,-0.005469,-0.005273
51,0.043307,-0.377756,0.177009,6.933496,1.031449,1.092655,-18.716513,-0.681829,-0.476911,0.986661,-0.162627,-0.005194,-0.005074
52,0.075050,-0.260970,0.586007,10.229136,0.968781,2.382031,-18.466946,-0.642695,-0.432214,0.987017,-0.160475,-0.004931,-0.004623
53,0.079015,-0.186363,0.784007,15.360970,0.677198,4.582369,-18.026899,-0.594174,-0.330797,0.987632,-0.156678,-0.004669,-0.003663
54,0.191106,-0.108926,0.855163,19.771360,-0.005142,5.816755,-17.396353,-0.557401,-0.169787,0.988485,-0.151235,-0.004584,-0.002200
55,0.179689,-0.183564,0.859587,23.469217,-0.539582,6.451417,-16.623592,-0.544848,0.027433,0.989485,-0.144557,-0.004739,-0.000450
56,0.220977,-0.174419,0.529342,24.255455,-0.012028,5.518946,-15.791564,-0.541633,0.220648,0.990508,-0.137361,-0.004946,0.001258
57,0.250112,-0.023705,-0.031662,20.692688,1.528626,2.604273,-15.016705,-0.536549,0.343471,0.991412,-0.130655,-0.005034,0.002360
58,0.211735,0.028590,-0.326792,11.392344,3.426332,-0.258516,-14.465080,-0.503611,0.359397,0.992031,-0.125881,-0.004755,0.002558
59,-0.083564,0.115425,-0.624689,2.206314,4.707975,-3.293619,-14.233619,-0.400931,0.268042,0.992288,-0.123883,-0.003762,0.001888
60,-0.291060,0.161863,-0.589203,-7.487901,6.560971,-6.629158,-14.321544,-0.205840,0.061349,0.992199,-0.124653,-0.001849,0.000307
61,-0.413996,0.045086,-0.399398,-15.880651,7.790307,-9.222986,-14.726764,0.058891,-0.254866,0.991751,-0.128160,0.000795,-0.002140
62,-0.506362,-0.189631,-0.299383,-21.331882,8.443113,-8.171302,-15.410913,0.372397,-0.606425,0.990954,-0.134061,0.003930,-0.004808
63,-0.601624,-0.254531,-0.000807,-22.416225,8.438454,-5.782844,-16.236471,0.728945,-0.909237,0.989935,-0.141159,0.007418,-0.006957
64,-0.470578,-0.416461,0.031035,-22.313572,8.607691,-1.549546,-17.096182,1.109439,-1.111095,0.988813,-0.148533,0.011015,-0.008149
65,-0.179631,-0.486687,-0.486344,-21.808563,7.586238,3.113925,-17.992775,1.469120,-1.171965,0.987586,-0.156222,0.014261,-0.008096
66,0.108484,-0.632118,-0.559207,-22.198275,6.205527,6.530498,-18.936995,1.762434,-1.097956,0.986238,-0.164333,0.016745,-0.006920
68,0.229164,-0.696510,-0.906737,-20.122581,3.499812,7.339076,-19.898975,1.962583,-0.940960,0.984807,-0.172610,0.018286,-0.005128
69,0.414070,-0.769113,-1.343486,-19.396439,1.713841,5.904365,-20.876776,2.049075,-0.774108,0.983293,-0.181026,0.018808,-0.003403
70,0.683074,-0.943900,-1.144687,-19.360472,2.217707,3.035032,-21.889563,2.029684,-0.670447,0.981660,-0.189728,0.018500,-0.002381
71,0.611662,-0.973902,-0.932045,-18.152588,2.712167,-0.606541,-22.885002,1.958574,-0.674781,0.979984,-0.198253,0.017919,-0.002380
72,0.399037,-0.929380,-1.082718,-15.913128,3.026909,-2.738856,-23.821119,1.897685,-0.774313,0.978338,-0.206242,0.017597,-0.003193
73,0.197000,-0.956296,-0.445704,-13.732826,3.651904,-3.642598,-24.649956,1.881571,-0.926772,0.976817,-0.213291,0.017766,-0.004395
74,0.104769,-1.187891,-0.365027,-7.758823,3.221298,-3.302557,-25.318087,1.899714,-1.089542,0.975548,-0.218955,0.018257,-0.005643
75,-0.109190,-1.215242,-0.544401,-2.294730,0.879054,-2.396253,-25.819613,1.921040,-1.215495,0.974571,-0.223200,0.018708,-0.006592
76,-0.112614,-1.428741,-0.442993,2.384824,-0.333771,-0.481209,-26.171061,1.934136,-1.274520,0.973877,-0.226176,0.018956,-0.007011
77,-0.082927,-1.505825,-0.407525,7.409114,-0.722635,1.665752,-26.370836,1.948386,-1.261367,0.973480,-0.227874,0.019063,-0.006838
78,-0.025122,-1.544099,-0.561875,10.095553,-1.303855,2.640753,-26.453482,1.961269,-1.194817,0.973318,-0.228586,0.019045,-0.006233
79,-0.062045,-1.350983,-0.525513,10.345199,-1.726397,3.342609,-26.475363,1.969969,-1.095474,0.973278,-0.228787,0.018922,-0.005368
80,0.028852,-1.350409,-0.484119,10.416566,-1.639339,4.085644,-26.465422,1.977995,-0.971253,0.973302,-0.228722,0.018741,-0.004299
81,0.134468,-1.084755,-0.467394,10.373798,-2.239167,3.537648,-26.423595,1.955894,-0.839291,0.973393,-0.228390,0.018289,-0.003229
82,0.172255,-0.949652,-0.367661,9.242005,-2.611804,2.345646,-26.353739,1.887735,-0.724454,0.973543,-0.227821,0.017480,-0.002400
83,0.272635,-0.801373,-0.309524,8.588220,-2.033963,0.335679,-26.275961,1.780380,-0.657543,0.973712,-0.227179,0.016433,-0.002056
84,0.341528,-0.766087,-0.153037,8.166698,-1.099257,-2.979038,-26.186665,1.634401,-0.680171,0.973905,-0.226428,0.015236,-0.002550
85,0.324596,-0.607226,-0.134794,7.699708,-0.659030,-6.861423,-26.084179,1.448329,-0.819433,0.974122,-0.225555,0.013926,-0.004114
86,0.465547,-0.606146,0.267836,5.980342,0.202211,-7.278481,-25.978659,1.235366,-1.031275,0.974338,-0.224653,0.012527,-0.006346
87,0.418373,-0.313610,-0.127837,6.577647,0.776461,-9.078069,-25.860134,1.015982,-1.285884,0.974567,-0.223642,0.011151,-0.008953
88,0.164544,-0.191368,-0.003966,5.261732,1.123665,-9.131833,-25.724222,0.833263,-1.574340,0.974813,-0.222481,0.010147,-0.011775
89,0.043129,-0.070652,0.128051,5.311929,0.140684,-6.750005,-25.567310,0.705844,-1.822512,0.975092,-0.221143,0.009525,-0.014146
90,-0.002826,0.043880,0.218699,5.748568,0.403053,-5.326356,-25.362659,0.617771,-2.007921,0.975463,-0.219399,0.009105,-0.015911
91,-0.198283,0.149304,-0.143685,6.438630,-0.124719,-5.779459,-25.126984,0.565084,-2.176913,0.975888,-0.217388,0.008944,-0.017468
92,-0.289089,0.039998,0.304629,5.090096,-0.421757,-3.742101,-24.897825,0.547064,-2.316290,0.976299,-0.215428,0.009018,-0.018708
93,-0.023300,0.068386,0.102012,5.916037,-1.115731,-1.681946,-24.673466,0.521728,-2.387033,0.976707,-0.213516,0.008897,-0.019376
94,-0.005211,0.100516,-0.093889,5.087741,-0.537388,-1.337076,-24.462124,0.477865,-2.421037,0.977093,-0.211719,0.008550,-0.019763
95,-0.106564,0.330933,-0.042216,3.600466,-1.375007,0.336922,-24.267170,0.454699,-2.422629,0.977452,-0.210061,0.008322,-0.019834
