seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
6768,0.003996,0.004035,0.000072,-0.037678,-0.100880,0.047759,88.973145,-44.726006,-44.007954
6769,0.010073,-0.002732,0.004699,-0.145672,-0.029240,0.346553,88.972130,-44.732609,-44.010838
6770,0.002157,0.004478,0.012044,-0.328388,0.142296,0.026419,88.962242,-44.738792,-44.008026
6771,0.001585,0.004495,0.006907,-0.232917,0.043962,-0.010970,88.949814,-44.738995,-44.003654
6773,-0.000097,0.002656,0.003871,-0.155205,-0.017783,-0.017913,88.942917,-44.738506,-44.003052
6774,0.002712,-0.000776,0.005202,-0.172949,0.015470,0.121964,88.937454,-44.740238,-44.003059
6775,-0.002269,0.007466,0.005738,-0.177591,0.029866,-0.154562,88.930878,-44.739681,-44.002010
6776,-0.002774,0.006795,0.000679,-0.044802,-0.086255,-0.156189,88.928192,-44.734524,-44.003468
6777,-0.004201,0.000070,0.001419,-0.043473,-0.080685,-0.049626,88.929543,-44.731148,-44.007477
6778,-0.004001,0.000568,-0.000097,-0.002976,-0.111775,-0.044967,88.931976,-44.729630,-44.012028
6780,-0.006550,0.010026,0.002023,-0.043454,-0.071218,-0.322622,88.934341,-44.723564,-44.016487
6781,-0.004900,0.006802,0.003354,-0.079561,-0.049213,-0.251714,88.934456,-44.714031,-44.019566
6782,-0.002784,0.001351,0.000038,-0.022132,-0.124506,-0.088521,88.935730,-44.708416,-44.023785
6783,-0.000476,0.009237,0.003861,-0.115165,-0.050063,-0.191406,88.936417,-44.703808,-44.028004
6784,0.003714,0.003470,0.000214,-0.053849,-0.125324,0.018207,88.936539,-44.700970,-44.032188
6785,0.000115,-0.002894,-0.001018,-0.030854,-0.149488,0.093527,88.939629,-44.702919,-44.038582
6787,0.005923,-0.003253,-0.003372,0.018908,-0.190750,0.256546,88.944931,-44.708855,-44.046410
6788,0.007331,0.003692,0.002318,-0.095114,-0.065244,0.147505,88.947769,-44.715664,-44.052238
6789,0.005145,0.003846,-0.002613,0.024052,-0.147155,0.078027,88.950020,-44.719486,-44.057125
6790,0.001522,0.008598,0.000421,-0.028584,-0.086919,-0.120155,88.953819,-44.718857,-44.062630
6791,0.002512,0.011071,0.001967,-0.057879,-0.049451,-0.166144,88.954720,-44.714127,-44.065952
6792,0.000632,0.011764,0.002129,-0.055921,-0.051875,-0.220132,88.954605,-44.707722,-44.068493
6794,0.002812,0.007638,-0.001630,0.024235,-0.130631,-0.096670,88.957191,-44.702499,-44.072906
6795,0.004797,0.007492,-0.004753,0.099091,-0.214936,-0.033945,88.964981,-44.700432,-44.081074
6796,0.004992,0.007843,-0.001052,0.019069,-0.128112,-0.031687,88.972633,-44.699444,-44.089142
6797,0.008791,0.003364,-0.001469,0.012657,-0.132668,0.144735,88.977402,-44.701393,-44.095192
6798,0.010437,0.001834,0.001529,-0.062354,-0.066001,0.219045,88.979752,-44.707520,-44.099705
6799,0.009574,0.004610,0.006359,-0.185007,0.049202,0.155787,88.975800,-44.713768,-44.099941
6801,0.006991,-0.000383,0.006882,-0.204746,0.066344,0.203574,88.967293,-44.719723,-44.097076
6802,0.008899,-0.004830,0.000967,-0.072771,-0.068555,0.350842,88.962524,-44.728954,-44.096893
6803,0.009077,0.000361,-0.001100,-0.013665,-0.120754,0.255292,88.964035,-44.739124,-44.101078
6804,0.006200,0.000248,-0.003724,0.054961,-0.167688,0.184075,88.969360,-44.746529,-44.107662
6805,0.007565,0.003359,-0.004811,0.098982,-0.199944,0.138718,88.977913,-44.752026,-44.116158
6806,0.006094,0.001621,0.001727,-0.040985,-0.062766,0.143652,88.983131,-44.756805,-44.122204
6808,0.005466,0.004742,0.005089,-0.126393,0.015786,0.063247,88.981064,-44.760262,-44.123219
6809,0.007013,0.004113,0.006217,-0.165907,0.046653,0.114990,88.975105,-44.763214,-44.121677
6810,0.008236,-0.000438,0.007255,-0.192343,0.058250,0.252866,88.967285,-44.769314,-44.119064
6811,0.003484,-0.001862,0.002635,-0.086763,-0.051479,0.184981,88.962395,-44.776608,-44.118717
6812,0.001186,0.007914,-0.002481,0.039735,-0.178070,-0.089143,88.965378,-44.778271,-44.124069
6813,0.001318,0.006174,-0.005898,0.138274,-0.280850,-0.060392,88.975983,-44.775921,-44.134899
6814,-0.003733,0.004348,-0.009027,0.227235,-0.360311,-0.134510,88.992729,-44.772861,-44.150032
6815,-0.001962,0.007211,-0.007365,0.201552,-0.328208,-0.180394,89.011345,-44.767815,-44.166321
6816,0.001245,0.006517,0.000334,0.016061,-0.141035,-0.093185,89.022812,-44.763390,-44.177448
6817,0.006424,0.000378,0.003250,-0.077447,-0.057293,0.162906,89.025047,-44.764610,-44.182076
6818,0.005747,0.000236,0.005179,-0.147679,0.010821,0.160759,89.021973,-44.770012,-44.183037
6819,0.007476,-0.000096,0.008437,-0.243992,0.095035,0.208759,89.013588,-44.776134,-44.180405
6820,0.002578,0.003044,0.010279,-0.295738,0.141826,0.040392,89.000603,-44.780224,-44.174740
6821,0.000863,0.006414,0.005875,-0.190916,0.040015,-0.081035,88.989494,-44.779488,-44.170486
6822,-0.000197,0.012804,0.001896,-0.098600,-0.054493,-0.249329,88.985008,-44.773991,-44.170959
6823,0.001601,0.018399,0.002350,-0.097201,-0.070898,-0.337604,88.983986,-44.764248,-44.174149
6824,0.002549,0.016987,0.001493,-0.069449,-0.093174,-0.304277,88.984116,-44.753601,-44.178265
6825,0.006383,0.014945,0.001274,-0.071492,-0.093505,-0.160625,88.984962,-44.745899,-44.182827
6826,0.010208,0.010773,-0.000279,-0.051381,-0.121329,0.023985,88.986504,-44.743683,-44.187923
6827,0.007974,0.005294,0.001223,-0.063007,-0.093235,0.099733,88.988106,-44.745808,-44.192905
6828,0.002167,-0.003237,0.001917,-0.067039,-0.060034,0.160010,88.988411,-44.750183,-44.196396
6829,-0.002237,-0.005279,0.003273,-0.099955,-0.035716,0.126676,88.987122,-44.754986,-44.198532
6830,-0.003109,-0.003057,0.002817,-0.083166,-0.048083,0.054105,88.985405,-44.758030,-44.200424
6831,-0.006250,-0.006404,0.001577,-0.040463,-0.081334,0.048172,88.985458,-44.759773,-44.203419
6832,-0.000699,-0.000943,0.004434,-0.121947,-0.018701,0.052366,88.984367,-44.761478,-44.205727
6833,0.003328,0.008500,0.000778,-0.049443,-0.108244,-0.072875,88.983620,-44.761177,-44.208710
6834,0.010803,0.009073,-0.002564,0.051550,-0.198907,0.070132,88.988724,-44.761219,-44.215919
6835,0.011734,0.011866,-0.001252,0.030292,-0.184921,0.034888,88.996391,-44.763077,-44.224876
6836,0.014928,0.001532,0.002027,-0.068270,-0.118218,0.335521,89.000656,-44.769341,-44.231838
6837,0.006996,0.002838,0.000861,-0.038151,-0.131258,0.151157,89.002869,-44.777527,-44.237499
6838,0.008296,-0.001693,0.004889,-0.126107,-0.033786,0.278832,89.002747,-44.784740,-44.241199
6839,-0.000508,0.002125,0.006558,-0.172929,0.023586,0.005702,88.997849,-44.789482,-44.241325
6840,-0.004005,0.001647,0.001762,-0.072514,-0.075963,-0.082492,88.994644,-44.788223,-44.242584
6841,-0.009899,0.010108,0.003026,-0.069679,-0.048696,-0.398854,88.994476,-44.780239,-44.245705
6842,-0.004362,0.000949,0.003705,-0.090861,-0.042133,-0.095297,88.993439,-44.772034,-44.248047
6843,-0.005579,0.002191,0.002464,-0.070579,-0.060190,-0.138182,88.992500,-44.768162,-44.250534
6844,-0.001665,-0.000121,0.002458,-0.090258,-0.064271,-0.006663,88.991913,-44.765785,-44.253510
6845,-0.001597,-0.000877,0.003993,-0.131261,-0.021049,0.023833,88.989632,-44.766098,-44.255508
6846,-0.001511,0.004900,0.002660,-0.118284,-0.054481,-0.102753,88.986740,-44.764809,-44.257313
6847,-0.002450,0.005077,0.001621,-0.095767,-0.077657,-0.144497,88.985435,-44.760727,-44.260521
6848,-0.006790,0.007500,0.001662,-0.103326,-0.073443,-0.284316,88.984734,-44.753624,-44.264244
6849,-0.008469,0.007851,0.003823,-0.141639,-0.017729,-0.338035,88.982346,-44.743282,-44.266644
6850,-0.007317,0.002359,0.003125,-0.129469,-0.023230,-0.198848,88.978661,-44.734348,-44.267834
6851,-0.004358,0.002324,0.000115,-0.056185,-0.085113,-0.123496,88.977448,-44.729008,-44.270508
6852,0.001868,0.006570,-0.001764,-0.002872,-0.131270,-0.070924,88.980095,-44.725830,-44.275661
6853,0.007301,0.010972,-0.000484,-0.009314,-0.116380,-0.050138,88.984016,-44.723888,-44.281525
6854,0.009094,0.012289,-0.005803,0.106083,-0.244610,-0.038883,88.991615,-44.722511,-44.290024
6855,0.012909,0.016943,-0.004863,0.088317,-0.240374,-0.049122,89.002884,-44.721188,-44.301437
6856,0.012092,0.017674,-0.003239,0.052274,-0.197955,-0.098162,89.012497,-44.718861,-44.311775
6857,0.004553,0.011619,-0.000952,-0.015308,-0.128761,-0.122675,89.018570,-44.715271,-44.319527
6858,0.005579,0.007411,0.001116,-0.076083,-0.082698,-0.017476,89.020576,-44.713005,-44.324547
6859,0.005294,0.007904,0.001310,-0.084251,-0.059233,-0.027053,89.020264,-44.712303,-44.327896
6860,0.000319,0.001906,-0.000825,-0.023661,-0.105997,-0.007856,89.021202,-44.711769,-44.331779
6861,0.001086,0.001066,0.000174,-0.053934,-0.100980,0.041675,89.023315,-44.712387,-44.336624
6862,0.002011,0.000191,0.003052,-0.104930,-0.040713,0.078450,89.022964,-44.714424,-44.339897
6863,-0.000013,-0.005087,-0.001759,-0.001686,-0.139688,0.164320,89.024101,-44.718521,-44.344025
6864,0.004256,0.000896,0.002418,-0.081262,-0.064997,0.144596,89.026009,-44.723732,-44.348705
6865,0.007714,0.002723,0.005039,-0.154791,-0.003378,0.190091,89.023087,-44.729317,-44.350166
6866,0.006874,-0.001475,0.003116,-0.128763,-0.038049,0.269430,89.018921,-44.736988,-44.350952
6867,0.009068,0.001486,-0.001350,-0.028326,-0.149580,0.259919,89.019249,-44.745865,-44.355145
6868,0.008892,0.002827,0.001823,-0.077038,-0.090110,0.214975,89.021317,-44.753841,-44.360577
6869,0.003078,-0.002255,0.005639,-0.170268,0.002734,0.180237,89.018532,-44.760456,-44.362469
6870,-0.002066,-0.003459,0.002991,-0.119768,-0.036577,0.077763,89.014191,-44.764759,-44.363163
6871,-0.002988,0.000370,0.008552,-0.218125,0.094880,-0.046718,89.007584,-44.765259,-44.361778
6872,-0.004508,0.001892,0.011470,-0.308799,0.181762,-0.129983,88.994278,-44.762238,-44.355362
6873,-0.003003,-0.000526,0.006819,-0.241625,0.092569,-0.040921,88.980629,-44.759315,-44.348995
6874,-0.001458,-0.000681,0.002652,-0.141850,-0.011793,0.012305,88.972908,-44.758816,-44.347115
6875,0.003699,0.007084,0.007249,-0.241074,0.075426,-0.045384,88.965492,-44.758244,-44.345638
6876,0.005453,0.014654,-0.000118,-0.076597,-0.085277,-0.178869,88.960426,-44.754517,-44.345966
6877,0.003696,0.012265,-0.003459,0.026037,-0.182608,-0.163947,88.964111,-44.748882,-44.352398
6878,0.000572,0.013729,0.003821,-0.118985,-0.034019,-0.256073,88.966270,-44.741951,-44.357662
6879,0.003473,0.006631,0.000641,-0.056983,-0.091818,-0.046589,88.965508,-44.736946,-44.360737
6880,-0.000459,-0.000796,-0.003004,0.043563,-0.175035,0.051639,88.969681,-44.737110,-44.366993
6881,-0.002824,-0.010964,-0.001527,0.006609,-0.153851,0.233648,88.975868,-44.741955,-44.374592
6882,-0.001642,-0.009165,-0.000692,-0.014430,-0.131510,0.235012,88.980316,-44.749855,-44.381088
6883,0.000398,-0.012276,-0.002770,0.032009,-0.162836,0.339675,88.985298,-44.759521,-44.387764
6884,-0.003156,-0.008557,-0.000328,-0.026207,-0.111467,0.195296,88.989777,-44.768517,-44.393978
6885,-0.001905,-0.005014,0.003946,-0.136181,-0.005739,0.140947,88.988914,-44.774155,-44.396591
6886,0.000570,-0.003059,0.005039,-0.158912,0.030347,0.154776,88.983498,-44.779076,-44.395889
6887,-0.003857,0.003515,0.006684,-0.185319,0.077657,-0.101693,88.975960,-44.779926,-44.393333
6888,-0.003960,0.008649,0.005121,-0.158731,0.038600,-0.235919,88.968384,-44.774261,-44.390732
6889,-0.003236,0.015969,0.001179,-0.055800,-0.046975,-0.394164,88.965134,-44.763763,-44.391193
6890,0.000330,0.017487,-0.000927,0.021152,-0.124011,-0.368565,88.967613,-44.751106,-44.395538
6891,-0.003257,0.015718,-0.001351,0.033705,-0.135735,-0.401257,88.973045,-44.738358,-44.401951
6892,0.004956,0.007737,-0.004166,0.074388,-0.199177,-0.033039,88.980507,-44.731220,-44.409992
6893,0.005126,0.008584,-0.002224,0.052761,-0.159908,-0.011394,88.988571,-44.730591,-44.418434
6894,0.007023,0.003681,0.002566,-0.052829,-0.039786,0.141683,88.991829,-44.732826,-44.423065
6895,0.004040,-0.001839,-0.001237,0.012064,-0.102201,0.216864,88.993370,-44.738831,-44.426239
6896,0.004814,0.002974,-0.000557,0.004265,-0.091484,0.136616,88.996735,-44.744778,-44.430637
6897,0.001372,0.010884,0.004069,-0.081892,0.010592,-0.124202,88.996773,-44.745007,-44.432526
6898,-0.000594,0.008116,0.003965,-0.094109,0.024382,-0.133807,88.993347,-44.740700,-44.431816
6899,-0.001780,0.011505,0.001579,-0.051223,-0.025358,-0.242459,88.991051,-44.734432,-44.431995
6900,-0.003805,0.017338,0.005176,-0.127677,0.055236,-0.432210,88.987762,-44.723179,-44.431568
6901,-0.002339,0.012565,0.004466,-0.125358,0.046246,-0.326155,88.982101,-44.710514,-44.429508
6902,0.001952,0.006330,0.002569,-0.090742,-0.003025,-0.086446,88.977905,-44.703629,-44.428673
6903,0.005552,0.005479,0.001457,-0.060260,-0.043029,0.035896,88.976166,-44.702797,-44.429771
6904,0.007230,0.002319,0.001022,-0.049679,-0.069383,0.167458,88.976120,-44.706223,-44.432323
6905,0.009991,0.001834,0.001391,-0.064129,-0.074829,0.249436,88.976479,-44.713211,-44.435528
6906,0.010170,0.004339,0.004331,-0.123688,-0.010553,0.219781,88.974617,-44.721054,-44.437336
6907,0.005895,0.003666,0.008916,-0.234817,0.096464,0.147242,88.967117,-44.727154,-44.435165
6908,0.004367,0.005146,0.007625,-0.216609,0.079818,0.069602,88.956619,-44.730717,-44.430935
6909,0.001333,0.002640,0.004391,-0.141286,0.007084,0.045060,88.949188,-44.732601,-44.428852
6910,0.005018,0.001050,0.003697,-0.119955,-0.005504,0.163473,88.944748,-44.736069,-44.428726
6911,0.003346,0.002185,0.005460,-0.165723,0.027158,0.109311,88.939529,-44.740601,-44.428085
6912,0.000191,0.007041,-0.002292,0.012643,-0.134024,-0.072554,88.938736,-44.741249,-44.430580
6913,0.000351,0.007545,-0.000266,-0.018946,-0.103792,-0.086791,88.942604,-44.738670,-44.436230
6914,0.001663,0.007300,0.004905,-0.146644,0.011542,-0.066329,88.941414,-44.736141,-44.438461
6915,-0.003422,0.006349,-0.000843,-0.010042,-0.117702,-0.164895,88.940628,-44.732330,-44.441055
6917,-0.001105,0.007588,-0.002809,0.053205,-0.166976,-0.150868,88.946136,-44.727158,-44.447865
6918,0.002134,0.004398,-0.001496,0.025490,-0.137601,-0.016537,88.952530,-44.724457,-44.455078
6919,0.001550,0.002756,-0.000922,0.007356,-0.118749,0.015922,88.957314,-44.724525,-44.461086
6920,0.005921,0.002559,-0.000357,0.008592,-0.103758,0.132159,88.961205,-44.727058,-44.466244
6921,0.006461,-0.001952,0.003705,-0.086487,0.000395,0.259449,88.961494,-44.733620,-44.468506
6922,0.006517,-0.004688,0.002621,-0.062728,-0.015409,0.337100,88.959076,-44.743561,-44.468605
6923,0.007060,-0.004216,0.004416,-0.088013,0.007889,0.334206,88.956490,-44.754745,-44.468491
6924,0.006100,-0.004013,-0.001562,0.049947,-0.125394,0.306100,88.957603,-44.765453,-44.470978
6925,0.000317,0.002596,-0.001991,0.052733,-0.150338,0.024566,88.963776,-44.771049,-44.477306
6926,0.002483,0.010424,-0.003452,0.072964,-0.187370,-0.132596,88.971466,-44.769344,-44.485268
6927,0.000093,0.009287,-0.001874,0.033418,-0.158018,-0.173874,88.979042,-44.764336,-44.493504
6928,0.001204,0.012558,-0.002181,0.033758,-0.161990,-0.224124,88.985573,-44.757801,-44.501183
6929,-0.001762,0.012266,0.002781,-0.081289,-0.054334,-0.305992,88.988503,-44.749031,-44.506477
6930,0.000499,0.012016,0.006763,-0.162887,0.054498,-0.255083,88.984596,-44.739677,-44.506706
6931,0.001477,0.006578,0.009387,-0.226572,0.114890,-0.099861,88.975418,-44.733719,-44.502888
6932,0.006006,-0.002894,0.002980,-0.104074,-0.024483,0.220813,88.968384,-44.735710,-44.500721
6933,0.003450,-0.003426,0.002578,-0.088437,-0.042735,0.222411,88.966156,-44.743114,-44.502113
6934,0.009145,-0.003426,0.001723,-0.080580,-0.058836,0.349792,88.964851,-44.752689,-44.504253
6935,0.005956,-0.010756,-0.005337,0.069447,-0.223136,0.447422,88.969070,-44.766048,-44.510525
6936,0.007450,-0.009449,-0.002623,0.016213,-0.170536,0.457463,88.976738,-44.781242,-44.519382
6937,0.002432,-0.000569,0.002158,-0.088863,-0.045444,0.155609,88.978920,-44.791523,-44.524197
6938,0.002754,-0.002446,0.003043,-0.129927,-0.003438,0.167618,88.975990,-44.796925,-44.525208
6939,0.000352,0.006482,0.004198,-0.137242,0.029563,-0.059400,88.971069,-44.798717,-44.524551
6940,0.002563,0.013546,0.009348,-0.244445,0.148982,-0.178517,88.961830,-44.794701,-44.520458
6941,-0.000217,0.015790,0.007155,-0.189794,0.107546,-0.295911,88.950485,-44.786713,-44.514637
6942,0.003819,0.016664,0.007120,-0.187024,0.094573,-0.234945,88.941025,-44.777805,-44.510117
6943,0.003774,0.016220,0.005723,-0.155214,0.067304,-0.213864,88.932785,-44.770275,-44.506516
