seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
6715,0.003988,0.004026,0.000071,-0.042968,-0.099422,0.047154,88.981369,-44.737629,-88.552948,0.658510,0.274470,-0.646801,-0.269590
6717,0.004202,0.007134,0.010342,-0.033923,-0.104182,0.039242,88.981689,-44.738892,-88.556473,0.658504,0.274445,-0.646814,-0.269601
6718,0.007951,0.005718,0.006026,-0.029359,-0.101116,0.042294,88.981239,-44.740292,-88.559319,0.658501,0.274418,-0.646823,-0.269612
6719,0.009654,0.011051,0.001006,-0.041572,-0.108741,0.051451,88.982353,-44.742062,-88.563393,0.658493,0.274392,-0.646840,-0.269619
6720,0.001768,-0.000256,0.002198,-0.038522,-0.110265,0.057557,88.984131,-44.744072,-88.568146,0.658482,0.274364,-0.646860,-0.269625
6721,-0.004289,0.007663,-0.004923,-0.027839,-0.098059,0.072808,88.987015,-44.745533,-88.573402,0.658466,0.274342,-0.646883,-0.269631
6722,-0.002358,0.005713,-0.001425,-0.017150,-0.093488,0.069739,88.990662,-44.746304,-88.578735,0.658446,0.274329,-0.646907,-0.269636
6724,-0.007546,0.004473,-0.000604,-0.021723,-0.101122,0.071215,88.994293,-44.743675,-88.584023,0.658419,0.274335,-0.646921,-0.269661
6725,-0.005944,0.002000,0.001651,-0.009516,-0.098068,0.060457,88.996902,-44.738377,-88.588554,0.658391,0.274354,-0.646925,-0.269703
6726,-0.000529,0.006868,0.003504,0.004202,-0.091948,0.063449,88.996696,-44.734413,-88.590691,0.658377,0.274363,-0.646920,-0.269739
6727,0.005969,-0.000266,0.004899,0.008749,-0.099547,0.057339,88.994133,-44.735844,-88.590981,0.658386,0.274339,-0.646918,-0.269747
6728,0.007018,0.001884,0.007162,0.002600,-0.094926,0.066541,88.988586,-44.742496,-88.589218,0.658418,0.274279,-0.646917,-0.269730
6729,0.004222,0.003633,0.007136,-0.006609,-0.090295,0.057415,88.980698,-44.747505,-88.585884,0.658456,0.274224,-0.646903,-0.269727
6731,0.002645,0.003884,0.005803,-0.026497,-0.082614,0.051316,88.972870,-44.749672,-88.582787,0.658487,0.274184,-0.646883,-0.269741
6732,-0.002338,0.008230,0.002998,-0.038739,-0.085631,0.032963,88.967575,-44.746990,-88.581795,0.658496,0.274175,-0.646861,-0.269780
6733,-0.000259,0.007741,0.001672,-0.046388,-0.094766,0.022211,88.965500,-44.740829,-88.583458,0.658483,0.274189,-0.646845,-0.269837
