seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1179,-0.051284,0.056989,-0.032735,-0.424538,0.041075,0.034605,-93.194206,-45.384098,47.703533
1180,-0.054329,0.055925,-0.035569,-0.009500,-0.084354,0.023985,-93.202126,-45.383083,47.704487
1181,-0.058876,0.058837,-0.037926,-0.009500,-0.087406,0.031615,-93.205284,-45.382000,47.708485
1182,-0.063229,0.045628,-0.036004,-0.012550,-0.090458,0.036193,-93.208595,-45.380707,47.712608
1184,-0.065342,0.042793,-0.040301,-0.018655,-0.095035,0.040770,-93.212158,-45.379250,47.716900
1185,-0.068001,0.036528,-0.035762,-0.027811,-0.095035,0.040770,-93.216064,-45.377716,47.721302
1186,-0.067200,0.041210,-0.034777,-0.032387,-0.091984,0.025511,-93.220169,-45.376446,47.725651
1187,-0.062044,0.039094,-0.031797,-0.026285,-0.082828,0.027037,-93.224060,-45.375404,47.729725
1188,-0.056282,0.046064,-0.030098,-0.020181,-0.072146,0.025511,-93.227386,-45.374386,47.733322
1189,-0.053209,0.051607,-0.024270,-0.021707,-0.064517,0.022459,-93.230347,-45.373455,47.736496
1191,-0.050010,0.060716,-0.028831,-0.018655,-0.066043,0.040770,-93.233162,-45.372288,47.739506
1192,-0.047925,0.057178,-0.031595,-0.017129,-0.059939,0.046874,-93.235794,-45.370716,47.742374
1193,-0.046067,0.064252,-0.029654,-0.035440,-0.064517,0.036192,-93.238693,-45.369213,47.745213
1194,-0.047735,0.065724,-0.035649,-0.044596,-0.069095,0.045348,-93.242188,-45.367729,47.748264
1195,-0.049025,0.065156,-0.038843,-0.033915,-0.073673,0.049926,-93.245811,-45.366013,47.751518
1196,-0.050488,0.060913,-0.034591,-0.038492,-0.059939,0.045348,-93.249176,-45.364300,47.754551
1198,-0.053811,0.066434,-0.027395,-0.030861,-0.069095,0.049926,-93.252426,-45.362598,47.757484
1199,-0.052321,0.063029,-0.028866,-0.032387,-0.078250,0.048400,-93.255875,-45.360821,47.760849
1200,-0.051201,0.063972,-0.024666,-0.036965,-0.075198,0.054504,-93.259514,-45.358963,47.764339
1201,-0.056015,0.065604,-0.024265,-0.052226,-0.081302,0.056029,-93.263527,-45.356972,47.767887
1202,-0.053036,0.070148,-0.026893,-0.067484,-0.090458,0.052978,-93.268288,-45.354992,47.771797
1203,-0.048355,0.062363,-0.028903,-0.084270,-0.084354,0.045348,-93.273697,-45.353191,47.775822
1205,-0.049176,0.063072,-0.032264,-0.070537,-0.076724,0.049926,-93.278900,-45.351456,47.779507
1206,-0.049115,0.056348,-0.032702,-0.076641,-0.090458,0.034667,-93.284088,-45.349892,47.783348
1207,-0.043409,0.053766,-0.032517,-0.078166,-0.093509,0.027037,-93.289688,-45.348679,47.787605
1208,-0.044172,0.050972,-0.025579,-0.062906,-0.102665,0.023985,-93.295296,-45.347641,47.792183
1209,-0.044435,0.049857,-0.029992,-0.053751,-0.104191,0.028563,-93.300674,-45.346581,47.797020
1210,-0.047391,0.051929,-0.023755,-0.058329,-0.096561,0.033141,-93.305870,-45.345356,47.801685
1212,-0.051788,0.059799,-0.021230,-0.044596,-0.087406,0.043822,-93.310593,-45.343903,47.805931
1213,-0.049251,0.064846,-0.012866,-0.033914,-0.079776,0.045348,-93.314636,-45.342243,47.809761
1214,-0.045228,0.069263,-0.015614,-0.027811,-0.079776,0.046874,-93.318260,-45.340565,47.813416
1215,-0.044474,0.066239,-0.008805,-0.014077,-0.078250,0.043822,-93.321533,-45.338902,47.817028
1216,-0.041370,0.072743,-0.009116,-0.004922,-0.087406,0.039244,-93.324547,-45.337357,47.820835
1217,-0.035077,0.071469,-0.009435,-0.023232,-0.085880,0.025511,-93.327881,-45.336113,47.824848
1219,-0.040109,0.070154,-0.015352,-0.026285,-0.082828,0.031615,-93.331482,-45.335007,47.828766
1220,-0.043263,0.067085,-0.014849,-0.029337,-0.076724,0.037718,-93.335037,-45.333694,47.832451
1221,-0.043364,0.072013,-0.015407,-0.030863,-0.072146,0.049926,-93.338455,-45.332092,47.835850
1222,-0.043790,0.058134,-0.013891,-0.029336,-0.072146,0.056029,-93.341774,-45.330185,47.839115
1223,-0.047014,0.054857,-0.009020,-0.000344,-0.069095,0.068237,-93.344528,-45.327980,47.842289
1224,-0.043836,0.054718,-0.009287,-0.003396,-0.066043,0.068237,-93.346733,-45.325581,47.845299
1226,-0.042749,0.059029,-0.012239,-0.011025,-0.066043,0.052977,-93.349068,-45.323433,47.848251
1227,-0.042658,0.059062,-0.013820,-0.026285,-0.069095,0.030089,-93.351891,-45.321918,47.851334
1228,-0.040058,0.065601,-0.016304,-0.018655,-0.072147,0.028563,-93.354965,-45.320816,47.854607
1229,-0.038506,0.069193,-0.019271,-0.024759,-0.076724,0.020933,-93.358139,-45.319843,47.858055
1230,-0.038621,0.069862,-0.019727,-0.018655,-0.075198,0.030089,-93.361359,-45.318844,47.861568
1231,-0.038354,0.059777,-0.016930,-0.011025,-0.075198,0.039244,-93.364296,-45.317539,47.865025
1233,-0.037327,0.062999,-0.018302,-0.000344,-0.064517,0.056029,-93.366745,-45.315819,47.868198
1234,-0.041523,0.059409,-0.015813,-0.017129,-0.052310,0.045348,-93.368896,-45.314018,47.870815
1235,-0.039313,0.061947,-0.016595,-0.021707,-0.041628,0.045348,-93.371056,-45.312428,47.872929
1236,-0.040816,0.056265,-0.012155,-0.017129,-0.038576,0.025511,-93.372978,-45.311172,47.874725
1237,-0.044230,0.060631,-0.011327,-0.004922,-0.027895,0.036192,-93.374397,-45.310078,47.876213
1238,-0.044471,0.061759,-0.001787,-0.007974,-0.032473,0.031614,-93.375565,-45.308884,47.877544
1239,-0.041718,0.060402,-0.006394,-0.012550,-0.027895,0.039244,-93.376846,-45.307648,47.878868
