seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
1126,-0.049074,0.048361,0.002312,-1.023952,0.237154,0.029783,-92.736916,-45.384949,93.841995,-0.638755,0.261651,0.669557,-0.274268
1128,-0.055406,0.060105,-0.073302,-0.032680,-0.054131,0.083476,-92.810730,-45.383755,93.879799,-0.638493,0.261848,0.669818,-0.274055
1129,-0.051168,0.059344,-0.061908,-0.033245,-0.059280,0.060534,-92.928078,-45.383739,93.963799,-0.638024,0.262011,0.670290,-0.273836
1130,-0.053827,0.053314,-0.049805,-0.013903,-0.059780,0.060498,-93.031158,-45.382603,94.037941,-0.637608,0.262157,0.670704,-0.273652
1131,-0.055600,0.059377,-0.035484,0.028433,-0.046442,0.063532,-93.111595,-45.380116,94.096527,-0.637277,0.262276,0.671025,-0.273521
1132,-0.054062,0.050442,-0.025657,0.035774,-0.068098,0.048269,-93.170860,-45.377026,94.140747,-0.637028,0.262364,0.671262,-0.273438
1133,-0.053724,0.047945,-0.022275,0.041650,-0.062226,0.042197,-93.217766,-45.370842,94.176506,-0.636819,0.262451,0.671443,-0.273397
1135,-0.059291,0.046496,-0.016537,0.050619,-0.051739,0.028535,-93.255951,-45.361458,94.206055,-0.636635,0.262543,0.671584,-0.273390
1136,-0.055143,0.051768,-0.012318,0.021479,-0.053417,0.020968,-93.286209,-45.353298,94.229645,-0.636487,0.262620,0.671694,-0.273390
1137,-0.056593,0.055510,-0.010766,-0.056468,-0.084063,0.004201,-93.314339,-45.350201,94.250839,-0.636364,0.262670,0.671803,-0.273361
1138,-0.054988,0.057727,-0.012467,-0.123736,-0.094874,0.002665,-93.346146,-45.350166,94.273415,-0.636237,0.262714,0.671931,-0.273300
1139,-0.054375,0.063629,-0.009436,-0.136071,-0.110258,0.002613,-93.379623,-45.354370,94.296547,-0.636117,0.262740,0.672072,-0.273208
1140,-0.053661,0.071058,-0.007032,-0.139232,-0.101208,0.011656,-93.410156,-45.364468,94.317459,-0.636024,0.262729,0.672212,-0.273088
1142,-0.054615,0.068148,-0.007518,-0.128655,-0.098253,-0.006789,-93.438896,-45.376991,94.337074,-0.635946,0.262702,0.672350,-0.272957
1143,-0.054547,0.064385,-0.007929,-0.101292,-0.089197,-0.002319,-93.466988,-45.387100,94.356537,-0.635863,0.262686,0.672482,-0.272843
1144,-0.060055,0.061411,-0.004056,-0.075441,-0.103017,0.009830,-93.491241,-45.392170,94.373940,-0.635779,0.262690,0.672589,-0.272768
1145,-0.057501,0.058239,0.000242,-0.044977,-0.087812,0.029647,-93.507568,-45.392933,94.386337,-0.635715,0.262703,0.672658,-0.272737
1146,-0.054360,0.055552,0.002069,-0.022115,-0.101572,0.032685,-93.517250,-45.392956,94.394608,-0.635673,0.262708,0.672700,-0.272726
1147,-0.055516,0.058055,0.009070,-0.022105,-0.112243,0.043346,-93.519608,-45.393509,94.398209,-0.635660,0.262697,0.672715,-0.272729
1149,-0.054253,0.060271,0.008018,0.003870,-0.116783,0.050938,-93.516808,-45.395756,94.398598,-0.635672,0.262666,0.672714,-0.272735
1150,-0.054610,0.058674,0.009057,0.023742,-0.104536,0.044789,-93.512573,-45.398701,94.398430,-0.635690,0.262627,0.672709,-0.272742
1151,-0.057188,0.057470,0.010209,-0.009782,-0.109066,0.023401,-93.506531,-45.400105,94.396744,-0.635712,0.262595,0.672693,-0.272760
1152,-0.060426,0.055114,0.010676,-0.053979,-0.124272,0.020361,-93.500740,-45.398293,94.394554,-0.635725,0.262586,0.672671,-0.272792
1153,-0.058858,0.049752,0.005844,-0.092091,-0.142548,0.021937,-93.500046,-45.392506,94.395409,-0.635709,0.262611,0.672660,-0.272834
1154,-0.060875,0.042226,0.008392,-0.093588,-0.133370,0.023568,-93.501839,-45.381149,94.397675,-0.635669,0.262672,0.672647,-0.272900
1156,-0.054543,0.045534,0.008606,-0.087444,-0.127232,0.035885,-93.501175,-45.369122,94.398056,-0.635636,0.262735,0.672623,-0.272974
1157,-0.051352,0.045123,0.009408,-0.075194,-0.114985,0.034423,-93.498978,-45.361553,94.397339,-0.635622,0.262770,0.672602,-0.273026
1158,-0.044182,0.050560,0.008627,-0.073623,-0.119517,0.035952,-93.496452,-45.360188,94.396469,-0.635626,0.262769,0.672591,-0.273044
1159,-0.048453,0.050872,0.003772,-0.047661,-0.113390,0.045071,-93.497917,-45.362335,94.398735,-0.635624,0.262752,0.672604,-0.273036
1160,-0.044687,0.055771,0.003648,-0.065972,-0.119489,0.043488,-93.503616,-45.366360,94.404106,-0.635609,0.262729,0.672638,-0.273009
1161,-0.050445,0.054295,-0.000247,-0.065989,-0.121029,0.041897,-93.513397,-45.371063,94.412247,-0.635580,0.262708,0.672689,-0.272970
1163,-0.052350,0.057075,-0.004766,-0.067568,-0.137864,0.037278,-93.530411,-45.373329,94.425743,-0.635515,0.262710,0.672765,-0.272933
1164,-0.056515,0.048508,-0.006658,-0.038652,-0.118107,0.047964,-93.552162,-45.370647,94.442894,-0.635417,0.262746,0.672850,-0.272915
1165,-0.055107,0.049075,-0.000052,-0.012772,-0.089178,0.046489,-93.568497,-45.363419,94.456253,-0.635328,0.262799,0.672906,-0.272934
1166,-0.054702,0.052791,0.003501,-0.008213,-0.090726,0.046521,-93.575775,-45.358379,94.463226,-0.635280,0.262827,0.672929,-0.272959
1167,-0.053004,0.058862,0.004977,-0.014316,-0.087673,0.035824,-93.578896,-45.358360,94.467194,-0.635264,0.262821,0.672946,-0.272963
1168,-0.052568,0.059165,0.009120,-0.000560,-0.083069,0.049506,-93.577385,-45.362110,94.467880,-0.635276,0.262788,0.672951,-0.272954
1170,-0.053445,0.058206,0.008419,0.022367,-0.072346,0.058610,-93.571815,-45.365482,94.465919,-0.635303,0.262749,0.672940,-0.272957
1171,-0.049929,0.063246,0.009759,0.034616,-0.072299,0.060060,-93.564735,-45.371204,94.463150,-0.635341,0.262693,0.672928,-0.272951
1172,-0.057636,0.063940,0.004577,0.042272,-0.064636,0.049295,-93.560204,-45.377842,94.462357,-0.635372,0.262635,0.672928,-0.272935
1173,-0.059145,0.058645,0.004226,0.046857,-0.063102,0.069099,-93.559471,-45.379066,94.464310,-0.635372,0.262612,0.672933,-0.272943
1174,-0.059361,0.058920,0.004611,0.059070,-0.069200,0.072148,-93.558594,-45.376820,94.466377,-0.635363,0.262608,0.672932,-0.272973
1175,-0.059908,0.059592,0.009816,0.043837,-0.073751,0.056889,-93.553757,-45.374676,94.465736,-0.635370,0.262597,0.672914,-0.273010
1177,-0.061005,0.062703,0.005707,0.024031,-0.084399,0.043148,-93.548828,-45.373890,94.464813,-0.635381,0.262580,0.672899,-0.273038
1178,-0.053101,0.054736,0.010597,0.004230,-0.087415,0.040078,-93.544067,-45.374249,94.463707,-0.635396,0.262558,0.672886,-0.273058
1179,-0.050374,0.055488,0.008505,0.001225,-0.088891,0.015633,-93.537384,-45.376530,94.461037,-0.635423,0.262524,0.672868,-0.273069
1180,-0.053796,0.054109,0.004468,-0.012485,-0.087338,0.023235,-93.535469,-45.378647,94.461571,-0.635432,0.262498,0.672869,-0.273071
1181,-0.058379,0.056979,0.002169,-0.012486,-0.090391,0.030862,-93.539124,-45.377869,94.465904,-0.635412,0.262497,0.672886,-0.273078
1182,-0.061931,0.044571,0.004232,-0.015540,-0.093450,0.035506,-93.543182,-45.369919,94.470558,-0.635369,0.262538,0.672891,-0.273125
1184,-0.062357,0.043428,0.000241,-0.021651,-0.098043,0.040223,-93.548409,-45.354424,94.476021,-0.635302,0.262623,0.672886,-0.273213
1185,-0.062952,0.039237,0.005021,-0.030811,-0.098058,0.040394,-93.553238,-45.335735,94.481071,-0.635227,0.262727,0.672873,-0.273319
1186,-0.060271,0.045837,0.005746,-0.035371,-0.095000,0.025292,-93.554184,-45.318840,94.483170,-0.635174,0.262816,0.672847,-0.273421
1187,-0.053931,0.044955,0.008126,-0.029240,-0.085821,0.026917,-93.552452,-45.307972,94.483246,-0.635148,0.262868,0.672822,-0.273493
1188,-0.047914,0.052240,0.008884,-0.023096,-0.075099,0.025415,-93.547798,-45.304825,94.481163,-0.635155,0.262873,0.672800,-0.273527
1189,-0.045616,0.057085,0.013266,-0.024563,-0.067407,0.022302,-93.539131,-45.310345,94.476074,-0.635202,0.262823,0.672778,-0.273518
