seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-0.076310,-0.001651,0.000026,-0.167027,-0.479629,0.136571,90.880531,0.000000,0.000000
2,-0.079610,-0.016113,0.047749,-0.065618,-0.161345,0.043540,90.785660,-0.004034,0.001451
3,-0.086245,0.026292,-0.000074,-0.026569,-0.082261,-0.039062,90.784218,-0.005082,0.000149
4,-0.057848,0.001779,0.020981,-0.069975,0.171339,0.102429,90.740997,0.000472,0.003564
5,-0.052787,0.007841,0.022822,-0.008645,0.077167,-0.011622,90.696121,0.002283,0.003176
6,-0.097325,0.014213,0.004345,-0.089536,-0.131988,0.047795,90.684364,-0.001587,0.004769
8,-0.081381,-0.011830,0.008680,-0.057083,-0.149800,0.053608,90.665817,-0.004935,0.006556
9,-0.091851,0.020108,-0.009728,-0.055211,-0.056335,0.022332,90.682411,-0.005110,0.007301
10,-0.093352,0.020726,-0.006104,-0.016504,0.004548,0.014221,90.693230,-0.003719,0.007775
11,-0.067827,0.025887,-0.003291,-0.015963,-0.091534,0.050652,90.698471,-0.005077,0.009463
12,-0.054497,0.004494,-0.006559,0.043597,-0.029497,-0.010045,90.712570,-0.004545,0.009128
13,-0.072067,0.014804,0.025218,-0.024248,-0.028530,0.012423,90.662407,-0.004122,0.009542
15,-0.073549,0.020640,0.015002,0.050342,0.075718,0.019395,90.634499,-0.001199,0.010189
16,-0.073770,0.007304,0.000724,0.033932,0.073236,-0.010758,90.634064,0.000932,0.009830
17,-0.094078,0.001356,-0.023614,0.018061,0.041317,0.041251,90.680595,0.001732,0.011205
18,-0.095377,0.020890,0.011103,-0.019429,0.047342,0.010380,90.657921,0.002482,0.011551
19,-0.107113,0.010790,-0.020330,0.003347,0.008892,-0.012098,90.697311,0.002084,0.011148
20,-0.071823,0.017392,-0.007678,-0.026281,0.023360,-0.004322,90.710930,0.002147,0.011004
22,-0.066205,0.020168,0.018103,-0.062317,-0.029063,0.017958,90.673225,0.000884,0.011603
23,-0.058461,0.017145,0.006870,-0.001238,0.060444,0.091164,90.659447,0.002174,0.014641
24,-0.090939,0.013082,0.003696,0.013562,0.102739,0.007001,90.652420,0.004199,0.014875
25,-0.066852,0.007975,-0.000077,0.035256,0.040335,-0.007988,90.653564,0.004158,0.014608
26,-0.075823,0.006027,-0.003088,-0.069213,0.009495,-0.029864,90.657135,0.003356,0.013613
27,-0.082368,0.003566,-0.002398,-0.118601,-0.138407,-0.014126,90.657768,-0.000944,0.013142
29,-0.039778,0.015154,0.018174,-0.063056,-0.133869,0.126547,90.620026,-0.004054,0.017360
30,-0.104263,0.022415,-0.002515,-0.009332,0.106664,0.063363,90.624115,-0.000374,0.019472
