seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
87,-0.011765,-0.000032,-0.000183,0.058250,0.039895,-0.043544,-170.098572,89.004364,-169.925919
88,-0.013806,0.004409,0.003439,0.044999,-0.064589,0.090549,-170.137207,89.005150,-169.966278
89,-0.011439,0.002333,-0.001069,0.039424,0.080030,0.029978,-170.252365,89.005348,-170.082825
90,-0.010082,0.007233,-0.000787,0.047515,0.090702,0.181863,-170.478409,89.002991,-170.310410
92,-0.011220,0.006316,-0.005202,0.056527,0.225140,0.161537,-170.849503,88.998680,-170.683273
93,-0.007463,0.004541,0.001463,0.047418,0.026428,0.093136,-171.124756,88.995361,-170.960281
94,-0.007025,-0.000630,0.000988,0.039687,0.030364,-0.075791,-171.147842,88.994781,-170.984833
95,-0.009127,0.006231,0.007180,0.053486,-0.170354,0.124073,-171.171188,88.997116,-171.009750
96,-0.015853,0.006278,0.007674,0.065447,-0.207584,0.147443,-171.370773,89.003967,-171.211304
97,-0.018798,0.006904,0.011478,0.063877,-0.327442,0.164243,-171.589005,89.013046,-171.431732
99,-0.019979,0.008037,0.008571,0.070660,-0.252173,0.203649,-171.859695,89.023613,-171.704727
100,-0.018439,0.007026,0.010383,0.078910,-0.302436,0.171696,-172.146790,89.033684,-171.994339
101,-0.013299,0.003835,0.005675,0.077252,-0.154868,0.077040,-172.327469,89.041824,-172.177643
102,-0.008643,0.001066,0.001230,0.058677,0.009954,-0.023142,-172.359253,89.044479,-172.211685
103,-0.005120,0.002107,-0.003166,0.054889,0.161630,-0.002586,-172.354691,89.041618,-172.209045
104,-0.007236,-0.001156,-0.002766,0.041297,0.170476,-0.092653,-172.303391,89.036118,-172.159348
106,-0.010966,0.001183,-0.004053,0.038567,0.209926,-0.022694,-172.239716,89.029648,-172.097000
107,-0.015883,0.000787,-0.003587,0.029544,0.188329,-0.033650,-172.236557,89.022812,-172.094986
108,-0.015581,0.000976,0.000376,0.044998,0.052668,-0.020397,-172.214859,89.018616,-172.074524
109,-0.019134,-0.002991,0.001471,0.045663,0.011966,-0.118491,-172.088196,89.017220,-171.949356
110,-0.017690,0.005278,0.001223,0.045927,0.014536,0.128706,-172.100021,89.016624,-171.962677
111,-0.013317,-0.000477,0.002780,0.050306,-0.035415,-0.037025,-172.183868,89.017418,-172.048141
113,-0.011952,0.001798,0.005845,0.052595,-0.126420,0.035139,-172.158875,89.020012,-172.024872
114,-0.009760,-0.004464,0.001511,0.057087,0.010662,-0.157966,-172.022903,89.021408,-171.890732
115,-0.005285,0.000807,0.002333,0.045442,0.005435,-0.024651,-171.847061,89.020813,-171.716537
116,-0.008720,-0.002243,0.002859,0.049978,-0.024275,-0.107844,-171.714951,89.020615,-171.586014
117,-0.007243,-0.003389,0.001824,0.046052,0.005223,-0.136820,-171.474747,89.020615,-171.347351
118,-0.006202,-0.006367,-0.000225,0.046021,0.068791,-0.244404,-171.117203,89.018417,-170.991257
120,-0.006619,-0.002288,0.000643,0.037951,0.048287,-0.127342,-170.777161,89.015831,-170.652664
121,-0.006776,-0.001869,0.003292,0.048457,-0.044972,-0.094972,-170.563629,89.015236,-170.440506
122,-0.002729,-0.010492,-0.001937,0.061798,0.123435,-0.377122,-170.124069,89.012650,-170.002762
123,-0.005488,0.003099,0.002361,0.049157,0.004780,0.015178,-169.799927,89.009293,-169.680374
124,-0.007626,-0.000003,0.004040,0.054999,-0.060798,-0.040716,-169.764420,89.010475,-169.646545
125,-0.010974,0.007431,0.004261,0.040414,-0.085253,0.197179,-169.886566,89.012650,-169.770340
127,-0.013130,0.001082,0.001669,0.043246,-0.001974,0.008792,-170.066849,89.014832,-169.952072
128,-0.010646,0.005540,0.007849,0.037104,-0.178797,0.138166,-170.175919,89.018021,-170.062469
129,-0.009534,-0.002795,0.005397,0.071719,-0.132396,-0.110330,-170.149002,89.023415,-170.037369
130,-0.009457,0.000867,0.005262,0.071648,-0.125433,-0.026397,-169.971115,89.027229,-169.861816
131,-0.008272,-0.004737,0.004001,0.091184,-0.081788,-0.202432,-169.711105,89.029846,-169.604553
132,-0.006437,0.006338,0.007540,0.082845,-0.192104,0.139157,-169.598343,89.034294,-169.494583
134,-0.008821,0.011381,0.009214,0.084456,-0.270416,0.334081,-169.976562,89.043045,-169.875717
135,-0.010132,0.010233,0.008560,0.054221,-0.245717,0.308782,-170.522202,89.053329,-170.423691
136,-0.009646,0.009719,0.007497,0.042222,-0.215836,0.285213,-171.039932,89.062462,-170.943146
137,-0.006302,0.007918,0.009275,0.028077,-0.270737,0.212507,-171.466537,89.071907,-171.370956
138,-0.006741,-0.003227,0.000433,0.031692,-0.001306,-0.163862,-171.473557,89.076553,-171.378998
139,-0.009375,-0.003611,0.001542,0.024814,-0.006124,-0.206576,-171.093079,89.075920,-170.999420
141,-0.010243,-0.005870,-0.001551,0.033405,0.092801,-0.277518,-170.613403,89.072960,-170.520630
142,-0.010278,-0.000815,-0.003402,0.035325,0.161239,-0.114589,-170.258484,89.067909,-170.166809
143,-0.012077,-0.003593,0.000119,0.026094,0.063205,-0.179747,-170.000488,89.063301,-169.909805
144,-0.013398,0.000655,0.005084,0.024485,-0.107885,-0.043344,-169.767838,89.063721,-169.677994
145,-0.010541,-0.001875,0.000888,0.031355,0.016513,-0.114025,-169.592270,89.064133,-169.503265
146,-0.009107,-0.000625,0.000261,0.027661,0.051761,-0.070822,-169.418655,89.062462,-169.330719
147,-0.010530,-0.001911,0.000970,0.043571,0.025401,-0.103795,-169.257477,89.061211,-169.170639
148,-0.012188,0.001655,-0.004010,0.067249,0.179512,0.015014,-169.205963,89.057472,-169.120926
149,-0.014851,0.000980,-0.001649,0.058447,0.113858,0.006213,-169.280182,89.052704,-169.197327
150,-0.015119,0.001613,-0.000490,0.052174,0.057763,0.015882,-169.332245,89.050232,-169.251236
151,-0.015238,0.004476,0.004974,0.048185,-0.127623,0.097849,-169.430115,89.051674,-169.350784
152,-0.012922,-0.000141,0.006923,0.041537,-0.197082,-0.043733,-169.422089,89.056847,-169.344269
