seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
34,-0.013148,-0.000040,-0.000241,0.103110,0.006485,-0.036242,-170.403503,88.972260,-170.405029,0.700825,-0.001048,0.713332,-0.001067
36,-0.014714,-0.000328,0.003749,0.079004,-0.012657,-0.081307,-170.253464,88.974350,-170.257996,0.700839,-0.001043,0.713318,-0.001099
37,-0.015594,0.002458,0.004214,0.066798,0.016288,-0.046203,-170.131958,88.978943,-170.138901,0.700868,-0.001037,0.713289,-0.001123
38,-0.012522,-0.002077,0.003903,0.014915,0.052860,-0.052307,-170.001831,88.982208,-170.010147,0.700892,-0.001039,0.713266,-0.001141
39,-0.011710,-0.001262,0.005653,-0.027810,0.077220,-0.058431,-169.753448,88.984711,-169.761581,0.700913,-0.001064,0.713245,-0.001164
40,-0.010987,0.003378,0.000954,0.005760,0.080234,-0.064529,-169.662903,88.985863,-169.670654,0.700920,-0.001075,0.713238,-0.001171
41,-0.009721,0.003772,0.004065,0.019493,0.087836,-0.059915,-169.743256,88.985672,-169.751373,0.700920,-0.001064,0.713238,-0.001164
43,-0.007811,-0.001762,0.001761,0.031701,0.067969,-0.053801,-169.691376,88.985863,-169.700317,0.700922,-0.001064,0.713236,-0.001174
44,-0.011886,-0.001721,0.002244,0.021020,0.070999,-0.062978,-169.469284,88.984711,-169.479065,0.700921,-0.001084,0.713237,-0.001205
45,-0.014001,0.001567,0.004835,0.025598,0.067911,-0.049250,-169.317764,88.986443,-169.328369,0.700930,-0.001094,0.713228,-0.001225
46,-0.012366,0.004347,0.013848,0.030175,0.064757,-0.038540,-169.309967,88.994583,-169.321442,0.700980,-0.001080,0.713179,-0.001222
47,-0.008542,0.002801,0.016358,0.013390,0.060010,-0.020190,-169.315720,89.009483,-169.327972,0.701072,-0.001058,0.713089,-0.001208
48,-0.006630,0.001267,0.009974,0.004235,0.058331,-0.026270,-169.263031,89.022415,-169.275558,0.701155,-0.001046,0.713007,-0.001200
50,-0.004838,0.005674,0.005882,0.002708,0.053658,-0.027759,-169.344803,89.030655,-169.357361,0.701203,-0.001028,0.712960,-0.001183
51,-0.004978,0.001318,0.002951,0.016441,0.056656,-0.035348,-169.472015,89.034904,-169.484940,0.701224,-0.001008,0.712939,-0.001168
52,-0.006320,-0.000153,-0.002437,0.008811,0.058177,-0.044496,-169.454300,89.033081,-169.467606,0.701216,-0.001009,0.712947,-0.001173
53,-0.009819,-0.001765,-0.007554,0.008811,0.058231,-0.055190,-169.368698,89.025620,-169.382278,0.701170,-0.001025,0.712992,-0.001193
54,-0.014462,0.003358,0.001991,0.008811,0.056741,-0.061289,-169.341965,89.019814,-169.355804,0.701136,-0.001032,0.713026,-0.001204
55,-0.016212,0.002135,-0.000250,0.025597,0.068943,-0.058210,-169.396164,89.018814,-169.410538,0.701127,-0.001025,0.713035,-0.001203
57,-0.014832,0.009928,0.004010,0.027121,0.064345,-0.055095,-169.653702,89.019417,-169.668869,0.701125,-0.000993,0.713036,-0.001180
58,-0.014874,0.007024,0.000325,0.025594,0.067373,-0.058054,-170.075989,89.020416,-170.092010,0.701127,-0.000942,0.713035,-0.001140
59,-0.010734,0.001127,0.001294,0.002704,0.065838,-0.058005,-170.257111,89.020012,-170.273544,0.701119,-0.000921,0.713043,-0.001124
60,-0.007802,-0.000896,-0.000481,0.001179,0.070412,-0.050373,-170.187439,89.017822,-170.203918,0.701107,-0.000931,0.713055,-0.001134
61,-0.008350,0.000541,0.003299,-0.004925,0.061243,-0.051903,-170.072586,89.016426,-170.088989,0.701101,-0.000944,0.713060,-0.001147
62,-0.005774,-0.006773,-0.001328,-0.001872,0.062760,-0.054992,-169.773727,89.014038,-169.790039,0.701094,-0.000978,0.713067,-0.001180
64,-0.006514,-0.004634,-0.001113,0.016440,0.061249,-0.055059,-169.324570,89.009094,-169.341202,0.701072,-0.001029,0.713089,-0.001234
65,-0.012671,0.001453,-0.003588,0.045432,0.062803,-0.056611,-169.123627,89.003777,-169.141251,0.701041,-0.001050,0.713119,-0.001268
66,-0.010890,-0.004287,-0.004985,0.056115,0.061326,-0.045950,-168.988220,88.996140,-169.007523,0.700998,-0.001063,0.713162,-0.001302
67,-0.008926,-0.002066,-0.001530,0.060693,0.068997,-0.038358,-168.764435,88.989342,-168.785690,0.700959,-0.001083,0.713199,-0.001346
