seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-0.028449,0.001658,-0.000036,-0.111282,-0.526575,0.071056,91.228851,0.000000,0.000000
2,-0.032031,-0.005581,0.023908,-0.061491,-0.366664,0.025615,91.179619,-0.011164,0.001611
3,-0.035444,0.006098,0.013708,-0.032467,-0.286502,-0.016374,91.151154,-0.016538,0.001765
4,-0.030271,0.005796,0.013507,-0.029234,-0.182662,-0.001493,91.123619,-0.018269,0.001467
5,-0.025975,0.006818,0.013465,-0.015359,-0.138913,-0.014987,91.096436,-0.017720,0.001193
6,-0.029857,0.010002,0.015768,-0.001572,-0.067943,-0.030730,91.065117,-0.015876,0.000431
8,-0.029738,0.010848,0.008959,-0.001521,-0.064240,-0.026771,91.047249,-0.013559,-0.000528
9,-0.030548,0.009607,0.007850,-0.008850,-0.057707,-0.012610,91.031471,-0.011693,-0.001184
10,-0.037214,0.013393,0.002969,0.000295,-0.089760,-0.028432,91.025093,-0.010614,-0.001868
11,-0.039881,0.017006,-0.001879,-0.002666,-0.122239,-0.014217,91.028107,-0.010612,-0.002579
12,-0.031276,0.015066,-0.003864,0.022512,-0.100521,-0.024082,91.035416,-0.010742,-0.003217
13,-0.029407,0.020416,-0.000338,0.027677,-0.075087,-0.030672,91.036194,-0.010251,-0.004130
15,-0.025809,0.020529,0.004781,0.047432,-0.047535,-0.029666,91.027435,-0.009220,-0.005135
16,-0.021903,0.017839,0.006293,0.056209,-0.032693,-0.033121,91.016312,-0.007917,-0.006182
17,-0.027047,0.012910,0.002371,0.061746,-0.005055,-0.033511,91.013229,-0.006410,-0.007292
18,-0.035164,0.016194,0.006072,0.047914,0.011345,-0.027985,91.002701,-0.004730,-0.008317
19,-0.041937,0.015371,-0.003051,0.052247,0.019829,-0.031495,91.009781,-0.003158,-0.009309
20,-0.041427,0.014723,-0.007583,0.035775,0.010323,-0.034890,91.025482,-0.001991,-0.010415
22,-0.039859,0.017316,-0.004067,0.015416,-0.009202,-0.027843,91.033638,-0.001481,-0.011460
23,-0.032853,0.020493,0.002012,0.010483,-0.004473,-0.016599,91.029449,-0.001281,-0.012201
24,-0.031957,0.018926,0.000508,0.016042,0.007481,-0.016054,91.028244,-0.000922,-0.012745
25,-0.024021,0.018367,0.004533,0.021420,0.014615,-0.014052,91.019424,-0.000417,-0.013247
26,-0.024813,0.016084,0.005514,0.011862,0.012660,-0.018019,91.008705,0.000030,-0.013782
27,-0.027910,0.012745,0.001443,-0.000334,-0.008418,-0.023332,91.005646,0.000074,-0.014471
29,-0.024157,0.012348,0.003709,-0.013606,-0.046515,-0.015188,90.997780,-0.000631,-0.015113
30,-0.026808,0.014209,0.002449,-0.019063,-0.044990,-0.002883,90.991989,-0.001619,-0.015414
31,-0.025534,0.013269,0.002580,-0.034673,-0.056798,-0.035258,90.985634,-0.002487,-0.016050
32,-0.021363,0.014653,0.003197,-0.052723,-0.105116,-0.016392,90.977470,-0.003889,-0.016911
33,-0.025117,0.014209,0.000789,-0.043615,-0.092815,-0.012902,90.973869,-0.005391,-0.017399
34,-0.038076,0.014358,-0.001227,-0.025951,-0.024832,-0.030190,90.974617,-0.005513,-0.018117
36,-0.030892,0.014569,-0.002001,-0.020672,-0.040253,-0.049863,90.977249,-0.004950,-0.019451
37,-0.028271,0.015464,-0.000617,0.008048,-0.027126,-0.014283,90.977722,-0.004555,-0.020520
38,-0.032912,0.012405,-0.000175,0.043205,0.023943,-0.019718,90.978500,-0.003456,-0.021087
39,-0.032426,0.011595,0.001779,0.065403,0.064484,-0.024975,90.976463,-0.001486,-0.021832
40,-0.027756,0.010891,-0.001773,0.066211,0.029900,-0.030060,90.981743,0.000064,-0.022749
41,-0.027033,0.009623,0.001201,0.071420,0.015636,-0.024647,90.981384,0.000617,-0.023661
43,-0.032702,0.007721,-0.000556,0.049892,0.003317,-0.017935,90.984230,0.000700,-0.024371
44,-0.033353,0.011797,0.000058,0.051208,0.013539,-0.026203,90.985413,0.000737,-0.025106
45,-0.030446,0.013906,0.002419,0.046577,0.008668,-0.012060,90.981873,0.000829,-0.025744
46,-0.027438,0.012245,0.009747,0.042098,0.003956,-0.001334,90.964005,0.000780,-0.025967
47,-0.028477,0.008405,0.011206,0.036291,0.020061,0.016421,90.943237,0.000886,-0.025716
48,-0.029687,0.006505,0.005394,0.033625,0.028259,0.009979,90.933708,0.001268,-0.025276
50,-0.024716,0.004727,0.002097,0.028095,0.028808,0.008176,90.930511,0.001666,-0.024973
51,-0.028555,0.004883,-0.000036,0.030126,0.014581,0.000528,90.931396,0.001791,-0.024828
52,-0.030134,0.006245,-0.004186,0.030614,0.021482,-0.008345,90.940361,0.001793,-0.024958
53,-0.032211,0.009767,-0.007798,0.029611,0.020778,-0.018402,90.956223,0.001871,-0.025404
54,-0.027340,0.014390,0.000652,0.027164,0.020097,-0.023703,90.955444,0.001916,-0.026106
55,-0.028471,0.016145,-0.001271,0.038080,0.003203,-0.019974,90.958473,0.001728,-0.026834
57,-0.019981,0.014758,0.002306,0.032404,0.001622,-0.016367,90.954689,0.001354,-0.027440
58,-0.021686,0.014809,-0.000989,0.034294,0.003045,-0.018782,90.957245,0.001074,-0.028025
59,-0.027059,0.010670,-0.000039,0.031693,0.025084,-0.018167,90.958069,0.001157,-0.028641
60,-0.029287,0.007743,-0.001501,0.035082,0.025737,-0.010191,90.961853,0.001504,-0.029114
61,-0.028167,0.008281,0.001671,0.025077,0.030797,-0.011333,90.959328,0.001836,-0.029473
62,-0.036373,0.005713,-0.002321,0.025731,0.026836,-0.013913,90.964500,0.002099,-0.029893
64,-0.035706,0.006449,-0.001946,0.023411,0.008245,-0.013457,90.968887,0.002012,-0.030349
65,-0.030486,0.012615,-0.003855,0.024120,-0.020067,-0.014492,90.976761,0.001361,-0.030815
66,-0.037037,0.010839,-0.004797,0.021853,-0.029741,-0.003686,90.986481,0.000397,-0.031118
67,-0.035852,0.008865,-0.001695,0.028516,-0.033194,0.003815,90.990326,-0.000487,-0.031116
68,-0.031034,0.013614,-0.001545,0.032009,-0.020298,-0.011069,90.993881,-0.001036,-0.031237
69,-0.031490,0.013168,0.001367,0.030959,-0.010777,-0.013658,90.991837,-0.001164,-0.031649
71,-0.029948,0.006966,0.002270,0.019613,-0.004521,-0.011735,90.988022,-0.001065,-0.032072
72,-0.024121,0.009932,0.002975,0.026349,0.007435,-0.027585,90.982666,-0.000760,-0.032728
