seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
7847,-0.000140,-0.015152,0.015662,0.074426,-0.056887,0.132325,135.944870,-0.369213,-0.912553
7848,-0.006677,-0.015877,0.013411,0.062982,-0.045443,0.120881,135.947174,-0.370922,-0.916772
7849,-0.013288,-0.008097,0.006526,0.074426,-0.051801,0.137412,135.949493,-0.372750,-0.920993
7850,-0.015160,-0.002692,0.005820,0.068704,-0.060702,0.138048,135.951920,-0.374594,-0.925597
7851,-0.016165,-0.002508,0.004528,0.060693,-0.073672,0.126222,135.954102,-0.376047,-0.930320
7852,-0.022913,0.002580,0.000888,0.051537,-0.078250,0.101807,135.956009,-0.376869,-0.934812
7854,-0.020685,0.011795,0.000992,0.050011,-0.090458,0.094177,135.957718,-0.377119,-0.939115
7855,-0.022171,0.011703,0.000531,0.033226,-0.095035,0.068237,135.959137,-0.376778,-0.943210
7856,-0.021166,0.013078,-0.002491,0.014915,-0.087406,0.049926,135.959961,-0.375961,-0.946740
7857,-0.019599,0.013733,-0.000266,-0.000344,-0.084354,0.042296,135.960220,-0.374972,-0.949835
7858,-0.017507,0.012371,-0.000111,-0.003396,-0.088932,0.057555,135.960190,-0.374053,-0.953039
7859,-0.018304,0.007615,-0.006538,-0.015604,-0.088932,0.063659,135.959900,-0.373326,-0.956552
7861,-0.011713,0.007212,-0.007795,-0.011025,-0.085880,0.068237,135.959473,-0.372760,-0.960158
7862,-0.011720,-0.001202,-0.009004,-0.000344,-0.101139,0.075866,135.959305,-0.372189,-0.964051
7863,-0.011987,-0.006298,-0.012437,0.027122,-0.099613,0.086548,135.959778,-0.371665,-0.968323
7864,-0.012634,-0.012154,-0.015099,0.025597,-0.105717,0.091126,135.960693,-0.371264,-0.972830
7865,-0.012881,-0.019119,-0.011840,0.031701,-0.104191,0.097229,135.961670,-0.370931,-0.977519
7866,-0.010515,-0.016835,-0.006756,0.019493,-0.113346,0.092651,135.962555,-0.370525,-0.982315
7868,-0.004535,-0.009433,-0.005756,0.011864,-0.107243,0.083496,135.963104,-0.369922,-0.986981
7869,-0.006576,-0.002232,-0.004347,-0.006448,-0.104191,0.075866,135.963242,-0.369235,-0.991340
7870,-0.002702,0.001783,-0.002386,-0.007974,-0.098087,0.071288,135.963013,-0.368517,-0.995447
7871,-0.002648,0.006635,-0.000995,-0.015604,-0.093509,0.054503,135.962646,-0.367678,-0.999174
7872,-0.009571,0.005628,-0.001894,-0.011025,-0.078250,0.060607,135.962219,-0.366954,-1.002543
7873,-0.010844,0.005455,-0.000631,-0.009500,-0.075198,0.066711,135.961899,-0.366591,-1.005846
7875,-0.009578,0.003697,-0.000997,-0.007974,-0.073672,0.068237,135.961639,-0.366370,-1.009188
7876,-0.011712,0.001203,0.002192,-0.007974,-0.072146,0.065185,135.961380,-0.366169,-1.012476
7877,-0.014005,-0.001675,-0.000875,-0.003396,-0.069095,0.069762,135.961227,-0.366041,-1.015729
7878,-0.009905,0.000141,-0.002367,0.004234,-0.075198,0.065185,135.961258,-0.365875,-1.019018
7879,-0.013176,0.002913,0.001077,0.002708,-0.075198,0.063659,135.961395,-0.365566,-1.022304
7880,-0.011138,0.001085,-0.002475,0.007287,-0.066043,0.060607,135.961578,-0.365314,-1.025429
7882,-0.010943,0.007863,-0.004260,0.008811,-0.067569,0.065185,135.961868,-0.365170,-1.028485
