seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
5526,0.009732,0.051033,0.002443,-0.130404,-0.385451,0.050280,-132.182724,0.920243,-2.075619
5527,0.010868,0.050213,0.003057,-0.053751,-0.030947,0.051452,-132.185730,0.926159,-2.071615
5528,0.007786,0.043497,0.008611,-0.032387,-0.037050,0.065185,-132.187180,0.928361,-2.072080
5529,0.010687,0.043379,0.013193,-0.006448,-0.049258,0.068237,-132.187836,0.930975,-2.072508
5531,0.010816,0.043021,0.013907,0.005760,-0.052310,0.072815,-132.187851,0.933853,-2.072832
5532,0.010056,0.040250,0.006300,-0.009500,-0.053836,0.083496,-132.187912,0.936972,-2.073271
5533,0.006475,0.043473,0.005073,-0.020181,-0.043154,0.075866,-132.188431,0.940025,-2.073857
5534,0.010994,0.050289,0.002223,-0.032387,-0.052310,0.074340,-132.189316,0.942949,-2.074360
5535,0.010386,0.059042,-0.002966,-0.043069,-0.055362,0.074340,-132.190567,0.945990,-2.074694
5536,0.010806,0.059540,0.002339,-0.075115,-0.047732,0.069763,-132.192551,0.948923,-2.075034
5538,0.008943,0.061286,0.009043,-0.044596,-0.061465,0.083496,-132.194534,0.952038,-2.075401
5539,0.007851,0.059967,0.012899,-0.027811,-0.069095,0.092651,-132.195755,0.955675,-2.075761
5540,0.008124,0.062698,0.008934,-0.043069,-0.066043,0.075866,-132.196945,0.959268,-2.075979
5541,0.009354,0.055028,0.010663,-0.081217,-0.069094,0.060607,-132.199005,0.962466,-2.075838
5542,0.006094,0.057989,0.004635,-0.070537,-0.075198,0.060607,-132.201538,0.965578,-2.075414
5543,0.009809,0.062014,0.001284,-0.091898,-0.064517,0.043822,-132.204224,0.968432,-2.074858
5545,0.010413,0.061387,-0.002900,-0.096477,-0.069095,0.031614,-132.207352,0.970859,-2.074053
5546,0.012762,0.054960,0.002322,-0.075113,-0.073672,0.034666,-132.210190,0.973276,-2.073032
5547,0.015694,0.049817,0.001720,-0.015604,-0.069095,0.049926,-132.211685,0.975919,-2.072217
5548,0.012496,0.045542,0.002275,0.008811,-0.067569,0.046874,-132.211792,0.978644,-2.071614
5549,0.012551,0.040526,0.010525,0.021018,-0.069094,0.046874,-132.211288,0.981332,-2.070977
5550,0.016095,0.034052,0.013505,0.024072,-0.084354,0.049926,-132.210526,0.984245,-2.070167
5552,0.015964,0.038680,0.015300,0.024072,-0.091983,0.054503,-132.209702,0.987509,-2.069159
5553,0.013976,0.053230,0.013206,0.011864,-0.091983,0.056029,-132.209076,0.990933,-2.068125
5554,0.021450,0.051569,0.015550,0.019493,-0.104191,0.074340,-132.208542,0.994739,-2.067163
5555,0.023471,0.050615,0.010860,0.037804,-0.102665,0.089600,-132.207565,0.999079,-2.066445
5556,0.025227,0.061697,0.005844,0.048485,-0.096561,0.091125,-132.206131,1.003541,-2.066009
5557,0.019421,0.061581,0.002408,0.034752,-0.084354,0.094177,-132.204742,1.007854,-2.065850
5559,0.020670,0.054369,0.006785,0.011864,-0.095035,0.088073,-132.203964,1.012113,-2.065676
5560,0.023012,0.052341,0.008588,0.004234,-0.066043,0.078918,-132.203705,1.015978,-2.065557
5561,0.022633,0.058519,0.005486,-0.036965,-0.056887,0.048399,-132.204239,1.018926,-2.065464
5562,0.027724,0.060222,0.011535,-0.052226,-0.049258,0.046874,-132.205719,1.021291,-2.065221
5563,0.029152,0.054346,0.012496,-0.047648,-0.053835,0.048400,-132.207382,1.023621,-2.065015
5564,0.031342,0.059936,0.015704,-0.038492,-0.047732,0.046874,-132.208801,1.025935,-2.064828
5566,0.028288,0.065723,0.010368,-0.041544,-0.067569,0.051452,-132.210144,1.028440,-2.064506
5567,0.032362,0.057415,0.013839,-0.026285,-0.076724,0.068237,-132.211258,1.031533,-2.064064
5568,0.023546,0.048154,0.011495,-0.023232,-0.082828,0.075866,-132.212082,1.035099,-2.063709
5569,0.027240,0.055324,0.013824,-0.036965,-0.069095,0.066711,-132.213074,1.038560,-2.063429
5570,0.035496,0.048085,0.009414,-0.029336,-0.056887,0.074340,-132.214188,1.041712,-2.063454
5571,0.033571,0.039940,0.014913,-0.021707,-0.056887,0.085022,-132.215042,1.044953,-2.063834
5573,0.026895,0.039214,0.012107,-0.027811,-0.058413,0.088074,-132.215866,1.048381,-2.064349
5574,0.035786,0.043040,0.014722,-0.004921,-0.049258,0.094177,-132.216431,1.051836,-2.065062
5575,0.033338,0.038043,0.016774,0.036279,-0.058413,0.104859,-132.215927,1.055499,-2.065962
5576,0.030399,0.044064,0.020030,0.036279,-0.070621,0.094177,-132.214722,1.059401,-2.066598
5577,0.032534,0.046501,0.014479,0.031701,-0.078250,0.080444,-132.213593,1.063223,-2.066716
5578,0.035299,0.055176,0.015789,0.039330,-0.075198,0.077392,-132.212418,1.066890,-2.066589
5580,0.033537,0.052125,0.016922,0.030175,-0.085880,0.065185,-132.211243,1.070454,-2.066197
5581,0.035903,0.050968,0.013316,0.034752,-0.084354,0.074340,-132.210159,1.074082,-2.065658
5582,0.028921,0.041081,0.012403,0.051537,-0.078250,0.089599,-132.208710,1.077927,-2.065486
5583,0.033459,0.045226,0.019001,0.046960,-0.062991,0.072814,-132.207077,1.081513,-2.065561
5584,0.035274,0.046192,0.020205,0.017968,-0.059939,0.065185,-132.205994,1.084594,-2.065588
5585,0.031637,0.047319,0.011813,-0.021707,-0.044680,0.056029,-132.206055,1.087261,-2.065654
5586,0.033121,0.053945,0.010636,-0.047648,-0.041628,0.037718,-132.207214,1.089385,-2.065638
5587,0.037482,0.068685,0.008252,-0.062906,-0.049258,0.040770,-132.209045,1.091372,-2.065395
5588,0.035847,0.063371,0.004022,-0.059856,-0.046206,0.056029,-132.211090,1.093636,-2.065300
5589,0.034923,0.053574,0.003654,-0.053751,-0.033998,0.046874,-132.212982,1.095804,-2.065462
5590,0.037803,0.046735,0.009439,-0.033914,-0.035524,0.054504,-132.214462,1.097834,-2.065740
5591,0.038357,0.045598,0.014883,-0.032387,-0.046206,0.048400,-132.215561,1.100019,-2.065883
5592,0.037884,0.042072,0.016591,-0.041544,-0.043154,0.031615,-132.216782,1.102008,-2.065676
5593,0.038673,0.043077,0.016773,-0.043069,-0.049258,0.039244,-132.218201,1.103917,-2.065330
5594,0.038397,0.049474,0.016611,-0.009499,-0.055361,0.060607,-132.219070,1.106322,-2.065156
5595,0.040095,0.058090,0.016258,0.002708,-0.066043,0.063659,-132.219177,1.109215,-2.065049
