seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
5473,0.001090,0.051358,0.046310,-0.141262,-0.911562,0.060476,-132.038864,0.902620,-178.999054,0.010747,-0.004779,0.913648,-0.406336
5475,-0.004345,0.059663,0.017238,-0.122452,-0.059945,0.045355,-132.046570,0.915687,-178.988266,0.010889,-0.004820,0.913675,-0.406272
5476,-0.008265,0.054751,0.015459,-0.149988,-0.081321,0.024009,-132.057892,0.920242,-178.987396,0.010928,-0.004812,0.913715,-0.406181
5477,-0.009786,0.054074,0.014804,-0.136321,-0.078286,0.025555,-132.069290,0.925244,-178.986084,0.010972,-0.004806,0.913755,-0.406090
5478,-0.001489,0.044880,0.014308,-0.061609,-0.064564,0.046931,-132.078461,0.929492,-178.985214,0.011008,-0.004798,0.913787,-0.406016
5479,-0.005350,0.040350,0.016716,-0.046395,-0.059993,0.059148,-132.084763,0.933367,-178.984940,0.011040,-0.004787,0.913809,-0.405966
5480,-0.007517,0.026514,0.017361,-0.061680,-0.053902,0.045429,-132.089157,0.937823,-178.984741,0.011076,-0.004774,0.913825,-0.405930
5482,-0.002505,0.026199,0.017010,-0.041878,-0.046292,0.059184,-132.094421,0.943231,-178.984726,0.011119,-0.004755,0.913843,-0.405887
5483,-0.005384,0.027640,0.018036,-0.070932,-0.050906,0.048545,-132.102341,0.951123,-178.984818,0.011181,-0.004727,0.913871,-0.405824
5484,-0.007559,0.021067,0.017482,-0.125909,-0.063168,0.024192,-132.109985,0.961640,-178.984299,0.011266,-0.004695,0.913898,-0.405761
5485,-0.002201,0.029991,0.014660,-0.176332,-0.069318,0.004407,-132.121689,0.970329,-178.983093,0.011340,-0.004675,0.913939,-0.405667
5486,0.000558,0.040680,0.014377,-0.191744,-0.084591,0.007479,-132.143204,0.974682,-178.981583,0.011379,-0.004673,0.914015,-0.405495
5487,0.005777,0.041405,0.019452,-0.199559,-0.081524,0.016621,-132.168274,0.974809,-178.980118,0.011384,-0.004687,0.914103,-0.405295
5489,0.011164,0.039788,0.019259,-0.192097,-0.087571,0.010460,-132.191422,0.968993,-178.978607,0.011342,-0.004722,0.914185,-0.405111
5490,0.013889,0.046005,0.023082,-0.180056,-0.084431,0.017996,-132.214279,0.958405,-178.977081,0.011262,-0.004774,0.914266,-0.404929
5491,0.009510,0.037293,0.028843,-0.183228,-0.093502,0.031639,-132.232285,0.948655,-178.975647,0.011188,-0.004822,0.914330,-0.404786
5492,0.007136,0.030559,0.028999,-0.184790,-0.084287,0.026998,-132.242081,0.942635,-178.974167,0.011145,-0.004856,0.914365,-0.404709
