seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
5440,0.164054,0.078044,0.143609,-2.011059,0.373721,0.162611,180.000000,48.897434,0.000000
5441,0.149507,0.126970,0.226064,-3.195711,0.090864,0.196843,179.917557,48.927631,0.005991
5442,0.145654,0.091480,-0.007154,-4.961385,-0.072088,0.243859,179.792526,48.896275,0.013336
5443,0.139290,0.082852,-0.000143,-4.193558,-0.476846,0.288581,179.657944,48.858368,0.022210
5444,0.125638,0.072028,0.068491,-3.723421,-0.594967,0.256558,179.308441,48.776798,0.031296
5445,0.143505,0.057532,0.065054,-4.588553,0.140694,0.116973,179.142349,48.754688,0.037521
5447,0.122572,0.064496,0.003052,-3.537648,0.188082,0.091181,179.255188,48.603596,0.040990
5448,0.114053,0.060891,0.051762,-1.458947,0.614356,-0.020107,178.988708,48.542545,0.042175
5449,0.087468,0.035180,-0.003867,-0.598119,1.085692,-0.114463,178.851440,48.450329,0.039932
5450,0.076438,0.040940,-0.063622,-0.060693,1.455973,-0.151118,179.130341,48.299805,0.035506
5451,0.038722,0.045597,-0.090356,1.243040,0.745562,-0.048754,179.023224,48.154385,0.032175
5452,0.036666,0.037281,-0.083189,1.078313,0.824432,-0.075198,178.959137,48.011765,0.030109
5454,0.032970,0.061101,-0.042183,0.697601,0.450568,-0.018124,179.241547,47.927494,0.028553
5455,0.054580,0.057952,0.009299,0.214250,0.292634,0.001656,179.087860,47.880035,0.028279
5456,0.049506,0.047392,0.014658,0.055209,0.122167,0.022265,178.953796,47.841686,0.028678
5457,0.045569,0.030264,0.015927,0.028309,0.029608,0.031866,178.866333,47.806458,0.029580
5458,0.042226,0.024260,0.025010,0.022953,-0.025971,0.030821,178.795090,47.786430,0.030624
5459,0.046051,0.016337,0.030079,0.022200,0.005875,0.028335,178.746384,47.768532,0.031610
5461,0.039307,0.012608,0.031702,0.030328,0.010110,0.030358,178.708481,47.762577,0.032589
5462,0.041073,0.008640,0.031695,0.035237,0.015682,0.008700,178.682312,47.754570,0.033240
5463,0.040918,0.011859,0.034301,0.031130,0.000409,0.012842,178.646530,47.750248,0.033599
5464,0.044903,0.007589,0.033004,0.019778,-0.083731,0.030132,178.622986,47.737267,0.034315
5465,0.035586,0.005789,0.036843,0.058979,-0.188726,0.024717,178.604843,47.739033,0.035229
5466,0.034651,0.003366,0.036018,0.058521,-0.207630,0.019479,178.594421,47.738850,0.035966
5468,0.038956,-0.000564,0.039211,0.035940,-0.236244,0.048358,178.594818,47.736977,0.037096
5469,0.037208,-0.003348,0.040822,0.036238,-0.241782,0.045297,178.602875,47.739273,0.038657
