seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
87,0.000087,-0.000733,0.119045,-0.013925,0.015454,1.028500,-0.360678,-0.042355,0.000133
88,-0.005306,-0.000009,0.116158,0.068542,0.069360,-0.039852,-0.359779,-0.040838,0.016602
89,-0.006817,-0.000166,0.118771,0.061452,0.087714,-0.042828,-0.357612,-0.038229,0.015207
90,-0.002908,-0.005160,0.122697,-0.074832,0.142961,-0.037836,-0.357834,-0.034393,0.013839
92,-0.002491,-0.003988,0.124619,-0.048181,0.142942,-0.031804,-0.359883,-0.029635,0.012648
93,0.004258,-0.000589,0.125090,0.084545,-0.067845,-0.030148,-0.359277,-0.028390,0.011608
94,0.002928,-0.005307,0.123395,-0.073866,-0.051751,-0.029939,-0.359098,-0.030389,0.010619
95,0.002698,-0.004004,0.126289,-0.048249,-0.051219,-0.025319,-0.361133,-0.032111,0.009709
96,0.001601,-0.005397,0.123749,-0.088483,-0.018313,-0.028131,-0.363411,-0.033276,0.008825
97,0.000138,-0.006838,0.123850,-0.150579,0.042322,-0.033887,-0.367395,-0.032882,0.007789
99,-0.000095,-0.002681,0.123113,-0.047034,0.058369,-0.035402,-0.370688,-0.031211,0.006624
100,0.005050,0.009472,0.125947,0.358351,-0.108641,-0.045814,-0.365499,-0.032058,0.005275
101,0.003853,0.004720,0.123641,0.236376,-0.084419,-0.062382,-0.355586,-0.035287,0.003493
102,0.003162,0.010074,0.128911,0.387331,-0.053552,-0.066893,-0.345189,-0.037600,0.001352
103,0.004504,0.000206,0.129799,0.106986,-0.101096,-0.066936,-0.336949,-0.040190,-0.000863
104,0.002382,-0.001953,0.127841,0.021392,-0.030295,-0.057326,-0.334808,-0.042392,-0.002921
106,-0.000623,-0.010987,0.123712,-0.272904,0.085513,-0.039724,-0.338999,-0.041482,-0.004544
107,0.001686,-0.005433,0.121937,-0.114894,0.023217,-0.035626,-0.345461,-0.039677,-0.005811
108,0.002998,-0.006686,0.117270,-0.142404,-0.015607,-0.032845,-0.349748,-0.039557,-0.006953
109,0.005058,-0.000558,0.114529,0.042637,-0.087347,-0.034928,-0.351410,-0.041280,-0.008072
110,0.008403,-0.002953,0.117864,-0.023678,-0.205503,-0.029475,-0.351094,-0.046167,-0.009115
111,0.008675,-0.000618,0.119695,0.035833,-0.224333,-0.038792,-0.350890,-0.053338,-0.010209
113,0.009243,-0.005398,0.120224,-0.100796,-0.228521,-0.028086,-0.351972,-0.060892,-0.011277
114,0.003929,-0.004383,0.122314,-0.075682,-0.066254,-0.016389,-0.354912,-0.065810,-0.011988
115,-0.000987,-0.006070,0.125365,-0.133988,0.111595,-0.012221,-0.358406,-0.065057,-0.012470
116,-0.006871,-0.008728,0.121636,-0.215124,0.310758,-0.029175,-0.364224,-0.058022,-0.013204
117,-0.004947,-0.011327,0.121537,-0.300513,0.259428,-0.029371,-0.372817,-0.048525,-0.014241
118,-0.004623,-0.000756,0.120534,0.012846,0.234067,-0.037410,-0.377611,-0.040308,-0.015408
120,-0.001189,-0.003928,0.121792,-0.064865,0.119978,-0.051813,-0.378477,-0.034417,-0.016934
121,0.000665,0.002929,0.118667,0.151515,0.046026,-0.058509,-0.377031,-0.031663,-0.018791
122,0.004129,0.010727,0.123881,0.415413,-0.061300,-0.050252,-0.367581,-0.031929,-0.020601
123,0.008532,0.012567,0.127805,0.493681,-0.202529,-0.039016,-0.352429,-0.036335,-0.022062
124,0.009669,0.002287,0.131352,0.197307,-0.262151,-0.032979,-0.340912,-0.044087,-0.023214
125,0.009235,0.003374,0.133771,0.209528,-0.244940,-0.025255,-0.334130,-0.052544,-0.024135
127,0.007343,0.002611,0.139778,0.190574,-0.176481,-0.024858,-0.327461,-0.059573,-0.024930
128,0.005683,-0.005061,0.134114,-0.050158,-0.133069,-0.037999,-0.325120,-0.064738,-0.025948
129,-0.001558,-0.005520,0.129892,-0.092140,0.091724,-0.041207,-0.327490,-0.065434,-0.027264
