seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
34,0.000104,-0.000834,0.120989,-0.089377,-0.028068,2.609686,-0.395152,-0.048996,0.000338,0.999994,-0.003448,-0.000428,0.000001
36,-0.000502,0.007167,0.116424,-0.012510,0.028567,-0.023319,-0.392864,-0.048348,0.043440,0.999994,-0.003428,-0.000423,0.000378
37,-0.002821,0.005551,0.114074,0.010455,0.034691,-0.026371,-0.385194,-0.045303,0.042598,0.999994,-0.003361,-0.000397,0.000370
38,-0.000025,0.013207,0.114201,0.024303,0.036237,-0.024845,-0.373223,-0.042158,0.041728,0.999995,-0.003257,-0.000369,0.000363
39,0.001233,0.004736,0.120487,0.003053,0.034710,-0.020267,-0.361428,-0.041132,0.040960,0.999995,-0.003154,-0.000360,0.000356
40,-0.001030,0.006697,0.116207,0.032125,0.039289,-0.008059,-0.352942,-0.039714,0.040474,0.999995,-0.003080,-0.000348,0.000352
41,0.000542,0.002476,0.117914,0.052025,0.049978,-0.018741,-0.345077,-0.037626,0.040014,0.999995,-0.003011,-0.000329,0.000348
43,0.002377,0.004725,0.116485,0.067340,0.040810,-0.018741,-0.337678,-0.037241,0.039376,0.999996,-0.002947,-0.000326,0.000343
44,0.002274,0.002636,0.114311,0.049083,0.040788,-0.026371,-0.330317,-0.038089,0.038613,0.999996,-0.002882,-0.000333,0.000336
45,0.001875,0.004412,0.106218,0.055238,0.043820,-0.032474,-0.323387,-0.038736,0.037620,0.999996,-0.002822,-0.000339,0.000327
46,0.002613,0.003838,0.105863,0.050718,0.054480,-0.044682,-0.315873,-0.039297,0.036321,0.999996,-0.002756,-0.000344,0.000316
47,0.000766,-0.000395,0.106675,0.044647,0.052938,-0.023320,-0.311035,-0.039101,0.035176,0.999996,-0.002714,-0.000342,0.000306
48,0.001775,0.000143,0.111749,0.047709,0.059030,-0.015690,-0.308428,-0.038308,0.034515,0.999996,-0.002691,-0.000335,0.000300
50,-0.003407,-0.000477,0.116101,0.050770,0.049887,-0.020268,-0.305934,-0.035326,0.033905,0.999996,-0.002670,-0.000309,0.000295
51,-0.003551,0.000965,0.118242,0.056887,0.049929,-0.020268,-0.302840,-0.029522,0.033220,0.999996,-0.002643,-0.000258,0.000289
52,-0.000450,-0.010627,0.125546,0.035483,0.045379,-0.027897,-0.305267,-0.025106,0.032411,0.999996,-0.002664,-0.000220,0.000282
53,-0.002059,-0.009341,0.126840,0.052169,0.039294,-0.047734,-0.313650,-0.021803,0.031147,0.999996,-0.002737,-0.000191,0.000271
54,-0.002823,-0.012806,0.121048,0.033743,0.045428,-0.046208,-0.323743,-0.017367,0.029578,0.999996,-0.002825,-0.000152,0.000258
55,0.001113,-0.016431,0.125355,0.032064,0.059176,-0.026371,-0.338052,-0.014136,0.028363,0.999996,-0.002950,-0.000124,0.000247
57,0.000638,-0.013165,0.125114,0.019697,0.054594,-0.021793,-0.353141,-0.012667,0.027553,0.999995,-0.003082,-0.000111,0.000240
58,-0.002272,0.001577,0.123582,0.034889,0.050029,-0.017215,-0.358787,-0.009753,0.026894,0.999995,-0.003131,-0.000086,0.000234
59,0.001110,0.001672,0.121340,0.024230,0.056142,-0.014163,-0.355719,-0.006932,0.026359,0.999995,-0.003104,-0.000061,0.000230
60,0.006776,0.004738,0.124928,0.025801,0.046950,-0.018741,-0.350373,-0.008923,0.025800,0.999995,-0.003058,-0.000079,0.000225
