seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-0.002879,-0.033096,0.129570,-0.637726,-0.526575,29.612972,0.000000,1.272322,0.000000
2,0.022660,-0.024044,0.124806,-0.501821,-0.315007,19.091440,-0.015891,1.254116,0.636381
3,0.079933,-0.022468,0.119294,-0.371346,-0.135122,12.602768,-0.026856,1.187131,1.056474
4,0.059967,-0.018257,0.118367,-0.273841,0.528581,9.285862,-0.034185,1.144513,1.366002
5,0.090139,-0.012143,0.118306,-0.203653,0.370102,7.320740,-0.038924,1.099007,1.610027
6,0.068591,-0.008371,0.119689,-0.065622,0.480468,1.330633,-0.030834,0.836267,1.654382
8,0.054356,-0.009918,0.121994,0.039843,0.653632,-0.436842,-0.022129,0.643541,1.639820
9,0.009442,-0.007292,0.126656,0.096097,0.574643,-0.440231,-0.014195,0.497022,1.625146
10,0.029048,-0.006393,0.122866,0.137223,-0.142297,-0.399232,-0.007215,0.369209,1.611838
11,-0.004182,-0.008175,0.125719,0.157815,-0.109590,-0.378765,-0.001466,0.274167,1.599213
12,-0.001471,-0.005077,0.123277,0.170352,-0.057292,-0.373727,0.003159,0.204193,1.586755
13,-0.011539,-0.001513,0.121128,0.141153,-0.098215,-0.348191,0.005898,0.150689,1.575149
15,-0.009068,-0.000102,0.118892,0.117338,-0.134844,-0.262981,0.007357,0.109646,1.566383
16,-0.031158,0.001286,0.119619,0.086925,-0.034490,-0.187944,0.007691,0.081372,1.560118
17,-0.045722,0.002176,0.117215,0.048654,0.002062,-0.144885,0.006985,0.061081,1.555288
18,-0.054436,0.000228,0.114975,0.021969,-0.043758,-0.089955,0.005788,0.044717,1.552290
19,-0.060152,-0.001398,0.111035,0.022724,-0.182534,-0.081102,0.004909,0.028974,1.549586
20,-0.072170,-0.001424,0.112143,0.026407,-0.209020,-0.134527,0.004342,0.016505,1.545102
22,-0.063801,-0.003583,0.114572,0.001927,-0.314335,-0.153731,0.003305,0.004520,1.539978
23,-0.061611,-0.006224,0.115212,0.024002,-0.571168,-0.128029,0.003078,-0.010889,1.535710
24,-0.033016,-0.004313,0.115599,-0.010730,-0.192324,-0.188771,0.002041,-0.012975,1.529418
25,-0.018104,-0.002860,0.118319,-0.039897,0.091450,-0.206197,0.000533,-0.007445,1.522545
26,-0.028574,-0.001884,0.119055,-0.063679,0.255229,-0.197961,-0.001192,0.000797,1.515946
27,-0.031561,-0.000997,0.117124,-0.045356,0.431349,-0.204754,-0.002028,0.011382,1.509121
29,-0.031830,-0.000922,0.113758,-0.057153,0.654828,-0.220180,-0.002950,0.024907,1.501781
30,-0.057431,-0.008396,0.112505,-0.024285,0.246674,-0.167209,-0.002820,0.024847,1.496208
31,-0.067801,-0.009600,0.114350,0.004553,-0.006412,-0.151396,-0.002001,0.018475,1.491161
32,-0.058303,-0.010786,0.107957,0.019163,-0.091804,-0.127246,-0.001022,0.011561,1.486920
33,-0.061701,-0.011755,0.109064,0.015583,-0.085843,-0.105363,-0.000377,0.006525,1.483407
34,-0.060995,-0.011857,0.112074,0.006217,-0.074173,-0.094530,-0.000127,0.003039,1.480256
