seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-0.000697,0.184869,-0.004140,0.089685,0.065187,-0.005008,-88.716934,-0.215899,0.211117
2,-0.002884,0.176900,-0.013067,0.074426,0.065187,-0.005008,-88.714195,-0.216017,0.208941
3,-0.000497,0.180982,-0.003995,0.066796,0.062644,-0.005008,-88.711838,-0.216136,0.206808
4,-0.007637,0.179586,-0.009850,0.057259,0.065187,0.004529,-88.709763,-0.216096,0.204677
5,-0.008156,0.174309,-0.009046,0.051537,0.065187,0.010252,-88.707939,-0.215801,0.202511
6,-0.009521,0.173695,-0.009433,0.033226,0.066713,0.008726,-88.706520,-0.215435,0.200320
8,-0.004460,0.177330,-0.002226,0.045433,0.071290,0.010252,-88.705200,-0.215067,0.198028
9,-0.005845,0.175749,-0.007222,0.050011,0.068239,0.016356,-88.703598,-0.214571,0.195713
10,0.000125,0.179721,-0.003843,0.066798,0.062135,0.010252,-88.701645,-0.214078,0.193550
11,0.007442,0.184731,-0.005197,0.069849,0.063661,0.008726,-88.699364,-0.213715,0.191461
12,0.007826,0.178111,-0.003194,0.079004,0.069765,0.017881,-88.696869,-0.213221,0.189248
13,0.005088,0.180349,-0.007262,0.059167,0.063661,0.020933,-88.694557,-0.212523,0.187040
15,0.003590,0.182193,-0.004974,0.056116,0.069764,0.019407,-88.692627,-0.211800,0.184832
16,0.003520,0.174751,-0.002615,0.050012,0.075868,0.013303,-88.690849,-0.211200,0.182418
17,-0.001961,0.175344,-0.002176,0.056116,0.081972,0.001096,-88.689072,-0.210900,0.179793
18,0.000723,0.179011,-0.000409,0.056116,0.078920,-0.001956,-88.687195,-0.210853,0.177112
19,-0.002095,0.168572,-0.003285,0.054589,0.078920,-0.003482,-88.685341,-0.210883,0.174480
20,-0.002972,0.169718,-0.002893,0.054589,0.065187,-0.003482,-88.683510,-0.210944,0.172076
22,-0.004398,0.167701,-0.003821,0.051537,0.059083,-0.008059,-88.681732,-0.211089,0.170001
23,-0.004783,0.162829,0.000223,0.053063,0.068239,-0.006534,-88.679985,-0.211283,0.167874
24,-0.008075,0.168083,-0.004597,0.048487,0.069765,-0.012637,-88.678284,-0.211549,0.165567
25,-0.000743,0.174998,-0.000681,0.056116,0.078920,-0.012637,-88.676529,-0.211913,0.163080
26,0.004291,0.169499,-0.001231,0.045434,0.095705,-0.020267,-88.674820,-0.212394,0.160158
27,0.003847,0.174814,-0.005013,0.048487,0.110965,-0.005008,-88.673248,-0.212736,0.156704
29,0.003911,0.182012,-0.007421,0.028649,0.086550,0.005674,-88.671944,-0.212648,0.153414
30,0.002274,0.179774,-0.006397,0.025597,0.089602,-0.000430,-88.671028,-0.212493,0.150481
31,-0.005328,0.179871,-0.004971,0.016441,0.078920,-0.012637,-88.670311,-0.212646,0.147668
32,-0.010974,0.180799,-0.006418,0.031701,0.081972,0.002622,-88.669502,-0.212750,0.144983
33,-0.011495,0.180456,-0.003724,0.034752,0.069765,-0.008060,-88.668388,-0.212782,0.142452
34,-0.010807,0.178833,-0.004183,0.046960,0.077394,-0.015689,-88.667015,-0.213121,0.139991
36,-0.007512,0.180851,-0.006959,0.057641,0.074342,-0.011111,-88.665260,-0.213508,0.137453
37,-0.003798,0.179166,-0.007363,0.066798,0.071290,-0.001956,-88.663185,-0.213670,0.135021
38,-0.004533,0.177167,-0.007585,0.050011,0.060609,-0.015689,-88.661224,-0.213912,0.132816
39,-0.003765,0.177410,-0.007810,0.033226,0.060609,-0.011111,-88.659828,-0.214312,0.130786
40,0.002101,0.173448,-0.007425,0.040856,0.072816,-0.011111,-88.658585,-0.214630,0.128554
41,0.002149,0.166230,-0.007374,0.031701,0.060609,-0.009585,-88.657364,-0.214923,0.126323
43,0.001207,0.161444,-0.006580,0.025597,0.071291,-0.006533,-88.656403,-0.215140,0.124119
44,0.006048,0.156990,-0.006900,0.036279,0.072816,-0.003482,-88.655373,-0.215250,0.121714
45,0.007375,0.159723,-0.002286,0.042383,0.085024,-0.001956,-88.654053,-0.215279,0.119082
46,0.001125,0.161797,-0.004352,0.048487,0.078920,-0.006533,-88.652527,-0.215356,0.116347
47,-0.004661,0.167862,-0.002826,0.050012,0.077394,-0.011111,-88.650871,-0.215589,0.113735
48,-0.003684,0.179859,-0.003964,0.050012,0.089602,-0.015689,-88.649193,-0.215970,0.110942
50,-0.006906,0.182225,-0.005846,0.037804,0.097231,-0.021793,-88.647713,-0.216521,0.107815
51,-0.005308,0.174786,-0.008410,0.031701,0.086550,-0.017215,-88.646538,-0.217099,0.104737
52,-0.007301,0.175562,-0.008358,0.021019,0.075868,-0.008059,-88.645653,-0.217456,0.102021
53,-0.006399,0.177332,-0.007153,0.025597,0.091128,-0.000430,-88.644867,-0.217531,0.099235
54,-0.008183,0.175210,-0.005883,0.025597,0.072816,-0.001956,-88.644005,-0.217506,0.096502
55,-0.004143,0.182989,-0.002621,0.033226,0.072816,-0.000430,-88.643013,-0.217489,0.094075
57,-0.005293,0.183633,-0.006700,0.036279,0.074342,-0.001956,-88.641846,-0.217470,0.091622
58,-0.003730,0.189483,-0.006296,0.037804,0.069764,-0.009586,-88.640594,-0.217606,0.089216
59,-0.001203,0.186256,-0.008155,0.040856,0.059083,-0.014163,-88.639275,-0.217951,0.087060
60,-0.004013,0.178222,-0.016623,0.043908,0.066713,-0.003482,-88.637863,-0.218195,0.084957
61,-0.006752,0.182197,-0.022602,0.045433,0.075868,-0.001956,-88.636368,-0.218229,0.082579
62,-0.009313,0.184810,-0.024268,0.054589,0.077394,-0.011111,-88.634689,-0.218386,0.080020
64,-0.008044,0.175293,-0.023071,0.048487,0.083498,-0.008059,-88.632965,-0.218641,0.077332
65,-0.008539,0.171985,-0.028047,0.046959,0.088076,0.001096,-88.631363,-0.218689,0.074470
66,-0.007086,0.173547,-0.024557,0.046959,0.091128,-0.015689,-88.629791,-0.218861,0.071479
67,-0.005308,0.160506,-0.028927,0.069849,0.080446,0.004148,-88.627838,-0.218985,0.068615
68,-0.007417,0.161496,-0.030330,0.068323,0.080446,0.008726,-88.625519,-0.218706,0.065940
69,-0.007199,0.165539,-0.034119,0.074426,0.078920,0.025511,-88.623131,-0.218072,0.063298
71,-0.005728,0.170925,-0.032343,0.066798,0.078920,0.019407,-88.620766,-0.217260,0.060686
72,-0.005706,0.171954,-0.033684,0.063745,0.069765,0.027037,-88.618584,-0.216426,0.058227
73,-0.006135,0.180113,-0.030285,0.043908,0.059083,0.004148,-88.616783,-0.215855,0.056093
74,-0.002974,0.184953,-0.028658,0.034752,0.060609,-0.000430,-88.615456,-0.215745,0.054100
75,-0.004264,0.188530,-0.029237,0.030174,0.071290,-0.018741,-88.614365,-0.216011,0.051895
76,-0.004228,0.185164,-0.027592,0.030174,0.066713,-0.021793,-88.613350,-0.216631,0.049579
78,-0.002359,0.189152,-0.028354,0.034752,0.066713,-0.023319,-88.612259,-0.217329,0.047338
79,-0.001556,0.181030,-0.026582,0.031701,0.074342,-0.023319,-88.611137,-0.218049,0.044969
80,-0.004346,0.177746,-0.022574,0.027122,0.059083,-0.029423,-88.610153,-0.218874,0.042724
81,-0.006532,0.179433,-0.025279,0.019493,0.060609,-0.029423,-88.609367,-0.219806,0.040706
82,-0.009327,0.181000,-0.026429,0.027122,0.066713,-0.026371,-88.608582,-0.220684,0.038562
83,-0.012609,0.174658,-0.025416,0.024072,0.069764,-0.018741,-88.607719,-0.221380,0.036270
85,-0.013896,0.179669,-0.020914,0.033226,0.066713,-0.009586,-88.606750,-0.221797,0.033985
86,-0.009338,0.175170,-0.026943,0.042383,0.078920,-0.001956,-88.605484,-0.221930,0.031553
87,-0.006571,0.161859,-0.023169,0.056116,0.063661,-0.001956,-88.603836,-0.221937,0.029176
88,-0.005892,0.160026,-0.020218,0.056116,0.063661,-0.008060,-88.601967,-0.222053,0.027051
89,-0.007654,0.170923,-0.020940,0.050012,0.048402,-0.014163,-88.600182,-0.222377,0.025174
90,-0.006339,0.174882,-0.023860,0.050012,0.051453,-0.024845,-88.598511,-0.222986,0.023495
92,-0.005066,0.183070,-0.021332,0.037804,0.039246,-0.023319,-88.597038,-0.223752,0.021964
93,-0.005354,0.185862,-0.020467,0.034752,0.054505,-0.018741,-88.595818,-0.224414,0.020385
94,-0.008497,0.183912,-0.024215,0.036279,0.056031,-0.020267,-88.594627,-0.225019,0.018527
95,-0.002833,0.179147,-0.021571,0.048487,0.063661,-0.023319,-88.593208,-0.225696,0.016515
96,-0.008023,0.175077,-0.023132,0.046959,0.060609,-0.018741,-88.591614,-0.226346,0.014427
97,-0.013077,0.169727,-0.024819,0.051537,0.074342,-0.024845,-88.589958,-0.227017,0.012161
99,-0.012902,0.171713,-0.023994,0.039330,0.059083,-0.027897,-88.588432,-0.227841,0.009916
100,-0.006871,0.173359,-0.021214,0.037804,0.060609,-0.023319,-88.587143,-0.228645,0.007901
