seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
34,-0.000632,0.176541,-0.004033,0.051932,0.073546,0.000803,-88.693626,-0.204959,8.915121,0.713055,-0.696785,-0.055602,0.054333
36,-0.005610,0.180958,-0.002592,0.057651,0.074343,-0.011084,-88.690781,-0.202396,8.912649,0.713072,-0.696770,-0.055570,0.054335
37,-0.001333,0.179270,-0.003292,0.066824,0.071291,-0.001896,-88.686974,-0.199264,8.910212,0.713095,-0.696749,-0.055533,0.054341
38,-0.001842,0.177267,-0.003712,0.050050,0.060611,-0.015616,-88.683861,-0.198194,8.908004,0.713114,-0.696731,-0.055512,0.054335
39,-0.000922,0.177508,-0.004043,0.033271,0.060611,-0.011029,-88.681847,-0.197699,8.905971,0.713127,-0.696720,-0.055495,0.054326
40,0.004503,0.173542,-0.003736,0.040906,0.072817,-0.011055,-88.680138,-0.200596,8.903738,0.713140,-0.696709,-0.055499,0.054295
41,0.003637,0.166319,-0.003761,0.031754,0.060609,-0.009583,-88.678474,-0.206231,8.901505,0.713154,-0.696697,-0.055520,0.054248
43,0.001974,0.161528,-0.003077,0.025658,0.071290,-0.006573,-88.676880,-0.210657,8.899299,0.713167,-0.696686,-0.055533,0.054208
44,0.005907,0.157068,-0.003511,0.036345,0.072814,-0.003575,-88.675179,-0.216078,8.896892,0.713181,-0.696673,-0.055551,0.054161
45,0.005941,0.159786,0.000641,0.042476,0.085021,-0.002124,-88.671165,-0.223660,8.894247,0.713210,-0.696646,-0.055581,0.054100
46,-0.001003,0.161840,-0.002070,0.048618,0.078916,-0.006742,-88.665863,-0.227791,8.891498,0.713245,-0.696612,-0.055587,0.054061
47,-0.006303,0.167896,-0.001074,0.050174,0.077391,-0.011292,-88.661110,-0.225185,8.888874,0.713274,-0.696585,-0.055553,0.054063
48,-0.004425,0.179885,-0.002713,0.050204,0.089600,-0.015817,-88.656502,-0.220299,8.886070,0.713301,-0.696560,-0.055503,0.054077
50,-0.006679,0.182252,-0.004784,0.038007,0.097230,-0.021864,-88.653923,-0.215196,8.882939,0.713316,-0.696548,-0.055451,0.054090
51,-0.004133,0.174822,-0.007086,0.031888,0.086551,-0.017231,-88.654282,-0.210232,8.879867,0.713313,-0.696555,-0.055402,0.054101
52,-0.005299,0.175612,-0.006542,0.021178,0.075870,-0.008027,-88.656265,-0.205758,8.877161,0.713300,-0.696570,-0.055358,0.054110
53,-0.003619,0.177392,-0.005015,0.025737,0.091131,-0.000352,-88.657364,-0.201287,8.874382,0.713293,-0.696581,-0.055314,0.054120
54,-0.004678,0.175273,-0.003702,0.025734,0.072820,-0.001836,-88.656754,-0.197026,8.871650,0.713296,-0.696580,-0.055271,0.054129
55,-0.000229,0.183045,-0.000824,0.033386,0.072820,-0.000286,-88.653519,-0.194624,8.869215,0.713316,-0.696563,-0.055239,0.054130
57,-0.001313,0.183682,-0.005214,0.036456,0.074346,-0.001808,-88.650536,-0.194219,8.866755,0.713335,-0.696545,-0.055221,0.054118
58,0.000237,0.189533,-0.004765,0.037979,0.069768,-0.009439,-88.649544,-0.194429,8.864352,0.713342,-0.696540,-0.055207,0.054103
59,0.002393,0.186310,-0.006442,0.041020,0.059087,-0.014038,-88.649284,-0.196939,8.862200,0.713346,-0.696539,-0.055209,0.054074
60,-0.000730,0.178300,-0.013855,0.044011,0.066716,-0.003375,-88.654045,-0.199013,8.860119,0.713319,-0.696568,-0.055212,0.054046
61,-0.003248,0.182326,-0.017649,0.045408,0.075871,-0.001836,-88.665314,-0.197760,8.857783,0.713251,-0.696640,-0.055195,0.054034
62,-0.005133,0.185000,-0.016766,0.054415,0.077398,-0.010952,-88.678535,-0.193959,8.855275,0.713170,-0.696725,-0.055162,0.054035
64,-0.003152,0.175538,-0.013365,0.048184,0.083502,-0.007859,-88.689690,-0.190059,8.852631,0.713102,-0.696798,-0.055127,0.054037
65,-0.003113,0.172279,-0.016189,0.046531,0.088080,0.001328,-88.700661,-0.186985,8.849811,0.713035,-0.696869,-0.055096,0.054033
66,-0.001308,0.173886,-0.010780,0.046419,0.091132,-0.015437,-88.710304,-0.185106,8.846855,0.712977,-0.696931,-0.055071,0.054021
67,0.000475,0.160884,-0.013479,0.069211,0.080450,0.004400,-88.718117,-0.185200,8.844023,0.712930,-0.696981,-0.055058,0.053999
68,-0.001622,0.161918,-0.013009,0.067576,0.080450,0.008979,-88.726746,-0.184845,8.841382,0.712879,-0.697037,-0.055044,0.053981
69,-0.001222,0.166005,-0.014797,0.073563,0.078924,0.025775,-88.736053,-0.183151,8.838777,0.712823,-0.697096,-0.055022,0.053970
71,0.000277,0.171432,-0.011190,0.065827,0.078923,0.019672,-88.744385,-0.182179,8.836198,0.712773,-0.697150,-0.055004,0.053956
72,0.000183,0.172495,-0.011069,0.062690,0.069768,0.027295,-88.750755,-0.182018,8.833763,0.712735,-0.697191,-0.054991,0.053939
73,-0.000325,0.180676,-0.006661,0.042794,0.059086,0.004402,-88.754845,-0.181907,8.831646,0.712711,-0.697217,-0.054980,0.053925
74,0.002528,0.185522,-0.004669,0.033617,0.060611,-0.000195,-88.755653,-0.183598,8.829659,0.712708,-0.697223,-0.054978,0.053902
75,0.000789,0.189101,-0.005095,0.029031,0.071292,-0.018532,-88.755455,-0.186491,8.827458,0.712712,-0.697221,-0.054983,0.053870
76,0.000534,0.185737,-0.003426,0.029030,0.066714,-0.021601,-88.754578,-0.188809,8.825145,0.712719,-0.697215,-0.054983,0.053842
78,0.002005,0.189721,-0.004256,0.033612,0.066714,-0.023150,-88.753090,-0.191832,8.822904,0.712731,-0.697206,-0.054987,0.053811
79,0.002240,0.181596,-0.002628,0.030570,0.074342,-0.023183,-88.751129,-0.195871,8.820534,0.712745,-0.697193,-0.054997,0.053772
80,-0.000868,0.178297,0.000784,0.026026,0.059083,-0.029306,-88.746666,-0.198553,8.818279,0.712775,-0.697165,-0.054998,0.053744
81,-0.002878,0.179970,-0.002558,0.018435,0.060609,-0.029296,-88.742157,-0.198459,8.816250,0.712803,-0.697138,-0.054983,0.053734
82,-0.005065,0.181536,-0.003919,0.026076,0.066714,-0.026208,-88.740143,-0.195783,8.814104,0.712815,-0.697128,-0.054952,0.053738
83,-0.007284,0.175196,-0.003026,0.023033,0.069766,-0.018516,-88.738571,-0.190269,8.811812,0.712823,-0.697122,-0.054903,0.053758
85,-0.007252,0.180199,0.000914,0.032221,0.066717,-0.009284,-88.734322,-0.182980,8.809516,0.712847,-0.697100,-0.054842,0.053790
86,-0.001843,0.175694,-0.005499,0.041400,0.078925,-0.001604,-88.730812,-0.178142,8.807079,0.712867,-0.697082,-0.054795,0.053806
87,0.000982,0.162382,-0.001814,0.055138,0.063666,-0.001601,-88.728638,-0.177804,8.804700,0.712882,-0.697069,-0.054778,0.053795
88,0.001357,0.160535,0.000533,0.055174,0.063666,-0.007723,-88.723244,-0.179699,8.802564,0.712916,-0.697036,-0.054774,0.053772
89,-0.000604,0.171416,-0.000941,0.049115,0.048407,-0.013837,-88.717064,-0.181188,8.800674,0.712955,-0.696998,-0.054769,0.053754
90,0.000580,0.175367,-0.004218,0.049136,0.051458,-0.024527,-88.713303,-0.182563,8.798989,0.712980,-0.696974,-0.054766,0.053737
92,0.001520,0.183548,-0.001943,0.036943,0.039250,-0.023021,-88.710358,-0.185274,8.797456,0.713000,-0.696955,-0.054772,0.053713
93,0.000849,0.186330,-0.001581,0.033921,0.054509,-0.018465,-88.706192,-0.188171,8.795867,0.713027,-0.696929,-0.054778,0.053687
94,-0.002323,0.184375,-0.005525,0.035459,0.056035,-0.019993,-88.703857,-0.188951,8.794008,0.713042,-0.696915,-0.054771,0.053672
95,0.003132,0.179608,-0.002918,0.047669,0.063665,-0.023057,-88.702225,-0.190846,8.791994,0.713054,-0.696905,-0.054769,0.053649
96,-0.002285,0.175536,-0.004575,0.046148,0.060612,-0.018492,-88.700066,-0.192823,8.789906,0.713069,-0.696891,-0.054768,0.053625
97,-0.006659,0.170196,-0.006058,0.050714,0.074346,-0.024557,-88.699600,-0.189519,8.787644,0.713071,-0.696891,-0.054733,0.053631
99,-0.005429,0.172191,-0.004957,0.038492,0.059089,-0.027547,-88.699692,-0.184180,8.785408,0.713069,-0.696895,-0.054687,0.053650
100,0.000982,0.173837,-0.002252,0.036970,0.060615,-0.022947,-88.697968,-0.182759,8.783392,0.713080,-0.696886,-0.054665,0.053646
101,-0.002602,0.171412,-0.005778,0.027816,0.069771,-0.024470,-88.696724,-0.183159,8.781201,0.713089,-0.696879,-0.054653,0.053631
102,0.002553,0.171176,-0.004222,0.027806,0.078926,-0.016846,-88.696785,-0.184451,8.778710,0.713090,-0.696880,-0.054646,0.053608
103,0.004247,0.170642,-0.003209,0.038491,0.075873,-0.006208,-88.695389,-0.189202,8.776122,0.713102,-0.696871,-0.054659,0.053563
104,0.001110,0.174539,-0.004512,0.041547,0.088080,-0.004722,-88.693718,-0.193284,8.773385,0.713116,-0.696859,-0.054667,0.053522
106,-0.001855,0.175509,-0.007797,0.032370,0.078924,-0.004728,-88.694557,-0.193994,8.770605,0.713112,-0.696866,-0.054655,0.053500
107,0.003518,0.170987,-0.004484,0.041502,0.081976,-0.001693,-88.695648,-0.195645,8.767930,0.713107,-0.696873,-0.054650,0.053473
108,0.000713,0.168844,-0.004610,0.032339,0.078923,-0.012405,-88.695122,-0.198904,8.765246,0.713113,-0.696869,-0.054653,0.053437
109,0.000313,0.171638,-0.004006,0.026231,0.078923,-0.021577,-88.694466,-0.200950,8.762605,0.713120,-0.696865,-0.054650,0.053408
110,0.000065,0.170113,-0.005603,0.035380,0.075870,-0.018535,-88.694267,-0.202656,8.760014,0.713123,-0.696865,-0.054645,0.053382
111,0.003940,0.173337,-0.006127,0.039937,0.078922,-0.027722,-88.694992,-0.206416,8.757424,0.713121,-0.696869,-0.054653,0.053342
113,-0.000490,0.176641,-0.006262,0.035336,0.077395,-0.032329,-88.696060,-0.210339,8.754806,0.713118,-0.696875,-0.054662,0.053302
114,-0.000303,0.177703,-0.005634,0.038368,0.072817,-0.023181,-88.696877,-0.211920,8.752288,0.713115,-0.696880,-0.054656,0.053276
115,-0.000759,0.170612,-0.002915,0.042943,0.072816,-0.015554,-88.695801,-0.212832,8.749846,0.713123,-0.696874,-0.054647,0.053256
116,0.000846,0.172976,-0.001541,0.038385,0.077394,-0.023193,-88.692390,-0.214297,8.747322,0.713145,-0.696853,-0.054639,0.053233
117,-0.005595,0.170408,0.000655,0.039953,0.080447,-0.024702,-88.686882,-0.213362,8.744658,0.713180,-0.696821,-0.054614,0.053225
118,-0.002693,0.171590,-0.001260,0.035421,0.077396,-0.029242,-88.681084,-0.210394,8.741991,0.713215,-0.696787,-0.054577,0.053229
120,-0.002724,0.179144,-0.000171,0.038515,0.085027,-0.039899,-88.675598,-0.209079,8.739243,0.713249,-0.696755,-0.054550,0.053222
121,-0.000323,0.187426,-0.002004,0.032451,0.091130,-0.026157,-88.670372,-0.209160,8.736267,0.713282,-0.696724,-0.054530,0.053206
122,-0.001207,0.182853,-0.003442,0.037052,0.085027,-0.021578,-88.666924,-0.209866,8.733305,0.713305,-0.696704,-0.054514,0.053185
123,0.003333,0.183268,-0.006963,0.038572,0.083501,-0.009391,-88.666245,-0.212302,8.730488,0.713311,-0.696700,-0.054512,0.053153
124,-0.000765,0.182144,-0.008262,0.050744,0.080448,-0.000259,-88.668182,-0.214757,8.727764,0.713302,-0.696712,-0.054512,0.053120
125,-0.000076,0.180995,-0.009457,0.043064,0.078922,0.001262,-88.671677,-0.215177,8.725127,0.713282,-0.696735,-0.054500,0.053099
127,-0.000966,0.174696,-0.011190,0.047574,0.072817,-0.012473,-88.677040,-0.215516,8.722620,0.713251,-0.696769,-0.054489,0.053079
128,-0.000170,0.184731,-0.012625,0.047486,0.077395,-0.001793,-88.684196,-0.215861,8.720145,0.713208,-0.696815,-0.054480,0.053058
129,-0.002919,0.182297,-0.005134,0.050481,0.077395,0.010424,-88.688110,-0.214747,8.717590,0.713185,-0.696841,-0.054459,0.053047
130,-0.002005,0.180910,-0.005182,0.047418,0.077395,0.007392,-88.687752,-0.212326,8.715022,0.713188,-0.696841,-0.054428,0.053046
131,-0.001867,0.171472,-0.006128,0.045875,0.071293,0.013513,-88.687767,-0.210272,8.712559,0.713188,-0.696843,-0.054400,0.053043
132,0.000488,0.177571,-0.005648,0.036701,0.075870,0.024197,-88.688301,-0.209285,8.710128,0.713185,-0.696848,-0.054380,0.053034
134,0.001773,0.171679,-0.003095,0.032119,0.069766,0.008919,-88.687492,-0.210448,8.707714,0.713192,-0.696844,-0.054372,0.053012
135,0.004236,0.174393,-0.005370,0.029066,0.081972,0.002776,-88.686584,-0.214220,8.705192,0.713200,-0.696837,-0.054380,0.052974
136,0.003657,0.171260,-0.004295,0.024482,0.083497,0.013404,-88.686455,-0.219174,8.702443,0.713204,-0.696835,-0.054394,0.052927
137,0.005071,0.177812,-0.005371,0.029051,0.097229,0.016397,-88.686348,-0.224459,8.699447,0.713209,-0.696834,-0.054408,0.052876
138,0.000916,0.184500,-0.004233,0.044304,0.089598,0.005671,-88.685699,-0.228475,8.696345,0.713216,-0.696829,-0.054414,0.052832
139,-0.003400,0.191272,-0.005674,0.035143,0.095702,0.005673,-88.684875,-0.228021,8.693264,0.713222,-0.696826,-0.054392,0.052816
141,-0.005092,0.187131,-0.009985,0.032055,0.091125,0.004186,-88.687347,-0.223933,8.690169,0.713207,-0.696844,-0.054349,0.052821
142,-0.005396,0.195993,-0.006022,0.030489,0.094178,0.007291,-88.690338,-0.218395,8.687101,0.713188,-0.696867,-0.054297,0.052834
143,-0.009753,0.191720,-0.002998,0.032012,0.077395,-0.003312,-88.689545,-0.210327,8.684246,0.713190,-0.696868,-0.054229,0.052866
144,-0.008582,0.188667,-0.005529,0.035067,0.086552,-0.001686,-88.688148,-0.200423,8.681510,0.713195,-0.696865,-0.054150,0.052910
145,-0.005644,0.180427,-0.007274,0.042675,0.086554,-0.001607,-88.688950,-0.192496,8.678633,0.713188,-0.696875,-0.054084,0.052940
146,-0.004002,0.182332,-0.003771,0.042661,0.081977,-0.010710,-88.688942,-0.187359,8.675825,0.713187,-0.696879,-0.054035,0.052953
147,-0.001818,0.174987,-0.011111,0.051782,0.080452,-0.024414,-88.690834,-0.184943,8.673116,0.713176,-0.696893,-0.054004,0.052950
148,-0.001316,0.180369,-0.010308,0.054762,0.095711,-0.019824,-88.696259,-0.184379,8.670188,0.713144,-0.696929,-0.053986,0.052933
149,-0.005499,0.174022,-0.008646,0.050121,0.088082,-0.022845,-88.700745,-0.181955,8.667130,0.713117,-0.696959,-0.053954,0.052927
150,-0.006852,0.174591,-0.005489,0.057715,0.081980,-0.015153,-88.702545,-0.176267,8.664292,0.713105,-0.696974,-0.053902,0.052943
151,-0.006894,0.182153,-0.002267,0.054665,0.081981,-0.010501,-88.700478,-0.169294,8.661550,0.713116,-0.696966,-0.053841,0.052969
152,-0.007729,0.186907,0.002894,0.044036,0.083509,0.004837,-88.693604,-0.161354,8.658775,0.713155,-0.696928,-0.053772,0.053003
153,-0.010740,0.186781,0.000684,0.048687,0.074356,0.001887,-88.684723,-0.150996,8.656128,0.713206,-0.696879,-0.053687,0.053054
154,-0.002780,0.188277,-0.000780,0.044165,0.075884,0.014172,-88.677597,-0.142900,8.653617,0.713246,-0.696840,-0.053618,0.053091
155,0.003523,0.187451,0.000025,0.042690,0.086566,0.018749,-88.671066,-0.142406,8.650910,0.713287,-0.696801,-0.053595,0.053080
156,0.004715,0.182093,-0.003438,0.045776,0.074358,0.017174,-88.666054,-0.146604,8.648233,0.713321,-0.696769,-0.053603,0.053040
157,0.004075,0.185797,-0.006151,0.054933,0.077408,0.014066,-88.664307,-0.151630,8.645717,0.713335,-0.696757,-0.053618,0.052995
158,0.010835,0.183264,-0.007032,0.056437,0.071302,0.018554,-88.664597,-0.160045,8.643256,0.713338,-0.696756,-0.053656,0.052928
159,0.004154,0.175941,-0.008269,0.059454,0.074352,0.004727,-88.666267,-0.168995,8.640849,0.713333,-0.696763,-0.053698,0.052858
160,-0.000586,0.177711,-0.011462,0.051762,0.072825,-0.010565,-88.670609,-0.172353,8.638413,0.713309,-0.696790,-0.053706,0.052820
161,-0.002019,0.175709,-0.013785,0.054719,0.088084,-0.007509,-88.678291,-0.172086,8.635754,0.713264,-0.696839,-0.053691,0.052802
162,-0.000661,0.174278,-0.008103,0.048536,0.086558,-0.019707,-88.684586,-0.171602,8.632856,0.713227,-0.696880,-0.053674,0.052784
163,-0.000338,0.172999,-0.010986,0.042367,0.081980,-0.019708,-88.689499,-0.172228,8.630051,0.713198,-0.696911,-0.053663,0.052760
164,0.005905,0.178161,-0.009183,0.033142,0.080453,-0.022797,-88.695137,-0.176581,8.627350,0.713167,-0.696945,-0.053676,0.052714
165,0.004078,0.178398,-0.008006,0.037667,0.077399,-0.019809,-88.699272,-0.183693,8.624720,0.713146,-0.696969,-0.053706,0.052653
166,0.003282,0.177149,-0.004175,0.037642,0.068243,-0.016811,-88.700493,-0.189553,8.622288,0.713143,-0.696975,-0.053728,0.052601
167,0.001672,0.171038,-0.010721,0.033026,0.062138,-0.004642,-88.703094,-0.193732,8.620119,0.713130,-0.696990,-0.053742,0.052561
168,-0.001211,0.174757,-0.005911,0.032977,0.069767,-0.010758,-88.706886,-0.195223,8.617932,0.713108,-0.697014,-0.053740,0.052537
169,-0.003299,0.178096,-0.005107,0.034484,0.072820,-0.004639,-88.707649,-0.193787,8.615557,0.713104,-0.697021,-0.053717,0.052530
170,-0.003112,0.176228,-0.005425,0.029894,0.069768,0.004547,-88.707909,-0.190776,8.613185,0.713102,-0.697025,-0.053684,0.052534
171,-0.002041,0.184737,-0.005715,0.034456,0.081976,0.009149,-88.708382,-0.188049,8.610666,0.713099,-0.697030,-0.053652,0.052534
172,-0.001168,0.190240,-0.002147,0.042089,0.086554,0.006111,-88.706703,-0.186380,8.607864,0.713110,-0.697022,-0.053624,0.052528
173,-0.002556,0.188787,-0.004659,0.035998,0.091133,0.022911,-88.704163,-0.184275,8.604910,0.713126,-0.697008,-0.053591,0.052524
174,-0.003528,0.186691,0.000655,0.037552,0.089607,0.022940,-88.700142,-0.180529,8.601907,0.713150,-0.696987,-0.053548,0.052530
175,0.003076,0.192504,0.001624,0.036089,0.088082,0.016837,-88.692520,-0.179794,8.598942,0.713198,-0.696941,-0.053522,0.052519
176,0.001626,0.188361,-0.003124,0.033084,0.074348,-0.003032,-88.686653,-0.182608,8.596225,0.713236,-0.696904,-0.053520,0.052488
177,0.001660,0.187067,-0.005435,0.023936,0.065191,-0.010688,-88.685051,-0.185487,8.593893,0.713248,-0.696894,-0.053523,0.052457
178,0.004995,0.185513,-0.006100,0.025447,0.066716,-0.030571,-88.685623,-0.190709,8.591683,0.713248,-0.696896,-0.053543,0.052411
179,0.005679,0.179005,-0.010728,0.028454,0.063663,-0.041323,-88.689262,-0.198884,8.589498,0.713230,-0.696916,-0.053582,0.052346
180,-0.000436,0.175216,-0.007568,0.025343,0.059083,-0.042893,-88.694130,-0.204619,8.587440,0.713204,-0.696944,-0.053607,0.052296
181,-0.000534,0.176781,-0.000657,0.029918,0.059083,-0.030693,-88.693672,-0.206587,8.585445,0.713209,-0.696941,-0.053607,0.052272
182,-0.001193,0.177217,-0.001868,0.033000,0.074342,-0.033745,-88.689468,-0.207640,8.583186,0.713236,-0.696916,-0.053598,0.052253
183,-0.000569,0.180600,-0.001020,0.020827,0.074342,-0.024589,-88.685226,-0.208484,8.580675,0.713263,-0.696890,-0.053586,0.052234
184,-0.004321,0.180852,-0.002812,0.028485,0.077395,-0.019993,-88.681519,-0.207371,8.578118,0.713286,-0.696869,-0.053562,0.052227
185,-0.005361,0.186390,-0.004782,0.042228,0.088078,-0.015369,-88.679413,-0.203315,8.575345,0.713298,-0.696859,-0.053519,0.052235
186,-0.005270,0.184366,-0.010173,0.046774,0.100286,-0.022946,-88.681061,-0.198513,8.572203,0.713288,-0.696873,-0.053471,0.052244
187,0.000136,0.179367,-0.007885,0.051299,0.086554,-0.016817,-88.684669,-0.196621,8.569092,0.713266,-0.696898,-0.053442,0.052235
188,-0.001164,0.174923,-0.008626,0.061934,0.081975,-0.010713,-88.687462,-0.196981,8.566289,0.713251,-0.696916,-0.053428,0.052214
189,0.001716,0.175582,-0.006954,0.043580,0.078923,-0.006145,-88.689873,-0.198207,8.563617,0.713238,-0.696932,-0.053420,0.052189
190,0.002799,0.173410,-0.005959,0.038975,0.074344,-0.018385,-88.691254,-0.201801,8.561063,0.713232,-0.696940,-0.053428,0.052150
191,0.002669,0.172483,-0.007333,0.031316,0.063662,-0.013847,-88.693001,-0.206279,8.558763,0.713225,-0.696950,-0.053443,0.052108
192,-0.002358,0.171115,-0.008295,0.026695,0.056032,-0.007757,-88.696320,-0.207870,8.556774,0.713206,-0.696971,-0.053442,0.052084
193,-0.003311,0.173568,-0.004726,0.032768,0.057558,-0.013837,-88.698326,-0.205969,8.554884,0.713194,-0.696985,-0.053420,0.052083
194,-0.001228,0.178622,-0.001686,0.043459,0.068240,-0.004663,-88.696251,-0.204308,8.552777,0.713207,-0.696974,-0.053395,0.052081
195,-0.002051,0.176840,-0.002951,0.051110,0.071292,0.004505,-88.692467,-0.203011,8.550446,0.713230,-0.696952,-0.053371,0.052076
196,-0.000544,0.179668,0.000406,0.045041,0.069767,-0.000064,-88.687332,-0.202032,8.548084,0.713262,-0.696922,-0.053349,0.052070
197,0.000030,0.185828,0.000047,0.051200,0.091130,-0.000068,-88.680313,-0.202298,8.545384,0.713306,-0.696879,-0.053331,0.052055
198,0.003178,0.182994,0.005199,0.039075,0.077396,0.006012,-88.670570,-0.204589,8.542548,0.713368,-0.696819,-0.053323,0.052028
199,0.001563,0.181985,0.001458,0.037641,0.068241,-0.003179,-88.660072,-0.207960,8.540091,0.713434,-0.696753,-0.053325,0.051997
200,0.002073,0.176386,0.000113,0.016343,0.081973,-0.006261,-88.652733,-0.211049,8.537560,0.713481,-0.696707,-0.053325,0.051965
201,0.000848,0.166210,-0.002664,0.019432,0.089602,0.001344,-88.648422,-0.213612,8.534685,0.713510,-0.696680,-0.053322,0.051934
202,-0.001780,0.171137,-0.006737,0.013324,0.072817,-0.013919,-88.648201,-0.214181,8.531975,0.713513,-0.696680,-0.053309,0.051914
203,-0.002377,0.172382,-0.011707,0.025476,0.086551,-0.015431,-88.653061,-0.213143,8.529328,0.713484,-0.696712,-0.053288,0.051901
204,-0.005933,0.168949,-0.012094,0.028440,0.083499,-0.021496,-88.661057,-0.209838,8.526512,0.713435,-0.696764,-0.053254,0.051900
205,-0.002024,0.172523,-0.013403,0.040547,0.056033,-0.016879,-88.669998,-0.206547,8.524211,0.713380,-0.696823,-0.053224,0.051902
206,-0.002943,0.178938,-0.011730,0.037395,0.045352,-0.030590,-88.678574,-0.205065,8.522538,0.713328,-0.696878,-0.053208,0.051896
207,-0.001610,0.173558,-0.003546,0.038875,0.059085,-0.024469,-88.681831,-0.204106,8.520793,0.713309,-0.696899,-0.053193,0.051890
208,-0.003325,0.174437,-0.005815,0.037340,0.059086,-0.033603,-88.681465,-0.203026,8.518805,0.713312,-0.696898,-0.053174,0.051884
209,0.001058,0.181046,-0.004988,0.026646,0.049930,-0.025969,-88.681686,-0.203422,8.516971,0.713311,-0.696900,-0.053166,0.051870
210,-0.001304,0.178789,-0.005683,0.025108,0.054508,-0.022923,-88.682045,-0.204864,8.515216,0.713310,-0.696903,-0.053164,0.051850
211,-0.002260,0.181824,-0.001068,0.026643,0.057560,-0.003076,-88.680290,-0.204189,8.513335,0.713322,-0.696893,-0.053148,0.051844
212,-0.004973,0.181487,-0.006568,0.025123,0.056035,0.001535,-88.678780,-0.200890,8.511439,0.713330,-0.696886,-0.053115,0.051853
213,-0.003346,0.183619,-0.004110,0.022062,0.056036,0.004628,-88.678993,-0.196614,8.509578,0.713328,-0.696890,-0.053077,0.051867
214,-0.009255,0.179414,-0.004283,0.035795,0.065193,-0.012092,-88.677963,-0.190156,8.507555,0.713332,-0.696888,-0.053024,0.051894
215,-0.007688,0.186658,0.000129,0.034295,0.077402,-0.010475,-88.674255,-0.181391,8.505162,0.713352,-0.696870,-0.052953,0.051934
216,-0.000393,0.181280,-0.002828,0.029754,0.085033,-0.013481,-88.669594,-0.177210,8.502435,0.713380,-0.696844,-0.052909,0.051945
217,0.003742,0.183706,0.001175,0.031321,0.081981,-0.018080,-88.664352,-0.179761,8.499626,0.713414,-0.696812,-0.052905,0.051914
218,-0.000540,0.184299,-0.001289,0.032898,0.089611,-0.028789,-88.658112,-0.183136,8.496735,0.713455,-0.696773,-0.052906,0.051879
219,0.003328,0.187151,-0.002689,0.035983,0.095713,-0.012028,-88.653717,-0.186264,8.493620,0.713484,-0.696745,-0.052904,0.051842
220,0.002936,0.176536,-0.006102,0.048195,0.089609,-0.019701,-88.651901,-0.191084,8.490518,0.713499,-0.696733,-0.052914,0.051794
221,-0.000072,0.184758,-0.004970,0.060391,0.085031,-0.030411,-88.651138,-0.194566,8.487591,0.713506,-0.696728,-0.052918,0.051755
222,-0.002974,0.185142,-0.009152,0.067994,0.078927,-0.034982,-88.651649,-0.195034,8.484842,0.713505,-0.696732,-0.052904,0.051735
223,-0.001442,0.182012,-0.013201,0.066396,0.083505,-0.028862,-88.656670,-0.194454,8.482136,0.713475,-0.696765,-0.052887,0.051719
224,-0.000586,0.185413,-0.015594,0.054076,0.083504,-0.036489,-88.665871,-0.195098,8.479364,0.713421,-0.696823,-0.052878,0.051694
225,-0.001547,0.188829,-0.011000,0.047869,0.088082,-0.038011,-88.674530,-0.195976,8.476513,0.713370,-0.696878,-0.052870,0.051667
226,-0.004534,0.182135,-0.014208,0.035564,0.097237,-0.037987,-88.682800,-0.194754,8.473430,0.713320,-0.696931,-0.052847,0.051651
227,-0.000377,0.180991,-0.008546,0.033954,0.091134,-0.041020,-88.690086,-0.194011,8.470289,0.713277,-0.696979,-0.052827,0.051633
228,-0.003194,0.180390,-0.004290,0.032397,0.081979,-0.041007,-88.692009,-0.194093,8.467383,0.713267,-0.696992,-0.052811,0.051614
229,-0.005065,0.185255,-0.000551,0.047675,0.081979,-0.037919,-88.688812,-0.191663,8.464615,0.713286,-0.696974,-0.052777,0.051613
230,-0.003462,0.187449,-0.004909,0.049221,0.074350,-0.033300,-88.685089,-0.188725,8.461977,0.713309,-0.696954,-0.052741,0.051616
232,-0.001875,0.186768,-0.005792,0.053793,0.069774,-0.027173,-88.684013,-0.187273,8.459554,0.713316,-0.696949,-0.052717,0.051610
233,-0.002277,0.183723,-0.006727,0.049196,0.077403,-0.025630,-88.684196,-0.186446,8.457088,0.713316,-0.696952,-0.052697,0.051600
234,0.001173,0.185192,-0.006630,0.046119,0.069774,-0.019527,-88.685112,-0.187184,8.454626,0.713311,-0.696958,-0.052687,0.051579
235,0.005582,0.175290,-0.005304,0.027789,0.060617,-0.022623,-88.685829,-0.192263,8.452444,0.713310,-0.696961,-0.052706,0.051535
