seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-0.076310,-0.001651,0.000024,-0.167027,-0.479629,0.136571,90.880524,0.000000,0.000000
2,-0.079633,-0.016113,0.047739,-0.067842,-0.166814,0.045015,90.785606,-0.004170,0.001501
3,-0.086298,0.026292,-0.000094,-0.029694,-0.090518,-0.038911,90.784103,-0.005391,0.000203
4,-0.057898,0.001779,0.020944,-0.075471,0.168889,0.106052,90.740776,0.000179,0.003739
5,-0.052824,0.007840,0.022769,-0.014434,0.077333,-0.008392,90.695816,0.002068,0.003459
6,-0.097371,0.014212,0.004268,-0.098360,-0.136296,0.052645,90.683914,-0.001857,0.005214
8,-0.081456,-0.011831,0.008577,-0.067842,-0.159185,0.060275,90.665215,-0.005372,0.007223
9,-0.091955,0.020107,-0.009860,-0.067842,-0.067629,0.029756,90.681641,-0.005720,0.008215
10,-0.093478,0.020724,-0.006261,-0.029694,-0.006592,0.022126,90.692314,-0.004455,0.008952
11,-0.067983,0.025885,-0.003468,-0.029694,-0.105777,0.060275,90.697441,-0.005985,0.010961
12,-0.054679,0.004493,-0.006743,0.031343,-0.044740,-0.000762,90.711494,-0.005608,0.010936
13,-0.072273,0.014801,0.025023,-0.037323,-0.044740,0.022126,90.661270,-0.005324,0.011674
15,-0.073762,0.020637,0.014807,0.038973,0.062075,0.029756,90.633362,-0.002441,0.012665
16,-0.073978,0.007303,0.000535,0.023714,0.062075,-0.000762,90.632957,-0.000279,0.012640
17,-0.094276,0.001354,-0.023798,0.008455,0.031556,0.052645,90.679527,0.000580,0.014395
18,-0.095560,0.020888,0.010921,-0.029694,0.039186,0.022126,90.656860,0.001414,0.015132
19,-0.107284,0.010788,-0.020509,-0.006805,0.001038,-0.000762,90.696266,0.001087,0.015107
20,-0.071982,0.017390,-0.007858,-0.037323,0.016297,0.006867,90.709877,0.001222,0.015336
22,-0.066358,0.020165,0.017910,-0.075471,-0.037111,0.029756,90.672104,-0.000011,0.016328
23,-0.058601,0.017142,0.006669,-0.014434,0.054445,0.106052,90.658272,0.001353,0.019863
24,-0.091055,0.013080,0.003492,0.000825,0.100223,0.022126,90.651230,0.003520,0.020600
25,-0.066944,0.007973,-0.000280,0.023714,0.039186,0.006867,90.652382,0.003620,0.020829
26,-0.075896,0.006025,-0.003300,-0.083101,0.008667,-0.016022,90.655899,0.002932,0.020295
27,-0.082446,0.003563,-0.002633,-0.136508,-0.143926,-0.000762,90.656395,-0.001399,0.020270
29,-0.039880,0.015151,0.017911,-0.083101,-0.143926,0.144200,90.618492,-0.004648,0.025076
30,-0.104367,0.022412,-0.002798,-0.029694,0.100223,0.083163,90.622459,-0.000980,0.027849
31,-0.060565,0.003295,0.000224,-0.060212,-0.029481,-0.160985,90.619942,-0.001472,0.022482
32,-0.055304,0.012944,-0.000233,-0.182286,-0.250741,0.075534,90.614059,-0.007373,0.025000
33,-0.101310,0.001391,-0.014625,-0.098360,-0.098148,0.014497,90.639214,-0.007983,0.025483
34,-0.104666,0.015953,0.007669,0.000825,0.191778,0.052645,90.624001,-0.001193,0.027238
36,-0.068608,0.023441,-0.006302,-0.006805,0.016297,-0.023651,90.635506,-0.000487,0.026450
37,-0.047293,0.007740,0.007466,0.084751,0.031556,0.014497,90.623634,0.000423,0.026933
38,-0.078271,-0.002306,0.001944,0.000825,0.008667,0.045015,90.619934,0.000534,0.028434
39,-0.098495,-0.002664,-0.004800,0.023714,0.115482,-0.016022,90.630127,0.003288,0.027900
40,-0.081976,0.012445,-0.009859,0.016084,0.023926,0.022126,90.649544,0.003064,0.028637
41,-0.065008,0.017081,0.008417,0.031343,-0.052370,-0.000762,90.633873,0.000989,0.028612
43,-0.076149,-0.001726,-0.001724,-0.014434,-0.029481,0.045015,90.636787,0.000005,0.030112
44,-0.081401,0.018022,0.005277,0.016084,0.062075,-0.000762,90.626678,0.001555,0.030087
45,-0.083720,0.007844,0.007164,0.008455,0.092593,0.052645,90.612862,0.003481,0.031842
46,-0.066236,0.004138,0.026519,0.000825,0.001038,0.075534,90.561211,0.002637,0.034359
47,-0.069724,-0.002007,0.015478,0.008455,0.031556,0.090793,90.531387,0.002767,0.037386
48,-0.082387,-0.011119,-0.030518,-0.022064,0.016297,0.014497,90.590363,0.002482,0.037869
50,-0.056475,0.009189,-0.010873,-0.006805,0.069704,-0.008392,90.611084,0.003604,0.037589
51,-0.103353,0.008653,-0.003384,0.023714,0.023926,0.014497,90.618279,0.003301,0.038073
52,-0.074395,0.010947,0.006104,0.008455,0.039186,0.029756,90.606468,0.003456,0.039064
53,-0.080542,0.015550,-0.002205,0.008455,0.031556,0.037386,90.610710,0.003381,0.040311
54,-0.057309,0.011846,0.011761,-0.029694,0.016297,-0.016022,90.586617,0.002943,0.039777
55,-0.062463,0.017971,-0.020164,0.054232,-0.014222,0.006867,90.627220,0.001852,0.040005
57,-0.060221,0.001673,0.014540,0.000825,0.016297,0.029756,90.598915,0.001796,0.040997
58,-0.083130,0.011234,-0.010243,0.023714,0.046815,0.014497,90.619392,0.002518,0.041481
59,-0.107273,-0.005093,0.002171,0.000825,0.146000,0.037386,90.615303,0.005538,0.042727
60,-0.068644,-0.002754,0.004469,-0.006805,0.023926,0.022126,90.606422,0.004752,0.043464
61,-0.056533,0.020628,-0.004378,0.008455,0.016297,-0.000762,90.614784,0.003971,0.043439
62,-0.101895,-0.011090,-0.005460,0.008455,0.001038,0.014497,90.625946,0.003004,0.043922
64,-0.079953,0.014889,-0.008167,0.016084,-0.044740,0.014497,90.642036,0.001135,0.044405
65,-0.081401,0.025653,-0.006696,0.008455,0.001038,0.029756,90.654747,0.000877,0.045397
66,-0.101823,-0.011623,-0.000418,-0.014434,-0.029481,0.075534,90.655342,-0.000079,0.047915
67,-0.050365,0.010733,0.011152,0.046603,-0.006592,0.037386,90.634979,-0.000224,0.049161
68,-0.077446,0.012576,-0.004219,0.031343,0.062075,-0.061800,90.643959,0.001384,0.047101
69,-0.081962,0.012643,0.006248,0.016084,0.001038,-0.000762,90.632072,0.001064,0.047076
71,-0.073468,-0.005292,-0.002486,-0.044953,0.031556,0.037386,90.635536,0.001587,0.048322
72,-0.072265,0.003169,0.003546,0.023714,0.031556,-0.008392,90.629364,0.001979,0.048042
73,-0.062553,0.003936,0.006214,-0.014434,-0.059999,0.037386,90.616707,-0.000016,0.049288
74,-0.066381,0.016396,0.002146,-0.029694,0.001038,0.006867,90.611198,0.000014,0.049517
75,-0.043639,0.008420,0.009688,-0.029694,0.016297,0.106052,90.591194,0.000418,0.053052
76,-0.097233,0.001617,0.000429,0.023714,-0.029481,0.029756,90.591118,-0.000424,0.054044
78,-0.104380,0.009278,-0.001099,0.008455,0.016297,0.075534,90.593346,0.000090,0.056562
79,-0.051631,0.007619,0.001325,0.023714,-0.037111,0.060275,90.591408,-0.000860,0.058571
80,-0.060281,0.017139,0.006795,0.031343,0.039186,0.060275,90.578903,0.000334,0.060580
81,-0.078075,0.006608,-0.003918,-0.006805,-0.037111,0.029756,90.586166,-0.000677,0.061572
82,-0.104686,0.011500,-0.014481,0.069492,0.039186,-0.038911,90.616394,0.000472,0.060275
83,-0.082769,0.014372,0.001248,-0.006805,-0.006592,0.045015,90.613449,0.000189,0.061776
85,-0.082241,0.007274,0.007139,-0.022064,0.054445,0.014497,90.598679,0.001503,0.062259
86,-0.078057,0.004310,0.004560,0.016084,0.023926,0.022126,90.590256,0.001725,0.062997
87,-0.073075,0.014916,-0.014123,0.000825,-0.037111,0.045015,90.617432,0.000366,0.064497
88,-0.043677,0.011853,-0.003039,-0.044953,-0.044740,0.022126,90.621597,-0.000844,0.065235
89,-0.091802,0.002691,-0.014832,0.038973,0.023926,0.014497,90.651703,-0.000035,0.065718
90,-0.054792,0.000510,0.011458,0.000825,0.001038,0.022126,90.629417,-0.000000,0.066455
92,-0.078470,0.010090,-0.011378,-0.014434,-0.021852,-0.000762,90.650841,-0.000546,0.066430
93,-0.078069,-0.003934,0.015746,0.000825,0.016297,-0.000762,90.620285,-0.000002,0.066405
94,-0.069336,0.009691,-0.004857,-0.006805,0.008667,0.029756,90.629295,0.000215,0.067396
95,-0.056395,0.013047,0.010791,0.023714,-0.059999,-0.000762,90.608833,-0.001339,0.067371
96,-0.051054,0.034074,0.011932,0.000825,-0.059999,0.037386,90.585045,-0.002504,0.068617
97,-0.070933,0.024727,0.002591,0.000825,-0.014222,-0.023651,90.579552,-0.002234,0.067829
99,-0.067532,0.002041,0.002018,-0.022064,-0.021852,0.006867,90.574852,-0.002221,0.068058
100,-0.069313,0.002018,0.001919,-0.006805,-0.029481,0.014497,90.570854,-0.002403,0.068541
101,-0.069387,-0.012478,-0.009513,0.023714,-0.044740,0.045015,90.590439,-0.002921,0.070041
102,-0.064244,0.010958,-0.005346,0.038973,0.039186,0.022126,90.601906,-0.001211,0.070779
103,-0.066110,0.007242,-0.013509,-0.022064,0.001038,-0.038911,90.627296,-0.000882,0.069482
104,-0.084903,0.012608,0.006367,0.023714,0.054445,0.060275,90.615456,0.000699,0.071491
106,-0.058933,0.020638,-0.001503,-0.006805,-0.021852,0.029756,90.617706,-0.000022,0.072483
107,-0.071789,0.012037,-0.006152,-0.014434,0.001038,0.022126,90.628929,0.000010,0.073221
108,-0.063858,0.009368,0.011539,0.000825,-0.037111,0.060275,90.606323,-0.000921,0.075230
109,-0.088031,0.024939,-0.009482,0.016084,0.008667,0.083163,90.624741,-0.000474,0.078002
110,-0.043156,0.005374,0.004906,0.008455,0.031556,0.029756,90.615364,0.000434,0.078994
111,-0.086584,-0.001188,0.004345,-0.014434,-0.029481,0.006867,90.606453,-0.000412,0.079223
113,-0.060285,0.005163,0.005706,0.031343,-0.014222,0.090793,90.596291,-0.000664,0.082249
114,-0.097599,-0.001478,-0.007838,0.023714,-0.044740,0.060275,90.612381,-0.001617,0.084258
115,-0.063919,0.002580,-0.005548,0.046603,0.054445,0.006867,90.624672,0.000149,0.084487
116,-0.060459,0.022509,0.006661,-0.044953,0.016297,0.037386,90.609779,0.000519,0.085733
117,-0.095808,-0.008541,0.000071,-0.014434,-0.006592,0.075534,90.609337,0.000224,0.088251
118,-0.080824,-0.000001,-0.002581,0.008455,-0.006592,0.045015,90.614639,0.000003,0.089752
120,-0.082105,0.000574,-0.003124,0.038973,-0.014222,0.045015,90.622002,-0.000353,0.091252
121,-0.064926,0.003297,0.005394,0.016084,0.001038,0.045015,90.611977,-0.000239,0.092753
122,-0.111297,0.002428,-0.015464,-0.006805,-0.029481,-0.008392,90.641785,-0.000916,0.092473
123,-0.032369,0.005093,0.019206,0.000825,0.023926,0.006867,90.604340,-0.000089,0.092702
124,-0.096850,0.010632,0.003793,0.016084,-0.029481,0.075534,90.597290,-0.000804,0.095220
125,-0.042347,0.017250,-0.003336,-0.022064,0.039186,0.075534,90.602684,0.000377,0.097737
127,-0.094032,0.014139,-0.005744,0.038973,0.001038,0.006867,90.614861,0.000309,0.097966
128,-0.086185,-0.010086,0.009963,0.038973,-0.006592,0.014497,90.596947,0.000067,0.098450
129,-0.074610,-0.000383,0.007175,-0.067842,-0.128666,0.029756,90.580719,-0.003167,0.099441
130,-0.080778,0.010252,0.003051,0.008455,-0.037111,0.029756,90.574867,-0.003303,0.100433
131,-0.074676,0.011382,-0.008972,-0.014434,-0.044740,0.052645,90.591599,-0.003596,0.102188
132,-0.039290,0.004896,0.009279,0.031343,0.016297,0.029756,90.574493,-0.002289,0.103180
134,-0.054293,0.001794,0.015726,-0.029694,-0.029481,0.029756,90.542862,-0.002454,0.104172
135,-0.070816,0.006214,0.003548,-0.014434,0.023926,-0.000762,90.535362,-0.001242,0.104146
136,-0.074329,0.007893,-0.001957,-0.022064,0.023926,0.006867,90.538292,-0.000334,0.104375
137,-0.075683,-0.005286,-0.001912,-0.022064,0.031556,-0.008392,90.541382,0.000539,0.104096
138,-0.094711,0.007293,-0.027596,0.000825,0.023926,-0.038911,90.594948,0.001002,0.102799
139,-0.060906,0.014938,0.022842,0.008455,0.008667,0.045015,90.550552,0.000968,0.104299
141,-0.089142,0.010600,-0.008134,-0.014434,-0.014222,0.022126,90.565681,0.000371,0.105037
142,-0.054501,0.008077,-0.007335,-0.014434,0.001038,0.045015,90.579315,0.000304,0.106537
143,-0.093481,0.003631,0.014087,0.016084,0.084963,0.029756,90.552368,0.002352,0.107529
144,-0.075929,0.013777,-0.006937,-0.006805,0.023926,-0.008392,90.565369,0.002362,0.107249
145,-0.076219,0.000749,0.003905,0.016084,-0.021852,0.037386,90.558281,0.001225,0.108495
146,-0.085454,0.003445,-0.010122,0.000825,0.001038,0.067904,90.577942,0.000945,0.110759
147,-0.063648,0.015177,-0.003700,-0.029694,-0.075259,0.060275,90.583839,-0.001173,0.112768
148,-0.077891,0.011969,-0.005953,0.008455,-0.044740,0.067904,90.595459,-0.001998,0.115032
149,-0.079350,0.027020,0.004213,-0.022064,0.069704,-0.000762,90.586014,0.000244,0.115006
150,-0.072797,0.002051,0.009019,-0.037323,0.008667,-0.008392,90.567177,0.000400,0.114726
151,-0.069126,0.003938,0.012005,-0.029694,0.016297,0.022126,90.542747,0.000707,0.115464
152,-0.085881,0.003602,0.002204,0.000825,-0.029481,0.052645,90.538422,-0.000207,0.117219
153,-0.057237,0.016551,0.002821,-0.044953,0.023926,0.029756,90.531143,0.000443,0.118211
154,-0.061284,0.016247,-0.017191,0.000825,-0.006592,0.045015,90.564270,0.000168,0.119711
155,-0.076120,-0.003630,-0.011759,0.038973,0.001038,-0.000762,90.588539,0.000152,0.119686
