seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-0.143903,-0.032485,0.001361,-0.693471,-0.479629,29.678488,0.000000,0.000000,0.000000
2,-0.086541,-0.017505,-0.007320,-0.434064,-0.059999,8.925901,-0.013745,-0.001900,0.297530
3,0.093707,-0.024611,-0.016798,-0.182286,0.275704,-0.031281,-0.014866,0.005468,0.296487
4,-0.084885,-0.012529,-0.011014,-0.052583,2.656148,-0.344096,-0.012464,0.070504,0.285017
5,0.141337,0.004375,-0.006061,0.008455,-0.136296,-0.237281,-0.009137,0.049471,0.277108
6,-0.018625,-0.005610,0.013256,-0.014434,0.153630,-0.046540,-0.007213,0.040944,0.275557
8,0.017743,-0.019721,0.007045,0.100010,0.916593,0.014497,-0.002910,0.053623,0.276040
9,-0.000173,-0.007391,0.006821,0.115269,-0.021852,-0.122837,0.000699,0.039671,0.271945
10,0.113087,-0.005138,-0.027025,0.176306,-0.952666,-0.206762,0.004932,0.005936,0.265053
11,0.048313,-0.002377,0.007723,0.138158,0.008667,-0.199133,0.007153,0.004669,0.258416
12,0.050641,0.011300,0.002231,0.077121,0.405407,-0.084688,0.007293,0.013637,0.255593
13,0.008576,-0.000913,-0.003319,-0.022064,0.695333,0.083163,0.004918,0.027611,0.258365
15,0.043368,0.000315,-0.003679,0.016084,-0.227851,0.258645,0.004091,0.015012,0.266986
16,0.025084,0.002264,-0.024092,0.038973,-0.456740,0.136571,0.004042,-0.000160,0.271539
17,-0.007759,0.002412,-0.004623,-0.044953,0.191778,-0.008392,0.001908,0.004675,0.271259
18,0.019695,0.001827,-0.009208,-0.052583,0.168889,0.174719,0.000116,0.007728,0.277083
19,-0.010740,-0.008837,-0.023035,-0.014434,-0.029481,0.113682,-0.000274,0.005059,0.280872
20,-0.010029,0.000280,0.001363,0.038973,-0.395703,-0.031281,0.000769,-0.006098,0.279830
22,0.072602,-0.008497,-0.011697,-0.083101,-1.036592,0.014497,-0.001501,-0.030488,0.280313
23,0.006834,-0.010758,-0.001349,0.069492,-1.189184,0.098423,0.000612,-0.052596,0.283594
24,0.125225,0.011308,-0.005845,-0.228064,2.030518,-0.160985,-0.005243,-0.228869,0.278227
25,0.035600,-0.001603,-0.008865,-0.167027,1.404889,-0.008392,-0.008108,-0.136529,0.277948
26,-0.084400,0.005267,0.004525,-0.090731,0.466444,-0.023651,-0.008349,-0.090736,0.277159
27,0.041490,-0.003939,-0.021435,0.000825,-0.082889,-0.054170,-0.006241,-0.070124,0.275354
29,-0.006221,-0.010231,-0.018142,0.000825,0.039186,-0.016022,-0.004660,-0.051613,0.274820
30,0.028809,-0.025798,-0.013605,-0.067842,0.031556,0.075534,-0.005191,-0.037921,0.277337
31,0.008015,-0.007533,-0.000203,-0.022064,0.138371,0.045015,-0.004445,-0.024982,0.278838
32,-0.018459,-0.000570,-0.026710,-0.014434,0.023926,0.075534,-0.003695,-0.018138,0.281356
33,0.038152,-0.008764,-0.016117,-0.014434,-0.067629,0.037386,-0.003132,-0.015294,0.282602
34,0.007763,-0.010764,-0.003180,-0.044953,0.084963,0.022126,-0.003473,-0.009347,0.283339
36,0.041854,-0.005570,-0.009570,-0.044953,0.107852,0.067904,-0.003728,-0.004314,0.285603
