seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
6117,-0.025688,0.025762,-0.000216,-0.031206,-0.107589,0.043232,90.481445,44.916950,45.257900
6118,-0.031916,0.020379,-0.002762,-0.013129,-0.084147,-0.233978,90.477539,44.920158,45.253422
6119,-0.027715,0.016536,0.001063,-0.094364,-0.157636,-0.239323,90.471802,44.928078,45.247826
6120,-0.030561,0.019919,-0.005240,0.049518,-0.018552,-0.226087,90.468193,44.935860,45.243767
6122,-0.029126,0.023830,-0.005319,0.056719,-0.010337,-0.089886,90.469521,44.941128,45.243149
6123,-0.022160,0.026856,-0.003128,0.020366,-0.056830,0.165199,90.469673,44.939880,45.241550
6124,-0.020773,0.032994,0.002931,-0.123892,-0.196174,0.358676,90.463676,44.931183,45.235497
6125,-0.022287,0.026300,0.002637,-0.108114,-0.198527,0.188773,90.453178,44.922115,45.226101
6126,-0.020084,0.031160,0.003988,-0.142939,-0.216882,0.325084,90.442009,44.913593,45.216221
6127,-0.023763,0.031765,-0.000340,-0.034973,-0.114240,0.263103,90.433472,44.903843,45.208328
6129,-0.031757,0.029785,0.000247,-0.040967,-0.111317,0.018353,90.428436,44.899181,45.202972
6130,-0.030881,0.021098,-0.005585,0.093257,0.020981,-0.170570,90.427818,44.901726,45.200871
6131,-0.027081,0.027172,-0.004437,0.067264,0.004203,0.023871,90.430923,44.904167,45.201485
6132,-0.026461,0.022636,-0.008041,0.151363,0.070741,-0.032914,90.435814,44.904312,45.203247
6133,-0.030231,0.024526,-0.006938,0.126849,0.056606,-0.073744,90.442566,44.906067,45.206257
6134,-0.027033,0.022988,-0.002365,0.006830,-0.042982,-0.043389,90.445030,44.908020,45.206596
6136,-0.026357,0.023681,-0.001863,-0.014526,-0.064006,-0.003230,90.443138,44.908806,45.204090
6137,-0.026537,0.027220,-0.004589,0.052102,-0.006101,0.085661,90.442589,44.907440,45.202419
6138,-0.029104,0.023530,-0.001556,-0.008178,-0.068744,-0.056767,90.442070,44.906979,45.200657
6139,-0.024127,0.018871,-0.005888,0.080871,0.010796,-0.085631,90.442337,44.909359,45.199326
6140,-0.022799,0.017799,-0.007586,0.131850,0.058620,-0.072434,90.447060,44.911983,45.200985
6141,-0.021203,0.013032,-0.006813,0.131002,0.046581,-0.148974,90.453209,44.915657,45.203495
6143,-0.025508,0.012720,-0.006279,0.106943,0.024734,-0.263106,90.458420,44.922516,45.205261
6144,-0.025851,0.017766,-0.002169,0.010303,-0.061722,-0.157822,90.459824,44.929535,45.204468
