seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
6064,-0.026028,0.026110,-0.000207,-0.029379,-0.116297,0.039092,90.456421,44.911671,90.646454,0.650463,0.270006,0.655681,0.272172
6066,-0.027152,0.034569,-0.001111,-0.050700,-0.091984,0.057562,90.451668,44.909412,90.641579,0.650480,0.270020,0.655653,0.272184
6067,-0.030050,0.038549,0.000554,-0.043070,-0.084355,0.057577,90.446945,44.906052,90.637260,0.650493,0.270037,0.655624,0.272206
6068,-0.029058,0.044030,0.000012,-0.043072,-0.082830,0.054546,90.442329,44.902069,90.633026,0.650505,0.270058,0.655594,0.272231
6069,-0.025393,0.036571,-0.008007,-0.032384,-0.105714,0.048467,90.439011,44.897976,90.629326,0.650511,0.270083,0.655568,0.272252
6070,-0.030792,0.035661,-0.007137,-0.029321,-0.098072,0.039326,90.436974,44.895035,90.626213,0.650516,0.270106,0.655549,0.272263
6071,-0.031701,0.030532,-0.011416,-0.033884,-0.108739,0.034752,90.435486,44.893414,90.623459,0.650522,0.270123,0.655535,0.272265
6073,-0.033350,0.025587,-0.010290,-0.030785,-0.105641,0.039300,90.440002,44.895092,90.624863,0.650513,0.270131,0.655553,0.272238
6074,-0.031997,0.022403,-0.006571,-0.030723,-0.110158,0.048390,90.447678,44.900204,90.628448,0.650498,0.270125,0.655591,0.272185
6075,-0.032670,0.020451,-0.005046,-0.039836,-0.110115,0.039149,90.451538,44.907307,90.629395,0.650504,0.270101,0.655619,0.272128
6076,-0.030470,0.023253,-0.004480,-0.048958,-0.111607,0.039070,90.453102,44.913864,90.628922,0.650518,0.270075,0.655637,0.272079
6077,-0.032516,0.021819,-0.002874,-0.044356,-0.103954,0.046628,90.452850,44.919670,90.627289,0.650536,0.270050,0.655646,0.272038
6078,-0.027163,0.025361,-0.005607,-0.033647,-0.113082,0.041999,90.453522,44.923332,90.626114,0.650546,0.270039,0.655653,0.272007
6080,-0.032017,0.020829,-0.005825,-0.033607,-0.117621,0.037369,90.456429,44.927128,90.626221,0.650548,0.270034,0.655669,0.271969
6081,-0.031960,0.020763,-0.005576,-0.033567,-0.108426,0.044913,90.459641,44.934395,90.626610,0.650557,0.270008,0.655694,0.271912
6082,-0.025935,0.025123,-0.006885,-0.022839,-0.106856,0.049440,90.464020,44.937881,90.627815,0.650552,0.270006,0.655716,0.271874
6083,-0.027422,0.023067,-0.005286,-0.024321,-0.108338,0.050944,90.468452,44.938343,90.628952,0.650540,0.270022,0.655730,0.271852
6084,-0.029170,0.023866,-0.001672,-0.036504,-0.105262,0.049384,90.468765,44.940235,90.627373,0.650548,0.270022,0.655731,0.271830
6085,-0.024523,0.032310,0.003603,-0.030411,-0.105272,0.049392,90.461967,44.937759,90.620857,0.650574,0.270035,0.655694,0.271846
6087,-0.028197,0.035855,0.003958,-0.019766,-0.112937,0.057082,90.450409,44.929939,90.610703,0.650606,0.270072,0.655625,0.271899
6088,-0.031662,0.033118,0.004341,-0.018279,-0.111451,0.044917,90.437988,44.924084,90.599716,0.650647,0.270098,0.655556,0.271942
6089,-0.026843,0.034214,0.004916,-0.010694,-0.109969,0.041904,90.425003,44.918789,90.588264,0.650692,0.270120,0.655486,0.271981
6090,-0.025857,0.028527,0.000730,-0.007673,-0.109999,0.041947,90.414940,44.913139,90.578773,0.650725,0.270149,0.655426,0.272017
6091,-0.025201,0.024035,-0.003281,-0.010723,-0.103893,0.035855,90.411430,44.910725,90.573982,0.650739,0.270170,0.655401,0.272023
6092,-0.018173,0.017324,-0.001373,-0.018339,-0.102354,0.046532,90.410080,44.909828,90.570923,0.650747,0.270185,0.655389,0.272019
6094,-0.018127,0.016368,-0.004226,-0.029003,-0.103863,0.061783,90.409355,44.908806,90.568527,0.650752,0.270201,0.655379,0.272015
6095,-0.021943,0.020373,-0.007379,-0.039645,-0.100771,0.046514,90.412804,44.908043,90.569344,0.650740,0.270220,0.655387,0.272004
6096,-0.021416,0.011955,-0.005824,-0.047227,-0.103775,0.043422,90.417503,44.910500,90.571259,0.650730,0.270222,0.655409,0.271974
6097,-0.018608,0.019540,-0.008802,-0.041070,-0.093041,0.044915,90.423515,44.912338,90.574219,0.650713,0.270229,0.655434,0.271946
6098,-0.021767,0.021836,-0.011804,-0.056251,-0.096015,0.029659,90.434036,44.910793,90.580551,0.650670,0.270261,0.655470,0.271931
6099,-0.025833,0.023571,-0.014647,-0.045470,-0.105071,0.022022,90.448997,44.910538,90.589935,0.650612,0.270294,0.655527,0.271900
6101,-0.025880,0.028340,-0.014467,-0.040780,-0.103433,0.029653,90.466454,44.909504,90.600800,0.650542,0.270336,0.655592,0.271868
6102,-0.027966,0.036729,-0.014392,-0.025409,-0.098744,0.038851,90.484314,44.903992,90.611809,0.650461,0.270406,0.655648,0.271859
6103,-0.030475,0.030161,-0.009641,-0.029892,-0.103228,0.049570,90.498772,44.898762,90.620262,0.650394,0.270470,0.655690,0.271855
6104,-0.029477,0.029896,-0.012948,-0.013020,-0.101615,0.046524,90.512039,44.896538,90.627716,0.650339,0.270515,0.655734,0.271834
6105,-0.023664,0.025722,-0.011056,-0.023609,-0.090841,0.052639,90.526627,44.893627,90.636147,0.650278,0.270566,0.655782,0.271815
6106,-0.023962,0.017197,-0.008555,-0.023533,-0.089239,0.051100,90.538185,44.893272,90.642715,0.650234,0.270596,0.655824,0.271788
6108,-0.020430,0.017628,-0.004590,-0.037214,-0.083084,0.044961,90.544571,44.895111,90.645912,0.650216,0.270604,0.655851,0.271759
6109,-0.022655,0.017803,-0.002234,-0.038715,-0.089163,0.032725,90.545494,44.896801,90.645409,0.650219,0.270602,0.655856,0.271741
6110,-0.021175,0.018518,0.000288,-0.037184,-0.083054,0.040325,90.542274,44.898518,90.641991,0.650239,0.270594,0.655844,0.271730
6111,-0.021932,0.016403,0.002804,-0.021941,-0.083071,0.043345,90.535316,44.900303,90.635796,0.650274,0.270580,0.655817,0.271725
6112,-0.023059,0.014062,0.006346,-0.015878,-0.078533,0.061601,90.523994,44.904110,90.626328,0.650333,0.270548,0.655776,0.271714
6113,-0.028259,0.017942,0.000860,-0.023542,-0.092301,0.061527,90.513527,44.909554,90.617378,0.650392,0.270509,0.655743,0.271692
6115,-0.024308,0.013512,-0.000193,-0.032709,-0.101468,0.061445,90.507301,44.915802,90.611343,0.650436,0.270472,0.655728,0.271658
6116,-0.026368,0.009668,0.004889,-0.037309,-0.107597,0.053708,90.497993,44.924664,90.603119,0.650499,0.270416,0.655707,0.271614
6117,-0.027541,0.014237,0.002620,-0.046501,-0.118314,0.041381,90.485748,44.935070,90.592773,0.650578,0.270346,0.655678,0.271566
6118,-0.029236,0.023053,-0.002707,-0.055664,-0.124428,0.019936,90.478180,44.942268,90.585762,0.650629,0.270302,0.655660,0.271529
6119,-0.025438,0.018808,0.001080,-0.054140,-0.115274,0.030564,90.472092,44.946869,90.579926,0.650669,0.270275,0.655643,0.271504
6120,-0.028695,0.021782,-0.005222,-0.044975,-0.110687,0.032036,90.468475,44.951263,90.575851,0.650697,0.270252,0.655635,0.271477
6122,-0.027601,0.025352,-0.005293,-0.051045,-0.116757,0.045732,90.469841,44.953720,90.575272,0.650702,0.270250,0.655642,0.271452
6123,-0.020914,0.028101,-0.003097,-0.038810,-0.116729,0.062534,90.470016,44.950169,90.573692,0.650696,0.270280,0.655631,0.271462
6124,-0.019756,0.034009,0.002965,-0.041866,-0.116732,0.064145,90.464027,44.939587,90.567642,0.650699,0.270341,0.655578,0.271522
6125,-0.021454,0.027130,0.002673,-0.022057,-0.113708,0.061179,90.453537,44.928986,90.558258,0.650721,0.270395,0.655506,0.271589
6126,-0.019401,0.031842,0.004031,-0.026669,-0.103060,0.055153,90.442406,44.919231,90.548401,0.650747,0.270444,0.655434,0.271652
6127,-0.023204,0.032321,-0.000296,-0.014483,-0.095452,0.050667,90.433876,44.908447,90.540504,0.650760,0.270502,0.655370,0.271718
6129,-0.031299,0.030242,0.000293,-0.017542,-0.087830,0.036974,90.428841,44.902958,90.535156,0.650771,0.270536,0.655333,0.271747
6130,-0.030506,0.021473,-0.005537,-0.016002,-0.086290,0.044571,90.428238,44.904831,90.533066,0.650782,0.270534,0.655331,0.271728
