seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
152,0.068764,0.054502,0.011065,-0.015807,-0.062658,0.041069,-89.924904,45.193451,-45.140194
153,0.068707,0.059363,0.011833,0.048487,-0.053836,0.033141,-89.922401,45.194679,-45.137432
154,0.071789,0.062789,0.009283,0.056116,-0.053836,0.019407,-89.918854,45.195553,-45.134888
155,0.070907,0.067838,0.012344,0.043908,-0.046206,0.019407,-89.915497,45.196198,-45.132515
157,0.074606,0.070776,0.014375,0.013389,-0.053835,0.010251,-89.912865,45.196682,-45.130142
158,0.068956,0.066772,0.014597,0.017968,-0.056887,0.017881,-89.910484,45.197151,-45.127525
159,0.069459,0.063673,0.011403,0.017968,-0.062991,0.011778,-89.907867,45.197643,-45.124687
160,0.063284,0.068006,0.006280,0.005760,-0.061465,0.014830,-89.905380,45.198078,-45.121735
161,0.065355,0.063238,-0.002133,-0.006446,-0.070620,0.030089,-89.903191,45.198837,-45.118626
162,0.066313,0.062316,-0.000701,-0.004921,-0.073672,0.036193,-89.900932,45.199928,-45.115192
164,0.070358,0.067599,-0.003894,-0.021707,-0.072146,0.025511,-89.898941,45.200962,-45.111748
165,0.072926,0.065182,-0.004643,-0.027810,-0.073672,0.039244,-89.897316,45.202038,-45.108299
166,0.076164,0.058785,-0.002850,-0.018655,-0.073672,0.051452,-89.895615,45.203545,-45.104813
167,0.077493,0.053039,-0.001940,-0.024759,-0.072147,0.042296,-89.893890,45.205101,-45.101357
168,0.076885,0.052126,-0.005635,-0.021707,-0.064517,0.043822,-89.892342,45.206528,-45.098106
169,0.071857,0.044637,-0.001813,-0.017129,-0.072147,0.056029,-89.890701,45.208183,-45.094872
171,0.067476,0.043092,0.001281,-0.024759,-0.067569,0.043822,-89.889038,45.209846,-45.091557
172,0.069838,0.047972,0.002229,-0.030861,-0.070621,0.042296,-89.887665,45.211285,-45.088295
173,0.066769,0.055196,0.003542,-0.027811,-0.075198,0.043822,-89.886185,45.212715,-45.084843
174,0.067853,0.055406,0.007074,-0.027811,-0.088932,0.046874,-89.884361,45.214226,-45.080959
175,0.068154,0.062682,0.007529,-0.029336,-0.093510,0.042296,-89.882248,45.215702,-45.076637
176,0.068572,0.069276,0.008457,-0.026285,-0.093510,0.042296,-89.880028,45.217110,-45.072208
178,0.066273,0.071411,0.010061,-0.027811,-0.095035,0.037718,-89.877747,45.218422,-45.067734
179,0.067110,0.076212,0.014489,-0.020181,-0.087406,0.028563,-89.875473,45.219524,-45.063412
180,0.064311,0.079763,0.012492,-0.012551,-0.067569,0.023985,-89.873413,45.220390,-45.059738
181,0.065751,0.078753,0.011601,-0.017129,-0.058413,0.025511,-89.871796,45.221214,-45.056759
182,0.065738,0.078649,0.010458,-0.014078,-0.059939,0.020933,-89.870323,45.221985,-45.053955
183,0.062406,0.076607,0.009637,-0.018655,-0.050784,0.033141,-89.869003,45.222881,-45.051331
192,0.061668,0.073299,0.005248,-0.009500,-0.058413,0.025511,-89.867638,45.223854,-45.048744
193,0.065336,0.075013,0.005453,-0.007974,-0.066043,0.025511,-89.865845,45.224701,-45.045799
194,0.062636,0.069273,0.005302,-0.006448,-0.062991,0.023985,-89.863907,45.225521,-45.042736
195,0.061775,0.070655,0.003853,-0.009500,-0.062991,0.027037,-89.862053,45.226364,-45.039745
196,0.068902,0.068569,0.000467,0.004234,-0.072147,0.023985,-89.859863,45.227207,-45.036549
197,0.069233,0.075689,0.003696,-0.012551,-0.061465,0.037718,-89.857758,45.228230,-45.033382
199,0.063771,0.073913,0.004267,-0.024759,-0.061465,0.042296,-89.856308,45.229561,-45.030468
200,0.069482,0.075564,0.000331,-0.021707,-0.072147,0.042296,-89.854843,45.230972,-45.027306
201,0.072830,0.073900,-0.000191,-0.009500,-0.067569,0.060607,-89.853012,45.232681,-45.023994
202,0.072196,0.071705,0.002459,-0.014077,-0.070621,0.048400,-89.851082,45.234493,-45.020721
203,0.078537,0.061151,0.001358,-0.006448,-0.082828,0.045348,-89.848831,45.236053,-45.017082
204,0.082500,0.060776,-0.003916,-0.018655,-0.081302,0.042296,-89.846497,45.237503,-45.013191
206,0.083705,0.057982,0.002497,-0.018655,-0.073672,0.048400,-89.844498,45.239006,-45.009510
207,0.084018,0.052371,0.006034,-0.030861,-0.081302,0.036193,-89.842720,45.240410,-45.005840
208,0.080074,0.053879,0.006142,-0.043069,-0.078250,0.043822,-89.841270,45.241737,-45.002064
209,0.078064,0.049748,0.011422,-0.053751,-0.073672,0.040770,-89.840324,45.243137,-44.998459
210,0.078705,0.055319,0.014336,-0.043069,-0.069095,0.040770,-89.839531,45.244488,-44.995075
211,0.077642,0.059413,0.012623,-0.041544,-0.070621,0.046874,-89.838585,45.245941,-44.991756
212,0.075651,0.062201,0.010645,-0.032387,-0.064517,0.043822,-89.837547,45.247452,-44.988556
213,0.079696,0.060469,0.008749,-0.021707,-0.069095,0.037718,-89.836197,45.248798,-44.985386
214,0.075222,0.061581,0.004969,-0.018655,-0.069095,0.046874,-89.834549,45.250202,-44.982109
215,0.070304,0.050814,0.002500,-0.017129,-0.079776,0.040770,-89.832626,45.251656,-44.978573
216,0.071388,0.050699,0.003365,-0.021707,-0.075198,0.030089,-89.830666,45.252823,-44.974899
217,0.068115,0.053299,0.003687,-0.026285,-0.078250,0.034667,-89.828888,45.253899,-44.971264
