seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw,q0,q1,q2,q3
99,0.067481,0.067122,0.000124,-0.082743,-0.023961,0.039430,-90.105995,45.152641,-90.149498,0.653040,-0.269479,0.654243,-0.269975
101,0.063784,0.066228,0.020043,0.100385,-0.139305,0.057558,-90.099365,45.154560,-90.143097,0.653075,-0.269467,0.654216,-0.269966
102,0.065128,0.067567,0.020896,0.222497,-0.160706,0.072823,-90.081345,45.157318,-90.130608,0.653153,-0.269419,0.654151,-0.269981
103,0.070486,0.065747,0.016742,0.219481,-0.169899,0.065193,-90.061111,45.159607,-90.117599,0.653237,-0.269365,0.654078,-0.270010
104,0.067009,0.063848,0.012503,0.240874,-0.189765,0.060610,-90.041496,45.161175,-90.104919,0.653317,-0.269317,0.654006,-0.270040
105,0.067630,0.061161,0.014086,0.240901,-0.197422,0.062129,-90.021545,45.162518,-90.091911,0.653398,-0.269270,0.653931,-0.270073
106,0.070391,0.067246,0.017394,0.256191,-0.229498,0.068226,-89.999741,45.163975,-90.077301,0.653487,-0.269220,0.653849,-0.270105
108,0.071428,0.071766,0.013598,0.134194,-0.218894,0.048391,-89.970261,45.166149,-90.055740,0.653612,-0.269163,0.653734,-0.270138
109,0.065312,0.079410,0.007959,0.125140,-0.199158,0.046927,-89.938721,45.173870,-90.031525,0.653761,-0.269077,0.653621,-0.270136
110,0.068057,0.081242,0.014757,0.111512,-0.185531,0.066880,-89.907036,45.187328,-90.007324,0.653924,-0.268958,0.653521,-0.270102
111,0.069520,0.078757,0.006646,0.081094,-0.164269,0.063931,-89.877724,45.199802,-89.984703,0.654076,-0.268848,0.653428,-0.270069
112,0.070193,0.078168,0.001459,0.081143,-0.156689,0.059435,-89.859764,45.210091,-89.970100,0.654176,-0.268770,0.653376,-0.270029
113,0.062094,0.073620,0.000498,0.097949,-0.168917,0.068681,-89.847137,45.221146,-89.959427,0.654257,-0.268696,0.653347,-0.269977
115,0.062539,0.060589,0.001297,0.268873,-0.324581,0.129771,-89.828613,45.229755,-89.944817,0.654355,-0.268624,0.653290,-0.269950
116,0.056477,0.059321,-0.000566,0.314674,-0.345966,0.146575,-89.803162,45.236233,-89.925774,0.654475,-0.268550,0.653201,-0.269950
117,0.058352,0.060225,-0.001631,0.305532,-0.345981,0.148133,-89.778191,45.244289,-89.907249,0.654595,-0.268467,0.653117,-0.269940
118,0.065307,0.058216,-0.000423,0.238406,-0.309373,0.135921,-89.755203,45.248562,-89.889656,0.654701,-0.268412,0.653032,-0.269946
119,0.067316,0.068209,0.000210,0.236901,-0.278874,0.135910,-89.733383,45.251923,-89.872871,0.654799,-0.268364,0.652949,-0.269956
120,0.070421,0.078839,0.004407,0.041616,-0.114109,0.067291,-89.715057,45.259899,-89.858536,0.654895,-0.268295,0.652892,-0.269933
122,0.079519,0.076239,-0.000415,-0.056014,-0.065308,0.042909,-89.706703,45.265095,-89.850319,0.654945,-0.268265,0.652865,-0.269904
123,0.079014,0.079209,0.001973,-0.062106,-0.077528,0.047487,-89.703667,45.266571,-89.845085,0.654968,-0.268269,0.652849,-0.269883
124,0.072863,0.078735,0.002286,-0.049878,-0.101964,0.052097,-89.698250,45.271351,-89.837799,0.655009,-0.268252,0.652831,-0.269845
125,0.073618,0.067910,-0.000534,-0.081910,-0.095873,0.046004,-89.694580,45.274136,-89.831306,0.655040,-0.268252,0.652813,-0.269812
126,0.073347,0.062958,-0.006673,-0.068199,-0.088221,0.047478,-89.698540,45.270477,-89.830170,0.655024,-0.268302,0.652811,-0.269804
127,0.073326,0.063372,-0.004691,-0.048403,-0.089706,0.035197,-89.705910,45.264420,-89.831932,0.654989,-0.268369,0.652819,-0.269807
129,0.073337,0.064246,-0.007198,-0.068287,-0.033200,0.019865,-89.715027,45.258133,-89.835587,0.654945,-0.268436,0.652834,-0.269812
130,0.072834,0.064428,-0.005310,-0.060706,0.001946,0.010643,-89.726685,45.251968,-89.841972,0.654888,-0.268501,0.652861,-0.269817
131,0.072649,0.074165,-0.004663,-0.060748,0.008092,-0.000066,-89.737221,45.249470,-89.848129,0.654843,-0.268541,0.652895,-0.269806
132,0.067741,0.067164,-0.001698,-0.077561,0.012697,-0.007690,-89.745445,45.249943,-89.852577,0.654814,-0.268560,0.652926,-0.269782
133,0.065091,0.069319,-0.004089,-0.065378,0.005092,0.001484,-89.753067,45.251709,-89.856506,0.654791,-0.268571,0.652957,-0.269751
134,0.069357,0.070350,-0.003475,-0.039467,-0.026922,0.003036,-89.760582,45.254406,-89.860344,0.654771,-0.268576,0.652990,-0.269715
136,0.066259,0.072871,-0.000790,-0.044063,-0.036059,0.004598,-89.764435,45.258152,-89.861359,0.654768,-0.268571,0.653010,-0.269677
137,0.069651,0.067150,-0.002035,-0.063911,-0.014685,0.000044,-89.767532,45.260609,-89.861679,0.654766,-0.268573,0.653024,-0.269648
138,0.073226,0.076411,-0.000907,-0.059343,-0.002467,0.001580,-89.771538,45.261616,-89.862869,0.654756,-0.268583,0.653039,-0.269626
139,0.076887,0.076854,0.000959,-0.083759,0.029578,-0.004506,-89.774506,45.263393,-89.863602,0.654751,-0.268586,0.653052,-0.269603
140,0.073339,0.075705,0.000837,-0.137161,0.082981,-0.016697,-89.779030,45.264591,-89.865517,0.654739,-0.268594,0.653070,-0.269581
141,0.079739,0.069633,-0.002077,-0.147851,0.111981,-0.012143,-89.788734,45.261768,-89.871323,0.654696,-0.268633,0.653099,-0.269575
143,0.075360,0.063488,-0.000539,-0.153970,0.115049,-0.001543,-89.800903,45.253437,-89.879059,0.654630,-0.268706,0.653126,-0.269598
144,0.075562,0.061126,-0.004099,-0.160100,0.113548,-0.000120,-89.815125,45.243137,-89.888130,0.654551,-0.268794,0.653157,-0.269627
145,0.073088,0.059996,-0.003167,-0.146403,0.092222,-0.003282,-89.831009,45.232143,-89.898186,0.654465,-0.268890,0.653192,-0.269657
146,0.071590,0.056334,-0.002373,-0.103706,0.049526,0.016442,-89.843567,45.221046,-89.905807,0.654391,-0.268982,0.653213,-0.269692
147,0.068407,0.058615,-0.003017,-0.097630,0.022086,0.013290,-89.853561,45.211460,-89.911362,0.654332,-0.269062,0.653227,-0.269721
148,0.069088,0.058344,0.003690,-0.065588,-0.006905,0.020836,-89.856979,45.203777,-89.912033,0.654305,-0.269121,0.653218,-0.269749
150,0.067497,0.057594,0.004062,-0.028937,-0.032873,0.028385,-89.852165,45.196476,-89.907028,0.654311,-0.269164,0.653178,-0.269790
151,0.064427,0.051830,0.000317,0.009231,-0.034420,0.035927,-89.847305,45.188759,-89.902557,0.654315,-0.269206,0.653138,-0.269836
152,0.067197,0.056059,0.001233,0.024501,-0.043586,0.025153,-89.843430,45.180466,-89.899292,0.654312,-0.269250,0.653102,-0.269887
153,0.066342,0.061722,0.001592,0.048931,-0.054283,0.032719,-89.837547,45.175076,-89.894836,0.654324,-0.269272,0.653064,-0.269926
154,0.069036,0.065536,-0.001143,0.056567,-0.054291,0.018953,-89.832481,45.172745,-89.891220,0.654339,-0.269277,0.653039,-0.269947
155,0.068125,0.070614,0.001732,0.044367,-0.046668,0.018951,-89.827583,45.173138,-89.887749,0.654359,-0.269267,0.653020,-0.269953
157,0.072044,0.073327,0.003184,0.013872,-0.054321,0.009813,-89.820145,45.175446,-89.881973,0.654396,-0.269244,0.652994,-0.269949
158,0.066632,0.069082,0.002711,0.018479,-0.057402,0.017463,-89.812004,45.177887,-89.875267,0.654436,-0.269222,0.652965,-0.269944
159,0.067251,0.065865,-0.000819,0.018493,-0.063520,0.011370,-89.806595,45.179344,-89.870445,0.654464,-0.269210,0.652944,-0.269938
160,0.061454,0.069819,-0.005494,0.006267,-0.061975,0.014454,-89.807808,45.182907,-89.870117,0.654470,-0.269198,0.652955,-0.269909
161,0.064018,0.064559,-0.012326,-0.006005,-0.071064,0.029753,-89.818710,45.187752,-89.876289,0.654441,-0.269198,0.653006,-0.269855
162,0.065041,0.063578,-0.008889,-0.004562,-0.074033,0.035862,-89.833076,45.189381,-89.884659,0.654392,-0.269223,0.653064,-0.269812
164,0.069078,0.068873,-0.010229,-0.021424,-0.072430,0.025180,-89.846443,45.190350,-89.892113,0.654345,-0.269251,0.653115,-0.269772
165,0.071480,0.066628,-0.009108,-0.027605,-0.073878,0.038899,-89.860329,45.190048,-89.899666,0.654294,-0.269289,0.653165,-0.269738
166,0.073956,0.061002,-0.005842,-0.018510,-0.073817,0.051044,-89.870850,45.185242,-89.904839,0.654246,-0.269347,0.653190,-0.269735
167,0.073905,0.056646,-0.003963,-0.024654,-0.072252,0.041773,-89.877182,45.175358,-89.907104,0.654202,-0.269427,0.653187,-0.269768
168,0.071785,0.057258,-0.006652,-0.021644,-0.064581,0.043174,-89.883995,45.164246,-89.909775,0.654154,-0.269514,0.653183,-0.269808
169,0.065369,0.051167,-0.002003,-0.017100,-0.072177,0.055266,-89.889229,45.154404,-89.911415,0.654115,-0.269591,0.653176,-0.269844
171,0.059856,0.050759,0.001185,-0.024734,-0.067595,0.042966,-89.888367,45.146694,-89.908669,0.654105,-0.269645,0.653150,-0.269877
172,0.061519,0.056342,0.001811,-0.030823,-0.070660,0.041382,-89.884338,45.142334,-89.903534,0.654117,-0.269677,0.653118,-0.269895
173,0.058440,0.063576,0.002634,-0.027753,-0.075257,0.042907,-89.878799,45.143673,-89.897194,0.654148,-0.269673,0.653093,-0.269883
174,0.059967,0.063337,0.005329,-0.027718,-0.089026,0.045997,-89.870041,45.148865,-89.888397,0.654201,-0.269644,0.653064,-0.269853
175,0.060935,0.069942,0.004714,-0.029199,-0.093648,0.041474,-89.859055,45.155857,-89.877785,0.654268,-0.269602,0.653030,-0.269815
176,0.062479,0.075401,0.004610,-0.026105,-0.093691,0.041568,-89.848267,45.166592,-89.867271,0.654344,-0.269539,0.653005,-0.269756
178,0.061603,0.076100,0.005143,-0.027587,-0.095260,0.037108,-89.837067,45.179699,-89.856468,0.654426,-0.269462,0.652984,-0.269683
179,0.063998,0.079331,0.008161,-0.019899,-0.087689,0.028083,-89.823067,45.193710,-89.843826,0.654521,-0.269374,0.652955,-0.269611
180,0.062938,0.081126,0.004758,-0.012212,-0.067910,0.023649,-89.809296,45.209003,-89.831848,0.654618,-0.269276,0.652930,-0.269533
181,0.066004,0.078472,0.002941,-0.016751,-0.058792,0.025311,-89.799957,45.223316,-89.823387,0.654693,-0.269189,0.652922,-0.269457
182,0.067229,0.077118,0.001246,-0.013677,-0.060341,0.020835,-89.793869,45.234360,-89.817299,0.654747,-0.269126,0.652920,-0.269394
183,0.064950,0.074014,0.000166,-0.018243,-0.051196,0.033130,-89.790359,45.243988,-89.813126,0.654788,-0.269075,0.652925,-0.269335
192,0.065020,0.069891,-0.003977,-0.009099,-0.058815,0.025568,-89.791023,45.251663,-89.811981,0.654807,-0.269042,0.652942,-0.269281
193,0.069150,0.071141,-0.003178,-0.007598,-0.066420,0.025606,-89.794136,45.256348,-89.812523,0.654809,-0.269029,0.652961,-0.269239
194,0.066598,0.065253,-0.002812,-0.006093,-0.063346,0.024092,-89.796486,45.258396,-89.812508,0.654808,-0.269031,0.652972,-0.269214
195,0.065799,0.066575,-0.003702,-0.009168,-0.063323,0.027149,-89.799263,45.259754,-89.812805,0.654804,-0.269038,0.652982,-0.269192
196,0.072680,0.064738,-0.006216,0.004530,-0.072443,0.024077,-89.804321,45.258560,-89.814743,0.654785,-0.269062,0.652996,-0.269181
197,0.072683,0.072193,-0.002226,-0.012287,-0.061729,0.037782,-89.808533,45.256859,-89.816071,0.654768,-0.269089,0.653005,-0.269175
199,0.067385,0.070252,-0.001343,-0.024507,-0.061716,0.042374,-89.809669,45.259541,-89.814987,0.654774,-0.269086,0.653011,-0.269147
200,0.073260,0.071739,-0.004767,-0.021477,-0.072377,0.042387,-89.812447,45.262321,-89.814842,0.654774,-0.269087,0.653024,-0.269114
201,0.076373,0.070314,-0.004474,-0.009304,-0.067765,0.060679,-89.817383,45.262081,-89.816338,0.654759,-0.269108,0.653039,-0.269096
202,0.075240,0.068626,-0.001304,-0.013902,-0.070795,0.048430,-89.819778,45.259743,-89.816132,0.654748,-0.269136,0.653038,-0.269094
