seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
66,0.049142,-0.049716,-0.000422,0.758496,-0.091686,0.010019,89.513023,44.666126,0.000000
67,0.051887,-0.092510,0.010495,0.672267,0.478038,-0.115597,89.505501,44.727997,-0.001760
68,0.040721,-0.088892,-0.138722,0.238628,-0.115891,-0.022002,89.905899,44.798729,-0.004053
69,0.065115,-0.084597,-0.120665,0.255724,-0.088542,0.049270,90.250473,44.819572,-0.003598
70,0.063250,-0.080227,-0.066911,-0.237836,0.355921,0.075549,90.438385,44.845932,-0.001518
71,0.068054,-0.083612,-0.060513,-0.452900,0.395909,0.076024,90.597603,44.878410,0.001008
73,0.072525,-0.071092,-0.057371,-0.615160,0.186635,0.139947,90.741653,44.884342,0.004608
74,0.085074,-0.065119,0.031499,-0.481348,0.443227,0.116173,90.638023,44.866959,0.008876
75,0.068012,-0.061688,0.059014,-0.543790,0.427220,0.069563,90.458679,44.872585,0.011972
76,0.071053,-0.057066,0.048819,-0.136325,-0.008893,0.049572,90.312973,44.859814,0.013957
77,0.067392,-0.060806,0.037848,-0.190892,0.007633,0.080416,90.203224,44.850212,0.016124
78,0.064245,-0.062320,0.029064,-0.248098,0.045757,0.086635,90.115692,44.847958,0.018908
80,0.063042,-0.063065,0.028367,-0.278338,0.036877,0.082319,90.028366,44.848843,0.021724
81,0.063550,-0.063610,0.024350,-0.337104,0.156692,0.079620,89.950439,44.851608,0.024423
82,0.065866,-0.066714,-0.002398,-0.272920,0.759626,0.100625,89.946747,44.867634,0.027427
83,0.072541,-0.060114,-0.008152,-0.113431,0.916258,0.088470,89.962799,44.877895,0.030579
84,0.076940,-0.054097,-0.009993,-0.009351,0.847846,0.057528,89.988403,44.875137,0.033012
85,0.076594,-0.053848,-0.010805,0.021950,0.811195,0.057118,90.018585,44.870743,0.034923
87,0.086614,-0.055816,-0.016940,0.093549,0.693095,0.043438,90.067604,44.852394,0.036599
88,0.078207,-0.059630,0.001551,0.091958,0.043115,0.006593,90.066589,44.838287,0.037432
89,0.068880,-0.068342,0.008009,0.292618,-0.420255,-0.042328,90.050957,44.830688,0.036837
