seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,-0.098194,-0.022971,-0.000182,0.300063,1.188209,-0.345366,-90.454361,0.000000,0.000000
2,-0.058675,-0.027132,0.002904,0.147471,0.165838,-0.093588,-90.443398,0.004146,-0.003120
3,-0.080003,-0.022644,0.000424,0.063545,-0.261421,0.059005,-90.440109,-0.003426,-0.001153
4,-0.042072,-0.050166,-0.022736,0.002508,-0.253791,-0.047810,-90.483238,-0.008914,-0.002746
5,-0.079933,-0.043999,0.015953,0.078804,-0.261421,0.013227,-90.449028,-0.013221,-0.002306
6,-0.040978,-0.036059,-0.008716,0.010137,-0.505569,0.074264,-90.465027,-0.022555,0.000170
8,-0.113247,-0.044669,0.001351,-0.005122,-0.887050,0.142930,-90.461876,-0.039093,0.004934
9,-0.065824,-0.046774,-0.015894,0.086434,-0.078310,-0.024921,-90.489014,-0.031277,0.004104
10,-0.081829,-0.034792,0.000041,0.078804,0.066653,-0.078329,-90.485741,-0.021792,0.001493
11,-0.079975,-0.049691,0.002901,0.071174,0.135320,-0.085958,-90.476944,-0.012961,-0.001373
12,-0.089228,-0.014699,-0.008979,0.109322,-0.040162,-0.078329,-90.490509,-0.010725,-0.003984
13,-0.091448,-0.031233,0.005836,0.116952,-0.063050,-0.047810,-90.474785,-0.009620,-0.005577
15,-0.077804,-0.028787,-0.002573,0.147471,0.249764,-0.124107,-90.474403,-0.000971,-0.009714
16,-0.066444,-0.026615,0.006964,0.109322,-0.116458,0.013227,-90.456825,-0.003639,-0.009273
17,-0.070404,-0.049858,-0.015164,0.078804,-0.177495,-0.063070,-90.482765,-0.007167,-0.011376
18,-0.066385,-0.041476,0.012628,0.216137,-0.139347,-0.040181,-90.450447,-0.008859,-0.012715
19,-0.081642,-0.045521,-0.003699,0.231397,-0.070680,-0.040181,-90.449203,-0.008411,-0.014054
20,-0.031534,-0.036103,-0.016213,0.200878,-0.063050,-0.070699,-90.473373,-0.007885,-0.016411
22,-0.087329,-0.034020,0.009330,0.155100,-0.177495,-0.108847,-90.449585,-0.010351,-0.020039
23,-0.073935,-0.030546,-0.008045,0.048285,-0.055421,-0.085958,-90.463112,-0.009149,-0.022905
24,-0.079749,-0.031958,0.014638,0.177989,-0.162236,-0.047810,-90.428307,-0.010917,-0.024498
25,-0.070936,-0.042002,0.009345,0.185619,-0.146976,-0.063070,-90.403427,-0.011862,-0.026601
26,-0.077922,-0.048863,-0.002845,0.200878,-0.108828,-0.017292,-90.401573,-0.011618,-0.027177
27,-0.109066,-0.023289,0.009372,0.155100,0.211616,-0.063070,-90.377899,-0.003423,-0.029279
29,-0.094785,-0.037429,0.006423,0.170359,-0.322458,0.028486,-90.359306,-0.010629,-0.028330
30,-0.059559,-0.024889,-0.021920,0.162730,-0.215643,-0.017292,-90.396111,-0.013362,-0.028906
31,-0.061530,-0.044517,-0.007285,0.078804,-0.169865,-0.085958,-90.406990,-0.014268,-0.031771
32,-0.093233,-0.030336,0.005538,0.086434,-0.269051,-0.047810,-90.392952,-0.017428,-0.033365
33,-0.069076,-0.040843,-0.000377,0.139841,-0.314828,-0.040181,-90.388481,-0.020941,-0.034704
34,-0.095361,-0.046334,0.011759,0.200878,0.013246,-0.093588,-90.358437,-0.015375,-0.037824
36,-0.064136,-0.044831,-0.000390,0.269545,-0.352976,-0.002033,-90.349670,-0.020356,-0.037892
37,-0.102277,-0.038211,-0.004266,0.353471,-0.314828,-0.024921,-90.345718,-0.023137,-0.038722
38,-0.096246,-0.039673,0.007102,0.307693,-0.238532,0.028486,-90.321266,-0.023316,-0.037773
39,-0.038662,-0.030212,-0.011890,0.155100,-0.230902,0.043745,-90.338821,-0.023260,-0.036315
40,-0.092730,-0.039901,-0.005508,0.116952,-0.055421,-0.024921,-90.345131,-0.018830,-0.037145
41,-0.082569,-0.037652,-0.017556,0.086434,-0.085939,-0.032551,-90.375809,-0.016271,-0.038230
43,-0.102059,-0.035086,0.007594,0.139841,-0.261421,0.036116,-90.355988,-0.018739,-0.037027
44,-0.060776,-0.067714,-0.007453,0.109322,-0.230902,-0.017292,-90.365906,-0.019827,-0.037603
45,-0.088410,-0.057522,0.012537,0.101693,-0.238532,0.005597,-90.337593,-0.020833,-0.037416
46,-0.075883,-0.027143,-0.008117,0.048285,-0.093569,-0.017292,-90.351410,-0.017964,-0.037993
47,-0.088693,-0.026911,-0.014637,0.094063,-0.131717,-0.024921,-90.376350,-0.016766,-0.038824
48,-0.071397,-0.047273,0.006467,0.147471,-0.116458,-0.017292,-90.358337,-0.015486,-0.039400
50,-0.094297,-0.028126,0.017410,0.139841,-0.124087,0.005597,-90.319580,-0.014717,-0.039213
51,-0.061961,-0.029900,-0.009006,0.147471,-0.055421,-0.024921,-90.331810,-0.012423,-0.040044
52,-0.068678,-0.018572,-0.004181,0.094063,0.127690,-0.063070,-90.336586,-0.006125,-0.042146
53,-0.087606,-0.028514,-0.006745,0.109322,0.272653,-0.070699,-90.345695,0.002223,-0.044503
54,-0.055915,-0.039992,-0.001785,0.101693,0.242135,-0.085958,-90.345299,0.007720,-0.047368
55,-0.073968,-0.064621,0.006806,0.109322,-0.040162,-0.070699,-90.327782,0.004786,-0.049725
57,-0.054099,-0.035294,-0.010827,-0.005122,-0.185124,-0.009662,-90.348534,-0.001038,-0.050047
58,-0.073365,-0.017926,0.003902,0.063545,-0.230902,0.005597,-90.338631,-0.006551,-0.049860
59,-0.079849,-0.044535,-0.005465,0.116952,-0.169865,0.005597,-90.344810,-0.009160,-0.049674
60,-0.120978,-0.047377,0.001900,0.132211,-0.017272,-0.002033,-90.336182,-0.007302,-0.049742
61,-0.083797,-0.044621,-0.006426,0.055915,0.028505,-0.101218,-90.346252,-0.004764,-0.053116
62,-0.065887,-0.011983,-0.002974,0.025397,0.036135,-0.055440,-90.351051,-0.002669,-0.054964
64,-0.062231,-0.025950,0.013782,0.155100,-0.116458,-0.024921,-90.318840,-0.004914,-0.055794
65,-0.063820,-0.019598,-0.001054,0.025397,-0.078310,0.013227,-90.319824,-0.005643,-0.055353
66,-0.096813,-0.029884,-0.011717,0.033026,0.028505,-0.047810,-90.341118,-0.003520,-0.056947
67,-0.058273,-0.048284,0.002754,0.071174,0.081913,-0.108847,-90.332870,-0.000592,-0.060575
68,-0.067725,-0.050875,-0.001318,0.040656,-0.024902,-0.047810,-90.333488,-0.001066,-0.062169
69,-0.067631,-0.058660,-0.001403,0.094063,-0.024902,-0.085958,-90.332405,-0.001422,-0.065034
71,-0.049573,-0.025523,-0.005312,0.086434,-0.146976,-0.017292,-90.339539,-0.004741,-0.065611
72,-0.080776,-0.031357,-0.004365,0.071174,-0.108828,-0.047810,-90.345268,-0.006277,-0.067204
73,-0.104487,-0.017212,0.001024,0.094063,-0.078310,-0.024921,-90.339943,-0.006665,-0.068035
74,-0.068468,-0.024751,0.016718,0.071174,0.043764,-0.085958,-90.304840,-0.003905,-0.070900
75,-0.088215,-0.037370,-0.005462,0.025397,0.005616,-0.009662,-90.314186,-0.002788,-0.071222
76,-0.051150,-0.041813,-0.011682,0.010137,0.013246,-0.040181,-90.336021,-0.001760,-0.072562
78,-0.046424,-0.034969,0.000262,0.063545,-0.009643,0.028486,-90.333000,-0.001561,-0.071612
79,-0.074525,-0.063445,0.003586,0.071174,-0.017272,-0.032551,-90.322998,-0.001603,-0.072697
80,-0.083474,-0.039511,0.006215,0.048285,-0.093569,-0.063070,-90.308929,-0.003541,-0.074800
81,-0.097956,-0.035640,-0.002002,0.063545,-0.093569,-0.040181,-90.310310,-0.004995,-0.076139
82,-0.069499,-0.045515,-0.006151,0.063545,-0.139347,-0.032551,-90.319611,-0.007230,-0.077224
83,-0.073015,-0.042636,-0.008026,0.040656,-0.185124,-0.024921,-90.333336,-0.010051,-0.078055
85,-0.109362,-0.036511,-0.003915,0.086434,-0.085939,-0.009662,-90.337631,-0.009686,-0.078377
86,-0.074961,-0.034192,-0.001434,0.071174,-0.131717,-0.017292,-90.337646,-0.010558,-0.078953
87,-0.080536,-0.033038,0.000303,0.078804,-0.040162,-0.002033,-90.334061,-0.008922,-0.079021
88,-0.098723,-0.025778,-0.012775,0.071174,-0.017272,-0.017292,-90.356178,-0.007124,-0.079597
89,-0.061860,-0.034060,-0.000561,0.116952,-0.017272,-0.070699,-90.352959,-0.005774,-0.081954
90,-0.072672,-0.040167,0.001197,0.033026,-0.017272,-0.055440,-90.349060,-0.004763,-0.083802
92,-0.051381,-0.025820,0.012919,0.094063,0.020875,-0.017292,-90.320564,-0.003050,-0.084378
93,-0.086822,-0.023164,-0.012389,0.101693,-0.009643,-0.070699,-90.340973,-0.002529,-0.086735
94,-0.095603,-0.034489,-0.000229,0.086434,0.028505,-0.047810,-90.338142,-0.001184,-0.088329
95,-0.068200,-0.023909,-0.000410,0.040656,-0.131717,-0.055440,-90.337303,-0.004181,-0.090177
96,-0.101995,-0.032146,0.000837,0.033026,-0.040162,-0.055440,-90.334213,-0.004140,-0.092025
97,-0.057250,-0.039349,-0.001690,0.048285,-0.017272,-0.055440,-90.335434,-0.003537,-0.093873
99,-0.060989,-0.043581,-0.001321,0.109322,-0.108828,-0.040181,-90.333855,-0.005373,-0.095212
100,-0.078509,-0.026055,-0.011086,0.101693,-0.063050,-0.024921,-90.351677,-0.005606,-0.096043
101,-0.062089,-0.047050,0.008159,0.063545,-0.070680,-0.024921,-90.333221,-0.005972,-0.096873
102,-0.071254,-0.023946,-0.001113,0.055915,-0.017272,-0.002033,-90.333252,-0.004910,-0.096941
103,-0.064371,-0.046026,-0.001298,0.040656,-0.047791,-0.055440,-90.333885,-0.004878,-0.098789
104,-0.064694,-0.029768,0.002490,0.086434,-0.063050,0.013227,-90.325844,-0.005234,-0.098348
106,-0.070444,-0.045130,-0.012416,0.002508,-0.047791,0.013227,-90.349297,-0.005121,-0.097907
107,-0.101857,-0.039167,0.010404,0.055915,-0.040162,0.020856,-90.326828,-0.004845,-0.097212
108,-0.076804,-0.034264,-0.004687,0.086434,-0.017272,0.005597,-90.332649,-0.004065,-0.097026
109,-0.061841,-0.031272,0.014544,0.063545,-0.017272,-0.024921,-90.301979,-0.003481,-0.097856
110,-0.068578,-0.031172,-0.009770,0.109322,-0.032532,0.020856,-90.316956,-0.003424,-0.097161
111,-0.083108,-0.039814,-0.009478,0.078804,-0.040162,-0.040181,-90.332260,-0.003572,-0.098500
113,-0.058795,-0.034659,-0.005983,0.040656,-0.085939,-0.032551,-90.342102,-0.004827,-0.099585
114,-0.080516,-0.032334,0.006180,0.094063,-0.085939,-0.017292,-90.326622,-0.005769,-0.100162
115,-0.056624,-0.068411,0.010483,0.071174,-0.002013,-0.093588,-90.303284,-0.004377,-0.103281
116,-0.049715,-0.035025,-0.005773,0.071174,-0.009643,-0.040181,-90.311745,-0.003524,-0.104621
117,-0.077193,-0.026159,0.008063,0.094063,-0.024902,-0.017292,-90.292702,-0.003265,-0.105197
