seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
69,0.030264,-0.000103,0.000009,0.060954,0.112707,-0.054369,-85.483894,-89.704590,85.483894
71,0.036788,0.006237,0.006919,0.014679,0.285161,-0.290770,-84.087234,-89.710609,84.088593
72,0.037075,0.007647,0.006584,0.042209,0.298189,-0.357408,-81.883469,-89.720238,81.885582
73,0.030852,-0.002543,0.004506,0.073723,0.237731,-0.024761,-79.855011,-89.725891,79.859329
74,0.025636,-0.002560,0.007465,0.060362,0.333577,0.002156,-77.899681,-89.723755,77.906174
75,0.021382,-0.006368,0.005608,0.053873,0.266959,0.137698,-76.005722,-89.720238,76.013618
76,0.024647,-0.005888,0.003193,0.021407,0.168118,0.133033,-74.819450,-89.713326,74.828621
78,0.025375,0.000982,0.003552,0.001852,0.168902,-0.068344,-73.805717,-89.710609,73.814888
79,0.034625,0.005854,0.003715,-0.010083,0.168377,-0.244536,-72.437393,-89.714012,72.446716
80,0.037571,0.001666,0.000854,0.016776,0.070665,-0.127397,-71.287193,-89.719536,71.296722
81,0.037224,-0.000724,0.001270,0.036502,0.082903,-0.048261,-70.598740,-89.721634,70.609779
82,0.037970,-0.004038,0.002338,0.067000,0.130456,0.068686,-69.938011,-89.719536,69.950539
83,0.039507,-0.008223,0.000133,0.101544,0.060034,0.201280,-69.647888,-89.714012,69.662483
85,0.034123,-0.013196,-0.002028,0.114617,-0.011168,0.377508,-70.144707,-89.704590,70.162994
86,0.033060,-0.009491,-0.004275,0.122032,-0.085115,0.282298,-71.121437,-89.695457,71.144348
87,0.032541,-0.004601,-0.004215,0.111594,-0.085186,0.130449,-72.019302,-89.689095,72.046288
88,0.028589,-0.009192,-0.006175,0.086625,-0.144918,0.268711,-73.046486,-89.683479,73.076164
89,0.026877,-0.005742,-0.004752,0.053426,-0.087033,0.166468,-74.073112,-89.676750,74.105240
90,0.027607,0.001503,-0.003702,0.040262,-0.061054,-0.086414,-74.556900,-89.676750,74.590759
92,0.025933,0.005054,-0.000239,0.010557,0.056522,-0.221515,-74.323616,-89.681633,74.358055
93,0.023950,0.002468,-0.003140,0.003917,-0.020239,-0.166980,-73.896362,-89.687843,73.931511
94,0.025693,0.001932,-0.000114,-0.004790,0.071892,-0.152794,-73.467285,-89.692894,73.501793
95,0.023662,-0.000181,0.000092,0.018063,0.068985,-0.084501,-72.832703,-89.696739,72.867661
96,0.022060,-0.005927,0.000148,0.022352,0.070923,0.105956,-72.434166,-89.695457,72.469757
97,0.024767,-0.006189,-0.003420,0.029355,-0.050360,0.129317,-72.591644,-89.690353,72.628090
99,0.028854,-0.000719,-0.000863,0.049824,0.021298,-0.036781,-72.759430,-89.689095,72.797020
100,0.027162,0.002299,-0.003461,0.067920,-0.051606,-0.143278,-72.681145,-89.692261,72.720467
101,0.031788,0.002683,-0.001451,0.056047,0.010259,-0.159678,-72.518738,-89.697388,72.560715
102,0.030143,0.007508,-0.001907,0.051673,0.006475,-0.302268,-72.016670,-89.704590,72.060493
103,0.031471,0.004668,-0.001812,0.057674,0.007726,-0.224071,-71.430511,-89.712646,71.475784
104,0.028707,0.002887,-0.000899,0.048562,0.032204,-0.147579,-70.899445,-89.718147,70.947166
106,0.032517,0.003439,-0.001117,0.045499,0.003739,-0.155609,-70.440689,-89.723755,70.489403
107,0.030940,-0.004652,-0.000466,0.039064,0.019994,0.110232,-70.309410,-89.724464,70.359741
108,0.033007,-0.005040,-0.001223,0.038904,0.004066,0.148197,-70.526680,-89.720238,70.578400
109,0.030067,-0.003963,0.002722,0.033419,0.131524,0.120417,-70.398407,-89.716072,70.450790
110,0.030354,-0.004003,-0.000024,0.026965,0.061790,0.123594,-70.067924,-89.710609,70.121635
111,0.029299,-0.005760,0.000725,0.025428,0.095698,0.167708,-69.910355,-89.705246,69.964584
113,0.028396,0.003086,-0.003393,0.034449,-0.033822,-0.116653,-69.778023,-89.703262,69.833458
114,0.028010,0.002004,-0.001076,0.048470,0.032572,-0.105412,-69.529617,-89.705246,69.586502
115,0.035435,0.002303,-0.001997,0.045327,0.009553,-0.132680,-69.125481,-89.709259,69.183914
116,0.036201,0.004680,-0.001004,0.041032,0.026587,-0.234205,-68.574051,-89.716759,68.633850
117,0.033475,0.004563,0.003305,0.038636,0.169110,-0.232197,-67.364586,-89.722343,67.426117
118,0.034869,-0.003570,0.004294,0.026142,0.216596,0.014865,-65.853485,-89.723045,65.915916
120,0.035350,-0.001878,0.001635,0.016673,0.130911,-0.025423,-64.758408,-89.720932,64.821632
121,0.030227,-0.007535,-0.003244,0.029310,-0.038008,0.163203,-64.672615,-89.718842,64.736763
122,0.032919,-0.009405,-0.003150,0.044344,-0.041264,0.248542,-65.488899,-89.710609,65.553726
123,0.041545,-0.005489,-0.005035,0.045829,-0.118160,0.125889,-66.465256,-89.706581,66.532112
124,0.038485,-0.002627,-0.002529,0.041789,-0.045473,0.038757,-67.163567,-89.705917,67.231911
125,0.037498,-0.000230,-0.002699,0.035857,-0.041493,-0.034297,-67.428154,-89.705917,67.497910
127,0.036783,-0.003736,0.000593,0.022417,0.068404,0.067121,-67.387337,-89.705246,67.457726
128,0.036365,-0.007717,0.001003,0.019201,0.080130,0.200408,-67.276962,-89.699989,67.348289
129,0.029276,-0.005778,0.000948,0.033029,0.089050,0.141335,-67.202286,-89.694809,67.274292
130,0.031449,-0.004767,-0.000456,0.051200,0.053975,0.103602,-67.085777,-89.689095,67.159439
131,0.033148,-0.012049,-0.001680,0.059660,0.014806,0.322074,-67.391541,-89.682251,67.466797
132,0.033459,-0.003627,-0.004847,0.065745,-0.086528,0.079795,-68.040367,-89.676750,68.117279
134,0.034706,0.000725,-0.003776,0.069256,-0.048581,-0.075143,-68.412552,-89.676750,68.492569
135,0.035147,-0.003641,-0.005029,0.073383,-0.086059,0.046518,-68.750748,-89.678574,68.832321
136,0.036497,-0.003844,-0.006157,0.079247,-0.134521,0.066475,-69.479004,-89.678574,69.563850
137,0.036678,-0.001409,-0.003670,0.075208,-0.066320,-0.001658,-70.102455,-89.678574,70.189056
138,0.031301,-0.001705,-0.004307,0.091914,-0.077287,-0.005699,-70.493385,-89.679794,70.583199
139,0.030942,-0.007246,-0.006123,0.083647,-0.136945,0.175026,-71.254837,-89.677963,71.347656
141,0.029003,0.002020,-0.004561,0.044715,-0.095769,-0.105302,-71.971222,-89.677963,72.066238
