seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,0.017109,-0.000127,-0.000009,-1.190091,0.285459,-0.348573,-94.012756,-89.571266,0.000000
2,0.019188,0.017422,0.002244,-0.676157,0.206985,-0.221097,-93.986229,-89.581314,-0.057635
3,0.018381,0.016154,0.002325,-0.365322,0.152364,-0.128386,-93.960930,-89.587540,-0.100293
4,0.024841,0.025004,-0.005388,-0.213850,0.109942,-0.108326,-93.939262,-89.591782,-0.131610
5,0.027495,0.022755,-0.001001,-0.123069,0.099360,-0.084167,-93.919907,-89.595222,-0.156578
6,0.030108,0.034628,-0.003190,0.208616,0.040019,-0.000234,-93.901466,-89.596786,-0.173593
8,0.033611,0.025381,-0.004083,0.405450,0.009189,0.045527,-93.884567,-89.596092,-0.180255
9,0.038424,0.029365,-0.009071,0.356736,0.013315,0.027799,-93.868362,-89.594902,-0.183758
10,0.035350,0.022022,-0.004541,0.283053,0.027638,0.020984,-93.852058,-89.594139,-0.189397
11,0.036480,0.022072,-0.008151,0.197027,0.025256,0.001110,-93.837128,-89.593834,-0.196326
12,0.032197,0.012000,-0.009072,0.100538,0.043614,-0.028444,-93.823631,-89.594368,-0.204866
13,0.029506,0.015044,-0.008682,-0.062155,0.065799,-0.064409,-93.809845,-89.596031,-0.218014
15,0.025909,0.011182,-0.005532,-0.123581,0.075449,-0.081485,-93.796188,-89.598618,-0.234770
16,0.024280,0.013180,-0.003203,-0.084108,0.078879,-0.061102,-93.781197,-89.601158,-0.253225
17,0.024307,0.014542,-0.007107,-0.020839,0.077769,-0.054672,-93.763962,-89.603256,-0.272206
18,0.029675,0.018677,-0.001401,-0.000969,0.095882,-0.045500,-93.743042,-89.605110,-0.293490
19,0.032538,0.020299,-0.002487,0.000539,0.114877,-0.042532,-93.716934,-89.606804,-0.319607
20,0.034000,0.029486,-0.005305,0.061033,0.121442,-0.030807,-93.686409,-89.608276,-0.349109
22,0.035481,0.025280,-0.004603,0.070839,0.126316,-0.053411,-93.653336,-89.609947,-0.379986
23,0.031623,0.024287,-0.002563,0.044903,0.116272,-0.056088,-93.621391,-89.612030,-0.410003
24,0.029722,0.021343,-0.001441,0.047858,0.105080,-0.055725,-93.592545,-89.614120,-0.437304
25,0.029029,0.023213,0.002706,0.061048,0.092780,-0.058326,-93.566429,-89.616226,-0.461602
26,0.031601,0.013777,0.007907,0.067902,0.089738,-0.046082,-93.541855,-89.618156,-0.484030
27,0.029470,0.008953,0.010367,-0.009595,0.086796,-0.035716,-93.519035,-89.619698,-0.505880
29,0.030874,0.004667,0.016871,0.042376,0.107565,-0.012406,-93.494095,-89.620697,-0.530271
30,0.029466,0.008698,0.010533,0.051318,0.101087,-0.006096,-93.466087,-89.621216,-0.556719
31,0.029965,0.010587,0.007010,0.054064,0.077110,-0.010324,-93.441750,-89.621666,-0.579304
32,0.026261,0.007641,0.008971,0.083285,0.052444,-0.015889,-93.423149,-89.622231,-0.595615
33,0.029769,0.016096,0.006581,0.182392,0.047773,-0.010940,-93.406151,-89.622780,-0.608183
34,0.031550,0.015995,0.007670,0.111472,0.052110,-0.034196,-93.388863,-89.623627,-0.620571
36,0.035551,0.015097,0.013615,0.134384,0.071064,-0.030123,-93.369553,-89.624817,-0.635785
37,0.034302,0.007129,0.016340,0.158020,0.121867,-0.017329,-93.340446,-89.625793,-0.660020
38,0.036186,0.006620,0.019095,0.146936,0.160673,-0.002002,-93.299492,-89.626389,-0.695890
39,0.034070,0.012729,0.018389,0.125884,0.158357,0.014299,-93.254189,-89.626495,-0.736648
40,0.032785,0.013453,0.015309,0.135041,0.136931,0.027113,-93.211899,-89.626091,-0.774593
41,0.031342,0.009770,0.010920,0.078957,0.097020,0.020321,-93.178169,-89.625519,-0.804760
43,0.030717,0.009781,0.012940,0.066037,0.052514,0.031462,-93.156319,-89.624794,-0.824192
44,0.036316,0.016864,0.008443,0.062396,0.012419,0.021575,-93.145523,-89.623970,-0.832845
