seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
7258,0.091338,0.066148,0.091349,-0.027356,-0.122205,0.017649,0.000000,-44.899376,0.000000
7259,0.092064,0.069381,0.099612,-0.045356,-0.134961,-0.008469,-0.000911,-44.893433,0.000153
7260,0.084922,0.068460,0.103397,-0.055583,-0.130219,-0.009417,-0.001944,-44.872875,-0.000145
7261,0.080880,0.065983,0.097101,-0.060074,-0.143462,-0.019023,-0.002903,-44.855579,-0.000619
7262,0.073590,0.067107,0.094263,-0.062286,-0.132496,-0.025949,-0.003706,-44.832291,-0.001369
7263,0.065120,0.069461,0.093409,-0.070575,-0.123725,-0.044285,-0.004441,-44.798347,-0.002539
7265,0.062165,0.069197,0.088825,-0.072689,-0.100482,-0.026598,-0.005119,-44.766151,-0.003721
7266,0.062174,0.066508,0.081543,-0.062927,-0.082429,-0.009491,-0.005533,-44.743259,-0.004322
7267,0.063678,0.065720,0.081602,-0.066767,-0.050209,-0.004752,-0.005772,-44.721600,-0.004559
7268,0.074471,0.068029,0.080349,-0.060151,-0.041183,-0.000169,-0.005915,-44.715729,-0.004641
7269,0.082857,0.064173,0.078967,-0.058179,-0.028026,0.013120,-0.005915,-44.722855,-0.004426
7270,0.084089,0.060332,0.078248,-0.051844,-0.024155,0.000883,-0.005811,-44.732361,-0.004192
7272,0.085873,0.062681,0.081831,-0.061951,-0.033694,-0.005050,-0.005781,-44.739494,-0.004262
7273,0.082845,0.064158,0.078821,-0.055493,-0.035542,0.015778,-0.005805,-44.746712,-0.004083
7274,0.080700,0.066097,0.074244,-0.058101,-0.025521,0.016737,-0.005775,-44.757004,-0.003541
7275,0.076959,0.064979,0.075505,-0.054720,-0.021733,0.011760,-0.005741,-44.760239,-0.003066
7276,0.074370,0.068026,0.072608,-0.064734,-0.013641,0.015802,-0.005798,-44.763622,-0.002607
7277,0.076182,0.069115,0.070132,-0.064087,0.008945,0.003477,-0.005957,-44.772289,-0.002285
7279,0.075538,0.068424,0.071405,-0.067890,0.021935,-0.004016,-0.006116,-44.777740,-0.002294
7280,0.075743,0.063879,0.078679,-0.071568,0.025643,-0.000933,-0.006331,-44.773396,-0.002377
7281,0.073435,0.064109,0.078826,-0.067746,0.029231,0.019760,-0.006490,-44.765598,-0.002063
7282,0.076138,0.062863,0.081318,-0.062573,0.028272,0.023540,-0.006495,-44.758118,-0.001341
7283,0.075743,0.059502,0.082648,-0.056094,0.014062,0.031624,-0.006355,-44.748627,-0.000422
7284,0.082029,0.059718,0.084955,-0.054255,0.010649,0.032063,-0.006146,-44.744911,0.000639
7286,0.084182,0.058351,0.081393,-0.049524,-0.000031,0.038392,-0.005907,-44.749199,0.001814
7287,0.083040,0.062835,0.079343,-0.050852,-0.002982,0.028278,-0.005684,-44.754856,0.002925
7288,0.079882,0.061684,0.078665,-0.050661,0.005971,0.031778,-0.005534,-44.757019,0.003926
7289,0.080509,0.066245,0.079159,-0.053428,0.026438,0.027785,-0.005453,-44.758820,0.004919
7290,0.075682,0.066808,0.073972,-0.045773,0.021144,0.028350,-0.005329,-44.760784,0.005854
7291,0.071886,0.069660,0.077519,-0.047224,0.036685,0.030372,-0.005158,-44.752563,0.006833
7293,0.076962,0.069744,0.078789,-0.053055,0.044338,0.027900,-0.005120,-44.749191,0.007804
7294,0.079352,0.070911,0.082595,-0.049840,0.034029,0.022558,-0.005126,-44.743980,0.008645
7295,0.076398,0.068298,0.079132,-0.049682,0.025534,0.027722,-0.005087,-44.739784,0.009483
7296,0.075218,0.070229,0.081934,-0.045102,0.029125,0.020910,-0.005000,-44.730270,0.010294
7297,0.076233,0.068708,0.076563,-0.040671,0.022266,0.017272,-0.004824,-44.729500,0.010930
7298,0.071846,0.069059,0.074114,-0.034910,0.023012,0.015230,-0.004561,-44.726151,0.011472
7300,0.065988,0.070201,0.070033,-0.032290,0.020782,0.026538,-0.004262,-44.720341,0.012168
7301,0.069747,0.075977,0.070381,-0.029755,0.020100,0.018288,-0.003973,-44.719177,0.012915
7302,0.073139,0.077813,0.071733,-0.030256,0.023869,0.011785,-0.003729,-44.720745,0.013416
7303,0.073100,0.079688,0.070833,-0.024836,0.012755,0.005495,-0.003484,-44.723564,0.013704
7304,0.075344,0.079006,0.074084,-0.018118,-0.002422,0.005315,-0.003151,-44.725491,0.013884
7305,0.080808,0.078421,0.072074,-0.021952,-0.003818,-0.008142,-0.002865,-44.737862,0.013837
7307,0.078011,0.073247,0.075533,-0.016805,-0.000741,-0.003447,-0.002634,-44.741745,0.013644
7308,0.078026,0.069612,0.074650,-0.017730,-0.005145,0.018804,-0.002408,-44.746895,0.013900
7309,0.078387,0.063686,0.080093,-0.021576,0.003879,0.024091,-0.002296,-44.745167,0.014615
7310,0.075922,0.059641,0.075657,-0.029724,0.019987,0.036584,-0.002362,-44.745708,0.015626
7311,0.075635,0.058386,0.079807,-0.024322,0.023759,0.029481,-0.002446,-44.739933,0.016727
7312,0.072269,0.062227,0.074828,-0.026476,0.028884,0.028515,-0.002469,-44.736122,0.017694
7314,0.073659,0.060199,0.073821,-0.025608,0.030889,0.008393,-0.002502,-44.735485,0.018309
7315,0.072722,0.066591,0.069063,-0.023293,0.026925,0.009594,-0.002489,-44.739960,0.018609
7316,0.072665,0.067835,0.073455,-0.016626,0.018662,-0.002528,-0.002364,-44.738590,0.018726
7317,0.072586,0.067431,0.071969,-0.016080,0.022478,0.004935,-0.002181,-44.739208,0.018767
7318,0.078174,0.063015,0.076727,-0.022933,0.015838,0.004773,-0.002122,-44.741116,0.018928
7319,0.070490,0.066229,0.073738,-0.025133,0.015318,0.004616,-0.002190,-44.736652,0.019085
7321,0.067207,0.065860,0.076541,-0.016929,0.026623,0.016272,-0.002170,-44.723763,0.019433
7322,0.070844,0.071475,0.072297,-0.019326,0.021323,0.018691,-0.002080,-44.721447,0.020016
7323,0.072063,0.075454,0.073313,-0.017217,0.019148,0.007747,-0.002018,-44.719498,0.020456
7324,0.072784,0.078108,0.068290,0.005486,0.022948,0.016348,-0.001660,-44.725258,0.020858
7325,0.080275,0.078089,0.073021,0.008258,0.026623,0.027619,-0.001073,-44.734692,0.021591
7326,0.081484,0.074654,0.069474,0.000608,0.009516,0.011955,-0.000692,-44.750805,0.022250
7328,0.075711,0.071216,0.070615,-0.003840,0.016583,0.017466,-0.000559,-44.757671,0.022741
7329,0.076587,0.066117,0.074121,-0.003714,0.010136,0.018370,-0.000513,-44.761017,0.023338
7330,0.077168,0.065009,0.079156,-0.013923,-0.000528,0.008912,-0.000605,-44.758636,0.023793
7331,0.078121,0.066603,0.079567,-0.009039,-0.007890,0.004192,-0.000740,-44.757290,0.024011
7332,0.083705,0.068626,0.082255,0.001588,-0.007631,0.012910,-0.000647,-44.760014,0.024296
7333,0.090909,0.069294,0.082266,0.007440,-0.000001,0.003632,-0.000370,-44.772369,0.024572
7335,0.090295,0.073865,0.077644,0.005720,0.010330,0.013844,-0.000113,-44.789722,0.024863
7336,0.080483,0.074770,0.076786,0.007008,0.014419,0.016342,0.000073,-44.794575,0.025366
7337,0.078316,0.070968,0.073693,0.002351,0.033133,0.029089,0.000171,-44.800316,0.026123
7338,0.074375,0.069302,0.077547,-0.008057,0.045330,0.022232,0.000057,-44.794964,0.026979
7339,0.071377,0.065800,0.076741,-0.009269,0.033512,0.021503,-0.000174,-44.786674,0.027708
7340,0.072505,0.061864,0.075623,-0.007489,0.027986,0.017846,-0.000339,-44.781803,0.028363
7342,0.076600,0.061672,0.073634,-0.010196,0.025593,0.008406,-0.000474,-44.785351,0.028801
7343,0.081437,0.063599,0.076844,-0.009861,0.011470,-0.000725,-0.000606,-44.791378,0.028929
7344,0.081105,0.066793,0.073851,-0.005110,0.019950,0.008154,-0.000642,-44.801033,0.029053
7345,0.081639,0.071262,0.076480,-0.000515,0.025199,0.015266,-0.000552,-44.807541,0.029443
7346,0.078376,0.076606,0.077743,0.003929,0.021422,0.002958,-0.000373,-44.807770,0.029747
7347,0.076429,0.074940,0.081346,-0.003579,0.034002,0.008765,-0.000276,-44.800362,0.029942
7349,0.073842,0.074276,0.079393,-0.001986,0.026984,0.009954,-0.000277,-44.792011,0.030254
7350,0.073137,0.073649,0.077034,-0.013728,0.011340,-0.006608,-0.000406,-44.786308,0.030310
