seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
4000,-0.000151,0.038473,-0.036297,-0.153134,0.312787,0.057818,-46.667259,-0.163619,0.070579
4001,0.021253,0.040004,-0.041912,-0.196588,-0.057202,-0.406395,-46.673073,-0.164922,0.063494
4002,0.019859,0.029261,-0.040913,-0.498568,-0.063252,-0.410431,-46.684639,-0.176204,0.055614
4003,0.014768,0.035417,-0.036814,-0.177434,0.052421,-0.305856,-46.695881,-0.185015,0.047557
4005,0.011813,0.036354,-0.036436,0.032522,0.134015,-0.249184,-46.698269,-0.189615,0.038951
4006,0.008517,0.044513,-0.033232,0.360842,0.208636,-0.187959,-46.691681,-0.191000,0.029798
4007,0.003409,0.045421,-0.037960,0.237571,0.313822,-0.060016,-46.681679,-0.188034,0.020627
4008,0.001102,0.055680,-0.038491,0.435499,0.376324,-0.000863,-46.670422,-0.180880,0.011563
4009,-0.000068,0.057324,-0.038072,0.551825,0.396131,0.020524,-46.653942,-0.171806,0.002424
4010,0.001817,0.057400,-0.037354,0.553351,0.359893,-0.021142,-46.635502,-0.163163,-0.006745
4012,0.005797,0.049324,-0.042827,0.256762,0.271698,-0.113332,-46.621967,-0.157563,-0.015936
4013,0.011968,0.048564,-0.033731,0.465421,0.125070,-0.273522,-46.609905,-0.157707,-0.025171
4014,0.011911,0.041927,-0.040815,0.171911,0.116577,-0.289123,-46.599255,-0.161754,-0.034540
4015,0.015668,0.041944,-0.042732,0.096075,0.037576,-0.363378,-46.594769,-0.167890,-0.043879
4016,0.019839,0.044891,-0.042596,0.119099,-0.073708,-0.454581,-46.591156,-0.178208,-0.052809
4017,0.023731,0.045655,-0.040267,0.092608,-0.167833,-0.536012,-46.587589,-0.192968,-0.061231
4019,0.019956,0.043199,-0.045764,-0.063735,-0.090522,-0.458111,-46.587086,-0.207963,-0.069490
4020,0.014243,0.043515,-0.035389,0.255660,0.026221,-0.309047,-46.583862,-0.217987,-0.077499
4021,0.014714,0.042500,-0.035261,0.278954,0.030192,-0.318814,-46.574921,-0.224941,-0.085375
4022,0.010443,0.041520,-0.035459,0.366871,0.122174,-0.256565,-46.564114,-0.230160,-0.093811
4023,0.004079,0.041389,-0.033364,0.541048,0.254117,-0.124373,-46.548950,-0.230457,-0.102731
4024,0.002644,0.048525,-0.034970,0.669368,0.292085,-0.089367,-46.528740,-0.226780,-0.111789
4026,0.010019,0.043248,-0.039498,0.418340,0.122690,-0.252525,-46.510582,-0.226158,-0.120726
4027,0.008997,0.036854,-0.036999,0.296281,0.113362,-0.240860,-46.498642,-0.229416,-0.129240
4028,0.005479,0.037856,-0.033730,0.361935,0.190744,-0.136761,-46.487640,-0.230491,-0.137249
4029,0.008784,0.035752,-0.035086,0.205398,0.127536,-0.198338,-46.478149,-0.230889,-0.144942
4030,0.006044,0.028855,-0.034028,-0.036089,0.178636,-0.118933,-46.475292,-0.231209,-0.152283
4031,0.001516,0.025251,-0.034597,-0.199077,0.296880,-0.006580,-46.479179,-0.227268,-0.159470
