seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
3914,-0.000010,0.005920,-0.005515,-1.342683,0.445681,0.185500,-47.029606,-0.071262,0.000000
3915,0.004997,0.039950,-0.000324,-0.844696,0.364581,0.116044,-47.013309,-0.068210,-0.006456
3916,-0.003006,0.056455,-0.001079,-0.837261,0.346748,0.116981,-46.967525,-0.051480,-0.012486
3917,0.004786,0.058850,-0.009061,-0.708731,0.213521,0.092492,-46.927578,-0.052014,-0.016947
3918,0.006237,0.059101,-0.018444,-0.564555,0.153992,0.068819,-46.896072,-0.058194,-0.019604
3919,0.006115,0.062873,-0.020401,-0.293668,0.081052,0.037045,-46.855293,-0.066348,-0.021275
3921,0.004668,0.059010,-0.028455,-0.167444,-0.172508,0.031403,-46.824516,-0.075868,-0.019381
3922,0.013034,0.044331,-0.034354,0.146508,-0.522545,0.009711,-46.814518,-0.109030,-0.010421
3923,0.015102,0.044073,-0.030526,0.296675,-0.605775,0.007916,-46.791634,-0.151529,0.003569
3924,0.013033,0.047152,-0.027140,0.236768,-0.501789,0.016512,-46.758236,-0.189731,0.017381
3925,0.010239,0.058228,-0.034812,0.189157,-0.430730,0.023350,-46.722599,-0.220467,0.029228
3926,0.008540,0.053799,-0.030149,0.128347,-0.146519,0.025536,-46.688007,-0.243698,0.036835
3928,0.003734,0.053195,-0.028856,0.001640,0.219880,0.024699,-46.655418,-0.250064,0.036508
3929,-0.001945,0.052002,-0.035056,-0.146004,0.417821,0.040124,-46.637768,-0.238677,0.029453
3930,-0.002294,0.043273,-0.035653,-0.150073,0.414455,0.056520,-46.635231,-0.223919,0.020382
3931,0.005799,0.028261,-0.032228,-0.125966,0.405295,0.062046,-46.647686,-0.224771,0.011712
3932,0.006809,0.033045,-0.030069,-0.015572,0.380201,0.048205,-46.648411,-0.228116,0.003365
3933,0.007281,0.034756,-0.034519,-0.066718,0.381019,0.065811,-46.652187,-0.232664,-0.004643
3935,0.006245,0.037001,-0.026880,0.159806,0.356721,0.038564,-46.639133,-0.235543,-0.012474
3936,0.004954,0.038331,-0.029293,0.340531,0.333219,0.004830,-46.620911,-0.237207,-0.020412
3937,-0.001968,0.041499,-0.030206,0.403162,0.306060,-0.013039,-46.595623,-0.226530,-0.028316
