seq,ax,ay,az,wroll,wpitch,wyaw,roll,pitch,yaw
1,0.124071,-0.035798,0.035646,-1.006286,-6.461257,-0.084688,180.000000,0.000000,0.000000
2,-0.075325,0.000590,-0.027954,-1.379168,-8.677287,-0.568959,179.956329,-0.274781,-0.018965
3,-0.011987,-0.019094,0.044262,-0.714076,-5.086796,-0.594583,179.949402,-0.333255,-0.038785
4,-0.045499,-0.032626,0.031624,-0.764461,-5.680120,-0.973583,179.942932,-0.391945,-0.071238
5,-0.007097,-0.019342,0.045992,-0.604239,-6.626193,-4.345879,179.926651,-0.582177,-0.216100
6,-0.224912,0.023922,-0.016888,-0.360091,-6.282860,-23.015577,179.918915,-0.752025,-0.983286
8,-0.244524,-0.011739,-0.005118,-0.090003,-1.944364,-1.664856,179.936935,-0.341010,-1.038781
9,-0.320719,-0.051960,-0.010672,0.253330,2.076449,-12.079298,179.948105,-0.173331,-1.441425
10,-1.444388,-0.370011,-0.077860,0.344886,2.641042,-29.108627,180.072342,0.351244,-2.411712
11,0.105762,-0.070177,0.052535,0.810293,9.652669,-78.457054,180.094376,0.639349,-5.026947
12,1.493263,0.478838,0.015821,-0.181558,0.100376,-61.580322,179.940994,0.186784,-7.079625
13,-0.068986,0.009390,0.003307,-0.064914,-1.769928,-0.097479,179.954117,0.095840,-7.082874
15,-0.082049,0.020238,0.010302,0.284051,1.202999,0.444420,179.972687,0.101955,-7.068060
16,-0.101728,0.008963,0.004241,0.276421,3.377443,0.688568,179.986420,0.160902,-7.045108
17,0.051750,-0.004633,0.045834,0.474791,5.254332,0.886939,180.001678,0.252035,-7.015543
18,-0.007407,-0.007509,0.011367,0.490051,4.598184,0.764865,180.013519,0.303981,-6.990048
19,-0.011767,0.018307,-0.021161,0.413754,3.926776,0.581754,180.020477,0.326155,-6.970656
20,0.092310,-0.014821,0.055011,0.459532,3.766554,0.520717,180.026855,0.338780,-6.953299
22,0.011728,-0.007371,0.007265,0.436643,3.453739,0.268939,180.031067,0.340429,-6.944334
23,0.058498,-0.022050,-0.002984,0.245903,2.515295,0.230791,180.029449,0.318204,-6.936641
24,0.051133,-0.019249,0.003002,0.090251,1.178319,0.208466,180.024338,0.268111,-6.929692
25,0.046080,-0.010631,-0.016742,0.072533,1.220864,0.260667,180.020065,0.231605,-6.921003
26,0.152172,-0.008977,0.063389,0.011119,0.568341,0.517784,180.015320,0.187912,-6.903744
27,-0.145898,-0.023648,-0.038414,-1.184724,-8.777978,6.492961,179.977036,-0.099453,-6.687312
29,-0.469430,0.104113,-0.072825,-0.749835,-4.146794,52.720875,179.954437,-0.094510,-4.929949
30,0.049256,0.001907,0.017454,-0.185243,1.613575,21.248661,179.950836,-0.038688,-4.221660
31,-0.066111,0.020598,0.018291,0.056974,0.844864,-0.295036,179.964539,-0.007894,-4.231495
32,-0.111076,0.024826,-0.002078,0.401943,0.927859,-0.514128,179.983459,0.239198,-4.248632
33,-0.084987,0.009824,-0.014286,0.478239,2.697932,-0.292869,179.999557,0.246847,-4.258395
34,-0.044549,0.007347,0.023551,0.462980,3.911043,-0.147906,180.011230,0.282911,-4.263325
36,-0.008873,0.018790,-0.019956,0.585054,4.681635,0.096242,180.023041,0.329224,-4.260117
37,0.040169,0.013695,0.015486,0.783424,6.192301,0.210686,180.036865,0.401726,-4.253094
38,0.115211,-0.018999,0.037726,0.691869,4.971561,-0.041091,180.044937,0.425583,-4.254463
39,0.089344,-0.001383,-0.000020,0.093586,0.801506,-0.061883,180.036041,0.339225,-4.256526
40,0.037399,-0.002643,-0.000773,-0.101349,-0.508803,-0.111511,180.024506,0.241699,-4.260243
41,0.042453,-0.007090,0.027383,0.219292,1.670071,-0.056198,180.023865,0.223026,-4.262116
43,0.006005,-0.002506,0.008068,0.057133,0.545292,-0.076494,180.019333,0.180902,-4.264666
44,0.001770,0.008059,0.005005,0.010983,0.475759,-0.118264,180.014771,0.147570,-4.268608
45,0.026547,0.015185,0.005707,0.195110,1.397358,-0.047971,180.015961,0.145612,-4.270207
46,0.036502,-0.013691,0.003677,0.085401,0.775946,-0.046398,180.014114,0.128607,-4.271753
47,0.055012,0.001824,0.000697,0.075222,0.625056,-0.037498,180.012466,0.112082,-4.273003
48,0.014802,0.001334,0.003424,0.124412,0.899744,-0.051027,180.012466,0.106555,-4.274704
